rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:13:10.74,22.95,-974.61,-216.31,-1.10,0.61,-0.67,-40.05,25.50,-36.00,34.93,119.77,
06/01/2021,01:13:10.78,24.41,-983.89,-211.43,0.85,0.67,-1.77,-39.30,24.75,-35.25,35.17,119.76,
06/01/2021,01:13:10.79,26.37,-977.54,-204.10,1.34,-1.77,-0.30,-40.80,24.75,-35.25,34.93,119.76,
06/01/2021,01:13:10.80,33.20,-974.12,-200.20,1.22,2.80,0.67,-40.65,24.60,-33.90,34.74,119.76,
06/01/2021,01:13:10.81,27.83,-980.47,-223.14,-0.85,0.98,-0.49,-39.15,26.10,-37.65,34.88,119.76,
06/01/2021,01:13:10.82,36.13,-980.96,-214.36,-0.06,1.46,-1.40,-39.15,26.10,-37.65,35.03,119.76,
06/01/2021,01:13:10.83,28.81,-984.86,-210.45,-0.37,0.37,-1.46,-41.25,24.30,-34.80,34.93,119.76,
06/01/2021,01:13:10.83,29.79,-986.82,-210.45,0.18,-0.73,0.12,-41.25,24.30,-34.80,35.03,119.76,
06/01/2021,01:13:10.84,38.09,-971.68,-215.82,-2.20,-0.55,0.12,-41.25,24.30,-34.80,35.07,119.76,
06/01/2021,01:13:10.84,30.76,-980.96,-212.40,-0.49,-0.06,-1.65,-41.25,24.30,-34.80,34.93,119.76,
06/01/2021,01:13:10.86,28.32,-984.38,-211.91,0.30,-2.38,-0.79,-41.25,24.75,-34.50,34.93,119.76,
06/01/2021,01:13:10.87,22.46,-987.30,-207.52,-1.83,-0.91,-1.04,-41.25,24.75,-34.50,34.88,119.76,
06/01/2021,01:13:10.87,19.04,-978.03,-200.68,2.80,-1.28,0.98,-40.35,25.65,-35.10,34.83,119.76,
06/01/2021,01:13:10.88,39.55,-983.89,-197.27,-0.91,-2.13,-0.85,-39.90,26.10,-36.45,35.07,119.76,
06/01/2021,01:13:10.88,29.30,-997.56,-211.43,-2.87,1.46,-1.22,-39.90,26.10,-36.45,34.83,119.76,
06/01/2021,01:13:10.89,24.90,-982.42,-204.10,0.98,0.30,-0.30,-39.75,25.05,-36.30,34.74,119.76,
06/01/2021,01:13:10.90,30.27,-978.03,-218.75,-2.26,0.61,-1.28,-39.00,25.50,-34.80,34.93,119.76,
06/01/2021,01:13:10.91,20.51,-985.84,-208.50,-3.66,2.80,0.67,-39.00,25.50,-34.80,34.93,119.76,
06/01/2021,01:13:10.92,35.64,-974.61,-215.82,0.55,0.30,1.22,-39.00,25.50,-34.80,35.07,119.76,
06/01/2021,01:13:10.92,39.55,-984.38,-221.68,-1.28,-0.24,-0.43,-37.65,26.40,-35.10,34.88,119.76,
06/01/2021,01:13:10.93,26.86,-976.07,-208.01,0.06,-0.67,-2.32,-37.65,26.40,-35.10,34.93,119.76,
06/01/2021,01:13:10.94,31.25,-972.17,-211.91,-0.61,0.30,0.49,-41.25,24.75,-35.55,35.07,119.76,
06/01/2021,01:13:10.95,25.39,-975.10,-204.59,1.65,-0.79,0.73,-40.50,25.05,-35.25,34.74,119.76,
06/01/2021,01:13:10.96,19.04,-979.49,-216.80,-4.09,1.10,-0.37,-40.50,25.05,-35.25,34.93,119.76,
06/01/2021,01:13:10.96,20.02,-973.63,-209.96,-0.12,-0.49,-0.49,-39.15,26.10,-35.40,34.74,119.77,
06/01/2021,01:13:10.97,31.25,-977.05,-208.98,-2.01,0.55,0.00,-39.15,26.10,-35.40,35.07,119.77,
06/01/2021,01:13:10.98,9.28,-969.73,-216.31,-0.49,-0.24,2.50,-40.35,25.35,-33.15,35.07,119.76,
06/01/2021,01:13:10.99,19.53,-976.56,-212.89,-0.43,-0.49,0.73,-39.15,24.90,-35.70,35.17,119.76,
06/01/2021,01:13:10.99,32.23,-980.96,-211.43,0.12,2.01,-1.46,-39.15,24.90,-35.70,34.88,119.77,
06/01/2021,01:13:11.00,22.46,-972.17,-212.89,0.24,-0.06,-1.59,-39.15,24.90,-35.70,35.03,119.77,
06/01/2021,01:13:11.01,32.23,-981.45,-208.01,-2.32,0.18,-1.95,-39.15,24.90,-35.70,35.17,119.77,
06/01/2021,01:13:11.01,22.95,-987.79,-215.33,-1.95,0.00,-1.34,-38.25,25.80,-35.55,34.93,119.77,
06/01/2021,01:13:11.03,25.88,-975.59,-195.80,-2.26,-1.59,-0.67,-38.25,25.80,-35.55,35.03,119.77,
06/01/2021,01:13:11.03,24.90,-969.24,-210.45,0.06,-0.49,1.71,-40.35,24.15,-34.65,34.93,119.77,
06/01/2021,01:13:11.04,24.90,-969.73,-213.38,-1.40,-1.46,-1.71,-39.15,24.15,-34.65,34.93,119.77,
06/01/2021,01:13:11.05,34.18,-984.86,-218.26,-3.17,-0.30,-1.16,-39.15,24.60,-35.10,35.07,119.77,
06/01/2021,01:13:11.05,17.09,-981.45,-205.08,-0.67,0.30,0.85,-39.60,24.90,-35.40,35.07,119.77,
06/01/2021,01:13:11.07,21.97,-985.35,-210.94,-2.68,0.98,-1.65,-38.55,25.50,-35.55,34.88,119.77,
06/01/2021,01:13:11.07,27.34,-991.21,-211.43,-1.16,-0.98,1.10,-41.10,24.90,-33.60,35.17,119.77,
06/01/2021,01:13:11.08,17.09,-982.42,-212.89,0.12,0.00,-0.91,-41.10,24.90,-33.60,35.17,119.77,
06/01/2021,01:13:11.08,13.67,-981.93,-214.84,-1.77,0.06,-0.06,-39.15,25.65,-36.45,35.07,119.77,
06/01/2021,01:13:11.09,19.53,-975.10,-207.03,-2.01,0.73,1.10,-39.15,25.65,-36.45,34.88,119.77,
06/01/2021,01:13:11.11,23.93,-971.19,-208.01,-1.71,-0.79,-0.73,-40.50,25.50,-33.75,34.93,119.77,
06/01/2021,01:13:11.11,28.32,-967.29,-208.01,-1.77,-0.12,-1.46,-40.50,25.50,-33.75,35.03,119.77,
06/01/2021,01:13:11.12,30.76,-971.19,-211.91,-1.65,0.79,-2.07,-40.50,25.50,-33.75,35.07,119.77,
06/01/2021,01:13:11.12,35.64,-982.91,-219.24,-1.89,0.12,-0.85,-40.65,25.65,-35.40,34.88,119.77,
06/01/2021,01:13:11.13,26.86,-966.31,-195.31,-2.13,-0.12,-0.85,-40.65,25.65,-35.40,35.07,119.77,
06/01/2021,01:13:11.14,29.79,-984.86,-215.33,-0.12,1.04,0.55,-41.25,26.25,-33.45,35.03,119.77,
06/01/2021,01:13:11.15,25.39,-989.26,-207.52,-1.16,1.16,2.93,-41.25,26.25,-33.45,35.07,119.77,
06/01/2021,01:13:11.16,24.90,-982.42,-215.33,-1.65,-1.40,-0.98,-41.70,24.90,-32.85,35.07,119.77,
06/01/2021,01:13:11.16,23.44,-978.52,-215.82,-1.22,-1.95,3.17,-38.85,25.65,-36.15,35.27,119.77,
06/01/2021,01:13:11.17,26.86,-976.56,-218.75,-0.85,-1.52,0.18,-38.85,25.65,-36.15,35.07,119.77,
06/01/2021,01:13:11.17,12.70,-975.59,-202.15,-2.26,0.49,-0.98,-38.40,24.90,-35.40,34.93,119.77,
06/01/2021,01:13:11.19,17.58,-978.03,-213.38,-1.77,0.85,-1.83,-38.40,24.90,-35.40,35.07,119.77,
06/01/2021,01:13:11.20,36.13,-975.59,-227.05,-1.46,-1.10,-1.16,-41.40,24.15,-33.90,35.17,119.77,
06/01/2021,01:13:11.20,19.53,-972.66,-212.89,-1.71,0.30,-0.55,-41.40,24.15,-33.90,35.03,119.77,
06/01/2021,01:13:11.21,33.20,-982.42,-220.70,-0.55,-1.83,0.18,-41.40,24.15,-33.90,34.93,119.77,
06/01/2021,01:13:11.21,19.53,-982.42,-210.94,-1.89,-1.46,-0.98,-39.60,25.65,-36.15,34.88,119.77,
06/01/2021,01:13:11.23,33.69,-974.12,-221.68,-2.68,-0.18,-1.40,-39.15,24.90,-35.10,34.93,119.77,
06/01/2021,01:13:11.23,31.25,-989.75,-205.08,-2.13,2.07,-1.52,-41.70,24.60,-34.65,35.07,119.77,
06/01/2021,01:13:11.24,28.81,-983.40,-211.91,-0.30,-2.26,1.83,-41.70,24.60,-34.65,34.83,119.77,
06/01/2021,01:13:11.25,29.30,-966.31,-221.19,-0.85,-2.93,0.49,-39.15,25.35,-36.45,35.17,119.77,
06/01/2021,01:13:11.25,21.97,-975.59,-209.96,-1.28,-2.13,0.98,-41.10,24.90,-35.40,34.93,119.77,
06/01/2021,01:13:11.29,6.35,-980.96,-219.24,0.61,-0.37,-0.06,-41.40,24.90,-34.65,35.07,119.76,
06/01/2021,01:13:11.31,23.93,-980.96,-221.68,-1.10,-0.43,2.93,-40.05,25.05,-35.55,35.17,119.76,
06/01/2021,01:13:11.32,22.46,-985.35,-229.98,-1.65,0.73,-0.73,-39.75,25.05,-33.45,35.17,119.76,
06/01/2021,01:13:11.32,30.27,-980.47,-218.75,-1.71,0.49,-2.07,-39.75,25.05,-33.45,34.83,119.76,
06/01/2021,01:13:11.33,30.27,-976.56,-220.70,-3.72,-0.79,-1.59,-39.00,25.05,-36.30,34.93,119.76,
06/01/2021,01:13:11.33,31.25,-977.54,-225.59,-3.29,-0.67,0.06,-39.00,25.05,-36.30,34.93,119.77,
06/01/2021,01:13:11.35,28.32,-968.75,-214.36,-1.16,-2.07,-0.12,-40.05,24.00,-35.55,35.03,119.76,
06/01/2021,01:13:11.35,41.02,-981.93,-223.14,-3.23,0.30,0.12,-40.65,24.00,-35.55,34.93,119.76,
06/01/2021,01:13:11.36,18.55,-975.59,-220.70,-1.16,1.40,0.43,-40.65,24.15,-35.40,34.93,119.76,
06/01/2021,01:13:11.37,38.09,-973.14,-217.29,-2.26,-1.83,-0.55,-39.60,26.10,-35.40,34.93,119.77,
06/01/2021,01:13:11.37,27.34,-971.19,-220.70,-0.24,-2.62,1.59,-39.60,26.10,-35.40,35.07,119.77,
06/01/2021,01:13:11.39,36.13,-983.40,-221.19,-0.79,1.28,1.65,-38.85,26.10,-36.15,35.22,119.76,
06/01/2021,01:13:11.39,35.16,-972.66,-218.26,-0.67,0.79,-0.18,-38.85,26.10,-36.15,35.07,119.76,
06/01/2021,01:13:11.40,33.20,-969.24,-222.17,-1.28,1.52,1.89,-39.60,25.65,-35.70,35.17,119.77,
06/01/2021,01:13:11.40,15.62,-978.03,-232.91,-2.32,0.06,-0.37,-39.60,25.65,-35.70,34.74,119.77,
06/01/2021,01:13:11.41,32.23,-984.38,-212.89,-2.80,-1.83,-0.91,-40.35,26.10,-35.70,35.03,119.77,
06/01/2021,01:13:11.43,31.25,-986.33,-222.17,1.10,-0.55,0.24,-40.65,24.60,-35.40,35.07,119.76,
06/01/2021,01:13:11.43,17.09,-983.40,-226.56,-2.38,-1.28,-0.30,-40.65,24.60,-35.40,35.17,119.77,
06/01/2021,01:13:11.44,19.53,-971.68,-220.21,-0.55,-0.43,-0.67,-38.55,27.00,-37.80,35.27,119.77,
06/01/2021,01:13:11.44,30.27,-961.91,-226.07,-1.77,-1.46,-2.32,-38.55,27.00,-37.80,34.88,119.77,
06/01/2021,01:13:11.45,32.23,-972.66,-233.89,-2.68,-1.77,0.55,-38.10,24.15,-37.95,34.88,119.77,
06/01/2021,01:13:11.46,34.67,-975.59,-230.47,-1.10,-2.07,1.04,-40.50,26.25,-36.00,34.93,119.77,
06/01/2021,01:13:11.47,21.48,-967.77,-227.05,-1.10,-0.06,0.61,-39.90,23.40,-35.10,35.22,119.77,
06/01/2021,01:13:11.48,37.11,-989.26,-235.35,-1.16,-1.16,-1.65,-39.90,23.40,-35.10,34.93,119.77,
06/01/2021,01:13:11.48,33.20,-975.10,-211.43,-2.56,0.49,-1.77,-39.90,23.40,-35.10,34.93,119.77,
06/01/2021,01:13:11.49,23.93,-969.73,-214.36,-1.52,1.04,-0.37,-38.85,24.90,-36.15,34.74,119.77,
06/01/2021,01:13:11.49,25.88,-973.63,-222.66,-2.44,1.95,-5.06,-38.85,24.90,-36.15,35.07,119.77,
06/01/2021,01:13:11.51,26.37,-977.54,-229.49,-0.49,0.85,1.83,-40.80,25.05,-35.25,35.07,119.77,
06/01/2021,01:13:11.52,29.30,-978.03,-236.33,-3.41,-2.32,0.67,-42.90,25.35,-34.65,35.07,119.77,
06/01/2021,01:13:11.52,19.53,-969.24,-230.47,-3.29,0.73,-1.52,-42.90,25.35,-34.65,35.07,119.77,
06/01/2021,01:13:11.53,31.25,-968.75,-231.45,-2.44,0.24,0.06,-38.85,25.65,-36.90,35.07,119.77,
06/01/2021,01:13:11.53,45.90,-979.00,-220.21,-0.18,0.67,-2.80,-38.85,25.65,-36.90,34.88,119.77,
06/01/2021,01:13:11.55,23.93,-976.07,-222.17,-0.79,-0.98,-0.98,-40.50,26.25,-34.80,35.07,119.77,
06/01/2021,01:13:11.56,14.65,-973.63,-229.00,-1.59,0.30,0.85,-40.50,26.25,-34.80,35.03,119.77,
06/01/2021,01:13:11.56,15.62,-968.26,-229.98,0.24,-1.34,-0.91,-39.60,26.40,-33.90,34.93,119.77,
06/01/2021,01:13:11.57,16.60,-990.23,-222.66,1.28,1.77,0.85,-39.60,26.40,-33.90,34.74,119.77,
06/01/2021,01:13:11.57,21.48,-978.52,-227.54,-0.37,-0.18,0.55,-39.60,26.40,-33.90,35.03,119.77,
06/01/2021,01:13:11.59,30.76,-977.54,-227.05,-0.24,-1.40,-0.98,-39.90,26.40,-36.45,35.03,119.77,
06/01/2021,01:13:11.59,35.64,-971.19,-221.19,-2.13,0.06,-2.62,-39.90,26.40,-36.45,34.93,119.77,
06/01/2021,01:13:11.60,31.25,-975.59,-234.38,-1.46,0.30,-1.22,-38.55,25.05,-37.35,34.93,119.77,
06/01/2021,01:13:11.61,40.04,-965.82,-223.63,0.06,0.37,1.89,-38.55,25.05,-37.35,35.03,119.77,
06/01/2021,01:13:11.61,30.76,-970.21,-227.05,-1.71,-0.37,-0.43,-39.30,24.30,-36.00,34.88,119.77,
06/01/2021,01:13:11.63,24.90,-983.40,-224.61,-1.65,-1.59,-0.91,-39.30,25.05,-37.05,35.07,119.77,
