rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:08:06.75,-27.83,-989.75,-178.71,4.39,0.12,3.72,-36.75,16.65,16.20,35.41,120.07,
06/01/2021,01:08:06.79,-27.83,-995.61,-151.86,4.21,0.30,-0.98,-38.55,15.45,13.95,35.60,120.07,
06/01/2021,01:08:06.81,-41.50,-982.91,-172.36,4.39,-0.24,-1.95,-36.90,16.50,16.35,35.36,120.07,
06/01/2021,01:08:06.81,-28.32,-982.91,-163.09,3.35,0.49,1.95,-36.90,16.50,16.35,35.22,120.07,
06/01/2021,01:08:06.82,-15.14,-986.33,-171.88,3.60,-1.40,4.63,-36.90,16.50,16.35,35.27,120.07,
06/01/2021,01:08:06.83,-24.41,-998.05,-162.11,3.84,1.83,0.98,-36.60,17.55,12.75,35.17,120.07,
06/01/2021,01:08:06.84,-28.32,-998.54,-164.06,4.39,0.98,2.26,-36.60,17.55,12.75,35.55,120.07,
06/01/2021,01:08:06.85,-21.97,-990.23,-161.62,3.96,1.34,2.01,-36.60,16.80,14.55,35.27,120.07,
06/01/2021,01:08:06.85,-28.32,-1000.49,-167.97,1.83,-0.73,-1.71,-36.60,16.80,14.55,35.36,120.07,
06/01/2021,01:08:06.86,-15.62,-984.86,-159.18,2.32,-0.49,-0.24,-35.55,16.50,13.80,35.70,120.07,
06/01/2021,01:08:06.86,-19.53,-993.65,-162.11,2.20,-1.83,-2.20,-37.35,16.05,13.50,35.55,120.07,
06/01/2021,01:08:06.88,-24.41,-985.35,-158.69,1.40,1.28,-0.55,-36.90,14.85,13.05,35.36,120.07,
06/01/2021,01:08:06.88,-16.11,-992.68,-159.67,2.07,0.85,-0.06,-38.10,16.50,15.60,35.55,120.07,
06/01/2021,01:08:06.89,-19.53,-998.54,-168.95,3.66,-0.37,1.83,-38.10,16.50,15.60,35.55,120.07,
06/01/2021,01:08:06.90,-20.02,-996.09,-162.11,2.62,-0.67,-0.18,-35.55,16.80,14.85,35.46,120.07,
06/01/2021,01:08:06.90,-16.60,-986.33,-162.60,3.35,-0.85,2.68,-35.55,16.80,14.85,35.55,120.07,
06/01/2021,01:08:06.92,-19.04,-998.54,-157.71,1.04,-0.12,1.46,-36.45,17.40,16.20,35.27,120.07,
06/01/2021,01:08:06.92,-36.13,-988.77,-165.04,1.46,0.24,-1.46,-36.45,17.40,16.20,35.17,120.07,
06/01/2021,01:08:06.93,-39.55,-986.33,-145.02,2.93,-0.91,0.91,-36.45,17.40,16.20,35.75,120.07,
06/01/2021,01:08:06.94,-32.71,-999.02,-153.32,1.71,1.59,-0.49,-36.45,18.60,13.20,35.46,120.07,
06/01/2021,01:08:06.94,-23.44,-987.30,-158.20,4.57,-2.68,-0.24,-36.45,18.60,13.20,35.89,120.07,
06/01/2021,01:08:06.96,-41.02,-992.68,-161.13,2.87,0.73,1.28,-36.90,15.30,15.60,35.55,120.07,
06/01/2021,01:08:06.96,-39.55,-998.05,-153.32,2.99,2.87,2.01,-36.90,15.30,15.60,35.41,120.07,
06/01/2021,01:08:06.97,-19.53,-1007.32,-154.30,1.28,-0.49,-0.73,-36.75,17.40,15.15,35.60,120.07,
06/01/2021,01:08:06.97,-24.90,-998.54,-144.04,3.60,1.77,1.40,-36.60,15.75,15.30,35.22,120.07,
06/01/2021,01:08:06.98,-20.02,-998.54,-157.23,3.96,2.56,-0.06,-36.60,15.75,15.30,35.22,120.07,
06/01/2021,01:08:07.00,-17.09,-990.23,-151.86,0.55,1.52,-2.44,-37.35,16.80,15.30,35.46,120.07,
06/01/2021,01:08:07.00,-31.25,-984.38,-151.37,1.34,0.30,-0.06,-37.35,16.80,15.30,35.36,120.07,
06/01/2021,01:08:07.01,-12.21,-981.93,-160.16,-1.16,0.49,-2.01,-36.45,18.90,14.70,35.17,120.07,
06/01/2021,01:08:07.01,-28.81,-984.38,-140.62,-1.10,0.06,-0.30,-36.45,18.90,14.70,35.36,120.07,
06/01/2021,01:08:07.02,-26.86,-987.30,-158.69,0.18,1.59,-0.55,-36.45,18.90,14.70,35.07,120.07,
06/01/2021,01:08:07.03,-15.14,-990.72,-155.76,0.06,2.44,0.49,-36.75,16.65,14.70,35.46,120.07,
06/01/2021,01:08:07.04,-18.07,-1000.49,-150.88,0.06,1.04,-1.28,-36.75,16.65,13.95,35.55,120.07,
06/01/2021,01:08:07.05,-30.76,-987.79,-147.46,1.77,0.37,0.12,-38.25,17.10,15.45,35.41,120.07,
06/01/2021,01:08:07.05,-31.25,-984.86,-153.81,1.40,-0.43,-1.59,-38.25,17.10,15.45,35.17,120.07,
06/01/2021,01:08:07.06,-8.30,-999.51,-151.37,0.91,0.85,1.46,-35.55,16.50,14.55,35.22,120.07,
06/01/2021,01:08:07.06,-23.93,-997.56,-151.86,2.01,-1.10,1.10,-35.55,16.50,14.55,35.60,120.07,
06/01/2021,01:08:07.08,-11.72,-990.72,-153.32,3.35,-0.79,0.61,-38.55,16.20,16.50,35.46,120.07,
06/01/2021,01:08:07.09,-30.76,-1000.98,-159.67,-0.37,2.74,-2.07,-38.55,16.20,16.50,35.22,120.07,
06/01/2021,01:08:07.09,-23.93,-994.63,-153.32,1.59,0.49,-0.61,-37.95,16.65,16.50,35.36,120.07,
06/01/2021,01:08:07.10,-34.18,-987.30,-161.62,-0.73,2.01,-1.10,-36.45,17.40,13.95,35.60,120.07,
06/01/2021,01:08:07.10,-30.27,-993.16,-161.62,2.32,1.34,-1.34,-36.45,17.40,13.95,35.55,120.07,
06/01/2021,01:08:07.12,-37.60,-999.02,-145.51,-0.79,-1.52,-1.46,-37.65,15.75,14.85,35.27,120.07,
06/01/2021,01:08:07.12,-34.18,-996.09,-158.69,2.44,-0.67,1.10,-37.65,15.75,14.85,35.17,120.07,
06/01/2021,01:08:07.13,-19.04,-997.56,-154.79,0.00,2.99,-0.73,-37.65,15.75,14.85,35.60,120.07,
