rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:15:12.41,9.28,-989.26,-219.73,0.79,0.49,1.46,-40.05,25.50,-34.80,34.31,119.73,
06/01/2021,01:15:12.45,4.88,-976.56,-215.33,-0.24,-0.85,1.71,-39.00,24.30,-34.50,34.93,119.73,
06/01/2021,01:15:12.46,-9.28,-978.52,-217.29,1.83,-1.83,-1.22,-39.75,25.50,-35.25,34.93,119.73,
06/01/2021,01:15:12.47,10.74,-970.21,-215.82,4.70,-0.85,-1.22,-39.75,25.50,-35.25,34.74,119.73,
06/01/2021,01:15:12.48,8.79,-983.40,-226.56,0.37,0.85,1.71,-38.55,25.50,-36.30,34.93,119.73,
06/01/2021,01:15:12.49,0.00,-973.63,-227.05,0.12,-0.12,-2.01,-38.55,25.50,-36.30,34.88,119.73,
06/01/2021,01:15:12.50,9.28,-980.47,-233.89,-1.71,-0.61,-1.77,-38.85,24.15,-35.10,35.03,119.73,
06/01/2021,01:15:12.50,8.79,-976.07,-215.82,0.79,0.49,0.73,-38.85,24.15,-35.10,34.93,119.73,
06/01/2021,01:15:12.51,14.16,-982.42,-212.40,0.18,0.67,-2.32,-38.85,24.90,-36.15,34.93,119.73,
06/01/2021,01:15:12.52,14.16,-979.00,-208.50,0.30,0.61,-2.01,-38.85,24.90,-36.15,34.64,119.73,
06/01/2021,01:15:12.52,13.67,-978.03,-211.91,1.95,-0.18,-0.18,-38.10,26.10,-37.20,34.83,119.73,
06/01/2021,01:15:12.54,19.04,-972.66,-216.31,0.12,1.16,-0.43,-39.60,24.60,-36.15,34.93,119.73,
06/01/2021,01:15:12.54,9.77,-984.38,-233.89,0.18,0.18,0.55,-39.75,24.00,-33.45,34.93,119.73,
06/01/2021,01:15:12.55,26.86,-973.63,-206.54,-0.06,0.49,0.79,-39.30,26.70,-36.30,34.88,119.73,
06/01/2021,01:15:12.55,17.58,-975.10,-225.10,-0.18,1.04,2.62,-39.30,26.70,-36.30,34.93,119.73,
06/01/2021,01:15:12.56,11.23,-975.59,-212.89,1.04,-1.46,0.49,-39.30,26.70,-36.30,35.46,119.73,
06/01/2021,01:15:12.58,5.37,-970.70,-218.75,0.55,-0.37,1.46,-39.30,25.50,-36.60,34.83,119.73,
06/01/2021,01:15:12.58,16.60,-976.56,-211.91,0.43,2.13,1.28,-39.30,25.50,-36.60,34.64,119.73,
06/01/2021,01:15:12.59,0.98,-983.89,-220.21,2.74,-1.83,1.04,-39.30,25.50,-36.60,34.93,119.73,
06/01/2021,01:15:12.59,3.42,-980.47,-221.19,1.46,-1.52,-0.61,-36.60,26.40,-35.70,34.74,119.73,
06/01/2021,01:15:12.60,7.81,-978.03,-222.66,1.77,1.52,-0.73,-39.00,26.25,-37.05,34.55,119.73,
