rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:14:11.57,21.97,-973.63,-222.66,0.61,0.24,2.01,-41.25,26.70,-34.50,35.07,119.74,
06/01/2021,01:14:11.61,22.95,-979.49,-213.38,2.13,-2.68,-0.49,-40.05,25.50,-34.50,34.93,119.74,
06/01/2021,01:14:11.63,1.46,-972.17,-203.12,-0.73,-0.49,0.30,-39.60,26.10,-33.90,35.03,119.74,
06/01/2021,01:14:11.63,1.95,-982.42,-200.68,0.91,-1.52,0.24,-39.15,24.90,-35.10,35.03,119.74,
06/01/2021,01:14:11.64,22.46,-974.61,-214.36,2.38,0.73,0.55,-39.15,24.90,-35.10,35.07,119.74,
06/01/2021,01:14:11.65,11.23,-980.96,-213.87,1.77,-2.68,-1.71,-39.75,23.25,-34.80,34.93,119.74,
06/01/2021,01:14:11.66,2.44,-979.98,-213.38,3.29,0.12,1.77,-39.75,23.25,-34.80,34.88,119.74,
06/01/2021,01:14:11.67,16.60,-986.82,-204.10,0.24,0.12,1.04,-38.85,25.35,-35.10,35.07,119.74,
06/01/2021,01:14:11.67,1.95,-990.23,-200.68,0.79,-4.09,0.73,-38.85,25.35,-35.10,34.93,119.74,
06/01/2021,01:14:11.68,21.48,-974.12,-203.12,0.18,-0.43,-0.12,-38.85,25.35,-35.10,34.93,119.74,
06/01/2021,01:14:11.68,23.93,-972.17,-187.99,0.06,1.65,-1.95,-39.60,24.90,-35.40,35.22,119.74,
06/01/2021,01:14:11.70,25.88,-967.29,-194.34,-1.10,-0.37,0.12,-39.60,24.90,-35.40,34.93,119.74,
06/01/2021,01:14:11.70,7.81,-978.52,-192.87,2.56,-0.06,0.43,-40.05,24.75,-33.45,34.83,119.74,
06/01/2021,01:14:11.71,4.88,-978.52,-212.40,1.95,-0.24,-1.77,-40.05,24.75,-33.45,35.07,119.74,
06/01/2021,01:14:11.72,10.74,-988.28,-208.98,0.79,2.44,1.83,-37.95,25.05,-36.30,35.07,119.74,
06/01/2021,01:14:11.72,10.74,-994.14,-208.01,3.29,-1.34,0.55,-38.25,24.30,-35.55,34.74,119.74,
06/01/2021,01:14:11.74,26.37,-979.98,-212.40,3.29,-1.40,-0.73,-39.15,24.15,-34.35,34.69,119.74,
06/01/2021,01:14:11.74,9.77,-984.38,-201.66,1.46,1.71,0.18,-40.50,25.50,-35.55,34.93,119.74,
06/01/2021,01:14:11.75,15.14,-986.33,-206.05,0.24,-1.46,0.06,-40.50,25.50,-35.55,35.17,119.74,
06/01/2021,01:14:11.76,14.65,-984.86,-196.78,2.74,-0.67,1.89,-38.40,26.40,-37.20,35.07,119.74,
06/01/2021,01:14:11.76,4.88,-982.42,-214.36,0.30,1.52,0.73,-38.40,26.40,-37.20,34.88,119.74,
06/01/2021,01:14:11.78,17.58,-980.96,-220.21,1.04,1.77,-0.18,-39.30,24.30,-34.80,34.88,119.74,
06/01/2021,01:14:11.78,9.28,-978.03,-203.61,-0.79,0.06,2.13,-39.30,24.30,-34.80,35.07,119.74,
06/01/2021,01:14:11.79,13.18,-985.84,-203.61,-0.85,0.79,-1.10,-39.30,24.30,-34.80,34.69,119.74,
06/01/2021,01:14:11.79,20.51,-983.40,-214.36,-0.43,-0.12,1.28,-38.85,26.85,-36.15,34.93,119.74,
06/01/2021,01:14:11.80,17.58,-977.54,-204.59,-0.61,1.40,-0.37,-38.85,26.85,-36.15,34.83,119.74,
06/01/2021,01:14:11.81,8.79,-982.91,-210.45,-0.91,3.29,-0.49,-38.40,26.10,-35.70,34.93,119.74,
06/01/2021,01:14:11.82,1.46,-980.96,-217.29,-1.16,2.38,-0.30,-38.40,24.15,-35.70,34.93,119.74,
06/01/2021,01:14:11.83,6.35,-978.03,-217.29,0.55,2.26,0.73,-39.75,24.00,-33.00,34.74,119.74,
06/01/2021,01:14:11.83,-3.91,-983.40,-213.38,0.98,0.18,-1.34,-39.00,25.80,-36.30,35.03,119.74,
06/01/2021,01:14:11.84,1.95,-984.86,-214.36,0.49,1.59,-0.30,-39.00,25.80,-36.30,35.03,119.74,
06/01/2021,01:14:11.84,-1.46,-984.86,-209.96,0.55,1.22,-1.16,-38.85,25.65,-36.15,34.93,119.74,
06/01/2021,01:14:11.86,18.55,-993.16,-213.87,3.60,2.07,1.46,-38.85,25.65,-36.15,35.07,119.74,
06/01/2021,01:14:11.87,21.00,-996.58,-208.01,2.32,1.40,1.52,-40.35,25.65,-34.35,35.07,119.74,
06/01/2021,01:14:11.87,5.37,-979.98,-212.40,0.37,0.37,-1.46,-40.35,25.65,-34.35,34.93,119.74,
06/01/2021,01:14:11.88,21.00,-982.42,-211.43,0.79,-0.18,1.52,-40.35,25.65,-34.35,35.07,119.74,
06/01/2021,01:14:11.88,10.74,-987.79,-211.43,-0.18,2.07,-0.73,-40.35,25.65,-34.35,35.07,119.74,
06/01/2021,01:14:11.90,30.27,-978.52,-218.75,-0.18,1.40,0.61,-38.85,24.90,-35.10,35.22,119.74,
06/01/2021,01:14:11.90,8.30,-979.49,-195.31,-1.59,4.09,-1.95,-38.85,25.65,-34.35,34.69,119.74,
06/01/2021,01:14:11.91,6.84,-972.17,-203.12,0.55,4.70,-1.04,-38.85,25.65,-34.35,35.03,119.74,
06/01/2021,01:14:11.92,18.07,-975.59,-207.52,0.85,1.77,0.85,-39.60,24.90,-36.45,34.93,119.74,
06/01/2021,01:14:11.92,14.16,-969.24,-201.17,-2.01,0.91,1.46,-39.60,24.90,-36.45,34.64,119.74,
06/01/2021,01:14:11.93,32.23,-973.63,-213.38,-2.13,3.48,-3.23,-38.10,25.65,-36.90,35.07,119.74,
06/01/2021,01:14:11.94,26.86,-968.75,-219.73,1.34,0.37,0.49,-39.60,25.35,-35.40,35.07,119.74,
06/01/2021,01:14:11.95,21.97,-974.61,-210.45,0.49,2.87,-2.74,-39.60,25.35,-35.40,35.17,119.74,
06/01/2021,01:14:11.95,23.93,-985.35,-210.45,1.28,0.55,-2.32,-39.00,26.70,-34.80,34.93,119.74,
06/01/2021,01:14:11.96,27.83,-983.89,-193.36,1.77,1.46,-1.83,-39.00,26.70,-34.80,34.93,119.74,
06/01/2021,01:14:11.97,14.65,-982.91,-218.75,1.89,-0.43,2.50,-39.00,26.70,-34.80,35.07,119.74,
06/01/2021,01:14:11.98,18.07,-982.91,-202.64,3.84,0.30,0.00,-39.00,24.75,-34.80,35.07,119.74,
06/01/2021,01:14:11.99,25.88,-979.98,-202.15,1.95,0.06,0.98,-40.80,24.75,-33.45,35.17,119.74,
06/01/2021,01:14:11.99,17.58,-985.84,-205.57,2.68,0.55,0.55,-40.80,24.75,-33.45,35.07,119.74,
06/01/2021,01:14:12.00,28.32,-985.35,-209.47,1.40,1.65,-2.32,-37.95,25.80,-36.00,34.83,119.74,
06/01/2021,01:14:12.01,10.74,-979.98,-188.96,3.41,3.60,2.32,-37.95,25.80,-36.00,34.93,119.75,
06/01/2021,01:14:12.02,23.44,-964.84,-194.82,1.10,0.85,-0.30,-38.85,23.70,-34.65,34.88,119.74,
06/01/2021,01:14:12.03,28.81,-973.63,-200.20,-0.98,0.00,0.24,-39.60,23.70,-35.10,34.93,119.74,
06/01/2021,01:14:12.03,14.65,-969.24,-208.01,1.46,-2.01,-1.04,-39.60,23.70,-35.10,34.93,119.74,
06/01/2021,01:14:12.04,28.32,-984.86,-196.78,1.77,-1.34,0.00,-39.60,23.70,-35.10,34.74,119.75,
06/01/2021,01:14:12.04,31.74,-983.40,-209.47,-1.10,0.49,-1.22,-39.60,23.70,-35.10,34.93,119.75,
06/01/2021,01:14:12.05,15.62,-982.91,-199.71,0.67,0.73,-0.85,-38.10,24.60,-35.40,34.88,119.75,
06/01/2021,01:14:12.07,25.39,-993.65,-203.61,-0.85,-1.89,-1.71,-38.10,24.60,-35.40,34.83,119.75,
06/01/2021,01:14:12.07,22.46,-988.77,-203.61,0.67,0.49,-2.01,-39.75,23.55,-33.45,34.93,119.75,
06/01/2021,01:14:12.08,21.97,-993.65,-204.10,-0.30,-0.79,-0.91,-39.15,25.65,-36.45,35.07,119.75,
06/01/2021,01:14:12.08,12.70,-979.49,-200.68,-1.04,-0.49,-1.40,-39.15,25.65,-36.45,34.74,119.75,
