rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:12:09.92,30.76,-970.70,-238.77,0.06,2.56,-0.30,-39.75,25.50,-37.05,35.03,119.79,
06/01/2021,01:12:09.96,43.46,-964.36,-245.12,3.17,-2.62,2.01,-39.15,25.35,-35.40,35.17,119.78,
06/01/2021,01:12:09.97,40.04,-975.59,-240.72,1.04,-0.91,0.55,-39.60,25.65,-35.40,35.27,119.78,
06/01/2021,01:12:09.98,49.32,-982.91,-238.28,3.78,-2.93,1.89,-39.75,26.70,-35.55,35.07,119.78,
06/01/2021,01:12:09.98,27.83,-975.10,-233.40,4.21,-2.68,2.74,-39.75,26.70,-35.55,35.07,119.78,
06/01/2021,01:12:10.00,41.50,-967.77,-239.75,3.72,-3.23,0.43,-39.00,25.05,-36.00,35.27,119.78,
06/01/2021,01:12:10.01,41.50,-962.89,-240.23,2.62,-2.68,-0.55,-39.00,25.05,-36.00,35.07,119.78,
06/01/2021,01:12:10.01,42.48,-970.70,-240.72,2.99,-3.41,2.44,-39.00,25.05,-36.00,35.27,119.78,
06/01/2021,01:12:10.02,54.20,-953.61,-236.33,2.87,-5.18,3.05,-39.00,25.05,-36.00,34.93,119.78,
06/01/2021,01:12:10.02,48.34,-964.36,-231.45,4.21,-2.68,0.12,-39.00,25.80,-37.05,35.36,119.78,
06/01/2021,01:12:10.04,48.83,-958.98,-245.61,2.26,-4.45,0.55,-40.05,24.75,-34.50,35.22,119.78,
06/01/2021,01:12:10.04,38.09,-967.77,-242.19,5.30,-7.13,1.04,-40.05,24.75,-34.50,35.03,119.78,
06/01/2021,01:12:10.05,37.11,-960.45,-235.84,5.67,-4.82,0.67,-39.00,27.00,-36.60,34.88,119.78,
06/01/2021,01:12:10.06,34.18,-965.82,-235.35,3.05,-4.63,-1.83,-39.00,27.00,-36.60,35.46,119.78,
06/01/2021,01:12:10.06,30.27,-979.49,-241.21,4.51,-4.33,-2.07,-38.40,25.35,-36.15,35.17,119.78,
06/01/2021,01:12:10.07,20.51,-983.89,-232.42,5.55,-5.37,-5.91,-38.40,25.35,-36.15,35.17,119.78,
06/01/2021,01:12:10.08,32.23,-985.35,-226.07,4.21,-5.91,-1.04,-39.60,24.60,-35.10,34.93,119.78,
06/01/2021,01:12:10.09,29.79,-968.26,-238.28,3.84,-7.74,-1.28,-39.60,24.90,-34.65,34.93,119.78,
06/01/2021,01:12:10.09,14.65,-985.84,-225.59,5.49,-7.56,-1.16,-39.60,24.90,-34.65,35.07,119.78,
06/01/2021,01:12:10.10,27.34,-987.30,-237.30,5.98,-5.85,1.16,-39.60,24.90,-34.65,35.07,119.78,
06/01/2021,01:12:10.11,11.72,-977.05,-238.28,7.32,-4.33,-1.04,-39.60,24.90,-34.65,35.22,119.78,
06/01/2021,01:12:10.12,22.46,-962.89,-224.61,6.65,-7.50,-0.98,-39.90,26.40,-37.20,35.07,119.78,
06/01/2021,01:12:10.13,23.44,-968.75,-231.45,5.24,-10.06,-1.95,-39.90,26.40,-37.20,34.93,119.78,
06/01/2021,01:12:10.13,23.44,-963.87,-222.17,5.49,-6.83,-1.10,-39.60,24.15,-35.10,34.69,119.78,
06/01/2021,01:12:10.14,17.09,-964.36,-239.26,4.33,-9.76,-0.98,-37.65,25.35,-36.90,35.07,119.78,
06/01/2021,01:12:10.15,17.09,-967.29,-228.52,3.84,-7.38,-3.66,-37.65,25.35,-36.90,35.17,119.78,
06/01/2021,01:12:10.16,16.60,-980.47,-238.28,3.23,-6.71,-4.39,-39.60,24.90,-35.70,35.22,119.78,
06/01/2021,01:12:10.17,17.09,-969.73,-230.47,4.57,-6.46,-3.78,-39.60,24.90,-35.70,34.93,119.78,
06/01/2021,01:12:10.17,30.76,-983.89,-231.93,3.41,-5.24,-4.57,-39.90,26.85,-35.10,35.07,119.78,
06/01/2021,01:12:10.18,17.58,-990.72,-226.56,5.18,-4.39,-3.60,-39.90,26.85,-35.10,35.07,119.79,
06/01/2021,01:12:10.18,14.16,-990.72,-228.03,3.35,-5.12,-3.78,-38.40,25.65,-37.20,35.22,119.79,
