rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:11:09.10,10.74,-979.00,-208.50,-0.85,-0.85,0.12,-41.10,25.35,-34.35,35.46,119.81,
06/01/2021,01:11:09.14,18.07,-979.49,-220.70,-3.05,-0.79,0.49,-40.80,24.30,-34.05,34.93,119.81,
06/01/2021,01:11:09.15,8.79,-987.79,-217.77,-2.13,-1.40,-0.67,-41.10,24.15,-33.60,35.27,119.81,
06/01/2021,01:11:09.16,15.62,-977.54,-214.84,-2.13,-0.61,0.12,-41.10,24.15,-33.60,35.46,119.81,
06/01/2021,01:11:09.16,22.46,-970.21,-223.14,-4.33,-1.71,0.24,-39.60,26.10,-36.15,35.17,119.81,
06/01/2021,01:11:09.18,15.14,-977.05,-214.36,-3.84,-0.24,-0.67,-39.00,25.50,-35.25,35.17,119.81,
06/01/2021,01:11:09.19,23.93,-981.93,-205.57,-5.06,-1.28,1.22,-40.35,24.60,-34.65,35.17,119.81,
06/01/2021,01:11:09.19,27.83,-986.33,-206.54,-1.83,-1.40,1.71,-40.35,24.60,-34.65,35.03,119.81,
06/01/2021,01:11:09.20,21.97,-978.03,-207.52,-2.56,-0.30,0.67,-40.35,24.60,-34.65,35.22,119.81,
06/01/2021,01:11:09.20,24.90,-981.45,-215.33,-2.38,0.24,0.24,-38.85,26.40,-36.45,35.07,119.81,
06/01/2021,01:11:09.22,17.09,-979.49,-217.29,-3.11,-0.55,2.38,-38.85,26.40,-36.45,35.46,119.81,
06/01/2021,01:11:09.22,8.79,-982.42,-223.63,-1.46,-0.30,-0.06,-39.60,25.35,-34.65,35.03,119.81,
06/01/2021,01:11:09.23,11.23,-987.79,-225.10,-2.01,-0.55,0.61,-39.60,25.35,-34.65,35.22,119.81,
06/01/2021,01:11:09.24,14.16,-987.79,-213.87,-2.01,-3.54,-2.62,-39.00,25.05,-36.30,35.27,119.81,
