rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:00:00.93,-906.25,-329.59,307.13,-1.95,1.04,2.50,-19.05,42.00,26.40,33.97,120.09,
06/01/2021,01:00:00.97,-898.44,-334.47,281.74,0.55,-0.61,0.67,-19.20,41.10,28.50,34.16,120.08,
06/01/2021,01:00:00.98,-907.23,-336.43,282.71,-1.34,-0.55,0.73,-17.40,42.60,28.05,34.02,120.08,
06/01/2021,01:00:00.99,-922.36,-339.36,292.97,0.18,-3.35,-0.61,-16.95,41.10,29.55,33.97,120.08,
06/01/2021,01:00:00.99,-916.02,-332.52,291.99,-0.24,-0.18,0.98,-16.95,41.10,29.55,34.12,120.08,
06/01/2021,01:00:01.01,-922.85,-317.87,289.55,-1.10,-0.61,-0.18,-16.80,43.95,27.15,34.12,120.08,
06/01/2021,01:00:01.01,-912.11,-324.22,288.09,0.73,-0.37,0.00,-19.50,42.60,28.05,34.12,120.08,
06/01/2021,01:00:01.02,-915.04,-323.73,280.76,1.71,-0.98,0.67,-19.50,42.60,28.05,33.88,120.08,
06/01/2021,01:00:01.03,-923.34,-330.08,292.48,-0.18,0.12,-0.55,-19.50,42.60,28.05,34.02,120.08,
06/01/2021,01:00:01.03,-913.57,-322.27,285.64,-1.34,0.67,-2.93,-19.50,42.60,28.05,34.16,120.08,
06/01/2021,01:00:01.05,-906.25,-341.31,280.76,1.46,-1.04,0.55,-18.45,41.85,28.80,33.97,120.08,
06/01/2021,01:00:01.05,-916.99,-332.52,283.69,0.00,-0.24,1.10,-18.45,41.85,28.80,33.83,120.08,
06/01/2021,01:00:01.06,-904.79,-334.47,290.04,-1.22,2.38,-0.85,-16.65,42.15,26.55,34.21,120.08,
06/01/2021,01:00:01.07,-906.74,-323.24,294.92,1.16,0.85,-1.22,-16.65,42.15,26.55,33.97,120.08,
06/01/2021,01:00:01.07,-905.76,-332.03,288.57,-1.10,3.29,-2.62,-17.70,42.60,27.30,33.83,120.08,
06/01/2021,01:00:01.08,-911.62,-332.52,290.53,-1.40,2.93,-1.04,-15.45,42.15,27.30,34.31,120.08,
06/01/2021,01:00:01.09,-923.34,-333.98,290.04,0.67,2.68,-0.79,-17.40,41.40,28.50,34.02,120.08,
06/01/2021,01:00:01.10,-908.20,-328.61,294.92,1.22,1.59,-0.49,-17.40,41.40,28.50,34.16,120.08,
06/01/2021,01:00:01.10,-922.36,-329.59,292.97,1.95,1.40,-0.43,-17.40,41.40,28.50,34.02,120.08,
06/01/2021,01:00:01.11,-912.60,-321.78,284.67,2.56,0.30,1.89,-16.80,42.75,27.60,33.83,120.08,
06/01/2021,01:00:01.12,-917.97,-330.57,286.62,2.01,1.83,0.67,-16.80,42.75,27.60,34.21,120.08,
06/01/2021,01:00:01.13,-899.90,-335.94,293.95,0.06,3.35,-1.40,-17.10,42.00,29.40,34.02,120.08,
06/01/2021,01:00:01.14,-912.60,-330.57,278.81,-1.59,4.57,0.61,-17.10,42.00,29.40,34.12,120.08,
06/01/2021,01:00:01.14,-913.09,-329.10,294.43,-0.49,2.80,-0.30,-17.10,42.00,29.40,34.02,120.08,
06/01/2021,01:00:01.15,-920.90,-332.03,290.04,3.17,0.79,-0.61,-17.70,43.05,27.00,33.97,120.08,
06/01/2021,01:00:01.15,-916.99,-321.29,302.25,1.16,0.61,-0.67,-17.70,43.05,27.00,33.88,120.08,
06/01/2021,01:00:01.17,-916.02,-329.10,283.69,-0.49,5.06,-0.43,-17.40,41.85,29.55,34.02,120.08,
06/01/2021,01:00:01.18,-917.97,-324.22,282.23,2.74,2.13,0.00,-17.40,41.85,29.55,34.02,120.08,
06/01/2021,01:00:01.18,-912.11,-334.47,293.95,0.12,1.89,-1.59,-18.45,43.05,27.75,33.88,120.08,
06/01/2021,01:00:01.19,-919.43,-329.59,283.20,1.77,1.89,-0.98,-15.45,43.05,27.75,34.02,120.08,
06/01/2021,01:00:01.19,-931.64,-335.45,276.37,2.50,-1.28,-1.77,-15.45,43.05,27.75,34.21,120.09,
06/01/2021,01:00:01.20,-916.50,-328.12,294.92,0.37,3.35,-3.78,-16.05,43.95,27.60,33.83,120.09,
06/01/2021,01:00:01.21,-924.80,-329.10,293.46,1.22,0.85,1.10,-16.05,43.95,27.60,33.88,120.08,
06/01/2021,01:00:01.22,-905.76,-328.61,283.20,1.34,2.62,1.10,-19.20,40.65,29.85,33.64,120.08,
06/01/2021,01:00:01.23,-921.39,-324.71,272.95,-0.49,0.55,-0.98,-19.20,40.65,29.85,34.02,120.09,
06/01/2021,01:00:01.23,-913.09,-329.10,270.51,-0.24,2.26,-0.24,-19.20,40.65,29.85,34.12,120.09,
06/01/2021,01:00:01.24,-917.48,-321.78,289.06,-0.79,1.89,-1.04,-17.85,41.70,27.15,33.83,120.09,
06/01/2021,01:00:01.25,-920.41,-331.54,289.55,0.61,1.10,-0.98,-17.10,40.80,28.95,34.12,120.08,
06/01/2021,01:00:01.26,-921.39,-333.01,292.97,-1.04,3.29,0.12,-16.65,41.40,28.50,33.68,120.09,
06/01/2021,01:00:01.27,-916.99,-329.59,292.97,-2.13,0.85,-0.98,-16.65,41.40,28.50,34.02,120.09,
06/01/2021,01:00:01.27,-921.39,-329.10,281.25,0.61,-0.24,1.65,-17.10,43.20,26.10,34.02,120.09,
06/01/2021,01:00:01.28,-928.22,-328.61,283.20,-0.43,0.61,-0.73,-17.10,43.20,26.10,33.88,120.09,
