rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:57:59.61,-923.34,-313.96,266.11,0.12,-2.01,-0.30,-16.80,41.70,26.10,33.25,120.24,
06/01/2021,00:57:59.65,-925.78,-326.17,280.27,0.91,-0.73,0.24,-17.10,42.00,28.20,33.49,120.23,
06/01/2021,00:57:59.67,-927.25,-311.04,260.74,0.43,-0.12,-0.73,-17.10,42.00,28.20,33.35,120.23,
06/01/2021,00:57:59.67,-928.22,-324.22,267.58,1.40,-2.32,-0.06,-17.85,42.45,29.40,33.30,120.23,
06/01/2021,00:57:59.68,-916.99,-328.12,263.67,0.73,-0.12,1.22,-14.40,44.10,25.95,33.25,120.23,
06/01/2021,00:57:59.69,-922.36,-311.52,265.62,-0.98,-1.95,0.18,-17.70,41.40,28.50,33.30,120.23,
06/01/2021,00:57:59.70,-916.50,-318.36,258.79,0.06,1.83,-2.50,-17.40,43.05,27.75,33.25,120.23,
06/01/2021,00:57:59.70,-919.43,-312.50,274.90,-1.65,-0.91,-1.95,-17.40,43.05,27.75,33.49,120.23,
06/01/2021,00:57:59.71,-926.76,-317.38,257.32,0.12,-0.61,-0.24,-16.20,43.35,27.00,33.30,120.23,
06/01/2021,00:57:59.72,-933.59,-312.50,268.07,0.79,-3.96,2.74,-16.20,43.35,27.00,33.44,120.23,
06/01/2021,00:57:59.73,-929.20,-317.87,261.72,-0.61,-2.87,4.15,-17.85,42.45,27.90,33.35,120.23,
06/01/2021,00:57:59.74,-917.97,-316.89,266.60,2.26,-1.65,1.22,-17.85,42.45,27.90,33.35,120.23,
06/01/2021,00:57:59.74,-937.50,-316.41,262.70,-1.10,1.04,-2.87,-16.80,41.70,27.60,33.25,120.23,
06/01/2021,00:57:59.75,-922.36,-321.78,264.16,-0.61,0.85,-0.55,-16.80,41.70,27.60,33.11,120.23,
06/01/2021,00:57:59.76,-915.04,-322.27,255.37,-1.40,-2.26,-4.02,-16.80,41.70,27.60,33.35,120.23,
06/01/2021,00:57:59.76,-931.64,-322.27,261.72,-0.24,-0.30,0.61,-16.20,44.85,25.95,33.35,120.23,
06/01/2021,00:57:59.78,-925.78,-312.50,261.72,-0.79,-0.73,-0.98,-16.20,44.85,25.95,33.64,120.23,
06/01/2021,00:57:59.78,-935.55,-318.85,265.14,-1.16,-0.49,-0.79,-18.00,42.15,29.85,33.59,120.23,
06/01/2021,00:57:59.79,-917.48,-324.71,278.32,-1.22,0.18,-0.91,-18.00,42.15,29.85,33.25,120.23,
06/01/2021,00:57:59.79,-924.80,-331.05,267.58,2.74,-2.68,-0.85,-16.35,42.75,26.40,33.35,120.23,
06/01/2021,00:57:59.80,-915.04,-315.43,259.77,-0.24,-1.83,-2.20,-16.05,43.50,26.40,33.35,120.24,
