rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:59:00.25,-915.04,-321.78,280.27,-0.85,-2.13,-0.06,-18.60,43.20,28.20,33.49,120.16,
06/01/2021,00:59:00.29,-912.60,-311.04,282.71,0.98,-0.55,-0.49,-18.45,42.60,28.50,33.49,120.16,
06/01/2021,00:59:00.30,-920.90,-323.24,281.74,-0.30,-1.28,-1.77,-17.55,42.45,29.40,33.78,120.16,
06/01/2021,00:59:00.31,-910.16,-319.34,278.81,-0.98,1.10,0.43,-17.70,41.40,28.80,33.59,120.16,
06/01/2021,00:59:00.31,-931.64,-328.61,277.83,2.50,0.61,0.61,-17.70,41.40,28.80,33.64,120.16,
06/01/2021,00:59:00.33,-915.04,-316.41,273.93,0.37,0.24,0.91,-18.45,41.85,29.55,33.78,120.15,
06/01/2021,00:59:00.34,-925.29,-307.62,280.76,-1.10,0.55,0.12,-18.45,41.85,29.55,33.35,120.16,
06/01/2021,00:59:00.34,-917.97,-321.78,281.25,0.49,0.85,-0.67,-18.45,41.85,29.55,33.49,120.16,
06/01/2021,00:59:00.35,-932.13,-315.92,284.67,2.32,-0.43,-2.32,-18.45,41.85,29.55,33.78,120.16,
06/01/2021,00:59:00.35,-928.22,-333.98,281.25,-0.06,-0.91,1.83,-16.20,43.05,27.30,33.78,120.16,
06/01/2021,00:59:00.37,-923.34,-319.34,289.55,1.77,1.59,-0.18,-17.55,41.70,29.70,33.64,120.16,
06/01/2021,00:59:00.37,-924.32,-315.92,281.25,0.24,2.07,-0.91,-17.55,41.70,29.70,33.83,120.16,
06/01/2021,00:59:00.38,-918.95,-321.29,281.25,0.55,3.66,1.34,-16.05,43.50,27.15,33.49,120.16,
06/01/2021,00:59:00.39,-926.27,-320.31,274.90,0.06,-0.24,-0.91,-16.05,43.50,27.15,33.44,120.16,
06/01/2021,00:59:00.39,-920.41,-333.98,279.30,1.34,-1.71,0.37,-15.90,43.80,28.05,33.68,120.16,
06/01/2021,00:59:00.40,-915.04,-325.20,273.44,-0.37,1.34,-3.11,-15.90,43.80,28.05,33.68,120.16,
06/01/2021,00:59:00.41,-931.64,-336.43,298.83,0.00,-0.37,0.49,-17.10,41.25,28.65,33.64,120.16,
06/01/2021,00:59:00.42,-918.95,-322.27,279.30,-1.04,0.00,2.20,-16.35,42.00,28.65,33.64,120.16,
06/01/2021,00:59:00.42,-926.76,-327.64,272.46,-2.32,0.37,0.85,-16.35,42.00,28.65,33.59,120.16,
06/01/2021,00:59:00.43,-925.29,-316.89,280.76,1.65,-1.59,2.56,-16.35,42.00,28.65,33.49,120.16,
06/01/2021,00:59:00.44,-914.06,-312.01,266.60,0.18,-0.06,-2.74,-16.35,42.00,28.65,33.64,120.16,
06/01/2021,00:59:00.45,-930.18,-327.64,281.25,1.83,0.30,1.28,-17.70,43.05,28.05,33.68,120.16,
06/01/2021,00:59:00.46,-925.29,-327.15,284.67,0.00,2.80,-0.24,-17.70,43.05,28.05,33.78,120.16,
06/01/2021,00:59:00.46,-901.86,-326.17,277.83,1.71,-1.28,0.24,-17.70,44.55,27.30,33.83,120.16,
06/01/2021,00:59:00.47,-913.09,-317.38,272.46,1.89,-0.43,-0.37,-17.70,44.55,27.30,33.64,120.16,
06/01/2021,00:59:00.48,-921.39,-321.29,279.30,0.61,2.74,-0.24,-16.95,43.35,27.00,33.68,120.16,
06/01/2021,00:59:00.49,-921.88,-321.78,279.79,0.00,1.71,1.65,-16.65,41.85,28.80,33.64,120.16,
06/01/2021,00:59:00.50,-925.78,-316.41,269.04,-0.85,0.85,2.99,-16.65,41.85,28.80,33.78,120.16,
06/01/2021,00:59:00.50,-922.36,-325.20,283.69,-1.52,0.30,-0.61,-16.95,43.80,27.00,33.59,120.16,
06/01/2021,00:59:00.51,-920.41,-317.87,282.71,-1.59,0.12,-0.98,-16.95,43.80,27.00,33.64,120.16,
06/01/2021,00:59:00.51,-916.02,-316.41,270.02,-1.04,0.43,-1.40,-15.45,42.60,27.00,33.64,120.16,
06/01/2021,00:59:00.52,-918.46,-324.71,280.27,-0.06,0.30,0.30,-15.45,42.60,27.00,33.64,120.16,
06/01/2021,00:59:00.54,-926.27,-313.48,278.32,-0.73,1.65,-1.52,-16.95,41.10,27.75,33.88,120.16,
06/01/2021,00:59:00.54,-922.36,-324.71,273.44,0.12,0.55,1.77,-16.95,41.10,27.75,33.68,120.16,
06/01/2021,00:59:00.55,-912.60,-308.11,271.97,-2.32,0.98,-1.46,-16.95,41.10,27.75,33.59,120.16,
06/01/2021,00:59:00.55,-924.80,-318.36,289.06,1.04,1.04,-1.83,-16.95,43.80,25.95,33.59,120.16,
06/01/2021,00:59:00.56,-924.80,-324.22,272.46,-1.28,2.68,-1.28,-16.95,43.80,25.95,33.78,120.16,
06/01/2021,00:59:00.57,-916.99,-329.59,284.18,-0.24,-0.43,-1.28,-17.70,43.80,28.80,33.44,120.16,
06/01/2021,00:59:00.58,-913.09,-320.31,286.13,0.18,0.85,1.83,-17.70,43.80,28.80,33.44,120.16,
06/01/2021,00:59:00.59,-914.55,-317.87,280.27,1.71,0.18,0.06,-15.30,42.00,28.20,33.59,120.16,
06/01/2021,00:59:00.59,-919.92,-323.24,276.37,-3.17,0.30,-1.52,-16.95,43.35,27.30,33.59,120.16,
06/01/2021,00:59:00.60,-920.41,-321.29,277.34,0.55,1.10,-1.71,-16.95,43.35,27.30,33.49,120.16,
06/01/2021,00:59:00.61,-916.99,-315.43,275.88,-1.40,0.00,-1.65,-18.30,42.45,28.95,33.59,120.16,
06/01/2021,00:59:00.62,-928.71,-329.10,283.69,0.00,3.41,0.79,-18.30,42.45,28.95,33.68,120.16,
06/01/2021,00:59:00.63,-917.97,-318.85,282.71,1.34,1.52,-2.32,-16.80,43.50,27.15,33.64,120.16,
