rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:02:02.29,925.29,126.46,-325.20,-0.73,4.45,1.52,-54.75,45.30,-37.20,34.50,119.98,
06/01/2021,01:02:02.33,924.80,130.86,-329.10,-0.12,2.74,0.49,-54.00,47.25,-37.95,34.50,119.97,
06/01/2021,01:02:02.35,916.02,124.51,-317.38,0.43,3.48,0.24,-54.15,45.45,-36.60,34.50,119.97,
06/01/2021,01:02:02.35,929.20,135.25,-329.10,1.28,5.49,1.16,-54.15,45.45,-36.60,34.31,119.97,
06/01/2021,01:02:02.36,918.46,130.86,-318.85,0.30,2.32,2.38,-54.15,46.95,-38.10,34.55,119.97,
06/01/2021,01:02:02.38,927.73,136.23,-316.89,0.79,0.24,1.16,-52.35,45.90,-39.90,34.55,119.97,
06/01/2021,01:02:02.38,922.85,134.28,-321.78,0.98,2.62,-0.49,-52.35,45.90,-39.90,34.74,119.97,
06/01/2021,01:02:02.39,923.83,139.65,-331.05,-0.79,1.71,-1.65,-52.95,46.80,-39.00,34.69,119.97,
06/01/2021,01:02:02.39,923.34,138.18,-332.52,-0.18,1.52,-0.85,-52.95,46.80,-39.00,34.64,119.97,
06/01/2021,01:02:02.40,910.64,151.37,-323.24,-0.49,3.72,0.12,-52.35,46.65,-39.30,34.50,119.97,
06/01/2021,01:02:02.41,923.34,142.09,-323.24,1.71,2.13,2.50,-52.35,46.65,-39.30,34.55,119.97,
06/01/2021,01:02:02.42,910.64,126.95,-324.71,0.61,1.71,5.18,-53.25,46.05,-36.15,34.31,119.97,
06/01/2021,01:02:02.43,922.85,129.39,-307.62,-2.32,2.68,1.77,-53.25,46.05,-36.15,34.74,119.97,
06/01/2021,01:02:02.43,920.90,125.49,-323.24,-0.98,3.72,-1.22,-53.25,46.05,-36.15,34.40,119.97,
06/01/2021,01:02:02.44,916.02,130.86,-318.85,-1.22,2.87,0.73,-51.90,48.15,-39.90,34.36,119.97,
06/01/2021,01:02:02.44,927.73,126.46,-330.57,-1.22,3.23,-1.95,-51.90,48.15,-39.90,34.40,119.97,
06/01/2021,01:02:02.46,922.85,119.14,-324.22,1.22,2.13,-0.73,-56.40,46.95,-39.30,34.36,119.97,
06/01/2021,01:02:02.47,916.02,126.46,-322.27,1.10,2.74,1.28,-56.40,46.95,-39.30,34.55,119.97,
06/01/2021,01:02:02.47,924.32,137.21,-330.57,0.43,2.13,1.83,-54.60,46.95,-39.90,34.64,119.97,
06/01/2021,01:02:02.48,919.43,134.28,-319.34,-0.24,3.90,0.06,-51.75,47.25,-40.50,34.40,119.97,
06/01/2021,01:02:02.48,934.08,125.49,-323.73,-1.89,3.48,-2.62,-51.75,47.25,-40.50,34.50,119.97,
06/01/2021,01:02:02.50,926.27,131.35,-325.68,-0.43,2.93,0.37,-53.25,47.55,-38.25,34.40,119.97,
06/01/2021,01:02:02.50,930.18,123.05,-320.31,1.46,2.80,0.61,-53.25,47.55,-38.25,34.21,119.97,
06/01/2021,01:02:02.51,928.71,131.35,-312.99,-0.30,6.34,-1.52,-54.75,46.05,-39.75,34.64,119.97,
06/01/2021,01:02:02.52,929.69,128.42,-322.75,-1.65,4.39,2.50,-54.75,46.05,-39.75,34.64,119.97,
06/01/2021,01:02:02.52,923.83,134.77,-305.18,-0.91,3.23,1.10,-54.75,46.05,-39.75,34.50,119.97,
06/01/2021,01:02:02.53,919.43,131.35,-312.99,-1.89,1.95,-0.49,-52.95,47.55,-40.20,34.50,119.97,
06/01/2021,01:02:02.54,923.34,127.93,-309.57,-0.98,2.80,0.37,-52.95,47.55,-40.20,34.40,119.97,
06/01/2021,01:02:02.55,928.22,128.42,-305.66,0.49,2.44,0.00,-54.30,46.80,-38.70,34.64,119.97,
06/01/2021,01:02:02.55,923.83,125.98,-326.17,0.06,1.71,0.30,-54.30,46.80,-38.70,34.74,119.97,
06/01/2021,01:02:02.56,929.20,138.67,-323.73,1.89,0.55,0.73,-53.40,48.15,-39.60,34.50,119.97,
06/01/2021,01:02:02.57,928.71,129.88,-323.73,-0.67,4.15,1.28,-53.40,48.15,-39.60,34.40,119.97,
06/01/2021,01:02:02.58,930.18,129.39,-314.94,-1.65,4.27,0.37,-52.95,47.25,-38.70,34.64,119.97,
06/01/2021,01:02:02.59,925.78,130.86,-309.57,0.24,2.44,-0.30,-52.95,47.25,-38.70,34.64,119.97,
06/01/2021,01:02:02.59,917.48,129.88,-316.41,-0.49,0.98,0.61,-53.55,46.50,-37.95,34.64,119.97,
06/01/2021,01:02:02.60,924.32,125.49,-323.24,1.04,3.05,1.52,-53.10,48.15,-38.85,34.64,119.97,
06/01/2021,01:02:02.61,930.18,131.84,-303.22,-1.34,5.00,-2.32,-53.10,48.15,-38.85,34.31,119.97,
06/01/2021,01:02:02.62,929.20,125.98,-317.38,-1.83,2.32,-1.89,-55.05,46.05,-39.75,34.40,119.97,
06/01/2021,01:02:02.63,931.15,132.32,-319.82,-0.67,5.06,0.73,-55.05,46.05,-39.75,34.50,119.97,
06/01/2021,01:02:02.63,922.36,140.14,-304.20,-1.16,4.70,1.52,-55.05,46.05,-39.75,34.21,119.97,
06/01/2021,01:02:02.64,917.48,129.88,-310.06,0.91,2.68,0.73,-55.05,46.05,-39.75,34.36,119.97,
06/01/2021,01:02:02.64,927.25,135.25,-311.04,0.61,5.85,0.73,-54.30,45.60,-39.45,34.40,119.98,
06/01/2021,01:02:02.65,936.52,136.23,-313.48,-2.32,4.21,0.06,-53.10,48.60,-40.65,34.69,119.98,
06/01/2021,01:02:02.67,933.11,132.81,-310.55,-0.98,3.60,0.79,-54.30,46.50,-37.65,34.50,119.97,
06/01/2021,01:02:02.67,934.57,124.02,-321.78,1.59,5.12,1.34,-55.80,46.05,-38.25,34.36,119.97,
06/01/2021,01:02:02.68,928.71,130.86,-314.94,-1.46,5.37,-0.67,-55.80,46.05,-38.25,34.74,119.98,
06/01/2021,01:02:02.68,934.08,125.98,-316.89,-0.67,4.51,2.13,-53.10,46.65,-39.60,34.64,119.98,
06/01/2021,01:02:02.69,918.46,123.05,-307.62,-0.30,2.38,1.40,-53.10,46.65,-39.60,34.64,119.98,
06/01/2021,01:02:02.70,935.55,129.88,-308.59,-0.43,5.55,-0.49,-52.95,48.75,-38.70,34.64,119.97,
06/01/2021,01:02:02.71,910.16,134.28,-300.29,-1.28,5.43,0.43,-56.70,47.85,-39.60,34.50,119.98,
06/01/2021,01:02:02.72,932.13,125.49,-300.78,-2.74,2.32,3.05,-56.70,47.85,-39.60,34.50,119.98,
06/01/2021,01:02:02.72,930.18,127.93,-297.85,-2.38,4.63,-0.91,-56.70,47.85,-39.60,34.55,119.98,
06/01/2021,01:02:02.73,926.76,131.84,-305.66,-0.61,1.52,-0.24,-56.70,47.85,-39.60,34.64,119.98,
06/01/2021,01:02:02.74,926.76,135.74,-301.76,-2.13,3.23,-3.54,-54.30,46.80,-39.45,34.64,119.98,
06/01/2021,01:02:02.75,926.76,130.86,-308.11,-2.07,3.35,-1.40,-54.30,46.80,-39.45,34.74,119.98,
06/01/2021,01:02:02.76,916.50,124.51,-294.43,-1.10,2.62,1.10,-53.85,48.15,-38.10,34.40,119.98,
06/01/2021,01:02:02.76,940.43,128.42,-303.71,-4.27,2.99,0.55,-52.95,47.55,-38.70,34.31,119.98,
06/01/2021,01:02:02.77,936.04,128.42,-298.83,-0.43,2.32,0.98,-52.95,47.55,-38.70,34.64,119.98,
06/01/2021,01:02:02.77,924.32,142.09,-298.34,-0.98,1.52,2.56,-53.85,47.85,-40.65,34.40,119.98,
06/01/2021,01:02:02.79,929.69,135.25,-307.62,-0.43,1.52,0.24,-52.65,46.20,-38.55,34.64,119.98,
06/01/2021,01:02:02.79,921.88,129.88,-298.83,-0.85,3.66,-2.07,-52.65,46.20,-38.55,34.40,119.98,
06/01/2021,01:02:02.80,924.32,125.49,-302.25,-1.46,5.37,-1.95,-52.65,46.20,-38.55,34.36,119.98,
06/01/2021,01:02:02.81,934.57,124.02,-303.22,-1.10,2.32,-0.18,-53.40,47.40,-38.85,34.40,119.98,
06/01/2021,01:02:02.84,927.25,127.44,-304.20,-0.24,1.28,-0.43,-54.90,46.65,-38.10,34.64,119.97,
06/01/2021,01:02:02.86,919.92,124.51,-295.90,-1.77,1.46,2.32,-54.60,46.20,-39.30,34.50,119.97,
06/01/2021,01:02:02.87,936.04,136.23,-299.32,-1.52,3.05,-0.73,-54.60,46.20,-39.30,34.21,119.97,
06/01/2021,01:02:02.88,940.43,122.07,-294.43,-1.95,1.34,-0.67,-54.00,45.60,-40.20,34.50,119.97,
06/01/2021,01:02:02.88,933.59,130.86,-290.04,-0.73,4.39,0.18,-54.00,45.60,-40.20,34.50,119.97,
06/01/2021,01:02:02.89,920.41,122.56,-304.69,0.06,4.39,0.73,-53.55,47.55,-39.45,34.50,119.97,
06/01/2021,01:02:02.90,922.36,131.35,-287.11,-2.93,2.62,-1.83,-53.25,46.50,-39.00,34.50,119.97,
06/01/2021,01:02:02.91,942.87,131.84,-308.59,-0.37,2.26,0.98,-53.25,46.50,-39.00,34.64,119.97,
06/01/2021,01:02:02.91,927.73,135.74,-307.13,-0.79,1.34,1.16,-54.15,47.40,-38.55,34.64,119.97,
06/01/2021,01:02:02.92,929.69,138.18,-289.06,-2.32,-1.16,-0.43,-54.15,47.40,-38.55,34.55,119.97,
06/01/2021,01:02:02.93,941.89,123.54,-295.41,1.59,1.89,-0.49,-54.15,47.40,-38.55,34.74,119.97,
06/01/2021,01:02:02.94,936.52,132.32,-296.39,0.79,2.26,0.00,-52.65,47.40,-39.60,34.50,119.97,
06/01/2021,01:02:02.95,937.01,132.32,-296.88,0.49,1.34,-0.37,-54.60,45.90,-36.30,34.40,119.97,
06/01/2021,01:02:02.95,929.20,133.30,-294.43,-1.04,2.68,-0.49,-54.60,45.90,-36.30,34.64,119.97,
06/01/2021,01:02:02.96,925.29,131.84,-299.32,-1.22,1.40,0.18,-53.55,47.25,-38.70,34.50,119.97,
06/01/2021,01:02:02.96,926.76,131.35,-293.46,-0.06,-0.30,-1.22,-53.25,47.55,-40.50,34.55,119.97,
06/01/2021,01:02:02.97,936.52,113.77,-294.43,1.10,2.32,-0.37,-53.25,47.55,-40.50,34.64,119.97,
06/01/2021,01:02:02.99,938.96,118.16,-288.09,0.00,0.00,-1.22,-56.40,46.20,-38.55,34.69,119.97,
06/01/2021,01:02:02.99,935.55,119.63,-294.92,-0.79,-0.24,-0.18,-56.40,46.20,-38.55,34.64,119.97,
06/01/2021,01:02:03.00,924.32,130.86,-295.41,-0.73,-0.55,-0.98,-56.40,46.20,-38.55,34.31,119.97,
06/01/2021,01:02:03.00,933.59,128.42,-290.53,-0.79,2.62,0.18,-56.40,46.20,-38.55,34.64,119.97,
06/01/2021,01:02:03.01,924.32,124.51,-290.53,1.65,0.79,-0.73,-55.35,48.15,-38.55,34.50,119.97,
06/01/2021,01:02:03.03,923.34,131.84,-292.97,0.49,-0.18,0.37,-54.90,46.65,-75.45,34.64,119.97,
06/01/2021,01:02:03.03,928.22,139.65,-300.29,0.91,0.24,2.80,-54.90,46.65,-37.05,34.64,119.97,
06/01/2021,01:02:03.04,927.73,127.44,-295.90,0.61,-2.13,-1.10,-53.40,47.40,-39.60,34.69,119.97,
06/01/2021,01:02:03.04,938.96,127.93,-291.50,-2.26,1.52,-0.98,-53.40,47.40,-39.60,34.50,119.97,
06/01/2021,01:02:03.05,934.08,128.42,-292.48,0.91,0.79,-1.40,-54.75,48.00,-39.00,34.64,119.98,
