rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:01:01.61,919.92,116.21,-314.94,-1.04,4.63,-1.95,-54.90,44.70,-38.55,34.36,120.02,
06/01/2021,01:01:01.66,919.43,122.56,-300.29,-0.67,3.60,-0.98,-54.60,45.45,-36.60,34.36,120.01,
06/01/2021,01:01:01.67,922.36,130.86,-312.99,-1.22,2.87,-0.79,-54.15,45.45,-38.55,34.36,120.01,
06/01/2021,01:01:01.68,921.39,128.91,-323.24,0.24,5.79,0.61,-54.15,45.45,-38.55,34.12,120.01,
06/01/2021,01:01:01.68,935.06,128.91,-312.99,-0.55,1.59,0.37,-54.30,46.50,-39.45,34.31,120.01,
06/01/2021,01:01:01.70,923.83,131.35,-319.82,-1.34,2.20,-3.72,-54.15,45.45,-38.10,34.02,120.01,
06/01/2021,01:01:01.70,935.06,129.88,-309.08,-0.49,4.70,0.73,-54.15,45.45,-38.10,34.36,120.01,
06/01/2021,01:01:01.71,930.18,121.09,-310.55,0.91,0.79,-0.06,-53.40,46.95,-39.60,34.16,120.01,
06/01/2021,01:01:01.71,928.71,134.77,-302.73,0.91,2.87,2.80,-53.40,46.95,-39.60,34.40,120.01,
06/01/2021,01:01:01.72,929.20,132.32,-307.62,-1.22,4.57,0.55,-54.30,48.00,-39.75,34.31,120.02,
06/01/2021,01:01:01.74,924.80,129.88,-313.96,-2.32,2.32,0.24,-53.85,47.40,-40.35,34.36,120.01,
06/01/2021,01:01:01.74,934.08,128.42,-319.34,1.52,1.22,0.91,-53.85,47.40,-40.35,34.21,120.01,
06/01/2021,01:01:01.75,932.13,116.70,-321.29,-0.24,0.55,0.79,-54.00,46.50,-39.75,34.21,120.01,
06/01/2021,01:01:01.75,925.78,124.02,-316.89,-0.06,4.63,-0.49,-54.00,46.50,-39.75,34.40,120.02,
06/01/2021,01:01:01.76,932.62,119.14,-308.59,1.46,3.41,0.00,-54.00,46.50,-39.75,34.36,120.02,
06/01/2021,01:01:01.76,928.22,128.42,-317.38,-0.06,2.38,0.49,-54.00,46.50,-39.75,34.40,120.02,
06/01/2021,01:01:01.78,927.73,130.86,-311.04,-2.26,3.72,1.22,-56.10,45.90,-37.05,34.55,120.01,
06/01/2021,01:01:01.79,927.73,130.86,-304.20,-1.40,2.38,-1.83,-56.10,45.90,-37.05,34.36,120.02,
06/01/2021,01:01:01.79,937.50,123.54,-293.46,-0.24,3.72,1.10,-52.95,47.25,-38.70,34.21,120.02,
06/01/2021,01:01:01.80,913.09,130.37,-296.39,-0.37,3.41,-0.85,-52.50,47.25,-38.70,34.21,120.02,
06/01/2021,01:01:01.80,933.11,125.49,-306.64,-0.06,2.38,-0.30,-52.50,48.30,-39.00,34.31,120.02,
06/01/2021,01:01:01.82,912.60,122.07,-308.11,-0.18,3.35,-0.18,-53.85,46.65,-37.35,34.36,120.02,
06/01/2021,01:01:01.82,931.64,123.05,-313.48,0.43,0.98,-0.06,-53.85,46.65,-37.35,34.21,120.02,
06/01/2021,01:01:01.83,919.43,129.88,-312.99,-0.18,3.72,-0.55,-54.00,46.80,-39.45,34.36,120.02,
06/01/2021,01:01:01.84,930.66,124.02,-297.85,-2.07,5.37,-0.98,-54.00,46.80,-39.45,34.40,120.02,
06/01/2021,01:01:01.84,924.32,129.39,-305.66,-0.06,1.89,0.43,-54.00,46.05,-40.50,34.21,120.02,
06/01/2021,01:01:01.86,926.76,117.68,-306.15,-2.01,4.27,-1.40,-54.00,46.05,-40.50,34.40,120.02,
06/01/2021,01:01:01.86,929.20,120.61,-318.85,0.85,3.96,0.06,-54.75,46.05,-37.20,34.12,120.02,
06/01/2021,01:01:01.87,937.50,123.05,-293.95,-0.18,3.48,0.12,-54.75,46.05,-37.20,34.21,120.02,
06/01/2021,01:01:01.88,945.80,114.75,-309.57,-0.49,3.78,0.18,-54.75,46.05,-37.20,34.31,120.02,
06/01/2021,01:01:01.88,934.57,134.28,-305.66,0.61,2.62,-1.77,-53.85,46.95,-39.30,34.64,120.02,
06/01/2021,01:01:01.89,920.41,129.88,-293.95,-0.98,1.04,1.04,-53.85,46.95,-39.30,34.36,120.02,
06/01/2021,01:01:01.90,926.27,121.58,-313.96,0.37,-0.30,0.30,-54.30,46.50,-39.00,33.97,120.02,
06/01/2021,01:01:01.91,934.08,115.72,-285.64,-0.79,1.22,-1.16,-54.30,46.50,-39.00,34.16,120.02,
06/01/2021,01:01:01.91,914.06,130.37,-306.15,-0.24,2.01,-0.18,-55.80,48.75,-38.70,34.21,120.02,
06/01/2021,01:01:01.92,931.64,132.32,-298.83,-1.16,5.12,1.16,-54.75,48.00,-40.20,34.50,120.02,
06/01/2021,01:01:01.93,938.48,117.68,-298.34,0.67,3.66,-0.43,-54.75,48.00,-40.20,34.31,120.02,
06/01/2021,01:01:01.94,921.39,119.14,-297.36,-0.06,4.15,-0.67,-53.40,47.85,-38.10,34.12,120.02,
06/01/2021,01:01:01.95,922.36,118.65,-296.88,-1.46,2.80,-1.59,-53.40,47.85,-38.10,34.31,120.02,
06/01/2021,01:01:01.95,935.55,127.93,-292.97,-3.84,0.37,-0.24,-54.60,47.85,-39.30,34.36,120.02,
06/01/2021,01:01:01.96,920.90,125.49,-297.85,0.73,0.49,1.10,-54.60,47.85,-39.30,34.31,120.02,
06/01/2021,01:01:01.97,935.06,128.42,-295.41,0.98,0.91,0.49,-54.60,47.85,-39.30,34.02,120.02,
06/01/2021,01:01:01.98,950.68,124.02,-300.78,0.43,0.91,0.55,-54.15,46.20,-39.30,34.12,120.02,
06/01/2021,01:01:01.99,928.22,119.14,-300.29,-1.16,-0.30,-2.01,-54.15,46.20,-38.85,34.55,120.02,
06/01/2021,01:01:01.99,929.20,110.84,-304.69,-0.67,-0.79,0.43,-53.85,46.20,-40.65,34.16,120.02,
06/01/2021,01:01:02.00,934.57,122.56,-304.69,-0.73,2.32,0.91,-53.85,46.20,-40.65,34.16,120.02,
06/01/2021,01:01:02.00,925.29,133.30,-311.04,-2.13,2.74,3.41,-53.40,46.95,-39.60,34.50,120.02,
06/01/2021,01:01:02.01,922.36,123.05,-304.69,-1.89,1.83,-0.49,-53.40,46.95,-39.60,34.21,120.02,
06/01/2021,01:01:02.03,921.88,129.88,-309.08,-0.55,2.01,2.80,-54.90,46.20,-37.35,34.50,120.02,
06/01/2021,01:01:02.03,923.83,131.84,-292.48,-0.06,2.38,0.00,-53.40,47.85,-38.85,34.31,120.02,
06/01/2021,01:01:02.04,930.66,129.39,-286.62,-2.99,-0.61,1.46,-53.40,47.85,-38.85,34.64,120.02,
06/01/2021,01:01:02.04,926.76,121.09,-291.50,-0.06,1.34,0.43,-54.60,46.95,-39.30,34.31,120.02,
06/01/2021,01:01:02.05,942.87,135.74,-291.99,-1.28,0.98,-0.37,-54.60,46.95,-39.30,34.50,120.02,
06/01/2021,01:01:02.06,936.04,133.79,-298.83,0.49,0.61,2.20,-54.60,47.40,-37.80,34.21,120.02,
06/01/2021,01:01:02.07,929.20,128.42,-306.15,-0.98,3.11,-1.65,-54.60,47.40,-37.80,34.50,120.02,
06/01/2021,01:01:02.08,927.25,129.39,-303.71,-1.10,3.17,0.06,-54.60,47.40,-37.80,34.31,120.02,
06/01/2021,01:01:02.08,933.11,126.95,-300.29,-0.85,0.73,0.79,-54.00,46.05,-38.70,34.31,120.02,
06/01/2021,01:01:02.09,928.22,127.44,-302.73,-2.50,2.13,-0.85,-54.00,46.05,-38.70,34.40,120.02,
06/01/2021,01:01:02.10,936.52,127.44,-300.29,-0.79,1.10,1.46,-54.30,45.60,-38.25,34.31,120.02,
06/01/2021,01:01:02.11,943.36,117.68,-290.53,-1.95,3.29,0.00,-54.30,45.60,-38.25,34.36,120.02,
06/01/2021,01:01:02.12,937.01,138.18,-299.80,0.91,2.80,-0.49,-53.85,47.40,-38.85,34.40,120.02,
06/01/2021,01:01:02.12,914.55,137.70,-297.36,-0.06,-0.73,-1.59,-53.85,47.40,-38.85,34.36,120.02,
06/01/2021,01:01:02.13,926.27,121.09,-299.80,1.52,1.46,1.10,-54.30,48.00,-39.00,34.21,120.02,
06/01/2021,01:01:02.16,936.04,133.30,-298.83,0.18,1.77,-0.24,-56.25,46.80,-38.70,34.36,120.02,
