rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:56:58.98,-85.94,10.25,-968.26,-2.62,-3.23,1.04,-9.60,44.55,-28.50,32.73,120.26,
06/01/2021,00:56:59.02,-90.82,-2.93,-972.17,-4.33,-3.72,-1.28,-9.30,46.20,-28.95,33.11,120.25,
06/01/2021,00:56:59.03,-83.01,6.35,-985.84,-2.38,1.28,0.79,-9.60,46.50,-28.50,32.82,120.25,
06/01/2021,00:56:59.04,-89.36,3.91,-970.70,-2.07,0.67,-0.30,-9.60,46.50,-28.50,32.97,120.25,
06/01/2021,00:56:59.05,-95.70,7.81,-976.56,-1.52,-4.51,-0.12,-8.85,46.05,-30.60,33.06,120.25,
06/01/2021,00:56:59.06,-90.82,1.46,-983.40,-1.52,-0.85,1.40,-8.85,45.60,-29.85,32.77,120.25,
06/01/2021,00:56:59.07,-81.54,2.44,-976.56,-3.78,-1.22,-0.91,-9.75,44.70,-28.20,33.11,120.25,
06/01/2021,00:56:59.07,-78.12,7.81,-990.23,-0.24,-1.65,0.55,-9.75,44.70,-28.20,33.11,120.25,
06/01/2021,00:56:59.08,-98.63,-3.91,-988.28,-2.32,-1.16,0.79,-7.50,46.95,-30.15,33.06,120.25,
06/01/2021,00:56:59.08,-99.12,0.49,-985.35,0.37,-1.65,2.68,-7.50,46.95,-30.15,32.97,120.25,
06/01/2021,00:56:59.09,-89.36,-1.95,-979.98,-0.06,0.18,-1.46,-7.50,46.95,-30.15,33.11,120.25,
06/01/2021,00:56:59.10,-96.68,12.70,-986.33,-0.24,-2.74,0.18,-6.75,45.45,-30.45,32.92,120.25,
06/01/2021,00:56:59.11,-90.33,7.81,-974.61,-1.40,-2.13,0.67,-6.75,45.45,-30.45,32.77,120.25,
06/01/2021,00:56:59.12,-93.75,6.35,-976.56,-0.43,0.00,-0.37,-7.65,46.05,-29.55,33.06,120.25,
06/01/2021,00:56:59.12,-82.03,5.37,-976.56,-1.34,1.71,-1.83,-7.65,46.05,-29.55,32.97,120.25,
06/01/2021,00:56:59.13,-88.87,4.39,-978.03,-0.24,-0.06,-1.04,-7.95,46.65,-30.15,32.82,120.25,
06/01/2021,00:56:59.14,-83.98,18.07,-985.35,-0.37,-1.04,0.49,-7.95,46.20,-29.70,33.25,120.25,
06/01/2021,00:56:59.15,-78.12,-7.32,-962.89,0.18,-0.24,-1.59,-9.60,46.05,-28.80,32.82,120.25,
06/01/2021,00:56:59.15,-79.59,4.88,-980.96,-2.62,-0.18,-0.91,-9.15,46.05,-30.60,32.97,120.25,
06/01/2021,00:56:59.16,-77.64,6.35,-984.86,0.49,-2.26,-1.22,-9.15,46.05,-30.60,32.82,120.25,
06/01/2021,00:56:59.17,-84.47,10.25,-978.03,-2.68,0.37,0.24,-8.25,45.15,-30.75,32.73,120.25,
06/01/2021,00:56:59.18,-88.38,14.65,-968.75,0.12,-0.67,0.18,-6.60,47.55,-28.50,33.06,120.25,
06/01/2021,00:56:59.19,-88.38,3.91,-976.56,0.55,-0.18,1.22,-9.90,46.05,-27.30,33.11,120.25,
06/01/2021,00:56:59.19,-88.38,6.84,-973.14,-1.59,1.22,0.55,-9.90,46.05,-27.30,32.82,120.25,
06/01/2021,00:56:59.20,-95.21,6.35,-980.96,-0.30,0.24,-3.35,-9.90,46.05,-27.30,33.11,120.25,
06/01/2021,00:56:59.20,-83.01,10.25,-980.96,-1.04,-1.59,-1.10,-7.65,46.50,-31.05,32.92,120.25,
06/01/2021,00:56:59.21,-85.94,10.74,-984.38,-0.98,-0.18,-0.43,-7.65,46.50,-31.05,33.11,120.26,
06/01/2021,00:56:59.23,-80.57,2.44,-977.54,0.24,-0.98,1.65,-8.40,45.30,-28.80,33.16,120.25,
06/01/2021,00:56:59.23,-89.36,4.39,-982.42,0.30,1.83,-0.73,-8.40,45.30,-28.80,33.11,120.25,
06/01/2021,00:56:59.24,-83.98,4.88,-975.59,-2.26,-0.91,-2.50,-8.10,46.05,-29.55,32.97,120.26,
06/01/2021,00:56:59.24,-84.96,0.00,-968.26,0.06,0.85,-0.43,-8.10,46.05,-29.55,32.82,120.26,
06/01/2021,00:56:59.25,-78.12,14.16,-971.68,0.30,-0.79,-2.38,-8.10,46.05,-29.55,32.92,120.26,
06/01/2021,00:56:59.26,-100.59,14.65,-980.47,1.77,1.71,0.12,-6.15,47.25,-29.85,33.11,120.25,
06/01/2021,00:56:59.27,-79.59,13.67,-984.86,1.10,1.10,1.83,-8.25,45.45,-26.85,32.97,120.26,
06/01/2021,00:56:59.28,-93.26,0.98,-974.12,-0.43,0.43,-0.98,-7.50,47.85,-30.45,33.06,120.26,
06/01/2021,00:56:59.28,-83.98,0.49,-969.73,0.98,0.61,2.50,-7.50,47.85,-30.45,32.97,120.26,
06/01/2021,00:56:59.29,-67.87,-1.46,-982.91,-1.83,0.24,-1.10,-9.30,46.65,-29.70,32.77,120.26,
06/01/2021,00:56:59.29,-87.89,-2.93,-979.49,1.22,-1.95,-0.43,-9.30,46.65,-29.70,33.11,120.26,
06/01/2021,00:56:59.31,-84.47,18.55,-976.07,0.79,-0.98,-0.06,-8.70,45.45,-28.65,33.25,120.26,
06/01/2021,00:56:59.31,-82.03,9.77,-978.03,1.10,-1.77,0.37,-8.70,45.45,-28.65,32.73,120.26,
06/01/2021,00:56:59.32,-92.29,19.53,-986.82,2.74,2.01,0.24,-8.70,46.65,-28.65,32.97,120.26,
06/01/2021,00:56:59.33,-102.05,1.95,-976.07,0.18,0.37,-0.73,-8.70,46.65,-28.65,32.58,120.26,
06/01/2021,00:56:59.33,-81.05,9.28,-972.17,1.16,-0.18,0.55,-8.70,46.65,-28.65,32.92,120.26,
06/01/2021,00:56:59.35,-90.82,-4.39,-982.91,-0.79,-0.37,-1.77,-7.95,46.65,-30.15,32.73,120.26,
06/01/2021,00:56:59.35,-88.87,3.42,-975.59,0.67,-0.49,0.43,-7.95,46.65,-30.15,33.06,120.26,
06/01/2021,00:56:59.36,-80.57,11.23,-983.89,0.06,0.73,1.52,-8.10,46.05,-30.60,32.77,120.26,
06/01/2021,00:56:59.36,-96.68,3.42,-987.30,1.10,0.55,1.04,-8.10,46.05,-30.60,32.97,120.26,
06/01/2021,00:56:59.37,-74.22,10.25,-972.66,1.10,1.83,-0.85,-7.50,48.15,-28.95,32.97,120.26,
