rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:54:57.75,-62.99,-21.00,-979.00,-0.79,-1.83,0.73,-10.65,44.85,-31.05,32.10,119.85,
06/01/2021,00:54:57.79,-85.45,-17.09,-983.89,-2.20,-3.29,1.71,-9.30,44.70,-28.65,32.01,119.84,
06/01/2021,00:54:57.80,-81.05,-15.62,-974.61,0.37,-2.01,-0.49,-9.75,44.70,-30.15,32.10,119.84,
06/01/2021,00:54:57.81,-71.78,-16.60,-980.96,-2.01,-2.07,-1.04,-8.70,44.70,-29.40,32.25,119.84,
06/01/2021,00:54:57.82,-68.85,-17.09,-987.30,-1.83,-1.71,-0.12,-8.70,44.70,-29.40,32.10,119.84,
06/01/2021,00:54:57.83,-82.52,-24.41,-992.19,-2.32,-2.80,2.38,-9.30,46.20,-30.15,32.10,119.83,
06/01/2021,00:54:57.84,-77.15,-16.60,-976.07,-2.87,-1.34,1.71,-9.30,46.20,-30.15,32.10,119.84,
06/01/2021,00:54:57.84,-73.73,-11.72,-982.91,-3.66,-1.83,0.73,-8.70,45.90,-30.15,32.01,119.84,
06/01/2021,00:54:57.85,-84.96,-9.28,-974.61,-2.44,-1.40,-1.04,-8.70,45.90,-30.15,32.06,119.84,
06/01/2021,00:54:57.85,-80.08,-20.51,-975.10,-1.59,-2.50,-0.85,-6.15,47.25,-31.05,31.91,119.84,
06/01/2021,00:54:57.87,-94.73,-11.23,-979.98,-3.17,0.55,-0.18,-6.15,47.25,-31.05,32.10,119.84,
06/01/2021,00:54:57.87,-94.24,-20.51,-984.38,-1.28,-2.38,0.37,-9.15,44.85,-29.55,32.10,119.84,
06/01/2021,00:54:57.88,-90.82,-20.51,-982.91,-0.79,-1.04,-0.98,-9.15,44.85,-29.55,32.10,119.84,
06/01/2021,00:54:57.89,-74.71,-14.16,-969.24,-0.61,-1.40,1.77,-9.15,44.85,-29.55,31.86,119.84,
06/01/2021,00:54:57.89,-76.66,-17.58,-984.38,-2.68,1.95,0.61,-7.35,46.80,-30.60,32.10,119.84,
06/01/2021,00:54:57.90,-78.61,-16.11,-981.45,-0.24,-1.10,-0.24,-7.35,46.80,-30.60,32.10,119.84,
06/01/2021,00:54:57.91,-63.96,-18.55,-980.96,-1.77,-0.55,0.79,-9.75,43.20,-28.95,31.91,119.84,
06/01/2021,00:54:57.92,-73.24,-16.11,-975.10,-1.22,0.49,-0.49,-9.75,43.20,-28.95,32.10,119.84,
06/01/2021,00:54:57.93,-76.17,-25.39,-984.38,-0.73,2.13,-1.34,-9.90,45.60,-30.30,32.10,119.84,
06/01/2021,00:54:57.93,-83.98,-3.91,-979.49,-0.49,-0.73,0.12,-7.95,44.70,-29.40,32.10,119.84,
