rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:55:58.35,-69.82,-20.02,-976.56,-1.22,2.32,-0.91,-9.75,45.15,-29.40,32.58,120.09,
06/01/2021,00:55:58.39,-70.31,-12.70,-991.70,1.10,3.66,-2.01,-9.60,46.50,-30.60,32.44,120.07,
06/01/2021,00:55:58.40,-56.15,-33.20,-991.21,-0.91,-0.12,-0.91,-9.15,44.55,-30.30,32.63,120.07,
06/01/2021,00:55:58.41,-81.54,-29.79,-990.23,-1.89,-0.24,-1.04,-10.35,43.80,-29.25,32.73,120.07,
06/01/2021,00:55:58.41,-83.50,-29.30,-996.58,-0.12,-0.67,0.85,-10.35,43.80,-29.25,32.58,120.07,
06/01/2021,00:55:58.43,-62.99,-27.34,-973.63,-2.50,0.18,1.34,-8.25,45.45,-30.75,32.58,120.07,
06/01/2021,00:55:58.43,-78.12,-14.65,-969.73,-1.16,-2.87,-0.06,-9.75,43.95,-29.70,32.58,120.07,
06/01/2021,00:55:58.44,-75.20,-14.65,-970.70,-2.07,-0.91,-0.49,-9.75,43.95,-29.70,32.53,120.07,
06/01/2021,00:55:58.45,-78.12,-16.60,-985.35,-0.61,0.91,0.55,-9.75,43.95,-29.70,32.29,120.07,
06/01/2021,00:55:58.45,-82.52,-4.88,-979.00,-0.91,-1.16,-1.22,-9.75,43.95,-29.70,32.73,120.07,
06/01/2021,00:55:58.47,-75.68,-16.11,-977.05,-1.83,0.79,-1.28,-9.90,46.05,-29.55,32.82,120.07,
06/01/2021,00:55:58.47,-79.59,-15.62,-976.07,-0.06,0.37,0.30,-9.90,46.05,-29.55,32.73,120.07,
06/01/2021,00:55:58.48,-63.48,-17.09,-980.96,1.40,1.16,2.01,-10.05,44.25,-29.40,32.73,120.07,
06/01/2021,00:55:58.48,-71.29,-11.72,-982.91,0.73,0.67,0.30,-8.25,44.25,-31.20,32.73,120.07,
06/01/2021,00:55:58.49,-76.17,-7.32,-975.10,-2.20,-1.10,-0.30,-8.25,44.25,-31.20,32.44,120.07,
06/01/2021,00:55:58.50,-73.73,-18.55,-990.72,-1.65,0.12,1.10,-8.70,45.15,-30.75,32.39,120.08,
06/01/2021,00:55:58.51,-76.66,-9.77,-986.82,-1.10,-0.67,-0.91,-7.35,44.55,-30.60,32.44,120.07,
06/01/2021,00:55:58.52,-88.38,-9.77,-974.12,-1.10,-2.01,0.91,-9.30,45.45,-29.70,32.73,120.07,
