rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:05:04.47,-47.36,-987.79,-41.02,-2.50,-3.66,-2.32,-12.00,18.90,-3.45,35.36,120.17,
06/01/2021,01:05:04.51,-51.76,-988.28,-44.92,-3.48,-4.82,-0.37,-11.85,18.45,-3.60,35.17,120.16,
06/01/2021,01:05:04.53,-51.27,-1000.98,-53.22,-4.63,-2.99,-2.44,-11.10,18.00,-2.85,35.46,120.16,
06/01/2021,01:05:04.53,-53.71,-1007.32,-50.29,-4.33,-4.02,-3.90,-12.30,20.85,-2.25,35.07,120.16,
06/01/2021,01:05:04.54,-50.29,-979.00,-56.64,-5.00,-2.32,-3.48,-12.30,20.85,-2.25,35.22,120.16,
06/01/2021,01:05:04.55,-57.62,-999.51,-50.78,-3.54,-1.95,-2.07,-10.05,18.60,-4.20,34.93,120.16,
06/01/2021,01:05:04.56,-47.85,-1013.18,-34.67,-3.17,-5.49,-3.60,-10.05,18.60,-4.20,35.17,120.16,
06/01/2021,01:05:04.57,-42.97,-996.09,-50.29,-4.45,-3.35,0.18,-11.10,19.20,-3.15,35.07,120.16,
06/01/2021,01:05:04.57,-53.22,-1014.16,-57.62,-3.60,-3.66,0.18,-11.10,19.20,-3.15,35.03,120.16,
06/01/2021,01:05:04.58,-41.02,-1005.37,-44.92,-3.96,-1.71,-2.93,-11.10,19.20,-3.15,34.93,120.16,
06/01/2021,01:05:04.59,-49.80,-1013.67,-60.55,-4.57,-0.67,-5.79,-12.15,19.20,-3.15,35.17,120.16,
06/01/2021,01:05:04.60,-50.78,-1008.30,-50.78,-4.15,-1.46,-5.37,-12.15,19.20,-3.15,35.17,120.16,
06/01/2021,01:05:04.61,-56.15,-1016.60,-56.15,-4.63,-1.22,-5.73,-11.10,20.70,-2.85,35.07,120.16,
06/01/2021,01:05:04.61,-55.66,-1007.81,-57.13,-3.78,-1.04,-4.82,-11.10,20.70,-2.85,35.07,120.16,
06/01/2021,01:05:04.62,-45.41,-1008.79,-57.13,-3.35,-1.10,-4.82,-10.50,18.90,-3.75,34.88,120.16,
06/01/2021,01:05:04.62,-43.46,-999.51,-62.01,-3.29,1.52,-3.48,-10.80,19.65,-5.25,35.07,120.17,
06/01/2021,01:05:04.64,-51.27,-1008.30,-74.22,-2.87,0.24,-4.27,-10.80,19.35,-2.70,34.93,120.16,
06/01/2021,01:05:04.64,-59.08,-1005.37,-60.55,-2.56,-1.10,-2.13,-10.80,19.35,-2.70,34.93,120.16,
06/01/2021,01:05:04.65,-46.39,-998.05,-55.18,-0.91,-0.67,-4.27,-10.80,19.35,-2.70,35.07,120.16,
06/01/2021,01:05:04.66,-61.04,-1001.95,-90.82,-4.57,-0.37,-7.50,-11.10,19.50,-3.60,35.17,120.17,
