rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:03:03.01,81.05,-1008.30,11.23,-1.10,0.24,-0.55,-15.15,14.55,-2.85,34.74,120.02,
06/01/2021,01:03:03.05,83.01,-1008.79,19.04,0.24,-0.24,0.18,-16.80,13.50,-1.20,34.74,120.01,
06/01/2021,01:03:03.07,77.15,-999.51,23.44,-0.61,-1.46,-0.55,-16.80,16.20,-2.70,34.69,120.01,
06/01/2021,01:03:03.07,80.57,-991.21,22.95,-1.46,0.12,-1.52,-16.65,15.30,-0.60,34.74,120.01,
06/01/2021,01:03:03.08,88.38,-998.05,10.74,1.04,1.10,0.30,-14.70,16.80,-3.90,34.55,120.01,
06/01/2021,01:03:03.09,80.57,-992.19,11.23,-0.98,-1.10,-0.43,-15.30,14.70,-3.00,34.69,120.01,
06/01/2021,01:03:03.10,87.40,-1000.98,21.97,0.79,0.00,-0.55,-16.20,15.30,-1.05,34.64,120.01,
06/01/2021,01:03:03.11,88.87,-997.07,20.02,0.55,0.18,2.68,-16.20,15.30,-1.05,34.69,120.01,
06/01/2021,01:03:03.11,94.73,-995.61,16.60,-0.18,0.12,0.24,-14.70,15.30,-3.90,34.93,120.01,
06/01/2021,01:03:03.12,84.96,-1002.44,15.62,-1.65,-0.37,-3.66,-14.70,15.30,-3.90,34.74,120.01,
06/01/2021,01:03:03.12,82.52,-998.05,12.21,-0.24,-1.22,-1.89,-14.70,15.30,-3.90,34.88,120.01,
06/01/2021,01:03:03.14,72.27,-1007.32,23.93,-2.01,-0.61,-1.22,-15.60,17.10,-2.25,34.64,120.01,
06/01/2021,01:03:03.14,75.68,-1010.25,23.44,0.91,-0.06,-0.79,-15.60,17.10,-2.25,34.69,120.01,
06/01/2021,01:03:03.15,83.98,-1014.65,15.14,0.79,1.40,-1.40,-14.40,17.25,-5.10,34.69,120.01,
06/01/2021,01:03:03.16,96.68,-1005.86,15.62,1.04,-0.12,0.43,-14.40,17.25,-5.10,34.64,120.01,
06/01/2021,01:03:03.16,77.15,-996.09,17.58,-1.22,1.34,-0.12,-15.60,16.20,-3.75,34.55,120.01,
06/01/2021,01:03:03.18,91.31,-1006.84,13.18,-0.37,-1.52,-1.34,-14.85,16.65,-3.75,34.64,120.01,
06/01/2021,01:03:03.18,77.15,-1003.42,27.83,-1.59,0.91,-2.20,-18.75,15.30,-1.35,34.83,120.01,
06/01/2021,01:03:03.19,85.94,-997.56,24.90,0.61,0.00,-2.44,-18.75,15.30,-1.35,34.64,120.01,
06/01/2021,01:03:03.19,85.45,-1012.70,7.81,3.17,0.61,0.73,-13.95,16.05,-3.60,34.74,120.01,
06/01/2021,01:03:03.20,78.12,-1007.81,30.27,0.12,0.49,-1.52,-16.05,16.05,-3.60,34.64,120.02,
06/01/2021,01:03:03.21,83.98,-1000.49,12.70,-0.37,2.26,-0.61,-16.05,16.65,-5.25,34.93,120.02,
06/01/2021,01:03:03.22,86.43,-996.58,20.02,0.43,-0.37,-2.50,-16.05,15.45,-2.25,34.69,120.01,
06/01/2021,01:03:03.23,83.98,-990.23,13.67,0.79,2.07,-0.12,-16.05,15.45,-2.25,34.64,120.01,
06/01/2021,01:03:03.23,83.01,-1004.39,20.02,1.10,0.73,0.85,-16.05,15.45,-2.25,34.69,120.02,
06/01/2021,01:03:03.24,87.89,-995.61,21.48,1.10,3.05,-1.04,-16.05,15.45,-2.25,34.64,120.02,
06/01/2021,01:03:03.24,94.24,-1010.74,28.32,-1.16,1.71,0.49,-14.55,16.65,-3.00,34.64,120.02,
06/01/2021,01:03:03.26,85.45,-1017.58,21.97,1.04,-0.85,1.77,-14.55,16.65,-3.00,34.69,120.01,
06/01/2021,01:03:03.27,74.22,-1019.04,25.39,-1.46,2.20,-0.79,-16.65,15.30,-1.35,34.64,120.02,
06/01/2021,01:03:03.27,88.38,-997.07,25.39,-0.12,-2.01,-0.55,-16.65,15.30,-1.35,34.69,120.02,
06/01/2021,01:03:03.28,83.98,-1016.60,8.30,0.12,-0.73,-0.37,-13.65,15.30,-3.15,34.55,120.02,
06/01/2021,01:03:03.28,89.36,-1013.18,33.69,-0.79,-0.98,-2.20,-14.70,16.05,-3.15,34.69,120.02,
06/01/2021,01:03:03.30,96.19,-1008.30,20.51,-1.10,0.24,0.98,-13.20,15.75,-3.15,34.69,120.02,
06/01/2021,01:03:03.30,88.87,-1005.37,22.46,-1.95,-1.77,0.43,-15.90,14.10,-1.80,34.69,120.02,
06/01/2021,01:03:03.31,91.80,-1007.32,16.11,1.40,-1.71,-0.37,-15.90,14.10,-1.80,34.64,120.02,
06/01/2021,01:03:03.32,76.66,-1000.00,13.67,-3.96,0.73,-1.71,-13.20,16.50,-2.10,34.74,120.02,
06/01/2021,01:03:03.32,99.12,-999.02,25.88,0.91,-0.85,0.73,-13.20,16.50,-2.10,34.69,120.02,
06/01/2021,01:03:03.33,84.96,-1002.93,27.83,-1.83,1.89,0.00,-13.20,16.50,-2.10,34.88,120.02,
06/01/2021,01:03:03.34,73.24,-1016.11,20.51,1.71,-1.22,0.00,-13.95,17.25,-3.60,34.50,120.02,
06/01/2021,01:03:03.35,82.52,-1013.67,10.74,-1.40,-2.44,-3.48,-13.95,17.25,-3.60,34.64,120.02,
06/01/2021,01:03:03.35,74.22,-994.14,27.34,-0.79,-1.22,0.79,-14.70,15.75,-2.10,34.50,120.02,
06/01/2021,01:03:03.36,78.61,-985.35,19.53,0.43,0.30,-1.59,-14.70,15.75,-2.10,34.55,120.02,
06/01/2021,01:03:03.37,84.96,-1002.44,20.51,-0.79,-2.26,-0.18,-13.50,15.90,-3.45,34.74,120.02,
06/01/2021,01:03:03.38,97.66,-1009.77,26.37,0.85,-2.44,-1.04,-13.95,16.05,-4.35,34.40,120.02,
06/01/2021,01:03:03.39,90.82,-1003.42,27.34,0.18,1.52,0.06,-17.40,14.85,-1.35,34.55,120.02,
06/01/2021,01:03:03.39,68.36,-1004.39,16.60,0.12,0.61,2.87,-17.40,14.85,-1.35,34.64,120.02,
06/01/2021,01:03:03.40,89.36,-1014.65,15.14,0.06,0.43,-1.95,-13.80,15.45,-4.80,34.64,120.02,
06/01/2021,01:03:03.40,91.31,-1006.84,23.44,-2.44,2.13,-2.68,-14.25,15.45,-4.50,35.03,120.02,
06/01/2021,01:03:03.41,93.75,-995.61,12.70,-0.18,-0.91,-1.65,-14.25,15.45,-4.50,34.69,120.02,
06/01/2021,01:03:03.43,76.17,-997.56,20.02,-1.40,2.13,-0.73,-16.20,14.10,-2.10,34.55,120.02,
06/01/2021,01:03:03.43,84.96,-996.09,30.76,-2.26,0.85,1.46,-16.20,14.10,-2.10,34.55,120.02,
06/01/2021,01:03:03.44,77.64,-1004.39,31.74,-0.43,0.12,1.10,-16.20,14.10,-2.10,34.74,120.02,
06/01/2021,01:03:03.44,80.08,-1000.98,11.23,-0.85,1.40,1.04,-16.20,14.10,-2.10,34.74,120.02,
06/01/2021,01:03:03.45,90.82,-1000.98,14.65,-0.49,2.87,-2.80,-14.55,18.15,-4.80,34.64,120.02,
