rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:04:03.74,62.01,-996.58,-37.60,-1.59,-0.30,-1.04,-13.95,15.75,-4.65,35.07,120.11,
06/01/2021,01:04:03.78,53.22,-1004.88,-29.79,-0.12,1.16,1.40,-15.30,15.45,-3.75,34.88,120.11,
06/01/2021,01:04:03.79,51.76,-1002.44,-30.76,-0.67,-0.85,-0.67,-15.45,15.75,-3.90,34.88,120.11,
06/01/2021,01:04:03.80,53.71,-996.09,-38.09,-0.67,1.22,0.30,-15.45,15.75,-3.90,34.93,120.11,
06/01/2021,01:04:03.81,58.11,-1017.58,-29.30,-0.49,2.01,-3.54,-13.80,15.45,-5.55,34.93,120.11,
06/01/2021,01:04:03.82,54.69,-1003.91,-33.20,-0.98,2.07,1.65,-12.90,17.25,-6.45,35.03,120.11,
06/01/2021,01:04:03.83,47.36,-1004.88,-42.48,-1.95,1.34,1.52,-13.95,17.25,-4.65,34.74,120.11,
06/01/2021,01:04:03.83,43.46,-1012.70,-37.11,-1.77,2.44,-1.34,-13.65,17.55,-6.90,34.93,120.11,
06/01/2021,01:04:03.84,35.64,-1005.37,-33.20,-0.43,-1.10,0.00,-13.65,17.55,-6.90,34.93,120.11,
06/01/2021,01:04:03.84,50.29,-1001.95,-38.57,-1.83,2.26,-0.73,-13.50,18.15,-7.05,34.93,120.11,
06/01/2021,01:04:03.85,57.62,-1006.84,-44.43,-0.06,-1.04,-0.12,-13.50,18.15,-7.05,34.88,120.11,
06/01/2021,01:04:03.87,61.04,-993.65,-40.53,-1.22,-0.79,2.01,-14.55,16.20,-4.20,34.69,120.11,
06/01/2021,01:04:03.87,64.45,-990.72,-48.34,-3.72,0.49,0.49,-14.55,16.20,-4.20,35.03,120.11,
06/01/2021,01:04:03.88,52.73,-1002.44,-38.57,-3.23,-0.49,1.46,-14.55,16.20,-4.20,35.03,120.11,
06/01/2021,01:04:03.88,57.62,-1009.77,-55.66,-5.91,-1.46,1.71,-14.40,16.50,-6.15,35.07,120.11,
06/01/2021,01:04:03.89,63.48,-1001.46,-35.64,-4.70,0.55,0.06,-14.40,16.50,-6.15,34.83,120.11,
06/01/2021,01:04:03.90,55.18,-1010.74,-61.52,-2.07,-0.79,1.46,-13.20,16.05,-5.10,34.69,120.11,
06/01/2021,01:04:03.91,55.66,-1016.11,-55.66,-2.38,-1.71,0.73,-13.20,16.05,-5.10,34.93,120.11,
06/01/2021,01:04:03.92,42.97,-1017.58,-60.55,-3.90,-0.18,0.30,-13.05,17.40,-6.30,35.07,120.11,
06/01/2021,01:04:03.92,58.59,-1030.27,-53.71,-3.84,-0.24,0.73,-13.05,17.40,-6.30,34.93,120.11,
06/01/2021,01:04:03.93,55.18,-1024.41,-54.20,-2.44,0.79,-1.77,-12.90,16.50,-5.40,35.07,120.11,
06/01/2021,01:04:03.94,59.08,-1029.30,-55.18,-4.39,1.40,-1.46,-15.30,16.20,-6.30,34.74,120.11,
06/01/2021,01:04:03.95,63.96,-1037.11,-63.96,-3.35,0.67,1.59,-15.30,16.20,-6.30,34.88,120.11,
06/01/2021,01:04:03.95,62.01,-1025.39,-51.76,-5.30,0.18,0.00,-13.50,16.20,-7.05,35.07,120.11,
06/01/2021,01:04:03.96,54.69,-1003.91,-52.73,-5.91,-1.28,-1.22,-13.50,16.20,-7.05,35.07,120.11,
06/01/2021,01:04:03.97,49.80,-999.02,-47.36,-5.98,2.20,2.26,-13.50,16.20,-7.05,34.69,120.11,
06/01/2021,01:04:03.97,59.57,-1006.35,-51.27,-6.71,0.91,1.10,-13.50,16.20,-7.05,35.03,120.11,
06/01/2021,01:04:03.99,39.55,-994.63,-57.62,-5.24,0.91,0.06,-15.30,17.10,-4.80,34.93,120.11,
06/01/2021,01:04:03.99,50.78,-998.54,-49.32,-7.07,-0.49,-0.73,-15.30,17.10,-4.80,34.93,120.11,
06/01/2021,01:04:04.00,54.20,-1004.88,-51.27,-6.40,-0.55,-1.04,-14.70,16.50,-5.85,35.07,120.11,
06/01/2021,01:04:04.01,47.36,-1001.46,-61.52,-5.37,0.00,0.61,-13.20,18.00,-6.45,34.93,120.11,
06/01/2021,01:04:04.01,63.96,-997.56,-63.48,-6.65,0.85,-1.46,-13.20,18.00,-6.45,34.83,120.11,
