rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:07:05.98,-29.79,-993.65,-175.78,-2.01,1.89,-0.37,-62.85,15.75,-8.40,35.22,120.13,
06/01/2021,01:07:06.02,-27.83,-998.05,-171.39,0.18,0.61,-0.37,-63.75,17.40,-9.30,35.07,120.12,
06/01/2021,01:07:06.04,-29.30,-992.19,-161.62,1.46,0.98,0.24,-62.85,16.05,-7.95,35.27,120.12,
06/01/2021,01:07:06.04,-15.62,-997.56,-172.36,0.49,2.20,-1.04,-62.85,17.55,-8.70,35.70,120.12,
06/01/2021,01:07:06.05,-32.71,-996.09,-175.29,-0.12,1.89,-0.49,-62.85,17.55,-8.70,35.03,120.12,
06/01/2021,01:07:06.06,-32.23,-996.09,-173.34,1.52,1.40,-0.18,-62.10,16.80,-7.95,35.55,120.12,
06/01/2021,01:07:06.07,-19.04,-988.28,-168.46,0.91,0.98,-1.59,-62.10,16.80,-7.95,35.22,120.12,
06/01/2021,01:07:06.07,-31.25,-990.72,-175.29,0.91,-1.22,-0.24,-62.10,16.80,-7.95,35.17,120.12,
06/01/2021,01:07:06.08,-37.11,-995.61,-171.39,0.00,-0.67,-0.12,-62.10,16.80,-7.95,35.27,120.12,
06/01/2021,01:07:06.09,-37.11,-989.75,-169.92,1.34,-0.85,-0.43,-61.95,18.90,-10.05,35.27,120.12,
06/01/2021,01:07:06.10,-32.71,-991.21,-165.53,0.00,0.00,0.91,-62.55,17.55,-8.40,35.36,120.12,
06/01/2021,01:07:06.11,-14.16,-980.47,-170.90,0.73,0.85,-1.10,-62.55,17.55,-8.40,35.22,120.12,
06/01/2021,01:07:06.11,-31.25,-997.07,-166.99,0.49,2.13,-0.24,-61.35,18.75,-10.50,35.27,120.12,
06/01/2021,01:07:06.12,-23.44,-986.33,-167.97,0.55,-0.85,1.46,-61.35,18.75,-10.50,35.27,120.12,
06/01/2021,01:07:06.12,-26.37,-999.02,-170.41,1.16,-2.20,-1.28,-61.95,17.10,-9.30,35.07,120.12,
06/01/2021,01:07:06.13,-30.76,-986.33,-166.02,1.04,0.24,-0.85,-61.95,17.10,-9.30,35.27,120.12,
06/01/2021,01:07:06.15,-36.62,-1000.49,-165.04,-1.46,-0.61,-1.65,-63.30,19.20,-9.75,35.22,120.12,
06/01/2021,01:07:06.15,-31.25,-998.54,-166.02,-0.43,3.41,-0.12,-62.55,17.25,-8.40,35.27,120.12,
06/01/2021,01:07:06.16,-28.81,-995.12,-174.32,-0.24,2.87,-2.87,-62.55,17.25,-8.40,35.07,120.12,
06/01/2021,01:07:06.16,-13.18,-1001.46,-178.71,0.85,-2.20,0.49,-62.55,17.25,-8.40,35.46,120.12,
06/01/2021,01:07:06.17,-25.39,-985.84,-157.71,-1.16,-0.73,-2.56,-62.55,17.25,-8.40,35.46,120.12,
06/01/2021,01:07:06.18,-28.81,-986.82,-176.27,0.06,-0.98,-0.98,-63.60,18.00,-8.70,35.27,120.12,
06/01/2021,01:07:06.19,-33.20,-996.58,-179.69,-0.12,-0.61,0.18,-63.60,18.00,-8.70,35.27,120.12,
06/01/2021,01:07:06.20,-21.00,-997.56,-166.99,0.06,0.00,0.43,-62.70,17.40,-8.10,35.07,120.12,
06/01/2021,01:07:06.20,-27.83,-988.77,-167.48,1.40,0.55,1.71,-61.65,18.90,-10.05,35.07,120.12,
06/01/2021,01:07:06.21,-40.53,-976.07,-169.92,-1.40,0.24,-0.24,-61.65,18.90,-10.05,35.55,120.12,
06/01/2021,01:07:06.22,-29.30,-987.79,-163.09,-0.98,1.52,-0.85,-63.00,17.10,-7.35,35.27,120.12,
06/01/2021,01:07:06.23,-26.86,-989.75,-163.57,-1.04,-0.18,0.49,-63.00,17.10,-7.35,35.22,120.12,
06/01/2021,01:07:06.24,-24.90,-994.14,-159.18,0.06,0.00,-0.18,-63.00,17.10,-7.35,35.36,120.12,
06/01/2021,01:07:06.24,-30.27,-980.96,-173.83,1.95,1.65,-0.37,-63.00,17.10,-7.35,35.36,120.12,
06/01/2021,01:07:06.25,-22.95,-980.96,-167.48,1.34,0.61,-0.91,-62.10,18.75,-9.75,35.22,120.12,
06/01/2021,01:07:06.25,-18.55,-984.38,-177.25,2.20,1.95,-0.24,-62.10,18.75,-9.75,35.36,120.13,
06/01/2021,01:07:06.27,-6.35,-983.89,-175.78,0.30,0.12,1.89,-61.95,17.40,-7.80,35.03,120.12,
06/01/2021,01:07:06.27,-19.53,-981.45,-179.20,1.16,0.73,0.79,-63.60,17.25,-7.95,35.27,120.12,
06/01/2021,01:07:06.28,-41.99,-984.86,-171.88,-1.89,0.61,-0.49,-63.60,17.25,-7.95,35.55,120.13,
06/01/2021,01:07:06.29,-23.93,-985.84,-175.29,0.43,-0.06,1.10,-61.95,18.15,-10.65,35.36,120.13,
06/01/2021,01:07:06.29,-41.02,-986.82,-159.67,1.10,-1.22,-0.43,-61.95,18.15,-10.65,35.22,120.13,
06/01/2021,01:07:06.31,-37.60,-995.61,-170.90,-1.83,-2.56,-0.61,-63.60,18.45,-7.95,35.70,120.12,
06/01/2021,01:07:06.31,-36.62,-989.75,-167.97,0.43,0.12,-1.22,-63.60,18.45,-7.95,35.46,120.13,
06/01/2021,01:07:06.32,-19.53,-991.70,-176.27,-1.40,0.91,-3.35,-63.00,18.15,-8.10,35.22,120.13,
