rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:06:05.23,-9.28,-992.19,-162.11,-1.59,-0.12,-0.85,-63.45,19.35,-8.85,35.27,120.14,
06/01/2021,01:06:05.27,-15.62,-988.28,-165.53,0.73,-1.71,-0.49,-65.70,17.40,-7.05,35.03,120.14,
06/01/2021,01:06:05.28,0.00,-986.33,-169.43,0.18,-2.13,1.95,-62.25,17.85,-7.35,35.36,120.13,
06/01/2021,01:06:05.29,-21.00,-997.07,-162.11,-3.78,0.18,-1.46,-62.25,17.85,-7.35,35.17,120.14,
06/01/2021,01:06:05.30,-13.67,-994.14,-172.85,0.24,-1.52,0.55,-62.25,17.85,-7.35,35.17,120.14,
06/01/2021,01:06:05.31,-15.62,-981.45,-171.88,-0.61,0.37,1.34,-64.05,16.05,-8.40,35.07,120.13,
06/01/2021,01:06:05.32,-11.72,-982.42,-173.83,-2.68,-0.37,-2.01,-64.05,16.05,-8.40,35.17,120.13,
06/01/2021,01:06:05.32,-16.60,-996.09,-170.90,-1.71,2.62,-0.30,-64.35,18.00,-9.00,35.17,120.14,
06/01/2021,01:06:05.33,-17.58,-982.91,-171.39,-2.87,-0.18,-0.24,-64.35,18.00,-9.00,34.88,120.14,
06/01/2021,01:06:05.33,-16.11,-987.30,-175.78,-1.34,-1.71,0.49,-62.85,18.45,-9.45,35.17,120.14,
06/01/2021,01:06:05.35,-8.79,-984.38,-158.69,1.59,-0.61,-0.55,-63.00,17.10,-7.80,35.17,120.13,
06/01/2021,01:06:05.36,-14.65,-993.65,-165.53,-1.46,0.43,-0.55,-63.00,17.10,-7.80,35.46,120.14,
06/01/2021,01:06:05.36,-5.37,-989.26,-162.11,0.85,-1.52,0.30,-63.00,17.10,-7.80,34.88,120.14,
06/01/2021,01:06:05.37,-16.60,-996.58,-175.29,-0.98,-0.73,-0.91,-63.00,17.10,-7.80,35.03,120.14,
06/01/2021,01:06:05.37,-0.98,-987.79,-164.55,-1.40,-0.49,0.61,-63.75,17.85,-9.30,34.93,120.14,
06/01/2021,01:06:05.38,-11.23,-986.82,-162.11,-2.62,0.12,-1.77,-63.75,17.85,-9.30,34.93,120.14,
06/01/2021,01:06:05.39,-19.53,-982.42,-171.39,-1.83,2.44,0.61,-65.40,17.25,-7.65,35.22,120.14,
06/01/2021,01:06:05.40,-12.70,-996.09,-167.97,-2.20,1.16,1.28,-65.40,17.25,-7.65,35.22,120.14,
06/01/2021,01:06:05.41,-7.81,-998.54,-168.95,-2.01,-0.79,-0.98,-64.20,18.15,-8.55,35.36,120.14,
06/01/2021,01:06:05.41,-18.55,-994.14,-165.53,-2.44,1.65,-1.28,-61.95,18.90,-8.85,35.07,120.14,
06/01/2021,01:06:05.42,-10.25,-996.58,-165.53,-1.40,2.13,-1.22,-61.95,18.90,-8.85,35.55,120.14,
06/01/2021,01:06:05.43,-27.34,-979.98,-170.41,-0.24,1.10,-0.37,-63.30,16.80,-7.95,35.17,120.14,
06/01/2021,01:06:05.44,-4.39,-978.52,-169.43,-0.61,1.77,1.34,-63.30,16.80,-7.95,35.22,120.14,
06/01/2021,01:06:05.44,3.42,-989.75,-158.20,-2.44,-0.98,-0.24,-62.70,17.10,-9.30,35.17,120.14,
06/01/2021,01:06:05.45,-5.86,-989.26,-164.06,-1.65,0.79,-0.61,-62.70,17.10,-9.30,35.22,120.14,
06/01/2021,01:06:05.46,-11.72,-983.89,-164.55,-1.89,-0.43,1.65,-62.70,17.10,-9.30,35.46,120.14,
06/01/2021,01:06:05.47,-7.32,-981.93,-165.53,-0.79,0.37,-1.34,-62.85,18.45,-9.75,35.36,120.14,
06/01/2021,01:06:05.48,-11.23,-997.56,-175.29,0.18,0.67,-0.91,-62.85,18.45,-9.75,35.17,120.14,
06/01/2021,01:06:05.48,-10.74,-990.72,-164.55,0.98,0.49,3.60,-63.45,18.90,-10.05,35.27,120.14,
06/01/2021,01:06:05.49,-4.39,-974.12,-171.88,-1.16,-1.28,0.49,-63.45,18.90,-10.05,35.07,120.14,
06/01/2021,01:06:05.50,-11.23,-994.14,-174.32,0.37,0.18,1.04,-64.05,17.55,-9.00,35.36,120.14,
06/01/2021,01:06:05.50,-13.67,-988.77,-163.09,-2.13,2.44,2.07,-63.30,18.75,-9.00,35.07,120.14,
06/01/2021,01:06:05.52,-1.46,-986.82,-179.20,-0.98,1.52,-1.10,-64.95,17.10,-7.35,35.27,120.14,
06/01/2021,01:06:05.52,-7.81,-991.70,-174.32,1.59,0.98,1.46,-65.40,17.55,-8.40,35.22,120.14,
06/01/2021,01:06:05.53,-14.16,-993.65,-174.32,-2.44,0.37,-1.71,-65.40,17.55,-8.40,35.03,120.14,
06/01/2021,01:06:05.53,-13.18,-980.47,-175.29,-0.55,-0.91,1.59,-61.20,17.85,-8.10,35.22,120.14,
06/01/2021,01:06:05.54,-8.79,-987.30,-185.55,-0.67,-0.91,1.16,-61.20,17.85,-8.10,35.22,120.14,
06/01/2021,01:06:05.55,-25.39,-983.40,-180.18,-2.93,0.30,-1.89,-63.60,18.45,-8.40,35.17,120.14,
06/01/2021,01:06:05.56,-20.51,-992.19,-167.48,-0.98,-0.85,0.49,-63.60,18.45,-8.40,34.74,120.14,
06/01/2021,01:06:05.57,-3.42,-972.17,-185.06,-4.09,-0.24,1.16,-63.60,18.45,-8.40,34.93,120.14,
06/01/2021,01:06:05.57,-21.48,-978.03,-168.95,-1.34,-0.43,1.46,-62.85,18.45,-9.45,35.22,120.14,
06/01/2021,01:06:05.58,-11.23,-984.38,-157.23,-1.71,0.73,0.98,-62.85,18.45,-9.45,35.03,120.14,
06/01/2021,01:06:05.59,-17.58,-983.40,-179.69,0.00,-1.71,-1.22,-63.60,17.55,-6.90,35.17,120.14,
06/01/2021,01:06:05.60,-22.46,-982.42,-184.08,-2.56,1.04,-0.61,-63.60,17.55,-6.90,35.27,120.14,
06/01/2021,01:06:05.61,-17.58,-998.05,-171.39,-1.10,0.24,2.13,-61.95,18.15,-9.60,35.27,120.14,
06/01/2021,01:06:05.61,-9.28,-982.91,-171.39,0.30,-2.13,3.96,-61.95,18.15,-9.60,35.27,120.14,
06/01/2021,01:06:05.62,-18.55,-994.63,-181.15,-0.06,0.24,2.56,-63.30,17.55,-9.75,35.17,120.14,
06/01/2021,01:06:05.62,-20.02,-994.63,-181.64,-1.28,0.24,0.06,-63.30,17.55,-9.75,35.07,120.14,
06/01/2021,01:06:05.64,-4.39,-986.82,-177.73,-0.67,0.85,-1.89,-61.35,18.75,-8.70,35.36,120.14,
06/01/2021,01:06:05.64,-13.18,-990.23,-165.53,0.79,0.37,-0.98,-63.60,17.55,-7.20,35.17,120.14,
06/01/2021,01:06:05.65,-14.16,-977.05,-166.02,-2.87,2.44,-1.16,-63.60,17.55,-7.20,35.22,120.14,
06/01/2021,01:06:05.66,-10.74,-990.23,-160.16,-0.79,0.98,-2.50,-63.60,17.55,-7.20,35.07,120.14,
06/01/2021,01:06:05.66,-18.55,-978.03,-166.99,-2.56,0.37,0.79,-63.60,17.55,-7.20,35.22,120.14,
06/01/2021,01:06:05.68,-15.62,-988.28,-169.43,0.61,0.67,-0.55,-63.60,17.55,-8.70,35.17,120.14,
06/01/2021,01:06:05.68,-23.93,-982.42,-165.04,-0.49,-0.18,1.22,-63.60,17.55,-8.70,35.03,120.14,
06/01/2021,01:06:05.69,-14.65,-991.70,-169.92,-2.38,0.55,0.61,-63.00,18.15,-8.85,35.27,120.14,
06/01/2021,01:06:05.69,-9.77,-982.91,-170.41,-1.95,0.61,-0.85,-62.55,18.45,-9.45,35.27,120.14,
06/01/2021,01:06:05.70,-21.97,-981.45,-174.32,1.34,1.16,1.59,-62.55,18.45,-9.45,35.03,120.14,
06/01/2021,01:06:05.72,-24.41,-979.98,-173.83,-2.74,-0.91,-1.46,-63.00,17.40,-8.10,35.27,120.14,
06/01/2021,01:06:05.72,-10.25,-994.63,-179.20,-1.10,-0.67,-0.43,-63.00,17.40,-8.10,35.27,120.14,
06/01/2021,01:06:05.73,-14.16,-990.23,-183.11,-2.80,0.37,-0.98,-63.00,17.40,-8.10,35.22,120.14,
06/01/2021,01:06:05.73,-12.21,-994.14,-177.25,0.12,1.22,0.18,-63.00,17.40,-8.10,35.27,120.14,
06/01/2021,01:06:05.74,-10.25,-982.42,-168.46,-1.77,0.55,-0.79,-63.00,18.90,-9.30,35.46,120.14,
06/01/2021,01:06:05.75,-16.60,-988.28,-160.16,-0.24,-3.23,-1.22,-63.00,18.90,-9.30,35.27,120.14,
06/01/2021,01:06:05.79,-8.30,-983.89,-180.18,0.43,-1.95,1.59,-64.80,18.00,-7.65,35.17,120.14,
