rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:10:08.29,-40.53,-1047.85,-65.92,19.70,4.27,13.23,-66.90,19.95,-7.65,35.17,119.88,
06/01/2021,01:10:08.33,70.31,-958.01,-132.81,14.51,0.43,11.83,-64.95,21.30,-6.75,35.36,119.87,
06/01/2021,01:10:08.35,99.12,-932.13,-152.83,12.68,4.27,5.18,-67.20,21.60,-7.80,35.36,119.87,
06/01/2021,01:10:08.35,121.09,-931.64,-175.78,12.26,3.66,9.51,-67.20,21.60,-7.80,35.36,119.87,
06/01/2021,01:10:08.36,130.37,-915.53,-163.09,13.41,1.52,7.07,-65.85,22.65,-7.95,35.07,119.87,
06/01/2021,01:10:08.38,158.69,-892.58,-144.53,9.94,4.21,5.24,-65.85,22.65,-7.95,35.36,119.87,
06/01/2021,01:10:08.38,153.32,-882.81,-135.25,9.09,5.37,5.79,-65.85,20.25,-7.95,35.55,119.87,
06/01/2021,01:10:08.39,148.93,-886.23,-127.93,9.82,7.26,4.33,-65.85,20.25,-7.95,35.17,119.87,
06/01/2021,01:10:08.39,122.56,-875.00,-122.56,7.99,6.46,2.07,-65.25,22.35,-7.80,35.46,119.87,
06/01/2021,01:10:08.40,129.39,-880.37,-118.65,8.60,4.82,3.05,-63.75,23.25,-9.30,35.46,119.87,
06/01/2021,01:10:08.40,123.54,-881.35,-106.93,5.49,7.20,2.74,-63.75,23.25,-9.30,35.07,119.87,
06/01/2021,01:10:08.42,92.77,-890.14,-132.81,6.34,7.26,3.29,-67.65,21.45,-6.45,35.41,119.87,
06/01/2021,01:10:08.43,91.31,-883.79,-139.65,5.85,8.96,4.88,-67.65,21.45,-6.45,35.46,119.87,
06/01/2021,01:10:08.43,81.05,-887.70,-141.60,4.82,12.56,2.20,-64.80,22.65,-6.90,35.27,119.87,
06/01/2021,01:10:08.44,89.36,-899.90,-148.93,6.16,12.32,5.79,-64.80,22.65,-6.90,35.27,119.87,
06/01/2021,01:10:08.44,74.22,-901.86,-150.39,4.57,15.06,5.00,-64.80,22.65,-6.90,35.36,119.87,
06/01/2021,01:10:08.46,107.91,-887.70,-168.95,3.35,13.84,5.30,-64.20,22.35,-7.05,35.70,119.87,
06/01/2021,01:10:08.46,116.21,-888.18,-161.13,5.18,13.41,4.39,-64.20,22.35,-7.05,35.36,119.87,
06/01/2021,01:10:08.47,121.09,-891.60,-161.62,1.77,11.77,3.35,-64.35,22.20,-8.40,35.07,119.87,
06/01/2021,01:10:08.48,117.19,-884.77,-152.83,2.99,13.23,5.18,-64.35,22.20,-8.40,35.36,119.87,
06/01/2021,01:10:08.48,125.00,-888.67,-160.16,6.95,11.28,5.24,-64.95,22.05,-7.80,35.22,119.87,
06/01/2021,01:10:08.50,143.55,-897.95,-154.79,6.89,5.79,6.77,-64.35,22.20,-7.20,35.27,119.87,
06/01/2021,01:10:08.50,119.63,-897.95,-159.18,5.73,7.26,2.50,-65.10,19.95,-7.20,35.27,119.87,
06/01/2021,01:10:08.51,112.79,-909.67,-155.27,3.41,4.94,5.12,-64.50,22.35,-7.35,35.55,119.87,
06/01/2021,01:10:08.52,119.63,-913.57,-165.04,2.87,5.98,2.07,-64.50,22.35,-7.35,35.27,119.87,
06/01/2021,01:10:08.52,92.29,-928.22,-168.46,3.66,4.15,5.06,-64.35,21.00,-6.90,35.41,119.87,
06/01/2021,01:10:08.53,89.84,-936.04,-167.48,-1.52,4.02,6.65,-64.35,21.00,-6.90,35.17,119.87,
06/01/2021,01:10:08.54,64.45,-967.29,-179.69,-2.38,2.62,8.90,-65.25,23.25,-7.05,35.46,119.87,
06/01/2021,01:10:08.55,65.92,-969.24,-182.62,-6.10,8.17,7.56,-65.25,23.25,-7.05,35.55,119.87,
06/01/2021,01:10:08.55,57.62,-983.89,-202.15,-5.55,10.49,10.73,-65.25,23.25,-7.05,35.27,119.87,
