rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:09:07.51,281.74,-895.02,95.70,-7.56,-23.60,-12.01,-64.05,22.95,-3.60,35.55,119.98,
06/01/2021,01:09:07.55,-136.72,-1114.26,0.98,12.50,1.16,3.29,-64.20,22.35,-4.20,35.27,119.98,
06/01/2021,01:09:07.57,-193.36,-1102.05,-26.37,10.30,8.90,19.09,-64.20,22.35,-4.20,35.36,119.98,
06/01/2021,01:09:07.57,-210.94,-1078.12,-41.50,9.76,12.44,23.23,-64.95,22.05,-3.00,35.55,119.98,
06/01/2021,01:09:07.58,-194.34,-1044.43,-41.99,10.37,13.72,26.89,-64.95,22.05,-3.00,35.27,119.98,
06/01/2021,01:09:07.60,-135.25,-953.12,-53.71,5.24,20.12,30.30,-64.50,23.25,-4.50,35.55,119.98,
06/01/2021,01:09:07.60,-100.10,-912.60,-52.25,2.80,19.33,28.11,-64.50,23.25,-4.50,35.55,119.98,
06/01/2021,01:09:07.61,-72.27,-885.74,-65.43,1.16,20.06,24.94,-65.25,24.00,-3.00,35.27,119.98,
06/01/2021,01:09:07.61,-43.46,-854.49,-75.20,-1.77,20.91,22.13,-64.35,23.40,-3.90,35.75,119.98,
06/01/2021,01:09:07.62,-15.14,-844.24,-87.40,-3.41,20.00,18.72,-64.35,23.40,-3.90,35.60,119.98,
06/01/2021,01:09:07.63,22.46,-843.26,-94.24,-5.98,24.57,10.37,-64.05,22.20,-3.90,35.55,119.98,
06/01/2021,01:09:07.64,44.43,-853.52,-83.98,-6.59,27.99,8.96,-64.05,22.20,-3.90,35.55,119.98,
06/01/2021,01:09:07.65,50.29,-852.54,-102.05,-3.35,28.05,7.07,-64.05,23.70,-3.90,35.36,119.98,
06/01/2021,01:09:07.65,89.36,-854.98,-94.73,-3.96,28.35,9.76,-64.05,23.70,-3.90,35.27,119.98,
06/01/2021,01:09:07.66,86.43,-860.35,-102.54,-2.99,33.60,7.68,-64.05,23.70,-3.90,35.46,119.98,
06/01/2021,01:09:07.66,112.30,-865.72,-98.14,-2.32,33.90,4.27,-62.10,24.60,-4.65,35.46,119.98,
06/01/2021,01:09:07.68,108.89,-884.28,-78.12,0.79,33.48,-1.34,-62.10,24.60,-4.65,35.22,119.98,
06/01/2021,01:09:07.69,100.10,-886.72,-87.40,1.95,32.87,2.99,-65.85,23.40,-1.80,35.17,119.98,
06/01/2021,01:09:07.69,97.66,-895.02,-85.94,3.05,31.40,1.83,-65.85,23.40,-1.80,35.27,119.98,
06/01/2021,01:09:07.70,89.36,-900.39,-86.43,1.28,32.07,0.30,-63.00,24.30,-3.75,35.55,119.98,
06/01/2021,01:09:07.70,86.91,-913.09,-88.38,4.02,28.78,2.62,-63.00,24.30,-3.75,35.36,119.98,
06/01/2021,01:09:07.72,86.43,-925.29,-83.98,2.87,30.43,2.62,-64.95,23.55,-4.20,35.36,119.98,
06/01/2021,01:09:07.72,100.10,-914.55,-105.47,5.61,27.50,6.34,-66.45,22.80,-2.25,35.27,119.98,
06/01/2021,01:09:07.73,90.33,-913.57,-110.35,3.41,27.56,6.71,-66.45,22.80,-2.25,35.36,119.98,
06/01/2021,01:09:07.74,87.40,-911.13,-114.75,5.00,27.44,6.22,-64.50,23.25,-3.45,35.22,119.98,
06/01/2021,01:09:07.74,101.56,-913.09,-110.84,2.56,28.35,7.44,-64.50,23.25,-3.45,35.27,119.98,
06/01/2021,01:09:07.75,99.12,-907.23,-126.46,1.95,28.60,5.43,-64.50,23.25,-3.45,35.27,119.98,
06/01/2021,01:09:07.76,83.50,-907.23,-130.86,0.79,28.29,7.80,-66.00,23.55,-3.45,35.27,119.98,
06/01/2021,01:09:07.77,60.06,-904.79,-123.05,0.12,25.43,13.54,-66.00,23.55,-3.45,35.27,119.98,
06/01/2021,01:09:07.77,60.06,-914.06,-117.19,1.16,26.22,11.89,-66.60,24.60,-3.60,35.46,119.98,
06/01/2021,01:09:07.78,26.37,-911.13,-114.26,0.43,24.09,10.85,-66.60,24.60,-3.60,35.36,119.98,
06/01/2021,01:09:07.79,41.99,-910.16,-110.35,-0.49,23.66,12.50,-66.00,24.00,-3.45,35.36,119.98,
06/01/2021,01:09:07.80,25.39,-922.36,-89.84,1.95,23.17,12.68,-65.10,23.40,-1.80,35.55,119.98,
06/01/2021,01:09:07.81,30.27,-947.27,-98.14,2.56,22.62,12.80,-67.20,24.30,-1.20,35.27,119.98,
06/01/2021,01:09:07.81,34.18,-965.82,-96.19,4.21,20.79,14.82,-67.20,24.30,-1.20,35.60,119.98,
06/01/2021,01:09:07.82,29.79,-968.26,-109.86,1.83,24.09,12.87,-65.25,24.00,-3.00,35.27,119.98,
06/01/2021,01:09:07.82,35.16,-987.79,-126.95,-1.77,25.73,11.46,-65.85,25.35,-3.00,35.55,119.98,
06/01/2021,01:09:07.84,0.49,-1081.05,-163.57,-4.51,25.55,12.07,-65.85,25.35,-3.60,35.46,119.98,
06/01/2021,01:09:07.85,-9.28,-1115.23,-184.57,-6.40,30.06,10.73,-68.25,22.80,-1.20,35.46,119.98,
06/01/2021,01:09:07.85,-9.28,-1148.93,-214.84,-11.52,26.59,9.51,-68.25,22.80,-1.20,35.60,119.98,
06/01/2021,01:09:07.86,-18.07,-1173.83,-228.52,-13.05,29.94,12.74,-68.25,22.80,-1.20,35.27,119.98,
06/01/2021,01:09:07.86,-10.74,-1200.68,-245.61,-16.22,36.10,12.20,-68.25,22.80,-1.20,35.22,119.98,
06/01/2021,01:09:07.88,-45.41,-1215.82,-291.99,-23.11,43.72,10.49,-67.20,24.75,-3.00,35.27,119.98,
06/01/2021,01:09:07.89,-43.95,-1213.38,-310.06,-25.73,46.46,12.44,-66.15,24.15,-3.00,35.22,119.98,
06/01/2021,01:09:07.89,-90.82,-1238.28,-296.88,-27.80,45.30,11.89,-66.15,24.15,-2.10,35.07,119.98,
06/01/2021,01:09:07.90,-115.72,-1290.53,-285.16,-30.61,47.20,11.04,-66.75,25.50,-3.45,35.55,119.98,
06/01/2021,01:09:07.90,-133.30,-1357.42,-236.82,-33.66,47.01,10.43,-66.75,25.50,-3.45,35.36,119.98,
06/01/2021,01:09:07.91,-123.54,-1425.78,-160.16,-35.00,45.61,13.23,-66.45,23.55,-3.75,35.60,119.98,
06/01/2021,01:09:07.93,-37.60,-1393.55,77.64,-37.38,47.44,3.54,-67.50,25.05,-3.45,35.55,119.98,
06/01/2021,01:09:07.93,14.65,-1312.01,141.60,-35.98,46.10,2.32,-67.50,25.05,-3.45,35.36,119.98,
06/01/2021,01:09:07.94,68.85,-1227.54,149.41,-30.73,47.20,2.87,-67.20,24.00,-4.20,35.41,119.98,
06/01/2021,01:09:07.94,96.68,-1162.11,113.28,-23.96,41.04,1.34,-67.20,24.00,-4.20,35.55,119.98,
06/01/2021,01:09:07.95,90.82,-1109.38,57.13,-18.96,33.41,0.67,-67.20,24.00,-4.20,35.27,119.98,
06/01/2021,01:09:07.96,48.83,-1110.84,-100.10,2.93,26.83,-3.90,-66.75,24.75,-4.80,35.22,119.98,
06/01/2021,01:09:07.97,41.50,-1100.59,-131.84,6.34,24.88,-4.88,-69.15,24.60,-2.85,35.36,119.98,
06/01/2021,01:09:07.98,17.09,-1091.80,-146.97,6.89,33.29,-7.68,-69.15,24.60,-2.85,35.60,119.98,
06/01/2021,01:09:07.98,-6.84,-1056.15,-133.30,6.16,40.91,-7.13,-67.95,25.80,-3.75,35.36,119.98,
06/01/2021,01:09:07.99,-35.64,-1006.84,-99.12,5.49,48.41,-11.89,-68.55,24.75,-3.45,35.36,119.98,
06/01/2021,01:09:08.00,-135.74,-886.23,15.62,1.16,66.95,-12.62,-68.85,23.70,-2.10,35.41,119.98,
06/01/2021,01:09:08.01,-164.06,-861.33,66.89,0.06,71.95,-11.95,-71.10,24.60,-0.60,35.36,119.98,
06/01/2021,01:09:08.02,-209.96,-828.61,105.47,1.22,73.23,-9.21,-71.10,24.60,-0.60,35.22,119.98,
06/01/2021,01:09:08.02,-240.23,-830.08,123.54,0.61,76.22,-9.21,-71.10,24.60,-0.60,35.46,119.98,
06/01/2021,01:09:08.03,-251.46,-831.54,164.06,2.99,77.01,-7.62,-71.10,24.60,-0.60,35.36,119.98,
06/01/2021,01:09:08.07,-102.54,-1000.49,-8.30,7.20,44.45,2.44,-71.70,26.40,-1.80,35.22,119.98,
