rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:13:12.28,-352.54,-963.87,-113.77,-1.77,-3.35,2.01,20.85,-29.40,7.80,34.88,118.09,
06/01/2021,01:13:12.32,-328.61,-957.52,-132.81,0.12,-1.52,2.32,21.90,-28.95,7.05,35.03,118.08,
06/01/2021,01:13:12.34,-335.94,-963.87,-129.88,0.24,-1.28,2.50,21.60,-29.70,7.05,35.03,118.08,
06/01/2021,01:13:12.34,-318.85,-959.47,-126.95,0.12,-0.24,3.72,21.60,-28.50,7.80,34.93,118.08,
06/01/2021,01:13:12.35,-326.17,-955.57,-124.51,-0.30,-1.10,0.49,21.60,-28.50,7.80,34.40,118.08,
06/01/2021,01:13:12.37,-337.40,-949.22,-126.95,0.00,-0.91,1.59,20.25,-29.55,7.95,34.88,118.08,
06/01/2021,01:13:12.37,-330.08,-965.33,-112.79,2.01,-0.73,1.77,20.25,-29.55,7.95,34.88,118.08,
06/01/2021,01:13:12.38,-339.84,-957.03,-115.72,0.49,-0.43,2.62,21.90,-30.15,9.30,34.93,118.08,
06/01/2021,01:13:12.38,-346.68,-958.98,-118.16,2.44,-1.71,1.65,21.90,-30.15,9.30,34.74,118.08,
06/01/2021,01:13:12.39,-345.70,-954.10,-129.88,-0.98,-0.37,-0.61,21.90,-28.95,7.35,34.83,118.08,
06/01/2021,01:13:12.41,-353.52,-962.89,-118.16,1.52,-0.06,1.71,22.20,-28.35,7.20,34.93,118.08,
06/01/2021,01:13:12.41,-360.84,-958.50,-131.84,-0.43,-1.40,2.13,22.20,-28.35,7.20,34.64,118.08,
06/01/2021,01:13:12.42,-357.91,-954.10,-119.14,-0.98,0.98,2.38,22.20,-28.35,7.20,34.74,118.08,
06/01/2021,01:13:12.42,-354.00,-963.38,-129.39,0.12,0.00,-0.67,22.20,-28.35,7.20,34.64,118.08,
06/01/2021,01:13:12.43,-362.79,-955.57,-126.95,1.46,0.12,1.77,23.25,-29.55,7.95,34.74,118.08,
06/01/2021,01:13:12.43,-368.65,-958.98,-136.23,1.16,0.00,0.49,21.75,-27.60,6.15,34.93,118.08,
06/01/2021,01:13:12.45,-355.96,-963.87,-118.65,-1.71,-0.91,2.07,21.75,-28.80,6.45,34.93,118.08,
06/01/2021,01:13:12.46,-367.19,-970.21,-131.35,-0.61,0.06,-0.06,21.45,-29.10,7.65,34.93,118.08,
06/01/2021,01:13:12.46,-367.19,-960.45,-121.09,1.52,-0.73,-0.67,21.45,-29.10,7.65,34.93,118.08,
06/01/2021,01:13:12.47,-379.88,-968.75,-129.39,-1.40,-2.26,-0.79,23.10,-29.40,7.05,34.93,118.08,
06/01/2021,01:13:12.47,-365.72,-959.96,-131.84,-1.16,-3.78,1.22,23.10,-29.40,7.05,34.64,118.09,
06/01/2021,01:13:12.49,-369.63,-959.96,-128.91,-1.28,-0.73,1.89,22.95,-28.80,7.65,34.93,118.08,
06/01/2021,01:13:12.50,-368.16,-963.87,-125.49,-1.46,-1.71,4.21,22.35,-29.40,7.80,34.93,118.08,
06/01/2021,01:13:12.50,-377.93,-979.49,-132.81,-0.12,-3.66,3.35,22.35,-29.40,7.80,34.69,118.08,
06/01/2021,01:13:12.51,-374.51,-979.00,-130.86,-1.59,-1.77,1.46,22.35,-29.40,7.80,34.64,118.09,
06/01/2021,01:13:12.51,-358.89,-965.33,-122.07,-4.76,-1.95,2.62,22.35,-29.40,7.80,34.74,118.09,
06/01/2021,01:13:12.53,-345.70,-965.33,-118.16,-0.91,-3.23,5.24,21.75,-28.80,7.65,34.93,118.08,
06/01/2021,01:13:12.54,-346.68,-951.17,-116.70,-2.62,-3.29,0.67,21.75,-28.80,7.95,34.74,118.08,
06/01/2021,01:13:12.54,-332.03,-969.24,-115.23,-2.56,-1.95,1.16,21.75,-28.80,7.95,34.55,118.09,
06/01/2021,01:13:12.55,-341.31,-965.33,-132.81,-2.87,-5.18,2.56,23.40,-31.20,7.35,34.93,118.09,
