rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:08:08.07,-382.81,-934.57,-124.51,-5.37,1.10,2.13,-4.05,-41.40,51.15,35.55,118.55,
06/01/2021,01:08:08.11,-388.18,-940.43,-130.86,-1.46,-0.61,3.90,-4.05,-43.35,51.15,35.55,118.55,
06/01/2021,01:08:08.13,-401.37,-931.15,-122.56,-2.62,1.77,0.91,-3.30,-43.80,52.20,35.94,118.55,
06/01/2021,01:08:08.13,-392.58,-932.13,-113.77,-2.20,0.98,1.65,-3.30,-43.80,52.20,35.89,118.55,
06/01/2021,01:08:08.14,-388.18,-938.96,-130.37,-2.50,0.30,3.41,-4.35,-41.85,51.45,35.60,118.55,
06/01/2021,01:08:08.16,-397.95,-942.38,-124.02,-1.40,0.49,0.00,-4.05,-42.60,50.70,35.94,118.55,
06/01/2021,01:08:08.16,-386.72,-936.04,-132.81,-1.95,-0.12,0.98,-4.05,-42.60,50.70,35.79,118.55,
06/01/2021,01:08:08.17,-381.35,-938.48,-130.37,-0.49,1.04,0.55,-3.45,-41.25,51.30,35.79,118.55,
06/01/2021,01:08:08.17,-387.21,-941.89,-115.23,-1.59,0.79,0.00,-3.45,-41.25,51.30,35.79,118.55,
06/01/2021,01:08:08.18,-389.16,-952.15,-123.05,-2.32,-0.12,0.73,-3.00,-42.45,51.00,36.08,118.55,
06/01/2021,01:08:08.19,-380.37,-946.29,-131.35,-0.61,0.06,-0.12,-1.65,-42.00,51.00,35.79,118.55,
06/01/2021,01:08:08.20,-389.65,-934.57,-129.39,-0.61,-0.67,-0.24,-1.65,-42.00,51.00,35.79,118.55,
06/01/2021,01:08:08.21,-394.04,-943.85,-130.86,0.43,0.67,-1.52,-1.65,-42.00,51.00,35.70,118.55,
06/01/2021,01:08:08.21,-383.79,-936.52,-137.70,0.00,-0.12,-0.79,-1.65,-42.00,51.00,35.79,118.55,
06/01/2021,01:08:08.22,-390.14,-946.29,-127.44,-1.59,0.67,1.40,-4.05,-41.40,51.15,35.79,118.55,
06/01/2021,01:08:08.22,-394.53,-934.08,-139.65,0.43,1.52,0.55,-4.05,-41.40,51.15,36.22,118.55,
