rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:15:14.03,-948.24,-862.30,-508.30,91.52,-100.24,-109.70,24.00,-12.60,1.80,34.02,118.02,
06/01/2021,01:15:14.07,-847.66,-835.94,-474.12,73.72,-61.77,-93.11,24.60,-17.85,5.25,34.40,118.02,
06/01/2021,01:15:14.08,-805.66,-828.12,-453.61,67.68,-41.59,-88.41,24.60,-17.85,5.25,34.50,118.02,
06/01/2021,01:15:14.09,-793.46,-831.05,-440.43,67.74,-36.65,-87.13,26.55,-18.45,5.10,34.31,118.02,
06/01/2021,01:15:14.10,-778.32,-826.17,-423.34,63.54,-30.37,-84.21,25.65,-17.40,4.20,34.40,118.02,
06/01/2021,01:15:14.11,-733.40,-827.15,-417.48,61.10,-17.93,-81.10,25.80,-18.45,5.40,34.40,118.02,
06/01/2021,01:15:14.12,-708.01,-846.19,-405.76,61.59,-13.84,-79.70,25.05,-20.70,6.15,34.64,118.02,
06/01/2021,01:15:14.12,-706.54,-835.45,-398.44,61.04,-11.04,-78.41,25.05,-20.70,6.15,34.36,118.02,
06/01/2021,01:15:14.13,-694.34,-850.10,-401.37,56.46,-7.01,-77.62,25.80,-22.20,4.65,34.64,118.02,
06/01/2021,01:15:14.14,-676.76,-847.17,-410.64,55.79,-2.01,-76.52,23.70,-20.70,4.65,34.50,118.02,
06/01/2021,01:15:14.15,-648.93,-864.75,-400.88,53.90,1.04,-73.17,23.70,-20.70,4.65,34.55,118.02,
06/01/2021,01:15:14.16,-646.97,-877.93,-382.32,51.59,1.22,-70.67,23.70,-23.70,6.15,34.55,118.02,
06/01/2021,01:15:14.16,-646.48,-870.12,-380.37,49.76,2.26,-68.96,23.70,-23.70,6.15,34.69,118.02,
06/01/2021,01:15:14.17,-646.00,-881.84,-375.00,46.04,0.24,-68.11,23.70,-23.70,6.15,34.50,118.02,
06/01/2021,01:15:14.18,-634.77,-896.00,-370.12,45.37,-2.68,-67.62,24.30,-22.95,3.90,34.50,118.02,
06/01/2021,01:15:14.19,-573.24,-940.92,-399.41,39.45,-31.52,-53.11,25.05,-24.60,5.10,34.21,118.02,
06/01/2021,01:15:14.20,-600.59,-965.33,-380.86,37.13,-48.41,-48.41,23.70,-23.40,6.15,34.50,118.02,
06/01/2021,01:15:14.20,-558.59,-986.82,-434.08,27.38,-69.94,-41.71,23.70,-23.40,6.15,34.50,118.02,
06/01/2021,01:15:14.21,-542.97,-1010.74,-431.64,14.88,-96.65,-36.46,23.40,-25.05,6.00,34.64,118.02,
06/01/2021,01:15:14.22,-559.08,-1026.37,-493.65,0.61,-121.89,-31.28,22.95,-26.10,8.40,34.50,118.02,
06/01/2021,01:15:14.23,-738.77,-1019.53,-515.62,-21.04,-116.04,-17.93,24.75,-26.40,6.90,34.40,118.02,
06/01/2021,01:15:14.24,-798.34,-1021.00,-470.70,-26.89,-103.17,-16.40,24.90,-25.50,7.80,34.50,118.02,
06/01/2021,01:15:14.24,-779.79,-976.56,-439.94,-32.20,-91.46,-14.33,24.90,-25.50,7.80,34.50,118.02,
06/01/2021,01:15:14.25,-746.58,-936.52,-410.16,-34.63,-77.93,-14.63,25.80,-25.35,6.90,34.36,118.02,
06/01/2021,01:15:14.26,-712.40,-904.30,-376.95,-36.59,-63.60,-17.01,25.80,-25.35,6.90,34.40,118.02,
06/01/2021,01:15:14.27,-660.16,-829.10,-297.85,-37.07,-36.52,-7.80,25.50,-24.15,7.95,34.40,118.02,
06/01/2021,01:15:14.28,-619.63,-838.38,-284.18,-34.02,-31.04,-5.73,25.50,-24.15,7.95,34.40,118.02,
06/01/2021,01:15:14.28,-597.17,-869.14,-256.35,-28.72,-24.45,-2.26,25.50,-24.15,7.95,34.40,118.02,
06/01/2021,01:15:14.29,-579.10,-895.51,-269.04,-27.07,-17.50,1.16,26.40,-24.00,8.55,34.64,118.02,
06/01/2021,01:15:14.30,-558.11,-911.13,-268.07,-23.17,-10.12,1.04,25.65,-24.30,8.10,34.50,118.02,
06/01/2021,01:15:14.30,-536.62,-922.36,-249.51,-23.60,1.59,-1.28,25.65,-24.30,8.10,34.40,118.02,
06/01/2021,01:15:14.32,-532.23,-891.11,-206.54,-18.29,18.78,-5.43,27.00,-25.65,7.65,34.50,118.02,
06/01/2021,01:15:14.32,-524.41,-887.70,-203.12,-22.68,27.32,-2.87,27.00,-25.65,7.65,34.40,118.02,
06/01/2021,01:15:14.33,-517.58,-882.32,-194.34,-18.60,30.98,-5.18,26.70,-25.50,8.10,34.64,118.02,
06/01/2021,01:15:14.34,-502.93,-874.02,-183.59,-18.60,35.30,-2.20,25.80,-26.10,9.45,34.64,118.02,
06/01/2021,01:15:14.34,-522.95,-867.19,-167.97,-18.29,35.06,-2.32,25.80,-26.10,9.45,34.50,118.02,
06/01/2021,01:15:14.36,-477.05,-896.48,-166.99,-18.72,31.46,-1.46,26.40,-24.75,8.10,34.31,118.02,
