rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:14:13.14,-620.12,-851.07,-141.60,-19.27,-97.32,63.54,32.40,-20.85,15.90,34.74,118.06,
06/01/2021,01:14:13.18,-794.43,-815.43,-157.23,-27.50,-117.87,84.82,35.25,-17.40,16.50,34.50,118.06,
06/01/2021,01:14:13.20,-848.63,-791.02,-166.02,-23.29,-107.13,85.06,35.70,-17.40,17.25,34.55,118.06,
06/01/2021,01:14:13.20,-830.08,-778.81,-185.55,-25.55,-96.40,87.44,36.45,-15.15,18.45,34.50,118.06,
06/01/2021,01:14:13.21,-833.50,-781.25,-169.92,-25.18,-93.35,86.59,36.45,-15.15,18.45,34.64,118.06,
06/01/2021,01:14:13.23,-840.82,-761.23,-167.48,-21.46,-73.96,89.39,36.75,-14.70,18.75,34.40,118.06,
06/01/2021,01:14:13.23,-844.73,-757.81,-177.25,-21.10,-67.87,91.22,36.75,-14.70,18.75,34.64,118.06,
06/01/2021,01:14:13.24,-862.30,-751.46,-195.31,-20.91,-63.48,93.66,36.75,-14.70,18.75,34.64,118.06,
06/01/2021,01:14:13.24,-856.45,-760.25,-176.27,-20.43,-60.06,94.02,37.50,-11.25,19.05,34.64,118.06,
06/01/2021,01:14:13.25,-882.81,-734.86,-160.16,-19.94,-53.17,97.26,37.50,-11.25,19.05,34.64,118.06,
06/01/2021,01:14:13.27,-915.04,-745.12,-149.90,-18.23,-46.65,101.34,38.25,-11.25,20.25,34.50,118.06,
06/01/2021,01:14:13.27,-929.69,-767.09,-137.21,-16.34,-43.41,104.57,37.95,-10.50,20.55,34.69,118.06,
06/01/2021,01:14:13.28,-940.92,-760.25,-118.16,-16.71,-43.84,108.66,37.95,-10.50,20.55,34.64,118.06,
06/01/2021,01:14:13.28,-943.85,-755.37,-115.72,-15.06,-44.88,108.48,39.30,-10.95,20.25,34.50,118.06,
06/01/2021,01:14:13.29,-958.98,-759.77,-91.31,-15.67,-45.91,116.40,39.30,-10.95,20.25,34.36,118.06,
06/01/2021,01:14:13.31,-978.03,-752.93,-86.43,-11.59,-51.83,123.84,39.75,-10.05,20.55,34.50,118.06,
06/01/2021,01:14:13.31,-972.17,-742.68,-85.94,-9.27,-51.95,124.33,38.25,-8.55,22.80,34.64,118.06,
06/01/2021,01:14:13.32,-980.96,-725.59,-69.34,-8.72,-53.35,128.17,38.25,-8.55,22.80,34.50,118.06,
06/01/2021,01:14:13.32,-993.16,-719.73,-78.12,-7.32,-54.27,131.59,38.25,-8.55,22.80,34.64,118.06,
