rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:12:11.43,-370.61,-964.36,-127.93,-1.52,-1.34,-2.20,22.95,-29.85,10.20,34.93,118.11,
06/01/2021,01:12:11.47,-350.59,-956.05,-136.72,-1.59,-0.61,-1.16,24.90,-27.00,8.55,35.03,118.11,
06/01/2021,01:12:11.49,-355.47,-959.47,-138.67,-3.35,2.26,0.79,24.60,-27.45,10.35,35.03,118.11,
06/01/2021,01:12:11.50,-371.09,-941.41,-131.84,-1.46,-0.18,1.28,26.25,-28.80,9.75,34.93,118.11,
06/01/2021,01:12:11.50,-369.14,-946.29,-131.84,-2.38,2.07,-5.12,26.25,-28.80,9.75,34.88,118.11,
06/01/2021,01:12:11.52,-375.98,-957.52,-137.21,-1.46,-0.06,0.79,25.50,-28.35,9.45,35.03,118.11,
06/01/2021,01:12:11.52,-367.19,-963.87,-123.05,-1.59,-0.85,2.68,25.50,-28.35,9.45,34.93,118.11,
06/01/2021,01:12:11.53,-378.91,-957.03,-138.18,-2.50,0.67,2.87,25.80,-28.05,8.70,34.93,118.11,
06/01/2021,01:12:11.53,-367.68,-962.40,-126.95,-4.39,1.95,3.84,24.15,-27.45,8.85,35.07,118.11,
06/01/2021,01:12:11.54,-367.19,-954.10,-136.72,-2.13,-0.06,2.13,24.15,-27.45,8.85,35.07,118.11,
06/01/2021,01:12:11.56,-378.91,-953.12,-136.72,-1.52,0.18,2.56,24.00,-27.15,8.70,35.03,118.11,
06/01/2021,01:12:11.56,-368.65,-947.75,-143.07,-0.91,-2.01,2.68,24.00,-27.15,8.70,34.93,118.11,
06/01/2021,01:12:11.57,-375.49,-955.57,-140.14,-4.33,-0.12,0.98,25.50,-28.80,9.00,35.07,118.11,
06/01/2021,01:12:11.57,-359.86,-945.31,-139.16,-5.06,2.01,1.22,25.50,-28.80,9.00,35.03,118.11,
06/01/2021,01:12:11.58,-356.93,-934.57,-138.67,-3.96,-0.30,1.46,25.50,-28.80,9.00,34.88,118.11,
06/01/2021,01:12:11.59,-358.89,-961.91,-138.67,-2.56,-0.43,5.98,24.30,-26.40,8.70,34.88,118.11,
06/01/2021,01:12:11.60,-360.84,-956.54,-145.51,-2.62,1.95,0.98,24.30,-27.15,7.95,35.17,118.11,
06/01/2021,01:12:11.61,-352.05,-952.64,-146.97,-4.82,0.98,1.71,24.60,-28.95,12.15,35.07,118.11,
06/01/2021,01:12:11.61,-360.35,-952.64,-134.77,-2.56,1.28,2.38,23.70,-27.60,9.00,35.36,118.11,
06/01/2021,01:12:11.62,-363.28,-956.05,-138.18,-3.05,2.01,1.04,23.70,-27.60,9.00,35.07,118.11,
06/01/2021,01:12:11.62,-353.52,-941.89,-134.28,-3.84,1.77,-0.98,24.90,-27.00,10.35,34.69,118.11,
06/01/2021,01:12:11.64,-340.82,-949.22,-132.81,-2.99,0.30,3.35,26.40,-27.45,8.10,34.93,118.11,
06/01/2021,01:12:11.65,-356.93,-957.03,-146.97,-2.44,0.43,2.26,26.40,-27.45,8.10,35.22,118.11,
06/01/2021,01:12:11.65,-359.38,-957.52,-139.65,-0.61,0.43,1.71,26.40,-27.45,8.10,35.03,118.11,
06/01/2021,01:12:11.66,-349.12,-965.33,-137.21,-1.89,-0.73,3.11,25.35,-28.50,8.85,35.17,118.11,
06/01/2021,01:12:11.66,-342.29,-963.38,-141.11,-4.27,1.65,0.67,25.35,-28.50,8.85,35.27,118.11,
06/01/2021,01:12:11.68,-346.68,-959.96,-148.44,-2.80,0.67,1.52,26.55,-28.05,9.75,35.07,118.11,
06/01/2021,01:12:11.69,-349.61,-966.80,-127.44,-2.68,1.16,-0.06,23.40,-28.20,10.65,35.36,118.11,
06/01/2021,01:12:11.69,-348.14,-958.98,-139.16,-3.23,0.06,-2.01,23.40,-28.20,10.65,35.07,118.11,
06/01/2021,01:12:11.70,-349.61,-950.20,-131.35,-0.73,1.89,1.77,23.10,-27.75,9.60,34.93,118.11,
06/01/2021,01:12:11.70,-360.35,-953.12,-145.02,-0.18,0.67,1.71,23.70,-27.60,8.40,34.93,118.11,
06/01/2021,01:12:11.71,-367.19,-945.31,-132.32,0.43,3.29,1.10,23.70,-27.60,8.40,34.93,118.11,
06/01/2021,01:12:11.73,-357.91,-948.24,-142.58,-0.37,4.15,0.06,24.00,-27.15,9.00,34.93,118.11,
06/01/2021,01:12:11.73,-354.49,-956.54,-154.30,0.55,3.41,-2.62,24.00,-27.15,9.00,35.07,118.11,
06/01/2021,01:12:11.74,-365.72,-967.29,-138.67,0.30,6.40,-1.34,24.00,-28.05,9.45,35.07,118.11,
06/01/2021,01:12:11.74,-354.00,-961.91,-139.65,0.24,3.84,-0.55,23.40,-27.75,9.45,34.74,118.11,
06/01/2021,01:12:11.75,-359.86,-952.15,-137.21,-1.52,3.66,-0.06,23.40,-27.75,9.60,35.27,118.11,
06/01/2021,01:12:11.77,-360.35,-961.43,-166.99,-0.73,3.96,0.30,24.15,-28.20,8.55,34.88,118.11,
06/01/2021,01:12:11.77,-352.05,-962.89,-163.09,-0.37,6.10,-0.61,24.15,-28.20,8.55,35.27,118.11,
06/01/2021,01:12:11.78,-349.12,-946.29,-156.25,-0.91,2.93,-1.65,24.15,-28.20,8.55,35.07,118.11,
06/01/2021,01:12:11.78,-363.28,-948.24,-119.14,-1.28,6.52,0.18,24.15,-28.20,8.55,35.07,118.11,
06/01/2021,01:12:11.79,-371.58,-950.20,-147.95,-2.56,5.79,2.07,23.85,-28.50,10.35,35.03,118.11,
06/01/2021,01:12:11.80,-354.98,-952.15,-136.23,-1.10,5.24,2.07,24.30,-28.80,9.00,35.07,118.11,
06/01/2021,01:12:11.81,-361.82,-954.10,-152.34,-0.61,2.87,3.48,24.30,-28.80,9.00,34.88,118.11,
06/01/2021,01:12:11.82,-346.68,-942.87,-141.11,-2.20,3.17,2.68,22.35,-29.40,8.85,35.07,118.11,
06/01/2021,01:12:11.82,-355.47,-951.17,-147.95,-3.29,2.68,2.93,22.35,-29.40,8.85,34.93,118.11,
06/01/2021,01:12:11.83,-353.03,-951.66,-141.60,-2.62,1.83,4.51,24.30,-29.10,9.75,35.46,118.11,
06/01/2021,01:12:11.83,-358.40,-952.15,-139.65,-3.78,1.28,1.65,25.05,-28.35,8.40,34.93,118.11,
06/01/2021,01:12:11.85,-358.89,-958.50,-156.74,-4.15,-2.07,3.96,25.05,-28.35,8.40,35.41,118.11,
06/01/2021,01:12:11.86,-350.10,-956.54,-157.23,-2.87,-2.32,2.32,24.90,-27.45,9.60,35.17,118.11,
06/01/2021,01:12:11.86,-358.89,-937.99,-155.27,-3.23,-0.79,4.45,24.90,-27.45,9.60,34.93,118.11,
06/01/2021,01:12:11.87,-367.19,-958.01,-140.14,-2.87,1.46,3.60,24.90,-27.45,9.60,34.83,118.11,
06/01/2021,01:12:11.87,-365.23,-946.78,-150.88,-4.27,-0.37,1.59,24.90,-27.45,9.60,35.17,118.11,
06/01/2021,01:12:11.89,-349.61,-957.03,-147.46,-2.50,0.37,3.78,24.60,-28.50,8.55,34.93,118.11,
06/01/2021,01:12:11.89,-351.07,-946.78,-150.39,-3.23,1.52,3.66,23.70,-28.05,8.70,35.07,118.11,
06/01/2021,01:12:11.90,-366.21,-961.43,-148.44,-2.62,0.79,2.62,23.70,-28.05,8.70,35.36,118.11,
06/01/2021,01:12:11.91,-348.14,-959.47,-143.55,-3.48,-4.02,2.50,22.95,-28.35,9.45,35.27,118.11,
06/01/2021,01:12:11.91,-349.12,-959.47,-140.62,-3.29,-0.55,3.29,22.95,-28.35,9.45,35.07,118.11,
06/01/2021,01:12:11.93,-354.49,-955.57,-148.44,-4.27,-1.65,2.62,23.10,-28.95,9.60,34.93,118.11,
06/01/2021,01:12:11.93,-362.30,-951.66,-150.39,-4.70,-0.61,2.68,22.65,-27.45,10.65,35.07,118.11,
06/01/2021,01:12:11.94,-352.05,-956.05,-149.41,-2.07,-2.38,1.83,22.65,-27.45,10.65,35.27,118.11,
06/01/2021,01:12:11.95,-354.98,-952.64,-138.18,-4.02,-1.52,3.60,23.40,-28.95,9.30,35.03,118.11,
06/01/2021,01:12:11.98,-357.91,-949.71,-145.51,-0.12,4.39,1.59,23.10,-30.15,10.05,35.03,118.11,
06/01/2021,01:12:12.01,-344.73,-963.38,-137.21,0.43,2.01,0.98,24.60,-27.45,10.05,34.93,118.11,
06/01/2021,01:12:12.01,-350.59,-959.96,-139.65,0.85,2.87,1.28,24.60,-27.45,10.05,35.07,118.11,
06/01/2021,01:12:12.02,-346.68,-952.15,-146.97,-1.04,2.32,0.55,23.70,-27.60,9.00,34.74,118.11,
06/01/2021,01:12:12.02,-332.52,-959.96,-140.14,-0.73,1.77,-0.79,23.70,-27.60,9.00,35.36,118.11,
06/01/2021,01:12:12.03,-344.73,-963.38,-135.74,-1.89,3.05,2.26,24.00,-29.55,9.75,34.93,118.11,
06/01/2021,01:12:12.03,-349.12,-953.61,-147.46,-0.61,1.46,-0.49,24.75,-28.35,7.95,35.03,118.11,
06/01/2021,01:12:12.05,-359.38,-946.78,-148.93,-1.28,2.13,-1.04,24.75,-28.35,7.95,34.93,118.11,
06/01/2021,01:12:12.06,-354.00,-949.22,-139.65,0.49,2.80,-1.04,23.70,-26.85,10.20,35.17,118.11,
