rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:11:10.57,-354.98,-951.17,-134.28,-3.84,-1.46,2.62,26.55,-26.85,12.75,35.17,118.15,
06/01/2021,01:11:10.61,-346.68,-951.17,-142.09,-4.09,-1.65,-0.85,25.50,-27.15,12.75,35.41,118.15,
06/01/2021,01:11:10.63,-365.23,-946.29,-125.49,-3.05,-0.49,0.43,26.10,-27.45,11.40,35.46,118.15,
06/01/2021,01:11:10.64,-362.79,-947.75,-125.98,-2.13,-0.79,1.89,26.10,-27.45,11.40,35.36,118.15,
06/01/2021,01:11:10.64,-354.00,-961.43,-127.44,0.06,-2.50,-0.55,26.10,-27.45,11.40,35.17,118.15,
06/01/2021,01:11:10.66,-362.30,-952.15,-136.23,0.91,0.18,1.10,27.30,-28.05,10.95,35.41,118.15,
06/01/2021,01:11:10.66,-368.65,-946.29,-136.72,-1.16,-2.13,1.83,27.30,-28.05,10.95,35.36,118.15,
06/01/2021,01:11:10.67,-353.52,-946.29,-138.18,-2.07,-0.61,2.07,26.70,-28.20,11.40,35.36,118.15,
06/01/2021,01:11:10.67,-366.70,-960.94,-125.49,-2.93,0.73,0.30,26.70,-28.20,11.40,35.36,118.15,
06/01/2021,01:11:10.68,-352.54,-957.03,-145.51,-1.34,-0.37,0.00,27.45,-27.45,12.15,35.07,118.15,
06/01/2021,01:11:10.70,-366.70,-955.08,-127.44,-4.15,-2.44,1.04,26.40,-27.45,11.10,35.27,118.15,
06/01/2021,01:11:10.70,-359.86,-958.01,-138.67,-0.67,-2.32,1.65,26.40,-27.45,11.10,35.07,118.15,
06/01/2021,01:11:10.71,-372.56,-947.27,-139.65,-3.17,0.91,-0.30,25.80,-27.15,11.25,35.07,118.15,
06/01/2021,01:11:10.71,-368.16,-959.96,-127.93,-3.60,0.91,-0.98,25.80,-27.15,11.25,35.27,118.15,
06/01/2021,01:11:10.72,-365.23,-956.54,-133.30,-2.32,0.30,2.13,27.30,-28.35,12.30,34.93,118.15,
06/01/2021,01:11:10.73,-361.33,-947.75,-117.19,0.00,-2.13,2.56,27.30,-28.35,12.30,35.07,118.15,
06/01/2021,01:11:10.74,-375.00,-950.68,-131.84,-1.71,-2.62,0.24,27.45,-28.95,12.15,35.07,118.15,
06/01/2021,01:11:10.75,-367.68,-951.17,-131.84,0.00,-0.85,1.77,27.45,-28.95,12.15,35.07,118.15,
06/01/2021,01:11:10.75,-373.54,-956.54,-140.14,-2.32,-2.44,0.85,27.45,-28.95,12.15,35.17,118.15,
06/01/2021,01:11:10.76,-360.35,-953.12,-122.07,1.71,-1.89,3.29,27.30,-27.15,11.70,35.46,118.15,
06/01/2021,01:11:10.77,-363.77,-952.15,-128.91,-0.67,0.06,1.40,26.10,-26.25,11.85,35.22,118.15,
06/01/2021,01:11:10.78,-367.68,-967.77,-130.37,-1.89,1.28,-0.91,27.75,-27.60,10.95,35.41,118.15,
06/01/2021,01:11:10.79,-354.49,-948.24,-127.93,-1.46,2.50,2.20,27.15,-26.25,10.65,35.27,118.15,
06/01/2021,01:11:10.79,-362.30,-954.10,-130.86,-2.93,-0.30,-1.52,27.15,-26.25,10.65,35.27,118.15,
06/01/2021,01:11:10.80,-355.96,-950.68,-125.49,-1.16,-0.91,1.65,27.30,-26.40,11.25,35.46,118.15,
06/01/2021,01:11:10.81,-366.21,-950.68,-129.39,-3.05,-2.93,0.43,27.30,-26.40,11.25,35.46,118.15,
06/01/2021,01:11:10.82,-377.44,-961.43,-127.93,-0.61,-1.65,2.56,26.25,-24.90,9.45,35.07,118.15,
06/01/2021,01:11:10.83,-368.65,-958.01,-128.42,-1.59,-1.10,-0.79,25.35,-27.45,11.40,35.46,118.15,
06/01/2021,01:11:10.83,-372.56,-952.15,-127.93,-2.56,-0.12,1.83,25.35,-27.45,11.40,35.07,118.15,
06/01/2021,01:11:10.84,-365.23,-967.29,-126.46,-0.18,-2.56,0.98,25.35,-27.45,11.40,35.46,118.15,
06/01/2021,01:11:10.84,-377.93,-964.84,-134.77,-2.62,1.22,1.10,25.35,-27.45,11.40,35.36,118.15,
06/01/2021,01:11:10.86,-372.07,-943.36,-141.60,-1.65,-0.24,2.38,27.15,-27.45,11.85,35.07,118.15,
06/01/2021,01:11:10.87,-362.79,-946.78,-121.09,-1.10,-2.07,-1.34,26.55,-27.60,10.50,35.17,118.15,
06/01/2021,01:11:10.87,-378.91,-957.03,-120.12,-0.12,-1.28,4.39,26.55,-27.60,10.50,35.17,118.15,
06/01/2021,01:11:10.88,-360.35,-942.87,-119.63,-3.29,-0.85,-0.91,26.40,-26.70,11.10,35.36,118.15,
06/01/2021,01:11:10.88,-361.33,-961.91,-124.51,-2.68,-1.16,2.07,26.40,-26.70,11.10,35.36,118.15,
06/01/2021,01:11:10.90,-366.70,-950.20,-130.86,-2.50,0.91,0.73,26.70,-28.20,11.85,35.36,118.15,
06/01/2021,01:11:10.91,-359.38,-948.73,-131.35,-0.37,-0.18,1.95,27.45,-27.45,10.35,34.93,118.15,
06/01/2021,01:11:10.91,-373.05,-948.73,-125.49,-0.79,-1.77,2.56,27.45,-27.45,10.35,34.93,118.15,
06/01/2021,01:11:10.92,-364.26,-956.05,-127.93,-1.77,-2.68,1.10,26.70,-27.45,11.85,35.07,118.15,
06/01/2021,01:11:10.92,-374.51,-958.01,-118.16,-1.28,-1.65,3.23,26.70,-27.45,11.85,35.36,118.15,
06/01/2021,01:11:10.93,-369.14,-955.57,-134.77,0.00,-3.05,3.54,26.70,-27.45,11.85,35.46,118.15,
06/01/2021,01:11:10.95,-367.68,-960.45,-127.44,-1.65,-0.30,1.28,26.40,-27.00,10.65,35.46,118.15,
06/01/2021,01:11:10.95,-374.51,-947.27,-132.81,-2.32,2.26,3.72,26.40,-27.00,10.65,35.03,118.15,
06/01/2021,01:11:10.96,-372.56,-963.38,-126.46,-1.83,-1.95,0.91,26.10,-27.00,13.20,35.22,118.15,
06/01/2021,01:11:10.96,-359.86,-949.22,-128.42,-3.54,0.49,0.49,26.10,-27.00,13.20,35.36,118.15,
06/01/2021,01:11:10.97,-364.75,-958.98,-111.33,0.91,-1.77,4.82,28.05,-26.85,11.70,35.46,118.15,
06/01/2021,01:11:10.99,-355.96,-956.05,-146.00,-1.40,-0.98,1.95,27.30,-27.15,9.45,35.22,118.15,
06/01/2021,01:11:10.99,-359.38,-950.68,-131.35,0.79,-0.61,5.49,26.70,-27.45,12.60,35.27,118.15,
06/01/2021,01:11:11.00,-367.19,-953.61,-134.28,-0.43,-0.24,-0.12,26.25,-28.35,11.25,35.36,118.15,
06/01/2021,01:11:11.00,-356.93,-942.87,-121.09,-1.16,-0.43,2.07,26.25,-28.35,11.25,35.07,118.15,
06/01/2021,01:11:11.01,-364.26,-945.80,-129.88,0.12,-1.52,3.17,26.25,-28.35,10.95,35.46,118.15,
06/01/2021,01:11:11.02,-355.96,-946.78,-124.02,-2.26,-2.74,1.16,26.25,-28.35,10.95,35.36,118.15,
06/01/2021,01:11:11.03,-359.38,-947.75,-134.28,-0.37,1.28,1.52,25.65,-28.95,11.40,35.27,118.15,
06/01/2021,01:11:11.04,-354.98,-953.61,-123.54,-0.06,0.24,2.01,25.65,-28.95,11.40,35.55,118.15,
06/01/2021,01:11:11.04,-366.21,-963.38,-134.77,-2.07,-0.06,1.59,25.65,-28.95,11.40,35.36,118.15,
06/01/2021,01:11:11.05,-364.75,-964.36,-134.28,-2.13,-1.71,1.40,27.00,-28.05,11.25,35.46,118.15,
06/01/2021,01:11:11.06,-358.40,-955.57,-125.00,-1.77,0.67,1.59,28.20,-25.50,10.05,35.36,118.15,
06/01/2021,01:11:11.07,-368.16,-968.26,-130.86,-2.68,-1.52,0.85,26.55,-26.85,12.30,35.27,118.15,
06/01/2021,01:11:11.08,-365.23,-959.47,-125.98,-3.60,-1.22,0.37,26.25,-27.60,11.70,35.36,118.15,
06/01/2021,01:11:11.08,-354.49,-961.91,-130.37,-2.87,-0.06,1.52,26.25,-27.60,11.70,35.41,118.15,
06/01/2021,01:11:11.09,-356.93,-969.73,-125.98,-1.04,-1.71,0.91,26.70,-26.70,13.20,35.46,118.15,
06/01/2021,01:11:11.12,-357.42,-952.15,-126.46,-0.55,0.18,2.38,26.40,-27.00,12.60,35.27,118.15,
06/01/2021,01:11:11.15,-354.98,-962.40,-128.42,-3.17,-0.98,1.04,26.55,-28.80,12.30,35.46,118.15,
06/01/2021,01:11:11.15,-366.70,-954.59,-131.84,-1.65,0.67,1.04,26.55,-28.80,12.30,35.27,118.15,
06/01/2021,01:11:11.16,-364.26,-956.05,-122.07,-0.37,-0.30,0.00,27.30,-27.15,10.50,35.46,118.15,
06/01/2021,01:11:11.17,-367.19,-955.57,-124.02,0.43,0.00,2.26,27.30,-27.15,10.50,35.55,118.15,
06/01/2021,01:11:11.17,-362.30,-958.01,-122.07,0.06,2.01,1.59,28.05,-26.40,12.00,35.07,118.15,
06/01/2021,01:11:11.19,-369.14,-958.98,-128.91,-1.40,1.10,1.77,27.45,-29.40,11.85,35.55,118.15,
06/01/2021,01:11:11.19,-354.98,-957.03,-131.84,-2.01,-2.93,0.49,27.45,-29.40,11.85,35.07,118.15,
06/01/2021,01:11:11.20,-358.40,-957.03,-125.49,0.37,0.12,0.91,28.20,-27.45,11.85,35.07,118.15,
06/01/2021,01:11:11.21,-369.63,-973.14,-128.91,-1.89,0.37,1.28,28.20,-27.45,11.85,35.07,118.15,
06/01/2021,01:11:11.21,-363.28,-969.73,-126.95,-0.85,0.79,1.46,27.15,-27.45,11.10,34.93,118.15,
06/01/2021,01:11:11.23,-363.77,-965.82,-136.72,-1.22,-0.49,3.05,27.00,-28.80,11.70,35.07,118.15,
06/01/2021,01:11:11.23,-366.21,-954.10,-130.86,-2.32,-0.06,0.61,27.00,-28.80,11.70,35.17,118.15,
06/01/2021,01:11:11.24,-370.61,-964.36,-129.39,-0.79,-1.52,1.89,27.00,-28.80,11.70,35.07,118.15,
06/01/2021,01:11:11.25,-359.86,-972.66,-136.72,-3.11,-1.40,2.50,27.00,-28.80,11.70,35.27,118.15,
06/01/2021,01:11:11.25,-364.26,-952.64,-132.32,-0.91,0.61,2.20,28.05,-28.35,10.95,35.46,118.15,
06/01/2021,01:11:11.27,-365.72,-969.24,-125.00,0.06,0.98,2.99,25.50,-28.35,12.30,35.60,118.15,
06/01/2021,01:11:11.27,-357.91,-957.03,-138.67,-2.26,2.07,1.22,25.50,-28.35,12.30,35.46,118.15,
06/01/2021,01:11:11.28,-369.14,-967.77,-138.18,-3.17,-0.98,3.23,25.65,-28.50,10.05,35.17,118.15,
06/01/2021,01:11:11.28,-364.75,-952.15,-132.81,-0.61,-0.55,2.01,25.65,-28.50,10.05,35.41,118.15,
06/01/2021,01:11:11.29,-361.82,-955.57,-119.63,-3.05,0.73,3.72,26.55,-28.35,11.25,35.36,118.15,
06/01/2021,01:11:11.30,-346.68,-944.82,-123.54,-3.60,1.89,0.73,26.55,-28.35,11.25,35.46,118.15,
06/01/2021,01:11:11.31,-364.26,-963.87,-133.30,-2.07,-0.06,0.98,26.10,-27.75,9.30,35.27,118.15,
06/01/2021,01:11:11.32,-377.44,-963.87,-136.72,-1.95,3.11,1.71,26.55,-26.10,9.45,35.22,118.15,
06/01/2021,01:11:11.32,-367.68,-951.17,-133.79,-3.41,0.85,1.65,26.55,-26.10,9.45,35.07,118.15,
06/01/2021,01:11:11.33,-375.98,-960.94,-139.65,-2.32,0.12,1.59,26.55,-26.10,9.45,35.17,118.15,
06/01/2021,01:11:11.34,-367.68,-953.61,-124.02,-2.01,1.40,1.59,26.55,-26.10,9.45,35.22,118.15,
06/01/2021,01:11:11.35,-364.26,-960.94,-140.62,-0.61,3.66,3.29,26.70,-27.75,12.15,35.03,118.15,
06/01/2021,01:11:11.36,-352.05,-952.64,-136.23,-2.38,1.95,0.91,25.35,-28.50,11.85,35.07,118.15,
06/01/2021,01:11:11.36,-363.28,-961.43,-125.98,-0.67,-1.22,0.18,25.35,-28.50,11.85,35.17,118.15,
06/01/2021,01:11:11.37,-373.54,-958.01,-135.25,-1.83,0.06,3.54,26.70,-26.70,12.15,35.17,118.15,
06/01/2021,01:11:11.38,-379.39,-955.57,-135.74,-1.59,0.43,2.74,26.70,-26.70,12.15,35.46,118.15,
06/01/2021,01:11:11.39,-371.58,-959.96,-128.42,-2.68,0.49,0.61,26.70,-28.20,11.85,35.17,118.15,
06/01/2021,01:11:11.40,-371.09,-957.03,-130.37,-2.20,0.67,2.62,26.55,-26.85,10.50,35.07,118.15,
06/01/2021,01:11:11.40,-358.89,-963.87,-135.25,-2.20,-1.34,3.23,26.55,-26.85,10.50,35.07,118.15,
06/01/2021,01:11:11.41,-363.77,-953.12,-135.25,-1.83,0.49,1.95,25.50,-28.35,11.70,35.07,118.15,
06/01/2021,01:11:11.42,-370.12,-958.50,-131.35,-5.79,2.62,2.68,25.50,-28.35,11.70,35.03,118.15,
06/01/2021,01:11:11.42,-369.63,-955.08,-130.37,-2.50,-0.61,0.85,25.50,-28.35,11.70,35.17,118.15,
06/01/2021,01:11:11.44,-360.84,-962.40,-128.91,-1.22,0.73,1.34,28.20,-26.25,8.85,35.46,118.15,
06/01/2021,01:11:11.44,-367.68,-964.84,-138.18,-2.38,-0.49,3.96,28.20,-26.25,8.85,35.36,118.15,
06/01/2021,01:11:11.45,-368.65,-956.05,-140.62,-4.33,0.43,1.16,25.35,-27.00,11.85,35.46,118.15,
