rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:00:02.00,-773.44,473.14,407.71,20.55,6.71,37.93,16.05,1.20,68.10,34.50,119.50,
06/01/2021,01:00:02.04,-743.65,477.54,395.51,24.57,9.63,34.21,16.35,2.85,68.10,34.40,119.49,
06/01/2021,01:00:02.05,-732.91,479.98,383.30,27.50,14.21,33.23,16.20,3.00,68.25,34.64,119.49,
06/01/2021,01:00:02.06,-744.14,501.46,383.79,26.34,12.93,30.49,16.20,3.00,68.25,34.74,119.49,
06/01/2021,01:00:02.07,-756.35,504.39,374.51,25.06,17.01,31.95,16.20,3.00,68.25,34.88,119.49,
06/01/2021,01:00:02.08,-755.86,530.27,363.28,29.27,21.46,30.91,15.90,5.70,67.20,34.88,119.49,
06/01/2021,01:00:02.09,-760.25,535.64,359.38,27.62,21.65,27.44,15.90,5.70,67.20,34.69,119.49,
06/01/2021,01:00:02.09,-753.91,536.13,348.63,28.29,22.80,26.83,15.15,5.25,66.90,34.83,119.49,
06/01/2021,01:00:02.10,-751.46,533.20,354.98,29.21,23.60,28.96,14.85,4.35,66.90,34.93,119.49,
06/01/2021,01:00:02.10,-757.81,542.48,340.33,28.84,22.38,28.17,14.85,4.35,67.35,34.88,119.49,
06/01/2021,01:00:02.11,-769.53,540.53,335.45,29.33,22.80,26.77,17.10,4.80,64.05,34.69,119.50,
06/01/2021,01:00:02.13,-766.11,542.48,326.17,29.88,25.61,29.51,17.70,5.25,65.40,34.69,119.49,
06/01/2021,01:00:02.13,-772.95,544.43,308.59,31.22,25.98,28.60,17.70,5.25,65.40,34.74,119.49,
06/01/2021,01:00:02.14,-761.23,555.18,299.32,30.67,24.27,29.70,17.70,5.25,65.40,34.83,119.49,
06/01/2021,01:00:02.14,-786.13,553.22,291.50,31.77,25.12,28.35,16.80,5.55,67.35,34.64,119.50,
06/01/2021,01:00:02.15,-776.86,552.73,298.83,31.40,25.00,31.77,16.80,5.55,67.35,34.55,119.50,
06/01/2021,01:00:02.17,-781.74,556.64,272.95,31.22,27.74,30.18,18.75,5.25,65.70,34.88,119.49,
06/01/2021,01:00:02.17,-777.83,566.89,302.25,31.22,31.40,29.39,18.75,5.25,65.70,34.50,119.49,
06/01/2021,01:00:02.18,-778.81,558.59,283.20,31.59,26.71,32.07,18.75,5.25,65.70,34.50,119.50,
06/01/2021,01:00:02.18,-784.18,571.78,277.83,30.37,30.67,30.73,17.10,6.30,65.55,34.69,119.50,
06/01/2021,01:00:02.19,-785.64,568.85,271.00,31.65,32.32,33.78,17.55,7.35,65.85,34.69,119.50,
06/01/2021,01:00:02.21,-788.09,573.73,248.05,31.04,35.91,36.10,16.80,6.30,65.55,34.50,119.49,
06/01/2021,01:00:02.21,-776.86,560.55,258.79,33.23,31.95,38.17,18.45,7.65,67.50,34.50,119.50,
06/01/2021,01:00:02.22,-785.16,573.73,262.70,32.80,32.87,38.96,18.45,7.65,67.50,34.88,119.50,
06/01/2021,01:00:02.22,-798.34,576.66,257.81,35.61,33.66,37.44,16.80,6.60,66.60,34.74,119.50,
06/01/2021,01:00:02.23,-771.48,577.15,260.25,34.21,37.50,38.96,18.75,8.70,66.60,34.93,119.50,
06/01/2021,01:00:02.24,-780.27,598.14,251.95,34.63,35.43,40.06,18.75,8.70,64.35,34.69,119.50,
06/01/2021,01:00:02.25,-801.76,613.28,242.68,38.78,39.39,38.72,18.45,8.40,63.90,34.69,119.50,
06/01/2021,01:00:02.26,-791.99,615.23,236.33,35.06,41.34,41.22,18.45,8.40,63.90,34.88,119.50,
06/01/2021,01:00:02.26,-779.30,611.33,239.26,36.83,41.46,42.26,18.45,8.40,63.90,34.64,119.50,
06/01/2021,01:00:02.27,-777.34,630.86,233.40,39.27,43.17,43.96,18.45,8.40,63.90,34.64,119.50,
06/01/2021,01:00:02.27,-772.95,636.23,232.91,38.05,44.94,44.76,19.05,9.75,64.50,34.69,119.50,
06/01/2021,01:00:02.29,-765.14,662.11,228.03,42.13,48.78,47.07,19.20,8.40,62.10,34.69,119.50,
06/01/2021,01:00:02.30,-764.16,657.71,250.00,40.91,49.94,49.21,19.20,8.40,62.10,34.93,119.50,
06/01/2021,01:00:02.30,-754.88,652.83,236.33,44.45,50.85,49.33,19.50,9.90,62.85,34.83,119.50,
06/01/2021,01:00:02.31,-751.46,636.23,243.65,42.99,50.67,50.43,19.50,9.90,62.85,34.88,119.50,
06/01/2021,01:00:02.31,-749.02,635.25,235.35,47.07,53.29,51.46,19.35,10.50,63.30,34.74,119.50,
06/01/2021,01:00:02.32,-754.88,644.53,245.61,47.38,51.10,50.49,21.15,12.75,62.25,34.88,119.50,
06/01/2021,01:00:02.34,-750.49,658.69,217.29,49.15,54.51,53.17,19.50,9.90,62.10,34.50,119.50,
06/01/2021,01:00:02.34,-747.56,676.27,221.19,50.18,55.49,53.66,19.80,11.70,60.00,34.74,119.50,
06/01/2021,01:00:02.35,-749.02,688.48,231.45,51.52,55.98,54.57,19.80,11.70,60.00,34.93,119.50,
06/01/2021,01:00:02.35,-748.54,699.71,224.61,54.45,55.06,54.88,19.80,11.70,60.00,34.74,119.50,
06/01/2021,01:00:02.36,-740.23,709.96,225.10,57.62,56.65,56.22,20.85,13.20,60.75,34.93,119.50,
06/01/2021,01:00:02.38,-724.12,720.70,209.96,59.39,58.60,56.59,20.85,13.20,60.75,34.88,119.50,
06/01/2021,01:00:02.38,-728.52,723.14,204.59,64.51,60.18,57.20,20.10,14.40,61.50,34.74,119.50,
06/01/2021,01:00:02.39,-728.03,733.89,203.61,64.45,59.02,55.85,20.10,14.40,61.50,34.93,119.50,
06/01/2021,01:00:02.39,-708.50,731.45,207.03,65.06,61.40,58.72,20.85,13.50,61.95,34.88,119.50,
06/01/2021,01:00:02.40,-707.52,741.21,202.64,70.61,61.46,60.30,20.85,13.50,61.95,34.88,119.50,
06/01/2021,01:00:02.42,-706.54,719.73,179.69,74.33,63.84,59.76,21.45,15.75,58.50,34.74,119.50,
06/01/2021,01:00:02.42,-708.01,713.38,172.36,76.28,62.93,60.91,20.70,15.30,59.55,34.64,119.50,
06/01/2021,01:00:02.43,-704.10,706.05,171.88,78.84,64.09,60.18,20.70,15.30,59.55,34.55,119.50,
06/01/2021,01:00:02.43,-699.22,701.66,142.58,82.26,68.29,60.43,21.00,15.30,58.05,34.88,119.50,
06/01/2021,01:00:02.44,-688.48,707.52,129.88,86.46,68.96,60.18,21.00,15.30,58.05,34.64,119.50,
06/01/2021,01:00:02.45,-698.73,706.54,105.96,85.91,72.56,60.67,21.00,15.30,58.05,34.64,119.50,
06/01/2021,01:00:02.46,-674.80,731.45,111.82,93.35,77.50,60.61,22.95,17.25,55.50,34.74,119.50,
06/01/2021,01:00:02.47,-642.09,741.70,97.17,93.23,78.96,63.84,22.95,17.25,55.50,34.64,119.50,
06/01/2021,01:00:02.47,-641.60,743.65,101.07,98.17,78.35,63.72,22.65,17.40,56.10,34.64,119.50,
06/01/2021,01:00:02.48,-621.58,763.18,95.70,100.73,80.67,67.20,22.65,17.40,56.10,34.55,119.50,
06/01/2021,01:00:02.48,-583.50,743.16,85.45,102.44,81.22,64.57,22.50,18.00,56.25,34.55,119.50,
06/01/2021,01:00:02.50,-557.13,772.95,85.94,109.94,75.37,65.55,23.10,20.10,54.15,34.55,119.50,
06/01/2021,01:00:02.51,-542.97,765.14,72.75,113.41,71.16,68.78,23.10,20.10,54.15,34.31,119.50,
06/01/2021,01:00:02.51,-532.71,771.97,64.94,116.46,70.98,66.22,21.15,20.55,52.80,34.69,119.50,
06/01/2021,01:00:02.55,-450.20,742.68,-8.79,135.30,58.05,63.72,22.35,21.60,51.60,34.64,119.50,
06/01/2021,01:00:02.56,-418.46,712.89,-53.22,142.56,53.90,66.16,20.70,22.95,48.90,34.64,119.49,
06/01/2021,01:00:02.58,-391.60,664.06,-127.93,145.37,43.23,62.01,20.70,22.95,48.90,34.93,119.49,
06/01/2021,01:00:02.58,-370.61,657.23,-166.50,144.63,39.02,63.66,21.00,23.40,47.40,35.27,119.49,
06/01/2021,01:00:02.59,-361.82,633.30,-195.31,148.23,34.02,61.28,21.00,23.40,47.40,34.69,119.49,
06/01/2021,01:00:02.60,-343.75,625.00,-251.46,147.07,32.56,60.67,21.45,27.15,46.35,34.74,119.49,
06/01/2021,01:00:02.60,-345.70,627.93,-261.72,147.38,32.56,59.09,22.95,24.90,44.85,34.74,119.49,
06/01/2021,01:00:02.62,-337.89,631.35,-338.38,145.18,28.23,54.70,24.00,28.35,43.80,34.88,119.49,
06/01/2021,01:00:02.62,-311.04,607.91,-393.55,143.90,29.39,48.35,20.55,24.30,43.65,34.88,119.49,
06/01/2021,01:00:02.63,-381.84,587.40,-369.63,143.54,30.55,50.85,21.45,27.60,43.65,34.88,119.49,
06/01/2021,01:00:02.64,-326.17,583.98,-460.94,141.83,29.76,52.44,21.45,27.60,42.00,34.55,119.49,
06/01/2021,01:00:02.64,-324.22,560.55,-500.49,136.40,35.24,50.91,21.45,27.60,42.00,34.74,119.50,
06/01/2021,01:00:02.65,-328.61,540.04,-488.28,132.56,37.26,43.72,21.45,27.60,42.00,34.50,119.50,
06/01/2021,01:00:02.67,-342.29,493.65,-555.66,125.18,38.84,36.77,21.60,27.45,39.60,35.03,119.49,
06/01/2021,01:00:02.67,-342.29,502.93,-583.98,124.27,41.22,34.82,19.50,27.60,38.25,34.88,119.49,
06/01/2021,01:00:02.68,-338.87,489.26,-615.23,117.38,46.16,35.49,19.50,27.60,38.25,34.93,119.49,
06/01/2021,01:00:02.68,-329.59,485.84,-593.75,114.02,47.62,34.57,19.50,27.60,38.25,34.93,119.50,
06/01/2021,01:00:02.69,-347.17,495.12,-629.88,115.43,50.61,33.23,19.50,27.60,38.25,34.64,119.50,
06/01/2021,01:00:02.71,-291.50,462.89,-700.68,111.65,58.35,33.29,18.45,27.60,36.15,34.93,119.49,
06/01/2021,01:00:02.71,-305.66,473.14,-747.56,110.30,60.06,31.83,18.60,28.20,36.60,34.69,119.49,
06/01/2021,01:00:02.72,-277.83,461.91,-787.11,108.35,68.05,31.34,18.60,28.20,36.60,34.88,119.50,
06/01/2021,01:00:02.72,-279.79,453.61,-804.20,105.61,74.88,30.12,18.60,29.40,35.25,34.83,119.50,
06/01/2021,01:00:02.73,-286.13,455.08,-842.77,103.96,80.18,31.59,18.60,29.40,35.25,34.93,119.50,
06/01/2021,01:00:02.75,-205.08,417.97,-915.04,99.39,104.45,33.60,18.00,28.35,32.40,34.64,119.49,
06/01/2021,01:00:02.75,-167.48,422.85,-948.24,96.59,117.26,31.04,18.00,28.35,32.40,34.74,119.50,
06/01/2021,01:00:02.76,-181.15,411.62,-973.14,95.00,124.39,30.18,18.00,28.35,32.40,34.93,119.50,
06/01/2021,01:00:02.76,-140.14,392.58,-997.07,91.71,132.38,26.83,18.45,27.15,32.10,34.88,119.50,
06/01/2021,01:00:02.77,-128.42,378.91,-1006.84,86.52,136.71,25.79,18.45,27.15,32.10,34.74,119.50,
