rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:58:00.60,-804.20,388.67,378.42,-1.34,-0.43,1.89,16.80,-0.45,69.90,33.97,119.45,
06/01/2021,00:58:00.65,-799.80,390.14,377.93,-2.50,0.43,3.23,17.85,-2.10,66.30,33.97,119.44,
06/01/2021,00:58:00.66,-807.62,397.95,379.88,-2.50,-1.65,-0.43,17.85,-2.10,66.30,34.16,119.44,
06/01/2021,00:58:00.67,-814.94,387.70,376.46,-1.83,0.06,1.77,17.85,-0.15,68.10,34.31,119.44,
06/01/2021,00:58:00.67,-809.57,397.95,383.30,-1.04,-0.37,1.28,17.85,-0.15,68.10,34.36,119.44,
06/01/2021,00:58:00.69,-804.69,377.93,380.86,-2.80,-0.61,2.26,15.90,-0.30,67.95,33.97,119.44,
06/01/2021,00:58:00.69,-816.89,402.83,381.84,-1.46,-1.10,0.85,15.90,-0.30,67.95,34.21,119.44,
06/01/2021,00:58:00.70,-825.20,398.44,379.88,-1.59,-0.98,0.55,17.55,-0.90,68.55,34.31,119.44,
06/01/2021,00:58:00.71,-807.62,390.62,374.51,-1.10,0.49,0.55,15.45,-0.75,66.90,34.31,119.44,
06/01/2021,00:58:00.71,-829.59,384.77,385.25,-1.28,-2.13,2.38,15.45,-0.75,66.90,34.02,119.44,
06/01/2021,00:58:00.72,-808.59,397.95,390.62,-1.46,0.37,0.18,15.90,0.00,67.50,34.31,119.44,
06/01/2021,00:58:00.73,-823.24,382.81,389.65,-3.66,-1.10,1.28,17.70,0.00,67.20,34.21,119.44,
06/01/2021,00:58:00.74,-812.01,383.79,375.98,0.06,1.95,3.66,16.95,-2.55,69.75,34.31,119.44,
06/01/2021,00:58:00.75,-811.04,401.86,374.02,-2.13,1.28,1.89,16.95,-2.55,69.75,34.02,119.44,
06/01/2021,00:58:00.75,-805.66,389.65,373.05,-3.23,-0.37,1.95,16.95,-2.55,69.75,34.31,119.44,
06/01/2021,00:58:00.76,-808.11,395.51,375.98,-0.12,-2.01,1.52,16.20,0.30,66.90,34.36,119.44,
06/01/2021,00:58:00.77,-802.73,398.44,389.16,-0.98,-1.59,3.23,16.20,0.30,66.90,34.21,119.44,
06/01/2021,00:58:00.78,-815.43,385.74,376.46,-2.56,1.28,2.93,16.65,0.30,68.25,34.21,119.44,
06/01/2021,00:58:00.78,-815.43,397.95,387.21,-4.33,-1.52,1.10,16.65,0.30,68.25,34.12,119.44,
06/01/2021,00:58:00.79,-811.04,394.53,373.54,-2.20,-0.12,0.73,15.90,0.00,66.90,34.31,119.44,
06/01/2021,00:58:00.80,-817.38,391.11,381.84,-2.50,-0.85,0.98,17.40,-0.30,67.95,34.16,119.44,
06/01/2021,00:58:00.80,-817.87,391.60,390.14,-2.99,1.77,3.11,17.40,-0.30,67.95,34.02,119.44,
06/01/2021,00:58:00.82,-817.87,392.58,384.28,-3.29,0.67,2.07,16.35,-0.15,68.55,34.36,119.44,
06/01/2021,00:58:00.82,-804.20,383.79,373.54,-1.77,-1.04,3.35,16.35,-0.15,68.55,34.21,119.44,
06/01/2021,00:58:00.83,-812.01,383.79,381.35,-1.10,-3.05,1.89,17.55,-0.45,67.80,34.21,119.44,
06/01/2021,00:58:00.83,-806.64,393.07,388.67,-2.80,-1.16,0.79,17.55,-0.45,67.80,34.12,119.44,
06/01/2021,00:58:00.84,-812.01,396.48,383.79,-2.87,-0.37,1.77,17.10,-2.40,68.10,34.02,119.44,
06/01/2021,00:58:00.86,-818.36,403.32,383.30,-3.72,1.59,-1.83,17.70,0.75,66.90,34.40,119.44,
06/01/2021,00:58:00.86,-821.29,388.67,369.63,-1.16,1.10,0.67,17.70,0.75,66.90,34.21,119.44,
06/01/2021,00:58:00.87,-813.96,389.65,385.74,-2.44,-0.79,0.18,17.55,-1.65,67.35,34.02,119.44,
06/01/2021,00:58:00.87,-807.62,400.39,379.39,-0.67,-2.26,0.00,17.55,-1.65,67.35,34.21,119.44,
06/01/2021,00:58:00.88,-811.04,403.81,372.07,-1.04,-2.07,1.04,17.55,-1.65,67.35,34.21,119.44,
06/01/2021,00:58:00.90,-794.43,399.90,382.32,-2.26,0.85,2.13,18.75,-0.75,66.90,34.02,119.44,
06/01/2021,00:58:00.90,-824.22,386.23,375.49,-0.61,-0.12,0.67,16.05,0.45,68.85,34.21,119.44,
06/01/2021,00:58:00.91,-812.01,394.53,381.84,-2.74,2.38,0.06,16.20,1.80,66.90,34.40,119.44,
06/01/2021,00:58:00.91,-803.22,394.04,391.60,-1.28,-1.59,-0.55,16.20,1.80,66.90,34.02,119.44,
06/01/2021,00:58:00.92,-824.71,393.07,371.58,-2.50,0.12,0.37,16.65,0.00,67.20,34.31,119.44,
06/01/2021,00:58:00.92,-805.66,390.62,383.30,-1.34,0.61,-1.04,16.65,0.00,67.20,34.21,119.44,
06/01/2021,00:58:00.94,-806.15,395.51,383.30,-0.73,-2.07,2.68,17.70,0.00,69.45,34.31,119.44,
06/01/2021,00:58:00.95,-813.96,391.60,375.98,-0.37,1.59,1.04,17.70,0.00,69.45,34.02,119.44,
06/01/2021,00:58:00.95,-808.11,383.79,381.35,-0.98,0.73,2.80,17.70,0.00,69.45,34.36,119.44,
06/01/2021,00:58:00.96,-818.36,395.02,381.35,-2.20,0.30,1.71,16.80,-0.45,68.10,34.36,119.44,
06/01/2021,00:58:00.96,-822.27,393.07,386.23,-0.61,-1.89,2.07,16.80,-0.45,68.10,34.31,119.44,
06/01/2021,00:58:00.98,-818.36,385.74,378.91,-0.67,1.10,-0.30,17.55,-0.15,67.80,34.31,119.44,
06/01/2021,00:58:00.98,-804.69,378.91,372.07,-0.30,-0.67,-0.67,17.55,-0.15,67.80,34.40,119.44,
06/01/2021,00:58:00.99,-805.66,390.14,389.65,-1.46,-2.56,0.37,17.55,-0.15,67.80,34.21,119.44,
06/01/2021,00:58:01.00,-811.52,381.84,385.25,-1.10,-0.67,1.77,15.90,1.05,67.50,34.12,119.44,
06/01/2021,00:58:01.00,-818.85,387.70,376.95,-1.34,0.18,0.24,15.90,1.05,67.50,34.21,119.45,
06/01/2021,00:58:01.01,-821.29,400.39,382.81,-2.13,-0.79,3.41,18.60,0.45,66.30,34.31,119.45,
06/01/2021,00:58:01.02,-806.15,395.51,380.37,-0.73,-2.26,2.26,17.40,0.00,67.20,34.12,119.44,
06/01/2021,00:58:01.03,-817.38,395.02,389.16,-2.44,0.43,-0.79,16.20,-0.30,69.45,34.21,119.44,
06/01/2021,00:58:01.04,-830.08,395.02,384.77,-1.34,1.83,0.12,16.20,-0.30,69.45,34.31,119.45,
06/01/2021,00:58:01.04,-810.06,385.74,384.28,-2.56,-2.13,0.85,17.10,0.15,67.35,34.55,119.45,
06/01/2021,00:58:01.05,-822.75,391.60,374.51,-2.07,-1.59,0.55,16.65,0.75,67.20,34.21,119.45,
06/01/2021,00:58:01.06,-808.59,397.46,379.39,-0.67,-0.43,2.74,16.65,0.75,67.20,34.40,119.45,
06/01/2021,00:58:01.07,-822.27,395.02,373.05,0.12,-1.83,1.28,16.05,0.15,68.10,34.02,119.45,
06/01/2021,00:58:01.07,-807.13,393.55,372.07,-0.06,0.12,3.48,16.05,0.15,68.10,34.21,119.45,
06/01/2021,00:58:01.08,-813.96,389.16,375.49,-1.22,0.91,2.13,16.05,0.15,68.10,34.02,119.45,
06/01/2021,00:58:01.09,-810.06,386.72,379.88,-2.01,-0.73,3.11,16.05,0.15,68.10,34.16,119.45,
06/01/2021,00:58:01.09,-826.17,381.84,383.79,-2.01,-0.12,1.71,17.10,0.45,67.05,34.21,119.45,
06/01/2021,00:58:01.11,-817.38,398.44,381.84,-3.05,-1.04,1.52,16.20,-0.30,68.25,34.40,119.45,
06/01/2021,00:58:01.11,-826.66,391.60,368.65,-1.95,-1.59,2.32,16.20,-0.30,68.25,34.21,119.45,
06/01/2021,00:58:01.12,-816.41,393.55,381.35,-2.62,1.71,1.28,16.80,-1.20,68.55,34.21,119.45,
06/01/2021,00:58:01.15,-812.01,399.90,384.77,-0.30,0.67,-0.49,15.60,-0.90,68.55,34.21,119.44,
06/01/2021,00:58:01.17,-822.75,382.81,376.46,-1.46,-2.32,2.99,16.35,-0.45,68.55,34.31,119.44,
06/01/2021,00:58:01.18,-808.59,390.14,372.56,-1.77,0.00,2.68,16.20,-0.75,68.25,34.12,119.44,
06/01/2021,00:58:01.19,-801.76,394.04,374.02,-1.46,-0.85,1.04,16.20,-0.75,68.25,34.02,119.44,
06/01/2021,00:58:01.20,-819.34,390.62,377.93,-1.77,0.73,1.89,16.20,-0.75,68.25,34.02,119.44,
06/01/2021,00:58:01.20,-819.34,391.60,370.12,-2.74,0.00,3.54,16.20,-0.30,66.90,34.21,119.44,
06/01/2021,00:58:01.21,-814.94,404.79,380.86,0.43,-1.59,3.05,16.05,-0.15,67.35,34.12,119.44,
06/01/2021,00:58:01.22,-809.57,388.67,379.39,-3.54,-3.54,3.23,17.70,-0.30,67.20,34.31,119.44,
06/01/2021,00:58:01.23,-815.92,380.86,379.88,-1.10,-0.55,1.71,16.05,0.15,67.05,33.83,119.44,
06/01/2021,00:58:01.24,-819.34,392.58,381.35,-3.41,1.22,2.68,16.05,0.15,67.05,34.16,119.44,
06/01/2021,00:58:01.24,-800.78,392.58,375.00,-1.34,-1.65,1.28,18.00,-1.50,67.20,34.21,119.44,
06/01/2021,00:58:01.25,-809.08,388.18,384.77,-0.67,-0.43,1.95,18.00,-1.50,67.20,34.16,119.44,
06/01/2021,00:58:01.25,-816.41,403.32,386.72,-1.52,-0.67,1.16,15.90,0.30,66.15,34.02,119.44,
06/01/2021,00:58:01.27,-815.92,400.39,378.42,-1.59,0.43,2.50,18.30,-2.85,68.85,34.21,119.44,
06/01/2021,00:58:01.27,-815.43,381.35,368.65,-1.89,0.12,2.87,18.30,-2.85,68.85,34.12,119.44,
06/01/2021,00:58:01.28,-813.48,401.37,375.49,-3.78,0.73,0.67,18.30,-2.85,68.85,34.31,119.44,
06/01/2021,00:58:01.29,-818.85,382.81,387.21,-2.62,-1.04,2.99,18.30,-2.85,68.85,34.16,119.44,
06/01/2021,00:58:01.29,-801.76,393.55,376.95,0.12,0.12,-0.06,16.95,0.75,67.20,33.97,119.44,
06/01/2021,00:58:01.31,-817.87,392.09,369.14,-2.07,-0.67,0.00,16.65,-0.30,67.95,34.02,119.44,
06/01/2021,00:58:01.31,-806.64,397.46,380.37,0.06,0.85,2.50,16.65,-0.30,67.95,34.02,119.44,
06/01/2021,00:58:01.32,-812.99,394.53,377.44,-2.87,-1.71,2.01,16.20,-1.80,67.95,34.36,119.44,
06/01/2021,00:58:01.33,-814.94,392.58,373.54,-0.91,-1.10,1.65,16.20,-1.80,67.95,34.36,119.44,
06/01/2021,00:58:01.33,-813.96,388.67,378.91,0.67,-1.83,2.80,16.65,0.30,66.45,34.12,119.44,
06/01/2021,00:58:01.34,-816.41,396.48,390.14,-3.48,0.73,0.85,16.65,0.30,66.45,34.36,119.44,
06/01/2021,00:58:01.35,-815.92,390.62,375.00,-0.73,0.61,2.80,18.60,-0.15,67.80,34.21,119.44,
06/01/2021,00:58:01.36,-814.45,408.69,379.88,-2.26,-0.37,0.12,16.05,-2.10,67.35,34.16,119.44,
06/01/2021,00:58:01.36,-820.80,401.37,370.12,-3.54,0.61,0.30,16.05,-2.10,67.35,34.12,119.44,
06/01/2021,00:58:01.37,-823.24,396.48,376.46,-2.32,-0.06,1.22,16.05,-2.10,67.35,34.21,119.44,
06/01/2021,00:58:01.38,-830.08,389.16,366.70,-0.67,-2.20,1.77,16.05,-2.10,67.35,34.40,119.44,
06/01/2021,00:58:01.39,-821.78,390.62,377.44,-2.32,0.06,0.00,19.05,0.15,67.35,34.12,119.44,
06/01/2021,00:58:01.40,-820.80,391.60,370.12,-1.04,-1.40,3.78,16.95,0.15,67.35,34.31,119.44,
06/01/2021,00:58:01.40,-826.17,396.00,384.28,-1.95,-0.37,2.26,16.95,-1.05,67.20,33.88,119.44,
06/01/2021,00:58:01.41,-824.22,395.51,365.23,-2.62,0.30,2.68,16.95,-1.05,67.20,34.21,119.45,
06/01/2021,00:58:01.42,-812.99,388.67,365.23,-3.54,-0.73,3.29,16.95,-1.05,67.20,34.40,119.45,
06/01/2021,00:58:01.42,-822.27,389.65,372.56,-3.17,-2.44,0.55,17.70,0.30,67.50,34.31,119.45,
06/01/2021,00:58:01.44,-828.12,404.30,381.35,-1.95,-0.43,2.74,17.40,-0.30,67.95,34.36,119.44,
06/01/2021,00:58:01.44,-823.24,396.48,371.58,-0.85,-1.34,0.12,17.40,-1.50,68.70,34.21,119.45,
06/01/2021,00:58:01.45,-812.99,388.67,379.39,-3.54,2.01,2.01,17.40,-1.50,68.25,34.40,119.45,
06/01/2021,00:58:01.45,-811.04,386.72,370.61,-3.41,-0.91,1.83,17.40,-1.50,68.25,34.02,119.45,
06/01/2021,00:58:01.46,-818.36,393.07,379.39,-1.22,1.16,2.13,17.55,-0.45,68.10,34.40,119.45,
06/01/2021,00:58:01.48,-818.85,385.74,381.35,-1.52,0.18,2.44,18.30,0.15,67.05,34.02,119.45,
06/01/2021,00:58:01.48,-803.22,385.25,379.39,-1.65,-1.04,2.44,18.30,0.15,67.05,34.40,119.45,
06/01/2021,00:58:01.49,-818.85,398.93,377.93,-1.10,0.18,2.56,18.30,0.15,67.05,34.02,119.45,
06/01/2021,00:58:01.49,-813.96,392.58,372.07,-1.71,0.30,0.98,16.95,-1.50,67.95,34.16,119.45,
06/01/2021,00:58:01.50,-811.04,395.51,374.02,-0.85,-1.10,0.55,16.95,-1.50,67.95,34.21,119.45,
06/01/2021,00:58:01.51,-814.45,398.44,380.37,-1.22,0.06,3.35,17.40,-0.75,66.15,34.36,119.45,
06/01/2021,00:58:01.52,-814.94,385.25,374.02,-1.59,-1.59,0.55,15.90,0.30,68.25,34.21,119.45,
06/01/2021,00:58:01.53,-803.71,394.53,369.63,-0.85,0.18,-0.24,15.90,0.30,68.25,33.97,119.45,
06/01/2021,00:58:01.53,-812.01,393.07,373.05,-2.80,-0.98,2.38,16.65,0.75,68.25,34.31,119.45,
06/01/2021,00:58:01.54,-799.32,384.28,367.68,-1.40,-0.30,0.79,16.65,0.75,68.25,34.64,119.45,
06/01/2021,00:58:01.54,-813.96,391.60,365.72,-2.01,3.96,1.77,16.80,0.15,67.05,34.12,119.45,
06/01/2021,00:58:01.56,-813.96,399.41,375.98,-1.04,-0.91,2.01,17.40,-1.05,67.95,34.21,119.45,
06/01/2021,00:58:01.56,-822.27,404.30,380.37,-1.40,-0.67,0.18,17.40,-1.05,67.95,34.31,119.45,
06/01/2021,00:58:01.57,-816.89,390.14,384.28,-1.89,1.59,-0.55,17.70,-0.30,68.70,34.50,119.45,
06/01/2021,00:58:01.58,-814.45,388.67,371.58,-2.44,0.12,1.04,17.70,-0.30,68.70,34.31,119.45,
06/01/2021,00:58:01.58,-806.15,393.55,383.79,-2.80,0.67,2.62,17.55,-1.20,68.10,34.21,119.45,
06/01/2021,00:58:01.60,-812.50,390.14,367.68,-1.59,2.01,-0.24,16.95,-1.20,68.10,34.21,119.45,
06/01/2021,00:58:01.60,-814.45,400.88,376.46,-3.84,-1.40,-0.06,16.95,-0.75,67.50,34.31,119.45,
06/01/2021,00:58:01.61,-805.18,392.58,396.00,-2.32,0.24,0.98,16.95,-0.75,67.50,34.31,119.45,
06/01/2021,00:58:01.62,-815.92,397.95,368.16,-1.16,0.61,2.20,16.95,-0.75,67.50,34.12,119.45,
06/01/2021,00:58:01.62,-809.08,392.58,366.21,-2.26,0.06,1.52,17.70,0.00,66.45,34.21,119.45,
06/01/2021,00:58:01.63,-818.85,391.60,382.81,-2.99,1.52,0.67,17.70,0.00,66.45,34.21,119.45,
06/01/2021,00:58:01.67,-823.24,389.16,373.05,-1.46,0.30,2.20,16.65,0.00,68.25,34.31,119.44,
06/01/2021,00:58:01.69,-806.15,382.32,362.79,-2.01,-0.67,1.04,16.35,0.45,68.55,34.16,119.44,
06/01/2021,00:58:01.69,-809.08,386.23,382.81,-3.05,0.55,2.13,18.45,-1.05,66.90,34.12,119.44,
06/01/2021,00:58:01.70,-816.89,386.72,365.72,-2.26,-3.48,1.52,18.45,-1.05,66.90,34.21,119.44,
06/01/2021,00:58:01.70,-833.01,387.70,372.56,-3.11,-0.49,1.34,18.45,-1.05,66.90,34.31,119.44,
06/01/2021,00:58:01.72,-821.78,395.02,375.98,-1.89,-1.95,1.95,17.40,0.30,68.70,34.40,119.44,
06/01/2021,00:58:01.72,-808.11,393.55,380.37,-2.62,-0.49,0.85,17.40,0.30,68.70,33.97,119.44,
06/01/2021,00:58:01.73,-812.99,404.79,381.35,-3.60,0.79,0.55,17.55,-0.15,69.15,34.40,119.44,
06/01/2021,00:58:01.74,-825.68,386.23,383.30,-0.12,0.61,2.07,17.55,-0.15,69.15,34.21,119.44,
06/01/2021,00:58:01.74,-808.11,403.81,376.95,-0.91,0.79,2.01,16.95,-0.30,67.95,34.16,119.44,
06/01/2021,00:58:01.75,-809.08,399.41,375.98,-3.35,-2.13,1.89,16.95,-0.30,67.95,34.36,119.45,
06/01/2021,00:58:01.76,-810.06,384.77,380.86,-1.65,0.55,-0.73,16.20,-0.30,67.20,34.50,119.44,
06/01/2021,00:58:01.77,-820.80,386.72,389.65,-2.74,2.68,3.35,16.65,1.05,65.70,34.36,119.44,
06/01/2021,00:58:01.77,-803.71,390.62,383.79,-0.73,0.67,2.01,16.65,1.05,65.70,34.31,119.44,
06/01/2021,00:58:01.78,-821.29,383.79,366.21,-2.99,-0.06,0.73,17.10,0.15,68.55,34.21,119.45,
06/01/2021,00:58:01.79,-812.01,388.67,367.19,-2.32,1.46,0.12,17.10,0.15,68.55,34.21,119.45,
06/01/2021,00:58:01.80,-813.48,377.44,372.07,-1.22,-0.49,-0.18,16.95,0.30,67.95,33.97,119.44,
06/01/2021,00:58:01.81,-816.41,387.70,361.33,-1.34,-0.73,-0.37,16.95,0.30,67.95,34.02,119.44,
06/01/2021,00:58:01.81,-815.92,392.58,369.63,-2.38,-0.91,0.30,16.95,0.30,67.95,34.21,119.45,
06/01/2021,00:58:01.82,-810.06,397.95,377.93,-2.26,-0.73,2.01,18.30,0.45,68.85,34.21,119.45,
06/01/2021,00:58:01.82,-813.48,378.91,371.58,-2.93,0.00,1.34,18.30,0.45,68.85,34.02,119.45,
06/01/2021,00:58:01.83,-813.96,401.86,367.68,-3.29,-1.34,-1.46,18.30,0.45,68.85,34.12,119.45,
06/01/2021,00:58:01.85,-831.05,396.48,375.98,-2.13,-0.73,0.49,18.45,-0.30,66.45,34.21,119.45,
06/01/2021,00:58:01.85,-821.29,385.25,374.02,-0.85,0.06,2.93,16.35,0.45,68.85,34.21,119.45,
06/01/2021,00:58:01.86,-808.11,386.23,375.00,-0.67,-0.55,-0.49,16.35,0.45,68.85,34.40,119.45,
06/01/2021,00:58:01.86,-818.85,404.30,366.21,-1.83,-1.22,-1.22,18.00,-0.30,68.70,34.36,119.45,
06/01/2021,00:58:01.87,-821.29,383.30,379.39,-1.65,-0.67,-1.04,17.55,0.45,67.35,34.21,119.45,
06/01/2021,00:58:01.89,-813.48,397.95,372.56,-0.85,-0.24,2.50,17.85,-0.15,66.60,34.50,119.45,
06/01/2021,00:58:01.89,-803.71,393.07,370.12,-0.30,-0.67,3.60,16.65,-0.30,68.25,34.12,119.45,
06/01/2021,00:58:01.90,-812.99,396.00,377.93,-1.10,-1.16,4.21,16.65,-0.30,68.25,34.31,119.45,
06/01/2021,00:58:01.90,-826.17,392.09,377.93,-1.22,0.30,2.87,16.65,-0.30,68.25,34.21,119.45,
06/01/2021,00:58:01.91,-817.87,396.00,378.42,-0.67,0.37,2.74,16.65,-0.30,68.25,34.12,119.45,
06/01/2021,00:58:01.92,-810.06,392.09,380.86,-1.59,2.26,2.56,16.65,-0.30,67.20,34.16,119.45,
06/01/2021,00:58:01.93,-819.34,395.02,375.00,-1.10,-1.71,0.98,17.10,-0.90,69.15,34.21,119.45,
06/01/2021,00:58:01.94,-808.11,383.30,381.84,-4.09,-3.84,0.98,17.10,-0.90,69.15,34.21,119.45,
06/01/2021,00:58:01.94,-816.89,396.00,375.00,-2.74,-1.22,-0.06,17.10,-0.90,69.15,34.16,119.45,
06/01/2021,00:58:01.95,-817.38,403.81,372.56,0.61,-0.30,2.74,17.10,-0.90,69.15,33.88,119.45,
