rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:59:01.29,-817.87,381.35,381.35,-2.68,-1.04,0.18,14.40,-0.30,67.95,34.55,119.49,
06/01/2021,00:59:01.33,-817.87,392.09,396.00,-0.06,2.13,0.79,17.55,-0.90,68.10,34.36,119.48,
06/01/2021,00:59:01.34,-820.80,391.11,379.88,-2.07,1.59,0.43,17.55,-0.90,68.10,34.50,119.48,
06/01/2021,00:59:01.35,-814.45,390.62,379.39,-1.95,0.43,0.12,17.40,-1.50,67.95,34.40,119.48,
06/01/2021,00:59:01.35,-814.94,389.16,390.14,-2.87,-1.28,1.28,17.40,-1.50,67.95,34.40,119.48,
06/01/2021,00:59:01.37,-818.85,390.14,386.23,-2.07,-0.61,3.17,16.80,-1.20,69.15,34.40,119.48,
06/01/2021,00:59:01.38,-820.80,384.77,382.81,-3.78,-0.73,1.34,16.80,-1.20,69.15,34.40,119.48,
06/01/2021,00:59:01.38,-818.85,387.70,380.86,-1.28,3.11,1.28,17.40,-1.50,68.70,34.64,119.48,
06/01/2021,00:59:01.39,-807.13,387.70,381.35,-2.80,0.06,0.00,16.95,-1.50,68.25,34.31,119.48,
06/01/2021,00:59:01.39,-825.20,399.41,373.05,-3.23,-2.01,1.28,16.95,-1.50,68.25,34.64,119.48,
06/01/2021,00:59:01.40,-813.96,383.30,377.44,-2.87,-1.71,1.16,16.35,0.15,66.60,34.40,119.48,
06/01/2021,00:59:01.42,-814.45,386.23,379.39,-2.38,0.00,0.98,18.00,0.30,66.45,34.55,119.48,
06/01/2021,00:59:01.42,-825.68,394.53,368.16,0.06,-0.12,1.10,17.10,-0.15,69.60,34.36,119.48,
06/01/2021,00:59:01.43,-815.43,384.28,386.72,-1.10,-1.16,1.52,17.10,-0.15,69.60,34.40,119.48,
06/01/2021,00:59:01.43,-822.75,392.09,388.67,-1.65,-1.40,1.77,17.10,-0.15,69.60,34.50,119.48,
