rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:02:03.45,-247.07,-243.65,-976.07,-2.99,-0.91,0.85,-21.00,-16.80,-0.60,35.17,119.11,
06/01/2021,01:02:03.50,-240.72,-248.54,-978.52,-2.80,1.89,0.30,-20.70,-18.45,-0.60,35.55,119.11,
06/01/2021,01:02:03.51,-240.23,-247.56,-980.47,-3.84,1.10,0.55,-20.85,-16.20,-0.90,35.17,119.11,
06/01/2021,01:02:03.52,-257.32,-238.28,-984.38,-2.07,0.79,0.73,-19.50,-16.50,-1.35,34.88,119.11,
06/01/2021,01:02:03.52,-240.23,-241.70,-982.42,-2.99,-2.13,0.85,-19.50,-16.50,-1.35,35.07,119.11,
06/01/2021,01:02:03.54,-246.58,-242.68,-979.49,-1.04,-2.01,0.61,-18.60,-15.45,-1.20,35.17,119.11,
06/01/2021,01:02:03.54,-249.02,-234.38,-979.98,-2.99,0.43,-1.16,-18.60,-15.45,-1.20,35.17,119.11,
06/01/2021,01:02:03.55,-246.09,-236.33,-967.29,-1.04,-1.52,2.68,-19.20,-16.05,-2.85,35.36,119.11,
06/01/2021,01:02:03.56,-242.68,-237.79,-993.65,-2.44,-0.12,0.37,-19.20,-16.05,-2.85,35.46,119.11,
06/01/2021,01:02:03.56,-249.51,-239.75,-981.45,-1.34,0.43,0.43,-19.20,-16.05,-2.85,35.46,119.11,
06/01/2021,01:02:03.58,-245.12,-245.12,-980.47,-1.40,0.12,-0.73,-19.95,-15.75,-2.55,34.93,119.11,
06/01/2021,01:02:03.58,-230.96,-243.16,-987.30,0.98,2.32,1.83,-19.95,-15.75,-2.55,35.22,119.11,
06/01/2021,01:02:03.59,-249.02,-248.05,-984.38,-2.01,0.98,-1.16,-18.30,-14.70,-1.95,35.46,119.11,
06/01/2021,01:02:03.60,-247.07,-244.63,-989.75,1.04,2.13,1.22,-18.75,-16.05,-0.60,35.36,119.11,
06/01/2021,01:02:03.60,-250.98,-247.56,-981.45,-1.40,-0.24,0.91,-18.75,-16.05,-0.60,35.46,119.11,
06/01/2021,01:02:03.62,-243.65,-236.33,-981.45,-0.61,1.04,-2.20,-19.50,-14.55,-0.60,35.07,119.11,
06/01/2021,01:02:03.62,-237.79,-243.16,-979.98,-2.01,0.98,-1.16,-19.50,-14.55,-0.60,34.93,119.11,
06/01/2021,01:02:03.63,-236.82,-245.12,-983.89,-0.91,2.62,-1.28,-20.10,-15.90,-0.90,35.36,119.11,
06/01/2021,01:02:03.64,-238.28,-233.40,-971.68,-2.56,2.38,-0.55,-20.10,-15.90,-2.25,35.22,119.11,
06/01/2021,01:02:03.64,-240.23,-248.54,-986.33,-2.26,2.26,-0.55,-20.10,-15.90,-2.25,35.07,119.11,
06/01/2021,01:02:03.65,-246.09,-237.30,-977.54,-1.65,-0.55,-0.85,-20.10,-15.90,-2.25,35.55,119.11,
06/01/2021,01:02:03.66,-225.59,-244.63,-979.98,-1.83,3.17,0.30,-18.60,-16.20,-2.25,35.27,119.11,
06/01/2021,01:02:03.67,-249.02,-238.28,-970.70,-2.62,0.06,0.85,-18.60,-16.20,-2.25,34.93,119.11,
06/01/2021,01:02:03.68,-240.23,-253.91,-980.96,-2.68,2.07,-0.37,-18.75,-16.50,-1.35,34.93,119.11,
06/01/2021,01:02:03.68,-241.70,-231.93,-984.38,-2.07,3.11,0.43,-18.75,-16.50,-1.35,35.07,119.11,
06/01/2021,01:02:03.69,-239.26,-245.61,-989.75,-1.22,1.65,0.00,-19.80,-16.20,-1.20,34.93,119.11,
06/01/2021,01:02:03.70,-233.89,-239.26,-981.93,-0.98,2.07,-2.13,-19.50,-16.05,-2.85,35.46,119.11,
06/01/2021,01:02:03.71,-235.84,-242.19,-985.84,-0.24,0.91,0.55,-19.50,-17.55,0.30,35.17,119.11,
06/01/2021,01:02:03.72,-245.12,-245.12,-962.89,-1.71,0.91,-1.34,-19.95,-17.55,0.30,35.07,119.11,
06/01/2021,01:02:03.72,-232.91,-238.77,-989.26,-1.28,0.18,-3.29,-19.95,-16.80,-1.35,35.07,119.11,
06/01/2021,01:02:03.73,-231.45,-244.14,-987.79,0.37,1.34,-0.85,-20.85,-13.95,-0.45,35.41,119.11,
06/01/2021,01:02:03.74,-229.49,-238.28,-978.52,0.18,0.43,-1.04,-19.35,-15.90,-3.00,35.07,119.11,
06/01/2021,01:02:03.75,-244.14,-246.09,-988.77,-0.91,2.44,-2.80,-21.00,-16.05,-0.30,35.60,119.11,
06/01/2021,01:02:03.76,-250.49,-243.65,-990.23,0.00,-0.06,-0.43,-21.00,-16.05,-0.30,35.27,119.11,
06/01/2021,01:02:03.76,-244.14,-254.39,-987.79,0.61,3.35,-2.13,-21.00,-16.05,-0.30,35.46,119.11,
06/01/2021,01:02:03.77,-230.47,-244.14,-970.21,0.61,3.05,-2.74,-19.20,-15.75,-0.60,35.70,119.11,
06/01/2021,01:02:03.78,-235.84,-242.19,-980.47,-0.24,1.40,-3.23,-19.20,-15.75,-0.60,35.46,119.11,
06/01/2021,01:02:03.79,-234.86,-247.56,-975.59,-1.83,0.18,-3.11,-21.00,-14.85,-2.55,35.17,119.11,
06/01/2021,01:02:03.79,-229.49,-246.09,-976.56,0.79,2.68,-2.32,-21.00,-14.85,-2.55,35.46,119.11,
06/01/2021,01:02:03.80,-228.03,-246.09,-999.51,0.30,4.33,-3.29,-19.95,-15.75,-1.05,35.17,119.11,
06/01/2021,01:02:03.81,-236.82,-254.88,-960.45,0.49,3.90,-2.93,-20.10,-15.15,-1.20,35.03,119.11,
06/01/2021,01:02:03.82,-230.47,-248.54,-981.45,1.10,-0.55,-1.77,-19.05,-15.45,-1.20,35.07,119.11,
06/01/2021,01:02:03.83,-232.91,-245.12,-984.38,1.22,3.54,-4.70,-22.20,-16.50,0.60,35.17,119.11,
06/01/2021,01:02:03.83,-240.72,-247.07,-967.77,1.95,3.17,-2.99,-22.20,-16.50,0.60,35.07,119.11,
06/01/2021,01:02:03.84,-229.00,-243.16,-982.91,-0.85,1.16,-1.83,-21.15,-16.65,-0.45,35.03,119.11,
06/01/2021,01:02:03.85,-228.52,-241.70,-972.17,1.65,1.65,-1.89,-21.15,-16.65,-0.45,35.07,119.11,
06/01/2021,01:02:03.85,-230.96,-251.46,-976.56,0.73,1.04,-1.89,-21.15,-16.65,-0.45,35.41,119.11,
06/01/2021,01:02:03.87,-219.73,-240.72,-999.51,2.74,3.66,-4.57,-17.85,-15.15,-4.20,35.46,119.11,
06/01/2021,01:02:03.87,-227.05,-247.07,-971.19,1.77,2.44,-1.40,-17.85,-15.15,-4.20,35.17,119.11,
