rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:01:02.73,-204.59,-264.16,-979.98,-2.50,-0.49,1.28,-21.75,-18.00,1.35,34.69,119.32,
06/01/2021,01:01:02.78,-207.03,-261.23,-983.89,-2.87,-1.22,2.44,-22.50,-18.45,0.00,35.03,119.31,
06/01/2021,01:01:02.79,-208.01,-257.81,-984.38,-1.95,0.18,2.62,-21.45,-16.80,-0.60,35.07,119.31,
06/01/2021,01:01:02.80,-208.01,-256.35,-990.72,-0.61,-1.59,-0.55,-22.35,-17.10,0.90,35.07,119.31,
06/01/2021,01:01:02.80,-191.89,-263.18,-978.03,-2.56,-1.59,3.29,-22.35,-17.10,0.90,35.07,119.31,
06/01/2021,01:01:02.82,-194.34,-260.74,-979.49,-1.52,0.43,1.46,-21.60,-16.20,0.15,35.07,119.31,
06/01/2021,01:01:02.83,-211.43,-267.09,-978.52,-4.88,-2.56,0.55,-21.15,-17.10,-0.45,34.74,119.31,
06/01/2021,01:01:02.83,-206.54,-266.60,-978.52,-3.84,-0.24,1.46,-21.15,-17.10,-0.45,35.03,119.31,
06/01/2021,01:01:02.84,-189.94,-253.42,-978.52,-1.89,-1.59,2.99,-22.65,-16.65,0.15,34.88,119.31,
06/01/2021,01:01:02.84,-202.64,-253.91,-987.30,-1.28,-1.46,2.07,-22.65,-16.65,0.15,35.03,119.31,
06/01/2021,01:01:02.86,-208.01,-256.84,-1007.32,-3.66,1.65,0.91,-22.65,-18.15,-1.20,35.27,119.31,
06/01/2021,01:01:02.87,-211.91,-258.30,-985.35,-4.45,-0.98,0.55,-22.65,-18.15,-1.20,34.88,119.31,
06/01/2021,01:01:02.87,-208.01,-254.88,-984.86,-3.35,0.55,0.18,-22.65,-18.15,-1.20,34.93,119.31,
06/01/2021,01:01:02.88,-192.38,-264.65,-990.72,-3.60,-1.83,1.89,-20.70,-18.00,-1.05,35.27,119.31,
06/01/2021,01:01:02.88,-199.22,-259.28,-994.14,-1.40,0.43,1.52,-20.70,-18.00,-1.05,35.27,119.31,
06/01/2021,01:01:02.90,-198.73,-259.28,-990.23,-3.41,1.71,0.00,-21.00,-17.25,-0.60,35.07,119.31,
06/01/2021,01:01:02.90,-210.94,-252.93,-988.77,-1.83,0.24,0.98,-21.00,-17.25,-0.60,34.93,119.31,
06/01/2021,01:01:02.91,-191.89,-255.86,-997.07,-3.35,2.13,1.59,-21.15,-18.15,0.15,35.07,119.31,
06/01/2021,01:01:02.92,-203.61,-254.39,-993.65,-3.96,-0.43,2.07,-22.65,-17.40,-1.20,35.36,119.31,
06/01/2021,01:01:02.92,-202.64,-249.51,-1001.95,-3.60,-0.24,0.61,-22.65,-17.40,-1.20,34.88,119.31,
06/01/2021,01:01:02.93,-189.45,-261.72,-980.47,-2.20,-0.85,1.10,-20.55,-15.15,-0.90,34.74,119.31,
06/01/2021,01:01:02.94,-200.68,-248.54,-990.72,-3.48,-2.74,1.77,-20.85,-16.65,-0.90,35.36,119.31,
06/01/2021,01:01:02.95,-202.64,-266.11,-985.35,-3.41,0.55,1.77,-21.60,-18.90,1.20,35.27,119.31,
06/01/2021,01:01:02.96,-195.80,-257.32,-996.09,-2.50,-0.79,0.24,-21.60,-18.90,1.20,34.93,119.31,
06/01/2021,01:01:02.96,-206.05,-257.32,-984.38,-4.09,-0.06,2.07,-21.60,-18.90,1.20,35.07,119.31,
06/01/2021,01:01:02.97,-210.94,-260.74,-991.21,-4.09,-0.55,2.44,-20.55,-17.85,-0.90,34.93,119.31,
06/01/2021,01:01:02.98,-193.85,-262.70,-990.72,-4.27,0.37,0.67,-20.55,-17.85,-0.90,34.93,119.31,
