rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:56:59.96,-172.85,55.18,-1025.88,-2.80,-1.71,2.13,38.25,-4.80,8.55,34.12,119.43,
06/01/2021,00:57:00.01,-178.71,49.80,-1014.65,-4.09,-2.56,2.44,35.85,-6.15,9.45,34.02,119.42,
06/01/2021,00:57:00.02,-184.08,54.20,-1011.72,-1.71,-2.07,0.67,36.15,-6.15,9.45,33.88,119.42,
06/01/2021,00:57:00.03,-183.11,57.62,-1018.07,-4.33,-1.04,0.24,36.15,-6.15,9.45,33.88,119.42,
06/01/2021,00:57:00.03,-194.82,47.85,-1031.74,-0.06,-1.65,1.22,37.20,-5.10,8.55,33.97,119.42,
06/01/2021,00:57:00.05,-188.96,52.73,-1015.62,-1.04,0.73,0.12,36.90,-5.25,9.00,33.64,119.42,
06/01/2021,00:57:00.06,-179.20,56.64,-1016.60,-3.66,0.30,2.38,36.90,-5.25,9.00,33.83,119.42,
06/01/2021,00:57:00.06,-177.25,38.57,-1014.16,-2.32,-0.30,1.59,36.90,-5.25,9.00,34.02,119.42,
06/01/2021,00:57:00.07,-193.36,51.76,-1010.74,-3.35,-1.16,0.61,36.15,-6.15,11.25,33.64,119.42,
06/01/2021,00:57:00.07,-183.11,52.73,-1024.90,-1.22,-3.41,2.44,36.15,-6.15,11.25,33.83,119.42,
06/01/2021,00:57:00.08,-191.89,58.59,-1031.74,-3.29,0.30,1.22,36.15,-6.15,11.25,33.88,119.42,
06/01/2021,00:57:00.09,-181.15,54.69,-1020.51,-2.32,-1.52,0.43,36.45,-4.35,7.35,33.78,119.42,
06/01/2021,00:57:00.10,-175.29,56.64,-1014.16,-2.93,-0.91,2.38,36.45,-4.35,7.35,33.97,119.42,
06/01/2021,00:57:00.11,-188.96,42.48,-1014.65,-1.83,-2.20,0.06,36.90,-7.20,10.20,34.02,119.42,
06/01/2021,00:57:00.11,-183.59,54.20,-1012.21,-1.22,-2.87,1.10,35.85,-7.20,10.20,33.88,119.42,
06/01/2021,00:57:00.12,-187.01,50.78,-1013.18,-0.24,-1.10,2.56,35.85,-4.95,8.70,33.88,119.43,
06/01/2021,00:57:00.13,-189.45,56.64,-1007.32,-3.60,-0.79,0.18,36.60,-5.70,9.45,33.88,119.42,
06/01/2021,00:57:00.14,-183.59,54.69,-1017.58,-3.90,1.04,2.01,36.60,-5.70,9.45,33.83,119.42,
06/01/2021,00:57:00.15,-187.99,51.27,-1012.21,-3.23,0.43,-2.62,35.85,-5.25,9.45,33.83,119.42,
06/01/2021,00:57:00.15,-180.66,50.78,-1013.18,-3.66,-0.43,0.12,35.85,-5.25,9.45,34.12,119.43,
06/01/2021,00:57:00.16,-183.11,50.29,-1009.77,-1.95,-4.15,1.16,38.25,-5.55,10.05,33.88,119.43,
06/01/2021,00:57:00.17,-181.64,57.62,-1017.09,-2.50,-1.95,1.34,36.00,-6.30,9.30,33.88,119.42,
06/01/2021,00:57:00.18,-173.34,55.18,-1004.88,-3.11,-0.85,0.30,36.00,-6.30,9.30,33.88,119.42,
06/01/2021,00:57:00.19,-192.38,56.15,-1003.91,-3.84,-2.01,2.62,36.00,-6.30,9.30,34.02,119.43,
06/01/2021,00:57:00.19,-183.11,52.73,-1019.53,-2.38,0.55,1.16,36.00,-6.30,9.30,33.78,119.43,
06/01/2021,00:57:00.20,-187.50,59.08,-1012.70,-2.50,-2.62,-0.73,36.45,-5.10,8.85,34.02,119.43,
06/01/2021,00:57:00.20,-186.52,45.90,-1012.70,-3.78,-0.30,-0.30,36.45,-5.10,8.85,33.97,119.43,
06/01/2021,00:57:00.22,-192.38,42.48,-1012.70,-2.56,-0.73,3.96,35.25,-5.10,9.60,34.02,119.43,
06/01/2021,00:57:00.22,-188.48,55.18,-1017.58,-2.56,0.43,2.50,35.70,-5.55,8.55,33.68,119.43,
06/01/2021,00:57:00.23,-199.22,58.59,-1014.65,-2.07,-2.07,1.28,35.70,-5.55,8.55,33.68,119.43,
06/01/2021,00:57:00.24,-180.18,62.01,-1014.65,-1.34,-1.04,-0.85,35.70,-5.10,8.85,33.88,119.43,
06/01/2021,00:57:00.24,-187.99,55.18,-1018.07,-0.67,-1.71,0.98,35.70,-5.10,8.85,33.97,119.43,
06/01/2021,00:57:00.26,-192.87,43.95,-1016.11,-0.30,-0.73,1.40,36.90,-6.15,8.40,33.88,119.43,
06/01/2021,00:57:00.26,-182.13,56.64,-1012.70,-2.13,-0.91,2.38,35.85,-5.25,9.75,34.21,119.43,
06/01/2021,00:57:00.27,-192.87,54.20,-1007.81,-2.50,0.49,-0.67,35.85,-5.25,9.75,33.78,119.43,
06/01/2021,00:57:00.27,-188.48,61.04,-1018.55,-2.32,-0.91,1.95,35.85,-5.25,9.75,33.88,119.43,
06/01/2021,00:57:00.28,-173.83,65.43,-1014.16,-2.07,-1.22,1.04,35.85,-5.25,9.75,33.88,119.43,
06/01/2021,00:57:00.29,-190.92,61.52,-1013.18,-1.28,0.49,-0.06,37.65,-5.70,7.65,33.83,119.43,
06/01/2021,00:57:00.30,-192.38,54.69,-1002.93,-1.71,0.12,2.26,37.65,-5.70,7.65,33.88,119.43,
06/01/2021,00:57:00.31,-181.15,40.04,-1016.11,-2.68,-1.34,-1.16,37.65,-5.70,12.30,33.88,119.43,
06/01/2021,00:57:00.31,-191.89,48.34,-1025.39,-4.21,-0.37,3.11,37.65,-5.70,12.30,34.31,119.43,
06/01/2021,00:57:00.32,-196.78,64.45,-1019.53,-3.29,-0.06,3.90,37.65,-5.70,12.30,33.64,119.43,
06/01/2021,00:57:00.33,-182.62,49.32,-1019.53,-2.07,-2.93,2.38,36.45,-4.35,8.85,34.02,119.43,
06/01/2021,00:57:00.34,-179.69,50.78,-1015.14,-2.44,-0.55,1.95,36.75,-2.85,7.80,33.78,119.43,
06/01/2021,00:57:00.35,-174.80,51.76,-1027.34,-2.68,-0.85,1.59,34.80,-6.15,10.95,33.88,119.43,
06/01/2021,00:57:00.35,-186.04,54.69,-999.51,-0.67,0.98,3.35,36.75,-5.10,7.35,33.97,119.43,
06/01/2021,00:57:00.36,-172.36,53.71,-1017.09,-2.68,0.43,0.18,36.75,-5.10,7.35,33.88,119.43,
06/01/2021,00:57:00.36,-182.13,49.80,-1018.07,-3.17,-0.18,0.18,36.75,-5.55,10.05,33.88,119.43,
06/01/2021,00:57:00.38,-191.89,58.11,-1013.18,-2.07,-0.67,1.46,35.70,-5.85,8.85,33.97,119.43,
06/01/2021,00:57:00.39,-194.34,58.11,-1009.28,-2.44,1.77,0.30,35.70,-5.55,10.65,33.64,119.43,
06/01/2021,00:57:00.39,-179.20,51.27,-1026.86,-3.78,-1.46,-0.37,35.70,-5.55,10.65,34.02,119.43,
06/01/2021,00:57:00.40,-187.01,64.94,-1013.18,-2.80,0.55,-0.24,36.00,-5.55,10.05,34.02,119.43,
06/01/2021,00:57:00.40,-190.92,58.59,-1015.14,-3.05,-0.06,1.10,36.00,-5.55,10.05,33.68,119.43,
06/01/2021,00:57:00.41,-193.36,49.32,-1025.88,-2.20,-0.24,0.18,36.00,-5.55,10.05,33.78,119.43,
06/01/2021,00:57:00.43,-180.66,50.78,-1013.18,-0.98,0.37,1.71,36.60,-4.20,7.95,34.16,119.43,
06/01/2021,00:57:00.43,-197.75,54.20,-1009.28,-3.11,-2.87,0.91,36.60,-4.20,7.95,33.49,119.43,
06/01/2021,00:57:00.44,-187.99,56.15,-1014.16,-1.59,0.98,2.32,37.20,-6.60,9.30,34.12,119.43,
06/01/2021,00:57:00.44,-178.71,62.01,-1028.32,-2.44,-0.49,2.01,34.95,-5.55,9.60,33.88,119.43,
06/01/2021,00:57:00.45,-187.99,57.13,-1010.25,-1.95,-0.24,1.65,34.95,-5.55,9.60,33.68,119.43,
06/01/2021,00:57:00.46,-171.88,47.85,-1019.04,-2.44,-1.77,1.16,36.15,-6.45,9.45,33.88,119.43,
06/01/2021,00:57:00.47,-175.29,60.06,-1020.02,-1.65,1.28,1.46,36.15,-6.45,9.45,33.88,119.43,
06/01/2021,00:57:00.48,-182.13,44.43,-1012.70,-0.55,-1.34,0.55,35.70,-6.30,8.85,33.78,119.43,
06/01/2021,00:57:00.48,-193.36,66.41,-1017.09,0.06,-1.16,0.67,35.70,-6.30,8.85,34.12,119.43,
06/01/2021,00:57:00.52,-181.64,49.80,-1015.62,-2.32,0.12,-0.67,35.85,-5.70,9.75,34.02,119.43,
06/01/2021,00:57:00.54,-169.43,59.08,-1019.04,-2.07,-0.79,2.01,37.65,-5.25,9.75,33.88,119.42,
06/01/2021,00:57:00.55,-187.01,54.69,-1018.07,-2.62,-0.85,0.98,35.55,-6.45,10.95,33.64,119.42,
06/01/2021,00:57:00.55,-190.92,50.29,-1024.41,-2.38,-1.52,1.16,35.55,-6.45,10.95,33.88,119.42,
06/01/2021,00:57:00.56,-179.20,49.32,-1019.53,-1.95,0.00,-0.18,35.85,-7.20,9.75,33.83,119.42,
06/01/2021,00:57:00.56,-190.43,59.57,-1013.67,-1.16,-0.37,1.52,36.60,-6.45,9.45,33.88,119.43,
06/01/2021,00:57:00.57,-172.36,51.76,-1021.48,-1.16,-1.34,2.13,36.60,-6.45,9.45,33.49,119.43,
06/01/2021,00:57:00.58,-189.94,67.38,-1005.86,-3.11,-1.77,1.71,36.90,-6.45,10.20,33.88,119.42,
06/01/2021,00:57:00.59,-185.06,55.18,-1017.58,-1.28,-1.16,2.99,36.90,-6.45,10.20,33.88,119.42,
06/01/2021,00:57:00.60,-179.69,65.92,-1021.97,-1.59,-2.74,1.83,35.85,-5.25,8.70,33.88,119.43,
