rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:54:58.67,-180.18,54.69,-1016.11,-0.67,-1.16,1.95,35.10,-4.50,9.75,33.06,119.37,
06/01/2021,00:54:58.72,-194.34,55.18,-1017.58,-1.16,-0.12,0.98,36.00,-6.30,9.60,33.11,119.36,
06/01/2021,00:54:58.73,-181.15,56.15,-1008.30,-4.27,0.91,-0.12,35.70,-5.85,7.80,32.92,119.35,
06/01/2021,00:54:58.74,-187.01,58.59,-1022.95,-2.68,-1.52,0.49,35.70,-5.85,7.80,32.77,119.36,
06/01/2021,00:54:58.74,-181.15,52.25,-1008.79,-0.79,-1.59,1.40,35.70,-5.55,10.35,33.06,119.36,
06/01/2021,00:54:58.76,-188.96,55.18,-1023.44,-1.16,-1.65,0.00,35.25,-5.55,8.55,32.97,119.35,
06/01/2021,00:54:58.77,-184.57,65.43,-1016.60,-1.95,-1.10,-0.06,35.25,-6.60,10.35,32.97,119.35,
06/01/2021,00:54:58.77,-190.43,53.22,-1010.25,-0.98,0.18,0.61,37.20,-4.35,8.55,32.73,119.36,
06/01/2021,00:54:58.78,-190.43,55.66,-1022.95,-1.59,-1.95,0.55,37.20,-4.35,8.55,33.11,119.36,
06/01/2021,00:54:58.78,-185.06,45.41,-1015.62,-1.65,-1.04,-0.61,36.60,-6.15,8.70,32.73,119.36,
06/01/2021,00:54:58.79,-182.13,47.85,-1009.77,-2.13,-0.06,2.26,36.60,-6.15,8.70,32.97,119.36,
06/01/2021,00:54:58.80,-203.61,56.64,-1008.79,-3.05,0.79,4.21,37.95,-4.80,7.80,32.97,119.36,
06/01/2021,00:54:58.81,-194.34,62.99,-1015.14,-2.99,-1.10,1.34,37.95,-4.80,7.80,33.11,119.36,
06/01/2021,00:54:58.82,-190.92,59.57,-1021.97,-0.85,-1.95,2.99,36.60,-4.20,9.00,33.06,119.36,
06/01/2021,00:54:58.82,-187.99,38.09,-1012.21,-3.17,-2.13,2.74,36.60,-4.20,9.00,32.63,119.36,
06/01/2021,00:54:58.83,-192.38,63.96,-1011.72,-0.18,-0.30,1.95,36.60,-4.20,9.00,32.92,119.36,
06/01/2021,00:54:58.84,-203.61,62.01,-1014.16,-1.10,-1.34,2.50,38.40,-2.55,7.65,33.06,119.36,
06/01/2021,00:54:58.85,-183.11,59.08,-1003.91,-4.21,0.30,0.79,38.40,-2.55,7.65,33.06,119.36,
06/01/2021,00:54:58.85,-191.41,50.78,-1018.07,-4.27,-0.73,0.49,34.95,-5.55,8.55,32.77,119.36,
06/01/2021,00:54:58.86,-183.11,52.25,-1022.95,-0.67,-1.22,0.61,34.95,-5.55,8.55,32.97,119.36,
06/01/2021,00:54:58.87,-174.80,48.83,-1006.84,-2.20,-2.07,0.85,37.50,-5.10,8.85,32.82,119.36,
06/01/2021,00:54:58.88,-186.52,55.66,-1020.51,-3.11,0.30,-0.24,35.70,-5.85,8.55,32.77,119.36,
06/01/2021,00:54:58.89,-178.22,48.83,-1013.67,-1.89,0.12,0.37,35.70,-5.85,8.55,32.77,119.36,
06/01/2021,00:54:58.89,-192.38,62.01,-1009.28,-2.38,-0.67,1.46,38.40,-5.70,9.45,32.92,119.36,
06/01/2021,00:54:58.90,-195.80,59.08,-1021.48,-4.51,-1.71,0.73,38.40,-5.70,9.45,33.06,119.36,
06/01/2021,00:54:58.91,-174.80,62.99,-1004.88,-2.38,-1.22,1.59,37.35,-3.75,10.20,32.82,119.36,
06/01/2021,00:54:58.91,-192.38,65.43,-1021.48,-1.16,0.85,2.20,36.75,-5.55,6.75,32.92,119.36,
06/01/2021,00:54:58.93,-189.94,58.59,-1012.21,-3.84,-0.43,1.52,36.75,-4.35,9.60,32.97,119.36,
06/01/2021,00:54:58.93,-176.27,62.01,-1010.74,-2.13,-1.34,2.56,36.75,-4.35,9.60,33.06,119.36,
06/01/2021,00:54:58.94,-186.52,60.55,-1015.62,-1.89,-1.22,1.71,36.75,-4.35,9.60,33.06,119.36,
06/01/2021,00:54:58.94,-182.13,53.71,-1005.86,-1.89,-0.98,3.66,37.35,-4.50,10.20,33.11,119.36,
06/01/2021,00:54:58.95,-187.99,60.55,-1022.46,-3.78,-0.91,1.40,37.35,-4.50,10.20,32.92,119.36,
06/01/2021,00:54:58.97,-182.62,57.13,-1011.23,-0.79,0.37,2.26,36.15,-4.95,8.70,32.77,119.36,
06/01/2021,00:54:58.97,-180.66,60.06,-1012.21,-2.80,-2.62,0.12,36.15,-4.95,8.70,32.82,119.36,
06/01/2021,00:54:58.98,-193.85,55.66,-1005.37,-4.21,1.65,0.37,36.15,-4.95,8.70,32.92,119.36,
06/01/2021,00:54:58.98,-182.13,60.06,-1027.34,-0.73,0.73,0.79,36.60,-6.45,10.20,32.97,119.36,
06/01/2021,00:54:58.99,-177.73,52.25,-1013.18,-0.67,-1.52,1.22,36.60,-6.45,10.20,32.92,119.36,
06/01/2021,00:54:59.00,-183.11,54.69,-1015.62,-3.05,-1.28,2.74,37.35,-3.45,7.20,32.73,119.37,
06/01/2021,00:54:59.01,-199.71,59.57,-1009.28,-1.46,-1.83,3.66,36.45,-4.80,9.30,32.73,119.36,
06/01/2021,00:54:59.02,-170.90,49.32,-1015.62,-2.44,0.49,4.63,36.45,-4.80,9.30,32.77,119.36,
06/01/2021,00:54:59.02,-178.22,61.04,-1012.21,-3.17,-1.40,1.83,34.80,-5.25,9.00,32.92,119.36,
06/01/2021,00:54:59.03,-186.04,44.92,-1017.58,-4.02,0.00,-0.67,34.80,-5.25,9.00,32.97,119.37,
06/01/2021,00:54:59.03,-176.27,47.85,-1026.86,-3.17,-0.79,-1.34,37.65,-4.50,8.70,32.97,119.37,
06/01/2021,00:54:59.05,-178.71,63.48,-1016.60,-0.61,-1.10,2.07,37.95,-4.80,8.85,32.92,119.36,
06/01/2021,00:54:59.06,-182.13,58.11,-1019.53,-2.62,-1.40,-2.13,36.90,-4.95,9.75,32.97,119.36,
06/01/2021,00:54:59.06,-182.13,58.11,-1027.34,-1.46,0.06,2.13,36.90,-4.95,9.75,33.11,119.37,
06/01/2021,00:54:59.07,-175.29,62.01,-1018.55,-0.24,-0.61,2.62,36.90,-4.95,9.75,32.63,119.37,
06/01/2021,00:54:59.07,-186.52,51.76,-1009.77,-2.20,0.73,-1.83,35.85,-4.95,10.20,32.92,119.37,
06/01/2021,00:54:59.09,-174.80,58.11,-1010.25,-2.62,0.06,1.89,35.85,-4.95,10.20,32.73,119.36,
06/01/2021,00:54:59.10,-192.38,47.85,-1006.84,-1.52,-1.40,2.80,35.85,-6.15,10.50,32.92,119.37,
06/01/2021,00:54:59.10,-182.13,59.08,-1024.90,-1.04,-2.62,0.55,35.85,-6.15,10.50,32.92,119.37,
06/01/2021,00:54:59.11,-194.34,51.27,-1008.79,-2.44,-1.52,1.77,35.85,-6.15,10.50,32.82,119.37,
06/01/2021,00:54:59.11,-184.08,47.85,-1005.37,-1.77,-2.62,-0.43,35.55,-5.70,9.45,32.92,119.37,
06/01/2021,00:54:59.12,-189.45,56.15,-1004.39,-1.16,-0.06,2.13,35.55,-5.70,9.45,32.92,119.37,
06/01/2021,00:54:59.13,-197.27,56.64,-1011.72,0.43,-0.91,1.83,35.70,-5.55,9.60,32.73,119.37,
