rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:55:59.32,-176.76,38.57,-1023.44,-1.95,0.18,2.20,36.15,-6.45,10.20,33.49,119.39,
06/01/2021,00:55:59.36,-193.85,48.83,-1011.23,-2.50,-1.89,0.73,35.70,-3.90,9.30,33.59,119.38,
06/01/2021,00:55:59.38,-177.73,55.66,-1006.84,-0.18,-2.87,0.18,36.75,-5.55,10.35,33.35,119.38,
06/01/2021,00:55:59.38,-168.95,51.27,-1007.81,-4.45,-1.46,0.00,36.75,-5.55,10.35,33.59,119.38,
06/01/2021,00:55:59.39,-195.80,59.08,-1018.07,-1.16,-0.73,1.46,36.75,-5.55,10.35,33.49,119.38,
06/01/2021,00:55:59.40,-187.50,51.27,-1019.04,-2.20,-4.27,1.52,36.15,-5.70,9.45,33.16,119.38,
06/01/2021,00:55:59.41,-187.99,57.13,-1018.07,-3.78,-1.83,0.73,36.15,-3.45,10.20,33.35,119.38,
06/01/2021,00:55:59.42,-185.06,64.94,-1021.97,-0.73,1.65,1.95,36.15,-3.45,10.20,33.30,119.38,
06/01/2021,00:55:59.42,-205.08,62.50,-1023.93,0.00,0.18,-0.37,36.00,-4.35,8.85,33.59,119.38,
06/01/2021,00:55:59.43,-192.87,48.83,-1019.04,-2.80,1.10,1.77,36.00,-4.35,8.85,33.44,119.38,
06/01/2021,00:55:59.43,-192.87,57.62,-1017.58,-0.85,-0.49,0.98,38.25,-5.55,7.35,33.44,119.38,
06/01/2021,00:55:59.45,-188.48,61.52,-1012.70,-3.54,-1.04,2.13,37.95,-5.10,8.85,33.16,119.38,
06/01/2021,00:55:59.46,-190.92,51.76,-1011.23,-2.56,0.67,0.79,35.70,-4.80,11.10,33.49,119.38,
06/01/2021,00:55:59.46,-181.64,52.73,-1015.14,0.67,-0.06,2.62,35.85,-5.70,9.75,33.49,119.38,
06/01/2021,00:55:59.47,-202.64,68.36,-1012.21,-0.43,-1.83,0.73,35.85,-5.70,9.75,33.64,119.38,
06/01/2021,00:55:59.47,-195.31,54.69,-1018.07,0.18,0.85,2.50,35.85,-5.70,9.75,33.30,119.38,
06/01/2021,00:55:59.49,-170.90,52.73,-1025.88,-1.28,0.06,2.50,37.50,-5.85,8.85,33.35,119.38,
06/01/2021,00:55:59.50,-186.04,63.96,-1018.55,-1.46,0.00,4.15,37.50,-5.85,8.85,33.44,119.38,
06/01/2021,00:55:59.50,-179.20,54.69,-1000.98,-0.55,0.91,3.29,35.55,-4.95,9.75,33.49,119.38,
06/01/2021,00:55:59.51,-182.62,46.39,-1017.09,-2.13,-0.37,1.40,35.55,-4.95,9.75,33.25,119.38,
06/01/2021,00:55:59.51,-180.18,42.48,-1032.71,-1.04,-1.16,-0.49,35.55,-4.95,9.75,33.64,119.38,
06/01/2021,00:55:59.53,-178.71,60.55,-1010.25,-2.50,-0.18,3.05,37.65,-6.45,10.50,33.68,119.38,
06/01/2021,00:55:59.53,-195.31,59.08,-1012.70,-5.12,1.34,0.61,35.70,-6.30,10.65,33.49,119.38,
06/01/2021,00:55:59.54,-197.27,43.95,-1011.72,-2.62,-0.18,1.04,35.70,-6.30,10.65,33.44,119.38,
06/01/2021,00:55:59.55,-177.73,49.32,-1010.25,-2.80,1.22,0.91,37.20,-5.85,10.05,33.59,119.39,
06/01/2021,00:55:59.55,-174.80,57.13,-1012.21,-1.59,-0.24,1.40,36.15,-6.15,9.45,33.30,119.39,
06/01/2021,00:55:59.56,-191.89,54.69,-1009.77,-0.12,-2.32,2.87,36.15,-6.15,9.45,33.44,119.39,
06/01/2021,00:55:59.57,-187.01,48.34,-996.09,-2.56,-1.77,0.61,37.20,-5.10,10.35,33.25,119.38,
06/01/2021,00:55:59.58,-186.52,56.64,-1018.55,0.06,-2.44,1.71,37.20,-5.10,10.35,33.49,119.39,
06/01/2021,00:55:59.58,-178.71,48.83,-1013.18,-1.40,0.00,4.70,36.90,-5.25,9.75,33.44,119.39,
06/01/2021,00:55:59.59,-199.71,62.01,-1010.25,0.55,0.43,1.16,36.90,-5.25,9.75,33.35,119.39,
06/01/2021,00:55:59.60,-190.92,53.71,-1009.77,-2.87,1.04,-1.52,36.45,-4.80,10.05,33.30,119.39,
06/01/2021,00:55:59.61,-194.34,44.92,-1022.95,0.67,-1.34,3.84,35.85,-4.50,9.45,33.11,119.39,
06/01/2021,00:55:59.62,-190.92,41.50,-1011.23,-2.80,0.49,3.17,35.85,-4.50,9.45,33.64,119.39,
06/01/2021,00:55:59.62,-187.01,57.13,-1010.74,-0.85,-0.91,3.05,35.85,-4.50,9.45,33.64,119.39,
06/01/2021,00:55:59.63,-188.48,56.64,-1014.65,-1.89,-3.11,0.43,35.85,-4.50,9.45,33.11,119.39,
06/01/2021,00:55:59.64,-172.85,59.57,-1011.72,-1.83,-2.07,2.38,36.00,-4.35,10.05,33.59,119.39,
06/01/2021,00:55:59.64,-180.18,62.50,-1017.09,-1.04,-0.18,2.38,37.35,-3.45,7.95,33.49,119.39,
06/01/2021,00:55:59.66,-183.59,49.80,-1016.11,-1.65,0.18,1.95,37.65,-6.15,8.70,33.49,119.39,
06/01/2021,00:55:59.66,-190.92,71.78,-1011.23,-4.27,-0.91,0.85,36.15,-3.45,10.95,33.64,119.39,
06/01/2021,00:55:59.67,-179.69,55.18,-1011.23,-1.28,-0.61,0.43,36.15,-3.45,10.95,33.49,119.39,
06/01/2021,00:55:59.67,-173.83,58.59,-1021.00,-2.62,0.24,2.93,36.45,-5.10,11.10,33.11,119.39,
06/01/2021,00:55:59.68,-177.25,68.36,-1009.28,-1.10,-0.79,1.71,36.45,-5.10,11.10,33.35,119.39,
06/01/2021,00:55:59.70,-190.43,58.59,-1012.70,-2.99,-0.12,0.30,36.45,-4.80,10.05,33.44,119.39,
06/01/2021,00:55:59.70,-187.01,62.01,-1008.79,-2.07,-2.56,0.85,35.10,-4.95,9.00,33.68,119.39,
06/01/2021,00:55:59.71,-200.20,64.45,-1018.55,-2.07,-0.43,0.61,35.10,-4.95,9.00,33.44,119.39,
06/01/2021,00:55:59.71,-176.76,58.11,-1029.30,-1.95,-1.46,0.00,35.10,-4.95,9.00,33.11,119.39,
06/01/2021,00:55:59.72,-191.89,55.18,-1021.97,-3.54,-0.67,1.89,35.10,-4.95,9.00,33.35,119.39,
06/01/2021,00:55:59.74,-184.57,50.29,-1004.88,-1.46,-1.52,2.50,36.75,-3.60,8.85,33.64,119.39,
06/01/2021,00:55:59.74,-195.31,67.87,-1000.98,-1.89,1.16,1.22,36.45,-5.55,8.55,33.44,119.39,
06/01/2021,00:55:59.75,-195.31,41.99,-1005.86,-2.44,0.79,1.52,36.45,-5.55,8.55,33.59,119.39,
06/01/2021,00:55:59.75,-194.82,70.31,-1012.21,-2.87,-2.62,-0.43,36.45,-5.55,8.55,33.35,119.39,
06/01/2021,00:55:59.76,-188.96,53.71,-1016.60,-0.61,0.98,2.62,36.45,-5.55,8.55,33.64,119.39,
06/01/2021,00:55:59.76,-181.64,47.36,-1016.60,-1.40,-1.65,-0.49,37.50,-4.80,8.55,33.49,119.39,
06/01/2021,00:55:59.78,-184.57,67.38,-1018.07,-2.32,0.24,0.61,37.50,-4.80,9.60,33.68,119.39,
06/01/2021,00:55:59.79,-189.45,50.29,-1009.28,-2.01,1.28,1.71,36.45,-7.35,9.30,33.35,119.39,
06/01/2021,00:55:59.79,-186.04,58.59,-1006.84,-2.07,-2.38,2.32,35.70,-5.10,10.05,33.59,119.39,
06/01/2021,00:55:59.80,-180.66,53.71,-1003.42,-2.32,-1.16,2.20,35.70,-5.10,10.05,33.59,119.39,
06/01/2021,00:55:59.80,-188.48,45.90,-1018.07,-1.22,-1.10,2.80,34.95,-4.80,8.10,33.59,119.39,
