rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:05:05.67,127.93,479.00,-659.67,47.38,-51.40,-57.80,13.65,26.40,27.00,35.36,118.82,
06/01/2021,01:05:05.72,-12.70,470.21,-622.56,74.21,-74.09,-78.72,15.90,27.60,25.20,35.70,118.81,
06/01/2021,01:05:05.73,-81.54,449.22,-638.67,87.38,-79.09,-79.21,17.85,27.00,26.40,35.60,118.81,
06/01/2021,01:05:05.74,-92.29,450.68,-658.20,92.20,-77.07,-78.90,17.85,27.00,26.40,35.60,118.81,
06/01/2021,01:05:05.74,-113.28,460.45,-645.02,97.68,-78.54,-76.71,17.55,26.25,24.30,35.60,118.81,
06/01/2021,01:05:05.76,-146.48,454.10,-681.64,112.93,-76.34,-75.18,19.80,24.75,22.80,35.60,118.81,
06/01/2021,01:05:05.77,-135.25,471.19,-696.29,117.62,-74.94,-73.96,19.80,24.75,22.80,35.75,118.81,
06/01/2021,01:05:05.77,-129.88,459.47,-715.82,119.82,-74.88,-75.37,20.55,24.00,22.35,35.46,118.81,
06/01/2021,01:05:05.78,-152.34,462.89,-745.61,128.41,-74.51,-72.74,20.55,24.00,22.35,35.60,118.81,
06/01/2021,01:05:05.78,-152.34,454.10,-756.35,134.02,-74.33,-70.37,20.55,24.00,22.35,35.55,118.81,
06/01/2021,01:05:05.80,-158.20,412.11,-818.36,143.17,-73.48,-70.98,21.75,26.10,18.60,35.55,118.81,
06/01/2021,01:05:05.81,-171.88,398.93,-834.96,145.98,-70.79,-69.02,23.10,23.25,21.30,35.46,118.81,
06/01/2021,01:05:05.81,-190.92,387.70,-831.05,150.85,-71.77,-67.13,21.45,23.40,20.70,35.55,118.81,
06/01/2021,01:05:05.82,-180.66,379.88,-845.70,153.17,-74.70,-65.61,21.45,23.40,20.70,35.70,118.81,
06/01/2021,01:05:05.82,-179.69,372.07,-843.75,153.78,-74.70,-66.95,22.50,22.20,18.90,35.70,118.81,
06/01/2021,01:05:05.84,-176.27,335.45,-877.93,158.23,-74.27,-63.11,24.90,21.60,16.50,35.55,118.81,
06/01/2021,01:05:05.85,-169.92,321.29,-896.97,158.35,-76.10,-64.33,24.90,21.60,19.05,35.55,118.81,
06/01/2021,01:05:05.85,-168.95,303.71,-917.97,158.66,-76.04,-68.60,24.75,20.25,18.90,35.55,118.81,
06/01/2021,01:05:05.86,-195.31,286.13,-932.62,158.41,-76.83,-67.74,24.75,20.25,18.90,35.79,118.81,
06/01/2021,01:05:05.86,-190.92,280.27,-945.80,155.37,-79.02,-68.35,24.30,19.50,16.35,35.55,118.81,
06/01/2021,01:05:05.88,-254.39,241.21,-958.50,154.57,-83.29,-70.18,26.25,17.25,16.35,35.46,118.81,
06/01/2021,01:05:05.89,-271.97,231.45,-957.52,152.44,-80.37,-69.94,26.25,17.25,16.35,35.60,118.81,
06/01/2021,01:05:05.89,-297.36,219.73,-956.05,153.35,-80.06,-70.37,26.25,17.25,16.35,35.55,118.81,
06/01/2021,01:05:05.90,-322.27,189.45,-957.03,150.30,-81.77,-69.02,26.25,17.25,16.35,35.46,118.81,
06/01/2021,01:05:05.90,-334.96,187.50,-942.38,146.65,-81.77,-70.55,27.00,17.25,15.60,35.41,118.81,
06/01/2021,01:05:05.91,-347.17,163.09,-926.27,149.39,-81.10,-70.06,27.90,16.20,15.60,35.46,118.81,
06/01/2021,01:05:05.93,-359.86,130.37,-914.55,148.72,-79.82,-66.52,28.05,15.75,13.05,35.55,118.81,
06/01/2021,01:05:05.93,-373.05,109.86,-890.14,148.23,-77.62,-64.88,27.45,14.40,14.70,35.70,118.81,
06/01/2021,01:05:05.94,-378.91,91.31,-875.49,146.95,-77.44,-63.72,27.45,14.40,14.70,35.60,118.81,
06/01/2021,01:05:05.95,-372.07,73.73,-860.35,147.62,-79.88,-62.26,29.25,13.05,12.75,35.46,118.81,
06/01/2021,01:05:05.95,-348.63,59.08,-868.65,146.83,-78.78,-61.16,28.65,13.50,12.15,35.60,118.81,
06/01/2021,01:05:05.97,-367.68,-2.93,-885.25,148.41,-83.23,-57.62,28.65,13.50,12.15,35.89,118.81,
06/01/2021,01:05:05.97,-375.00,-30.76,-905.27,147.38,-85.85,-59.94,28.95,11.70,11.40,35.70,118.81,
06/01/2021,01:05:05.98,-404.79,-54.69,-906.25,146.16,-84.94,-58.05,28.95,11.70,11.40,35.36,118.81,
06/01/2021,01:05:05.99,-437.01,-90.82,-918.95,145.43,-86.77,-59.27,28.95,11.70,11.40,35.60,118.81,
06/01/2021,01:05:05.99,-454.10,-120.61,-930.18,142.20,-86.46,-59.27,30.60,10.65,11.70,35.60,118.81,
06/01/2021,01:05:06.01,-508.30,-169.92,-930.18,139.70,-84.45,-58.17,31.95,9.30,11.40,35.70,118.81,
06/01/2021,01:05:06.01,-517.58,-190.43,-935.06,143.96,-85.79,-55.61,30.60,7.95,13.05,35.55,118.81,
06/01/2021,01:05:06.02,-521.48,-212.40,-907.23,138.96,-86.34,-55.73,30.60,7.95,13.05,35.46,118.81,
06/01/2021,01:05:06.03,-503.91,-223.14,-911.62,140.18,-85.67,-56.04,32.85,6.45,12.00,35.75,118.81,
06/01/2021,01:05:06.03,-510.25,-247.56,-907.71,135.61,-88.41,-57.07,32.40,7.05,11.85,35.70,118.81,
06/01/2021,01:05:06.05,-580.57,-281.25,-984.86,132.80,-90.73,-57.62,32.85,4.20,12.00,35.70,118.81,
06/01/2021,01:05:06.05,-637.70,-304.20,-984.38,130.37,-93.17,-54.45,32.85,4.20,12.00,35.55,118.81,
06/01/2021,01:05:06.06,-679.69,-324.71,-1006.84,128.11,-90.55,-51.28,32.85,4.20,12.00,35.70,118.81,
06/01/2021,01:05:06.07,-698.24,-349.12,-1027.83,125.37,-87.38,-54.02,34.50,3.90,10.65,35.46,118.81,
06/01/2021,01:05:06.07,-729.98,-375.49,-1039.06,126.46,-83.23,-52.62,34.50,3.90,10.65,35.79,118.81,
06/01/2021,01:05:06.09,-816.89,-422.85,-1069.34,124.76,-67.26,-49.70,33.75,2.40,12.15,35.60,118.81,
06/01/2021,01:05:06.09,-800.29,-445.80,-1066.41,121.95,-63.35,-47.38,33.60,1.50,13.50,35.07,118.81,
06/01/2021,01:05:06.10,-838.38,-460.45,-1085.45,122.01,-61.16,-40.61,33.60,1.50,13.50,35.70,118.81,
06/01/2021,01:05:06.11,-806.64,-486.33,-1080.08,116.95,-58.17,-40.49,34.05,1.50,11.70,35.70,118.81,
06/01/2021,01:05:06.11,-800.78,-503.42,-1097.66,114.76,-57.80,-40.43,34.20,1.20,12.60,35.46,118.81,
06/01/2021,01:05:06.13,-813.96,-526.37,-1098.14,104.09,-58.60,-31.28,35.55,-0.30,12.00,35.75,118.81,
06/01/2021,01:05:06.13,-845.21,-537.11,-1104.98,103.29,-57.01,-31.04,33.30,-0.30,13.50,35.46,118.81,
06/01/2021,01:05:06.14,-851.07,-561.04,-1101.56,99.39,-58.54,-26.65,33.30,-0.30,13.50,35.70,118.81,
06/01/2021,01:05:06.15,-859.38,-570.31,-1100.59,97.38,-59.02,-23.48,33.30,-0.30,13.50,35.70,118.81,
06/01/2021,01:05:06.15,-863.28,-590.82,-1101.56,91.95,-55.12,-23.60,35.70,-0.90,13.65,35.46,118.82,
06/01/2021,01:05:06.17,-839.36,-603.03,-1075.68,82.20,-52.93,-18.72,35.70,-0.90,13.65,35.60,118.81,
06/01/2021,01:05:06.17,-851.07,-593.26,-1064.45,78.90,-52.87,-12.20,34.20,-2.85,14.70,35.60,118.81,
06/01/2021,01:05:06.18,-828.61,-598.63,-1047.36,74.94,-54.82,-7.38,34.20,-2.85,14.70,35.46,118.81,
06/01/2021,01:05:06.19,-811.04,-600.10,-1046.39,71.71,-55.85,-8.41,36.90,-3.00,13.80,35.60,118.81,
06/01/2021,01:05:06.19,-806.15,-602.54,-1007.81,66.22,-58.66,-5.49,35.25,-2.40,13.95,35.60,118.82,
06/01/2021,01:05:06.24,-707.52,-545.41,-869.63,43.78,-50.12,7.26,35.70,-3.90,14.40,35.46,118.81,
06/01/2021,01:05:06.25,-676.27,-536.13,-837.40,36.28,-40.43,4.82,36.00,-3.15,14.70,35.55,118.81,
06/01/2021,01:05:06.26,-670.41,-535.64,-818.36,36.95,-38.60,10.79,36.00,-3.15,14.70,35.60,118.81,
06/01/2021,01:05:06.26,-658.20,-522.95,-793.46,34.02,-33.90,6.34,36.60,-4.50,15.30,35.55,118.81,
06/01/2021,01:05:06.27,-642.09,-521.48,-780.27,32.74,-32.56,10.06,36.60,-4.50,15.30,35.46,118.81,
06/01/2021,01:05:06.29,-613.28,-509.77,-756.84,29.63,-26.04,11.46,38.10,-4.20,16.05,35.17,118.81,
06/01/2021,01:05:06.29,-607.91,-502.44,-733.40,25.37,-25.49,7.62,36.75,-4.80,15.90,35.46,118.81,
06/01/2021,01:05:06.30,-600.59,-510.25,-735.84,26.40,-23.66,9.57,36.75,-4.80,15.90,35.46,118.81,
06/01/2021,01:05:06.30,-610.35,-523.93,-714.36,26.40,-19.88,6.83,37.20,-5.55,15.90,35.60,118.81,
06/01/2021,01:05:06.31,-610.35,-520.02,-717.77,25.06,-19.45,5.55,37.20,-5.55,15.90,35.55,118.81,
06/01/2021,01:05:06.32,-598.63,-516.60,-704.59,21.89,-17.68,5.24,38.25,-3.15,14.70,35.46,118.81,
06/01/2021,01:05:06.33,-614.75,-528.32,-686.52,19.82,-10.30,-0.79,37.95,-5.10,17.25,35.70,118.81,
06/01/2021,01:05:06.34,-610.84,-522.46,-680.18,19.21,-9.70,0.91,37.95,-5.10,17.25,35.55,118.81,
06/01/2021,01:05:06.34,-612.79,-544.43,-686.04,17.50,-8.17,0.43,37.95,-5.10,17.25,35.60,118.81,
06/01/2021,01:05:06.35,-628.42,-535.64,-665.04,17.87,-5.67,-0.67,37.95,-5.10,17.25,35.60,118.81,
06/01/2021,01:05:06.36,-616.70,-542.48,-667.97,16.46,-3.66,-0.85,36.75,-5.10,15.45,35.60,118.81,
06/01/2021,01:05:06.37,-610.35,-552.73,-637.21,13.96,-5.73,-6.95,37.20,-4.80,15.45,35.55,118.81,
06/01/2021,01:05:06.38,-632.32,-563.96,-653.32,9.51,-4.39,-7.26,37.20,-4.80,16.50,35.55,118.81,
06/01/2021,01:05:06.38,-631.84,-556.64,-636.23,11.52,-3.54,-8.78,35.85,-5.70,17.85,35.79,118.81,
06/01/2021,01:05:06.39,-653.81,-562.99,-636.23,7.56,-3.23,-9.70,35.85,-5.70,17.85,35.46,118.81,
06/01/2021,01:05:06.40,-652.34,-577.64,-626.95,4.82,-2.93,-12.07,37.65,-6.45,16.05,35.55,118.81,
06/01/2021,01:05:06.41,-637.21,-588.38,-598.63,4.82,-0.49,-14.82,38.25,-5.10,14.40,35.46,118.81,
06/01/2021,01:05:06.42,-654.30,-588.38,-582.52,1.77,-0.30,-16.65,37.20,-6.30,15.15,35.79,118.81,
06/01/2021,01:05:06.42,-637.21,-596.19,-594.73,1.65,1.04,-17.26,38.10,-5.25,14.85,35.75,118.81,
06/01/2021,01:05:06.43,-636.72,-579.10,-566.41,-1.40,-1.22,-20.49,38.10,-5.25,14.85,35.60,118.81,
06/01/2021,01:05:06.44,-617.19,-589.36,-529.79,-2.32,-0.49,-20.61,38.10,-5.25,14.85,35.60,118.81,
06/01/2021,01:05:06.45,-600.59,-574.22,-512.21,-6.10,-8.35,-23.96,39.30,-5.10,15.15,35.41,118.81,
06/01/2021,01:05:06.46,-594.73,-571.78,-495.61,-5.67,-7.93,-27.50,39.30,-5.10,15.15,35.55,118.81,
06/01/2021,01:05:06.46,-592.77,-578.61,-475.10,-5.43,-9.82,-27.26,38.40,-5.25,18.15,35.46,118.81,
06/01/2021,01:05:06.47,-585.45,-579.10,-479.00,-7.13,-12.62,-24.82,38.40,-5.25,18.15,35.60,118.81,
06/01/2021,01:05:06.48,-605.96,-570.31,-492.19,-6.46,-15.73,-28.17,36.45,-7.05,16.95,35.55,118.81,
06/01/2021,01:05:06.48,-640.14,-589.36,-467.77,-7.56,-16.10,-26.65,36.45,-7.05,16.95,35.60,118.81,
06/01/2021,01:05:06.50,-625.98,-609.86,-461.91,-9.33,-14.70,-26.04,38.10,-6.45,16.35,35.60,118.81,
06/01/2021,01:05:06.50,-600.59,-604.98,-451.17,-8.29,-14.02,-28.41,37.50,-7.35,17.70,35.36,118.81,
06/01/2021,01:05:06.51,-614.75,-596.19,-430.18,-10.91,-13.54,-31.83,37.50,-7.35,17.70,35.70,118.81,
06/01/2021,01:05:06.52,-633.79,-606.45,-412.60,-8.78,-9.88,-33.11,37.65,-7.20,16.35,35.70,118.81,
06/01/2021,01:05:06.52,-630.86,-601.56,-402.83,-10.55,-10.06,-34.94,37.65,-7.20,16.35,35.75,118.81,
06/01/2021,01:05:06.54,-621.09,-584.47,-378.91,-10.37,-3.35,-36.22,37.20,-7.05,18.00,35.46,118.81,
06/01/2021,01:05:06.54,-603.03,-590.82,-377.44,-8.35,-3.48,-36.77,37.20,-7.05,18.00,35.60,118.81,
06/01/2021,01:05:06.55,-580.08,-599.61,-355.47,-8.23,-3.35,-37.01,37.20,-7.05,18.00,35.70,118.81,
06/01/2021,01:05:06.56,-583.01,-605.47,-351.56,-4.82,-2.32,-36.34,36.00,-7.35,17.25,35.55,118.81,
06/01/2021,01:05:06.56,-576.17,-599.61,-334.96,-4.15,0.12,-39.27,36.00,-7.35,17.25,35.75,118.81,
06/01/2021,01:05:06.58,-558.11,-592.77,-328.12,0.49,-0.12,-41.65,39.00,-7.80,17.25,35.46,118.81,
06/01/2021,01:05:06.58,-546.39,-613.28,-321.78,0.00,-1.10,-41.04,39.00,-7.80,17.25,35.46,118.81,
06/01/2021,01:05:06.59,-536.62,-609.86,-320.31,2.38,-6.59,-41.52,37.20,-8.55,17.70,35.75,118.81,
06/01/2021,01:05:06.59,-522.46,-613.77,-319.34,4.33,-3.35,-41.89,37.95,-9.30,17.25,35.60,118.81,
06/01/2021,01:05:06.60,-527.34,-630.86,-315.92,7.99,-7.32,-43.78,37.95,-9.30,17.25,35.36,118.81,
06/01/2021,01:05:06.62,-531.74,-644.04,-324.71,8.41,-16.46,-44.82,38.25,-10.50,17.70,35.70,118.81,
06/01/2021,01:05:06.62,-533.69,-662.60,-312.50,11.59,-17.80,-45.43,38.25,-10.50,17.70,35.22,118.81,
