rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:03:04.17,-700.20,-354.98,-664.06,-2.93,-0.30,3.78,41.70,-2.55,25.95,35.75,119.01,
06/01/2021,01:03:04.21,-694.34,-355.47,-662.11,-3.90,-0.37,1.65,41.40,-2.55,25.95,35.55,119.00,
06/01/2021,01:03:04.23,-709.47,-353.03,-651.86,-0.79,-2.26,1.22,41.40,-1.80,26.25,35.17,119.00,
06/01/2021,01:03:04.23,-694.34,-350.10,-660.16,-1.83,0.37,4.51,41.40,-1.80,26.25,35.60,119.00,
06/01/2021,01:03:04.24,-708.01,-344.24,-671.88,-0.49,-2.68,2.87,41.40,-1.80,26.25,35.46,119.00,
06/01/2021,01:03:04.25,-695.80,-360.84,-663.09,-2.50,-2.68,0.85,42.45,-3.00,24.75,35.55,119.00,
06/01/2021,01:03:04.26,-707.52,-354.49,-672.36,-1.77,-1.16,1.65,42.45,-3.00,24.75,35.60,119.00,
06/01/2021,01:03:04.26,-686.52,-347.17,-662.11,-3.29,0.85,1.34,41.40,-1.05,25.20,35.79,119.00,
06/01/2021,01:03:04.27,-703.12,-346.19,-668.46,-2.20,0.06,-0.18,41.40,-1.05,25.20,35.46,119.00,
06/01/2021,01:03:04.28,-706.05,-341.31,-654.30,-3.23,-1.46,1.77,42.15,-1.50,23.70,35.55,119.00,
06/01/2021,01:03:04.29,-704.59,-356.93,-669.43,0.55,-2.13,-0.18,42.30,-1.65,24.90,35.60,119.00,
06/01/2021,01:03:04.30,-704.59,-345.70,-665.53,-1.71,0.67,2.01,42.30,-1.65,24.90,35.55,119.00,
06/01/2021,01:03:04.30,-705.08,-344.24,-664.06,-1.83,-1.34,1.95,40.80,-3.60,26.10,35.60,119.00,
06/01/2021,01:03:04.31,-705.57,-349.61,-668.95,-1.65,-0.30,1.10,40.80,-3.60,26.10,35.36,119.00,
06/01/2021,01:03:04.32,-697.75,-339.84,-664.55,-2.74,-0.49,0.73,42.75,-3.15,24.90,35.55,119.00,
06/01/2021,01:03:04.32,-695.31,-353.03,-664.55,-1.59,-0.98,-0.73,42.75,-3.15,24.90,35.22,119.00,
06/01/2021,01:03:04.34,-704.10,-367.68,-673.34,-3.29,1.89,0.49,41.55,-3.15,24.90,35.07,119.00,
06/01/2021,01:03:04.34,-701.17,-349.12,-673.83,-4.02,-1.46,1.59,41.55,-3.15,24.90,35.79,119.00,
06/01/2021,01:03:04.35,-705.57,-350.10,-658.20,-2.80,-1.83,2.74,41.55,-3.15,24.90,35.55,119.00,
06/01/2021,01:03:04.36,-704.10,-349.12,-683.11,-2.44,-3.84,1.65,41.10,-2.55,24.75,35.60,119.00,
06/01/2021,01:03:04.36,-702.15,-351.56,-658.69,-3.72,0.12,-1.34,41.10,-2.55,24.75,35.55,119.00,
06/01/2021,01:03:04.38,-699.22,-348.14,-677.25,-1.46,-3.35,0.61,41.70,-2.55,24.75,35.60,119.00,
