rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:04:04.89,-526.86,-140.14,-931.15,0.55,47.20,36.28,30.60,9.60,9.45,35.46,118.94,
06/01/2021,01:04:04.93,-526.86,-132.32,-939.45,-1.83,39.39,42.13,28.05,11.10,10.20,35.79,118.93,
06/01/2021,01:04:04.95,-515.62,-141.11,-939.45,-5.18,43.84,39.88,27.90,9.30,8.85,35.55,118.93,
06/01/2021,01:04:04.95,-510.74,-133.30,-926.76,-6.28,42.44,41.28,27.45,11.70,10.65,35.75,118.93,
06/01/2021,01:04:04.96,-508.79,-131.35,-939.45,-4.82,45.24,40.49,27.45,11.70,10.65,35.60,118.93,
06/01/2021,01:04:04.97,-485.84,-149.41,-929.20,-6.52,50.73,39.70,27.30,9.90,10.20,35.60,118.93,
06/01/2021,01:04:04.98,-458.98,-151.37,-931.64,-7.56,51.46,41.28,26.55,12.30,9.00,35.46,118.93,
06/01/2021,01:04:04.99,-461.91,-151.37,-909.18,-6.28,50.55,38.96,26.55,12.30,9.00,35.75,118.93,
06/01/2021,01:04:04.99,-440.92,-141.11,-897.46,-6.77,49.63,38.05,26.55,12.30,9.00,35.46,118.93,
06/01/2021,01:04:05.00,-434.08,-149.90,-899.41,-7.68,50.37,39.51,26.55,12.30,9.00,35.55,118.93,
06/01/2021,01:04:05.01,-430.18,-117.68,-848.63,-8.60,43.78,38.11,27.15,13.95,7.80,35.60,118.93,
06/01/2021,01:04:05.02,-400.39,-124.51,-843.75,-6.16,44.88,39.09,23.70,11.40,8.70,35.55,118.93,
06/01/2021,01:04:05.03,-393.07,-128.91,-830.57,-4.02,41.34,36.52,23.70,11.40,8.70,35.70,118.93,
06/01/2021,01:04:05.03,-390.14,-138.18,-824.71,-4.45,43.17,38.78,24.75,13.05,8.70,35.60,118.93,
06/01/2021,01:04:05.04,-367.68,-127.44,-816.41,-6.52,41.71,39.39,24.75,13.05,8.70,35.46,118.93,
06/01/2021,01:04:05.04,-382.81,-135.25,-809.57,-4.02,40.61,38.90,24.90,13.95,7.35,35.79,118.93,
06/01/2021,01:04:05.06,-379.88,-143.55,-827.15,-2.99,35.67,39.02,24.30,11.40,8.70,35.55,118.93,
06/01/2021,01:04:05.07,-364.75,-152.34,-842.29,-5.61,31.65,40.85,24.30,11.40,8.70,35.55,118.93,
06/01/2021,01:04:05.07,-378.91,-145.02,-840.33,-3.35,30.24,38.66,24.75,12.30,6.90,35.46,118.93,
06/01/2021,01:04:05.08,-378.91,-141.60,-856.93,-8.35,30.98,38.66,24.75,12.30,6.90,35.46,118.93,
06/01/2021,01:04:05.08,-382.32,-108.89,-854.49,-5.67,27.32,38.41,22.65,13.20,8.55,35.55,118.93,
06/01/2021,01:04:05.10,-338.38,-125.49,-891.60,-2.93,28.35,37.44,23.85,14.40,7.35,35.46,118.93,
06/01/2021,01:04:05.11,-346.68,-118.65,-885.25,-2.56,30.73,36.77,23.85,14.40,7.35,35.79,118.93,
06/01/2021,01:04:05.11,-341.80,-130.37,-874.02,-2.93,30.49,33.96,22.65,13.50,7.80,35.55,118.93,
06/01/2021,01:04:05.12,-319.82,-123.54,-882.81,-3.17,27.99,37.74,22.65,13.50,7.80,35.60,118.93,
06/01/2021,01:04:05.12,-324.71,-120.61,-868.16,-0.79,29.63,34.33,22.65,13.50,7.80,35.55,118.93,
06/01/2021,01:04:05.14,-307.13,-100.10,-867.19,-2.99,25.91,35.18,22.65,14.70,6.75,35.60,118.93,
06/01/2021,01:04:05.15,-309.08,-108.40,-889.16,-1.89,25.55,31.59,21.45,13.80,8.40,35.60,118.93,
06/01/2021,01:04:05.15,-291.50,-116.21,-867.19,0.37,22.87,33.29,20.85,13.95,8.10,35.55,118.93,
06/01/2021,01:04:05.16,-284.18,-106.93,-885.25,-0.30,20.24,30.43,20.85,13.95,8.10,35.75,118.93,
06/01/2021,01:04:05.16,-286.13,-100.59,-882.32,-0.37,22.44,30.30,21.45,14.10,6.45,35.60,118.93,
06/01/2021,01:04:05.17,-283.69,-109.38,-901.37,-0.18,21.10,29.51,24.00,14.10,6.45,35.46,118.93,
06/01/2021,01:04:05.19,-290.53,-93.26,-905.76,2.13,19.82,29.27,20.70,14.10,6.90,35.60,118.93,
06/01/2021,01:04:05.19,-299.32,-100.10,-914.55,2.87,19.21,27.20,20.70,14.10,6.90,35.55,118.93,
06/01/2021,01:04:05.20,-291.02,-101.07,-923.83,1.16,22.80,26.46,20.70,14.10,6.90,35.60,118.93,
06/01/2021,01:04:05.20,-291.99,-101.07,-942.38,2.26,23.90,26.10,19.80,15.90,7.35,35.55,118.93,
06/01/2021,01:04:05.21,-291.99,-113.28,-936.04,3.78,26.46,24.88,19.80,15.90,7.35,35.70,118.93,
06/01/2021,01:04:05.22,-277.34,-109.38,-945.80,6.46,31.28,19.15,20.55,14.40,6.75,35.55,118.93,
06/01/2021,01:04:05.23,-275.39,-96.68,-945.80,5.67,30.43,20.30,16.95,15.30,6.15,35.46,118.93,
06/01/2021,01:04:05.24,-266.11,-103.03,-947.27,5.49,34.27,20.24,16.95,15.30,6.15,35.46,118.93,
06/01/2021,01:04:05.24,-248.54,-98.63,-955.57,3.84,33.90,15.91,18.30,14.40,5.55,35.55,118.93,
06/01/2021,01:04:05.25,-268.07,-100.59,-959.96,5.00,35.67,16.65,18.30,14.40,5.55,35.46,118.93,
06/01/2021,01:04:05.26,-223.63,-91.80,-943.85,8.60,36.40,13.35,19.05,12.45,6.00,35.55,118.93,
06/01/2021,01:04:05.27,-215.33,-94.24,-946.78,6.83,34.70,11.89,19.95,13.35,5.85,35.70,118.93,
06/01/2021,01:04:05.28,-227.05,-101.56,-944.34,7.50,34.76,11.16,19.95,13.35,5.85,35.55,118.93,
06/01/2021,01:04:05.28,-224.12,-103.52,-923.83,5.91,35.43,10.24,19.95,13.35,5.85,35.55,118.93,
06/01/2021,01:04:05.29,-216.80,-98.14,-931.15,10.98,32.01,9.70,19.95,13.35,5.85,35.55,118.93,
06/01/2021,01:04:05.29,-200.68,-105.96,-925.78,7.07,31.46,8.35,18.30,16.20,5.55,35.55,118.94,
06/01/2021,01:04:05.31,-196.78,-110.84,-933.11,9.51,26.89,6.95,18.30,16.20,5.55,35.75,118.93,
06/01/2021,01:04:05.32,-192.87,-119.63,-945.31,8.84,22.93,4.94,15.45,14.55,6.90,35.46,118.93,
06/01/2021,01:04:05.32,-175.78,-129.88,-954.59,3.05,18.48,3.60,17.40,13.80,5.40,35.41,118.94,
06/01/2021,01:04:05.33,-171.39,-128.91,-971.19,4.09,16.28,2.56,17.40,13.80,5.40,35.55,118.94,
06/01/2021,01:04:05.33,-185.06,-137.70,-977.05,7.80,14.63,4.21,18.30,13.95,6.00,35.07,118.94,
06/01/2021,01:04:05.35,-197.75,-120.61,-977.05,5.79,9.21,2.62,19.20,13.80,4.35,35.36,118.93,
06/01/2021,01:04:05.35,-187.01,-123.54,-980.96,5.30,8.05,2.74,17.85,13.20,6.75,35.89,118.93,
06/01/2021,01:04:05.36,-196.78,-125.98,-978.03,5.18,7.13,2.56,17.55,13.95,5.55,35.60,118.94,
06/01/2021,01:04:05.37,-203.12,-126.95,-990.72,3.90,6.59,2.68,17.55,13.95,5.55,35.60,118.94,
06/01/2021,01:04:05.37,-208.98,-120.12,-992.19,6.34,9.09,0.79,17.55,14.70,4.80,35.55,118.94,
06/01/2021,01:04:05.39,-208.01,-138.67,-993.16,4.33,7.87,-0.98,18.00,13.05,4.65,35.60,118.94,
06/01/2021,01:04:05.39,-209.47,-141.60,-992.68,5.30,6.52,-0.06,18.00,13.05,4.65,35.60,118.94,
06/01/2021,01:04:05.40,-201.66,-149.41,-998.05,4.39,7.32,-2.62,18.00,13.05,4.65,35.41,118.94,
06/01/2021,01:04:05.41,-197.75,-160.64,-1021.00,1.77,9.21,-2.32,18.45,13.80,5.10,35.60,118.94,
06/01/2021,01:04:05.44,-233.40,-125.98,-1036.13,2.56,1.28,-0.30,16.65,12.30,5.10,35.60,118.93,
06/01/2021,01:04:05.45,-232.42,-112.30,-1005.37,0.06,8.17,-0.91,16.05,15.15,6.00,35.55,118.93,
06/01/2021,01:04:05.47,-207.03,-108.89,-997.56,2.01,7.01,-2.07,16.35,13.95,6.00,35.75,118.93,
06/01/2021,01:04:05.48,-211.91,-92.29,-1001.46,1.52,5.73,0.49,16.35,13.95,6.00,35.55,118.93,
06/01/2021,01:04:05.48,-210.45,-87.89,-1004.88,2.44,5.73,-1.22,16.35,13.95,6.00,35.55,118.93,
06/01/2021,01:04:05.49,-234.38,-78.61,-1006.35,2.26,2.13,-0.85,16.35,13.95,6.00,35.60,118.93,
06/01/2021,01:04:05.49,-217.77,-92.77,-986.82,1.34,-0.73,0.37,17.85,11.70,6.75,35.55,118.93,
06/01/2021,01:04:05.51,-205.57,-90.82,-1001.46,1.59,3.48,-5.43,17.85,11.70,6.75,35.46,118.93,
06/01/2021,01:04:05.52,-208.98,-87.40,-1008.30,4.76,2.50,-1.22,16.80,12.75,6.00,35.46,118.93,
06/01/2021,01:04:05.52,-227.05,-71.78,-1004.88,2.74,2.99,-2.68,16.65,12.60,5.85,35.55,118.93,
06/01/2021,01:04:05.53,-234.86,-68.85,-1001.95,2.68,2.87,-1.10,16.65,12.60,5.85,35.55,118.93,
06/01/2021,01:04:05.53,-224.61,-91.31,-994.14,3.84,4.15,-1.04,16.80,14.70,5.25,35.07,118.93,
06/01/2021,01:04:05.54,-234.38,-74.22,-1006.84,3.60,6.77,-0.43,16.80,14.70,5.25,35.75,118.93,
