rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:07:07.27,-608.89,-708.50,-439.45,2.74,-2.44,2.13,-6.90,-40.65,10.20,35.55,118.63,
06/01/2021,01:07:07.31,-603.03,-714.84,-420.90,-1.71,0.43,-0.55,-5.70,-40.80,10.05,35.60,118.63,
06/01/2021,01:07:07.33,-611.33,-705.57,-425.29,-2.56,-0.73,0.55,-5.70,-40.80,10.05,35.70,118.63,
06/01/2021,01:07:07.33,-599.12,-714.84,-432.62,-3.41,-1.52,-0.06,-3.45,-39.75,9.60,35.94,118.63,
06/01/2021,01:07:07.34,-603.03,-715.82,-431.64,-0.49,-0.85,-1.34,-3.45,-39.75,9.60,35.79,118.63,
06/01/2021,01:07:07.35,-611.82,-708.98,-433.11,-1.65,-0.37,-1.22,-4.80,-41.10,9.45,35.60,118.63,
06/01/2021,01:07:07.36,-605.47,-706.54,-419.92,-0.37,1.10,1.77,-5.85,-41.40,9.75,35.60,118.63,
06/01/2021,01:07:07.37,-606.45,-709.47,-434.08,-1.89,-0.24,0.12,-5.85,-41.40,9.75,35.60,118.63,
06/01/2021,01:07:07.37,-615.23,-712.40,-437.50,-2.20,-0.43,0.18,-5.10,-40.65,9.75,35.70,118.63,
06/01/2021,01:07:07.38,-604.49,-716.80,-429.69,-2.01,0.12,0.37,-5.10,-40.65,9.75,35.55,118.63,
06/01/2021,01:07:07.39,-611.33,-716.31,-437.99,-1.10,-0.12,0.37,-4.50,-39.75,9.60,35.70,118.63,
06/01/2021,01:07:07.40,-604.00,-728.03,-436.52,-2.99,-0.61,2.07,-4.50,-39.75,9.60,35.75,118.63,
06/01/2021,01:07:07.40,-605.47,-709.47,-414.06,-1.59,-0.49,3.72,-4.20,-40.05,9.30,35.94,118.63,
06/01/2021,01:07:07.41,-601.07,-704.10,-424.32,-3.54,-0.49,0.98,-4.95,-39.30,9.60,35.70,118.63,
06/01/2021,01:07:07.42,-607.42,-716.31,-437.99,-1.89,-0.43,0.67,-4.95,-39.30,9.60,35.55,118.63,
06/01/2021,01:07:07.42,-611.82,-712.89,-430.18,-3.05,-1.89,-0.91,-2.55,-41.10,8.70,35.89,118.63,
06/01/2021,01:07:07.44,-615.72,-709.96,-426.76,-0.98,1.34,0.12,-2.55,-41.10,8.70,35.46,118.63,
06/01/2021,01:07:07.44,-617.19,-706.54,-433.11,-1.77,-1.34,1.65,-4.20,-42.45,11.40,36.08,118.63,
06/01/2021,01:07:07.45,-604.49,-702.15,-445.31,-1.52,-2.50,1.40,-4.20,-42.45,11.40,35.75,118.63,
06/01/2021,01:07:07.46,-596.68,-708.01,-450.68,-3.72,-3.78,-0.98,-4.20,-42.45,11.40,35.79,118.63,
06/01/2021,01:07:07.46,-604.98,-711.91,-441.89,-2.50,1.71,2.07,-4.35,-40.65,9.45,35.60,118.63,
06/01/2021,01:07:07.48,-604.98,-710.45,-437.50,-0.43,1.52,-0.43,-2.70,-40.50,8.10,35.75,118.63,
06/01/2021,01:07:07.48,-612.79,-708.01,-441.89,0.61,-0.12,3.35,-4.95,-40.80,10.05,35.89,118.63,
06/01/2021,01:07:07.49,-614.26,-711.43,-424.80,-2.07,0.49,2.38,-4.95,-40.80,10.05,35.46,118.63,
06/01/2021,01:07:07.50,-611.82,-713.87,-429.69,-2.87,-0.18,2.74,-4.80,-40.65,9.75,35.98,118.63,
06/01/2021,01:07:07.50,-603.52,-713.87,-435.06,-1.65,0.79,-0.12,-5.10,-40.35,9.75,35.55,118.63,
06/01/2021,01:07:07.52,-601.07,-707.52,-432.62,-2.38,-0.24,1.46,-5.25,-40.80,9.30,35.89,118.63,
06/01/2021,01:07:07.52,-604.98,-710.45,-420.41,-0.98,0.61,1.22,-5.25,-40.80,9.30,35.60,118.63,
06/01/2021,01:07:07.53,-602.05,-711.91,-435.55,-2.13,1.22,0.55,-5.25,-40.80,9.30,35.89,118.63,
06/01/2021,01:07:07.53,-604.98,-714.84,-426.76,-3.72,0.85,0.43,-4.95,-39.75,8.85,35.60,118.63,
06/01/2021,01:07:07.54,-614.26,-721.68,-429.20,-4.15,1.34,0.49,-4.95,-39.75,8.85,35.70,118.63,
06/01/2021,01:07:07.56,-613.77,-714.36,-431.64,-2.32,-0.24,0.24,-4.50,-41.25,7.80,35.75,118.63,
06/01/2021,01:07:07.56,-617.68,-715.33,-423.34,-3.05,-2.20,2.56,-5.70,-40.50,10.35,35.94,118.63,
06/01/2021,01:07:07.57,-610.35,-715.82,-429.69,-3.35,1.40,0.06,-5.70,-40.50,10.35,35.55,118.63,
06/01/2021,01:07:07.57,-606.45,-703.61,-437.01,-1.59,0.67,2.01,-4.50,-42.00,9.30,35.79,118.63,
06/01/2021,01:07:07.58,-610.35,-711.43,-438.96,-2.50,-2.93,2.38,-4.50,-42.00,9.30,35.60,118.63,
06/01/2021,01:07:07.59,-607.42,-701.66,-438.48,-2.20,0.00,1.40,-4.80,-39.90,8.40,35.46,118.63,
06/01/2021,01:07:07.60,-604.49,-713.87,-436.04,-0.61,0.61,1.95,-5.55,-41.85,9.45,35.89,118.63,
06/01/2021,01:07:07.61,-615.23,-722.17,-441.89,-2.32,-1.52,2.26,-5.55,-41.85,9.45,35.75,118.63,
