rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:06:06.47,-600.10,-685.06,-497.07,1.77,-3.96,2.26,-8.10,-43.05,12.00,35.60,118.70,
06/01/2021,01:06:06.51,-595.70,-690.92,-486.33,0.00,-2.13,2.07,-6.00,-43.20,11.40,35.55,118.69,
06/01/2021,01:06:06.53,-590.33,-688.48,-479.00,1.71,-2.56,0.49,-7.50,-42.45,12.15,35.60,118.69,
06/01/2021,01:06:06.53,-583.98,-683.59,-479.49,5.24,-2.44,1.89,-7.20,-40.05,11.10,35.36,118.69,
06/01/2021,01:06:06.54,-585.94,-695.31,-489.26,2.74,-1.40,-0.06,-7.20,-40.05,11.10,35.60,118.69,
06/01/2021,01:06:06.55,-592.77,-696.29,-485.84,0.30,-0.91,-1.89,-8.40,-41.40,10.50,35.75,118.69,
06/01/2021,01:06:06.56,-597.17,-696.78,-490.72,1.22,-1.34,0.55,-7.65,-41.40,10.20,35.55,118.69,
06/01/2021,01:06:06.57,-581.54,-686.04,-489.26,1.65,-4.82,-0.30,-7.65,-41.40,10.20,35.07,118.69,
06/01/2021,01:06:06.57,-598.14,-698.73,-490.23,1.59,-5.06,1.52,-7.20,-42.00,11.40,35.22,118.69,
06/01/2021,01:06:06.58,-591.31,-693.85,-493.16,1.59,-4.70,-0.85,-7.20,-42.00,11.40,35.89,118.69,
06/01/2021,01:06:06.59,-593.75,-708.01,-488.77,0.24,-5.12,-1.65,-6.90,-40.65,11.25,35.70,118.69,
06/01/2021,01:06:06.60,-588.87,-708.98,-479.98,1.22,-4.51,0.61,-6.90,-40.65,11.25,35.70,118.69,
06/01/2021,01:06:06.60,-603.03,-704.59,-489.75,1.04,-5.55,0.55,-6.90,-40.65,11.25,35.60,118.69,
06/01/2021,01:06:06.61,-600.59,-700.68,-481.93,-0.12,-7.13,0.49,-5.85,-41.40,11.70,35.70,118.69,
06/01/2021,01:06:06.62,-603.52,-700.20,-490.72,-1.52,-6.34,-1.65,-5.85,-41.40,11.70,35.75,118.69,
