rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:10:09.71,-401.37,-1511.72,-562.01,16.04,58.11,-15.24,-11.55,-39.00,12.60,35.46,118.26,
06/01/2021,01:10:09.75,-401.37,-951.17,-549.80,-14.21,-51.10,34.02,-9.90,-36.00,11.25,35.79,118.25,
06/01/2021,01:10:09.77,-523.44,-948.73,-439.45,-2.99,9.82,30.67,-9.30,-38.55,11.40,35.60,118.25,
06/01/2021,01:10:09.77,-540.53,-989.26,-434.08,-1.89,30.85,33.54,-9.30,-38.55,11.40,35.70,118.25,
06/01/2021,01:10:09.78,-543.95,-1026.37,-405.27,-0.24,43.72,37.87,-9.30,-38.55,11.40,35.55,118.25,
06/01/2021,01:10:09.79,-544.43,-1039.06,-291.02,3.23,82.50,35.85,-9.75,-36.60,11.40,35.55,118.25,
06/01/2021,01:10:09.80,-533.20,-1000.49,-229.00,2.01,100.12,34.21,-9.60,-36.00,10.20,35.22,118.25,
06/01/2021,01:10:09.81,-500.00,-975.59,-201.66,3.29,117.87,28.48,-9.60,-36.00,10.20,35.46,118.25,
06/01/2021,01:10:09.81,-488.28,-951.66,-148.93,2.20,132.56,27.74,-9.90,-36.90,11.25,35.17,118.25,
06/01/2021,01:10:09.82,-468.26,-940.92,-127.93,1.59,145.06,22.01,-9.90,-36.90,11.25,35.75,118.26,
06/01/2021,01:10:09.83,-436.04,-921.88,-61.04,-3.84,152.44,21.71,-9.60,-36.00,13.50,35.55,118.25,
06/01/2021,01:10:09.84,-406.25,-916.50,-38.09,-5.91,149.09,26.22,-9.00,-36.60,12.60,35.55,118.25,
06/01/2021,01:10:09.85,-384.77,-924.80,-32.23,-7.38,144.15,28.23,-9.00,-36.60,12.60,35.55,118.25,
06/01/2021,01:10:09.85,-367.68,-921.88,-16.60,-9.57,134.51,29.09,-12.00,-37.80,11.40,35.55,118.25,
06/01/2021,01:10:09.86,-373.54,-943.85,-22.95,-12.62,120.55,27.20,-12.00,-37.80,11.40,35.60,118.26,
