rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:09:08.87,-349.12,-1445.31,-232.42,-14.70,27.62,53.90,-37.50,-38.10,40.65,35.70,118.41,
06/01/2021,01:09:08.92,-290.04,-1111.33,-238.28,-21.77,-42.62,65.00,-34.80,-39.90,43.05,35.89,118.41,
06/01/2021,01:09:08.93,-303.71,-1089.84,-258.30,-22.87,-45.00,66.83,-34.20,-39.30,41.85,35.55,118.41,
06/01/2021,01:09:08.94,-327.15,-1061.52,-268.55,-24.45,-44.57,65.73,-34.20,-40.80,41.40,35.79,118.41,
06/01/2021,01:09:08.94,-323.24,-1037.11,-271.48,-28.23,-37.99,63.48,-34.20,-40.80,41.40,35.60,118.41,
06/01/2021,01:09:08.96,-329.10,-947.27,-246.09,-32.68,-24.63,55.73,-35.25,-39.00,42.15,35.60,118.41,
06/01/2021,01:09:08.97,-312.50,-921.88,-227.05,-33.23,-15.43,55.49,-35.25,-39.00,42.15,35.89,118.41,
06/01/2021,01:09:08.97,-297.36,-890.62,-215.33,-34.88,-15.55,51.22,-33.75,-39.30,41.40,35.70,118.41,
06/01/2021,01:09:08.98,-286.62,-861.82,-218.26,-37.26,-13.17,45.85,-33.75,-39.30,41.40,35.79,118.41,
06/01/2021,01:09:08.98,-260.74,-848.63,-207.52,-37.32,-11.71,42.50,-33.75,-39.30,41.40,35.70,118.41,
06/01/2021,01:09:09.00,-228.52,-826.17,-196.78,-40.91,-14.82,33.29,-32.40,-39.30,40.65,36.08,118.41,
06/01/2021,01:09:09.01,-237.79,-798.34,-189.94,-41.71,-15.61,27.68,-32.40,-39.30,40.65,35.94,118.41,
06/01/2021,01:09:09.01,-231.45,-798.83,-167.48,-45.06,-16.95,19.94,-32.70,-40.50,41.40,35.89,118.41,
06/01/2021,01:09:09.02,-232.91,-797.36,-173.83,-47.07,-21.59,18.11,-32.55,-38.40,41.25,35.60,118.41,
06/01/2021,01:09:09.03,-237.79,-794.92,-173.34,-47.74,-24.94,11.77,-32.55,-38.40,41.25,35.89,118.41,
06/01/2021,01:09:09.04,-231.45,-817.38,-155.27,-54.02,-27.93,-5.91,-33.00,-39.75,40.35,35.75,118.41,
06/01/2021,01:09:09.05,-233.40,-826.17,-127.93,-55.49,-33.96,-13.60,-33.00,-39.75,40.35,35.94,118.41,
06/01/2021,01:09:09.05,-232.91,-841.80,-113.77,-56.04,-33.90,-19.82,-32.85,-38.40,40.95,35.79,118.41,
06/01/2021,01:09:09.06,-239.26,-851.07,-110.84,-58.11,-43.11,-27.13,-31.80,-39.15,40.20,35.98,118.41,
06/01/2021,01:09:09.07,-245.61,-862.79,-98.14,-58.72,-47.38,-31.83,-31.80,-39.15,40.20,35.75,118.41,
06/01/2021,01:09:09.08,-271.48,-914.06,-65.43,-61.77,-65.06,-52.44,-31.20,-38.10,39.90,35.89,118.41,
06/01/2021,01:09:09.09,-264.16,-933.59,-58.11,-64.21,-70.98,-59.15,-31.20,-38.10,39.90,35.55,118.41,
06/01/2021,01:09:09.09,-271.48,-945.31,-43.95,-64.21,-76.40,-62.56,-31.20,-38.10,39.90,35.70,118.41,
06/01/2021,01:09:09.10,-293.46,-945.31,-39.06,-67.20,-86.34,-69.02,-33.60,-36.90,39.75,35.89,118.41,
