rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:13:14.27,109.86,-974.61,251.95,-2.38,0.43,3.48,-137.85,-70.50,-62.70,32.39,133.97,
06/01/2021,01:13:14.31,104.00,-968.26,252.93,-1.28,0.85,-0.43,-136.95,-71.40,-62.10,32.39,133.97,
06/01/2021,01:13:14.33,109.86,-970.70,250.98,0.18,-0.49,0.24,-137.10,-69.30,-63.75,32.01,133.97,
06/01/2021,01:13:14.33,109.38,-967.77,258.79,-1.16,0.91,-0.06,-137.10,-69.30,-63.75,32.25,133.97,
06/01/2021,01:13:14.33,113.77,-972.17,260.25,-1.16,-0.98,0.49,-137.10,-69.30,-63.75,32.20,133.97,
06/01/2021,01:13:14.35,114.26,-962.89,254.39,0.61,-0.85,1.95,-138.00,-70.35,-62.85,32.29,133.97,
06/01/2021,01:13:14.35,115.23,-958.50,258.79,-1.28,3.84,0.91,-138.00,-70.35,-62.85,32.44,133.97,
06/01/2021,01:13:14.36,108.89,-976.56,250.49,-0.67,-2.32,2.01,-138.00,-71.10,-63.60,32.39,133.97,
06/01/2021,01:13:14.36,108.40,-972.66,255.86,-3.48,0.55,-0.49,-138.00,-71.10,-63.60,32.25,133.97,
06/01/2021,01:13:14.37,106.45,-977.54,254.88,0.00,-0.18,0.12,-136.20,-70.35,-62.85,32.29,133.97,
06/01/2021,01:13:14.38,99.61,-960.45,257.32,-0.79,0.49,0.55,-136.20,-70.35,-62.85,32.25,133.97,
06/01/2021,01:13:14.39,108.40,-970.21,264.65,-1.10,-1.77,2.44,-136.80,-70.95,-63.75,32.20,133.97,
06/01/2021,01:13:14.39,110.84,-979.98,260.74,-2.38,-1.16,-1.71,-136.80,-70.95,-63.75,32.39,133.97,
06/01/2021,01:13:14.40,106.93,-982.91,248.54,-1.40,-0.12,2.32,-137.25,-67.65,-63.15,32.39,133.97,
06/01/2021,01:13:14.40,101.56,-961.43,255.37,-0.91,-0.79,-2.56,-137.25,-67.65,-63.15,32.20,133.97,
06/01/2021,01:13:14.42,107.91,-985.35,258.79,2.32,-0.06,1.16,-137.70,-69.90,-63.60,32.25,133.97,
06/01/2021,01:13:14.42,120.12,-975.10,248.05,1.46,-1.95,3.48,-137.85,-70.95,-63.75,32.25,133.97,
06/01/2021,01:13:14.42,100.10,-969.24,259.77,2.26,-0.79,2.56,-137.85,-70.95,-63.75,32.58,133.97,
06/01/2021,01:13:14.43,109.38,-965.82,246.58,0.18,-0.55,1.10,-137.85,-70.95,-63.75,32.58,133.97,
06/01/2021,01:13:14.43,124.02,-979.49,259.77,-0.18,-1.65,1.34,-137.85,-70.95,-63.75,32.01,133.97,
06/01/2021,01:13:14.44,109.86,-966.80,264.65,-0.98,1.95,1.04,-137.10,-68.55,-63.30,32.44,133.97,
06/01/2021,01:13:14.45,109.86,-980.96,257.32,0.67,-2.87,1.22,-138.75,-69.90,-62.85,32.53,133.97,
