rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:08:09.45,102.05,-979.00,271.00,1.52,-0.06,0.30,-184.50,-61.95,-48.30,32.73,134.41,
06/01/2021,01:08:09.50,90.33,-979.49,260.74,0.24,-0.12,0.67,-183.90,-61.35,-48.15,32.92,134.41,
06/01/2021,01:08:09.51,92.29,-979.49,265.14,1.10,0.55,-0.37,-184.35,-60.60,-48.15,32.97,134.41,
06/01/2021,01:08:09.51,98.63,-974.12,263.67,-0.85,-1.04,-1.22,-184.35,-60.60,-48.15,32.73,134.41,
06/01/2021,01:08:09.52,86.43,-968.26,266.11,-0.37,-1.16,1.77,-183.30,-61.35,-47.85,32.92,134.41,
06/01/2021,01:08:09.53,104.98,-991.21,259.28,0.30,0.18,1.40,-183.00,-60.90,-48.00,32.82,134.41,
06/01/2021,01:08:09.54,97.17,-968.75,245.12,0.49,-0.67,0.98,-183.00,-60.90,-48.00,32.73,134.41,
06/01/2021,01:08:09.54,92.77,-981.45,262.21,1.46,2.44,2.20,-183.00,-60.90,-48.00,32.73,134.41,
06/01/2021,01:08:09.55,100.10,-973.63,264.16,-0.79,-0.30,2.74,-183.00,-61.20,-49.05,32.63,134.41,
06/01/2021,01:08:09.55,91.80,-970.21,259.77,0.06,1.28,2.32,-183.00,-61.20,-49.05,32.77,134.41,
06/01/2021,01:08:09.57,85.94,-973.63,251.95,-1.16,0.30,1.46,-184.95,-59.70,-48.75,32.82,134.41,
06/01/2021,01:08:09.57,98.14,-962.89,263.67,0.85,1.77,-0.55,-184.95,-59.70,-48.75,32.73,134.41,
06/01/2021,01:08:09.57,108.40,-976.56,260.25,-0.91,2.26,-1.46,-184.65,-58.65,-47.85,32.82,134.41,
06/01/2021,01:08:09.58,89.36,-965.33,260.74,1.10,1.04,1.59,-184.65,-58.65,-47.85,32.63,134.41,
06/01/2021,01:08:09.58,99.12,-960.94,262.70,-0.67,0.06,-0.43,-184.65,-58.65,-47.85,32.77,134.41,
06/01/2021,01:08:09.59,97.17,-979.00,264.16,-0.18,0.18,-0.30,-184.65,-58.65,-47.85,32.92,134.41,
06/01/2021,01:08:09.60,103.52,-983.40,252.44,1.28,1.22,2.26,-183.60,-61.35,-48.60,32.97,134.41,
06/01/2021,01:08:09.61,88.38,-974.61,259.28,0.55,-0.91,-2.56,-184.65,-61.05,-47.85,32.77,134.41,
06/01/2021,01:08:09.61,96.19,-980.47,272.46,-2.26,0.85,-0.24,-184.65,-61.05,-47.85,32.82,134.41,
06/01/2021,01:08:09.62,98.63,-962.89,262.21,0.67,1.34,2.32,-183.45,-61.65,-47.70,32.58,134.41,
06/01/2021,01:08:09.62,88.87,-970.70,263.67,-1.16,1.34,-0.67,-183.45,-61.65,-47.70,32.73,134.41,
06/01/2021,01:08:09.64,95.70,-973.14,255.37,-1.22,-0.24,2.20,-183.60,-60.30,-47.85,33.06,134.41,
06/01/2021,01:08:09.64,96.19,-970.70,263.67,0.30,0.18,1.71,-183.60,-60.30,-47.85,32.73,134.41,
06/01/2021,01:08:09.64,98.63,-967.77,259.77,0.49,-1.65,0.37,-184.65,-61.35,-48.15,32.63,134.41,
06/01/2021,01:08:09.65,97.17,-976.56,260.74,0.79,2.50,1.22,-184.65,-61.35,-48.15,32.58,134.41,
06/01/2021,01:08:09.65,100.59,-965.33,260.74,-0.55,-0.49,-0.55,-186.15,-61.80,-48.90,32.73,134.41,
06/01/2021,01:08:09.67,104.00,-973.14,254.39,1.16,0.06,-0.85,-184.95,-60.45,-46.95,32.73,134.41,
06/01/2021,01:08:09.67,104.00,-965.33,252.93,1.65,-1.59,0.30,-184.95,-60.45,-46.95,32.77,134.41,
06/01/2021,01:08:09.68,106.45,-967.29,262.21,0.55,1.28,-1.10,-184.20,-61.65,-48.75,32.92,134.41,
06/01/2021,01:08:09.68,107.42,-974.12,258.30,-0.24,-0.98,1.59,-184.20,-61.65,-48.75,32.77,134.41,
06/01/2021,01:08:09.69,98.63,-982.91,265.62,-0.06,2.01,1.83,-183.30,-60.60,-47.85,32.63,134.41,
06/01/2021,01:08:09.70,87.40,-983.40,254.39,2.07,-0.85,0.55,-183.75,-62.40,-47.70,32.58,134.41,
06/01/2021,01:08:09.71,93.75,-973.14,259.28,0.43,0.49,-3.23,-183.75,-62.40,-47.70,32.53,134.41,
06/01/2021,01:08:09.71,96.68,-971.68,248.54,-0.79,0.55,3.05,-183.75,-62.40,-47.70,32.73,134.41,
06/01/2021,01:08:09.72,96.68,-976.56,263.67,-1.77,0.12,-0.55,-182.85,-61.80,-48.60,32.97,134.41,
06/01/2021,01:08:09.72,94.73,-969.73,268.07,0.73,-1.59,1.65,-182.85,-61.80,-48.60,32.44,134.41,
06/01/2021,01:08:09.72,101.56,-981.45,258.79,0.85,-2.13,-1.77,-184.20,-60.45,-49.05,32.92,134.41,
06/01/2021,01:08:09.74,92.77,-968.26,260.25,0.73,-1.83,0.43,-183.90,-61.35,-48.15,32.77,134.41,
06/01/2021,01:08:09.74,94.73,-960.45,255.86,0.18,-0.79,-1.10,-183.90,-61.35,-48.15,32.92,134.41,
