rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:15:16.31,123.54,-973.14,262.21,-0.49,-1.16,0.43,-139.20,-69.60,-63.15,32.10,134.01,
06/01/2021,01:15:16.35,121.09,-975.10,250.49,-0.30,-0.55,1.83,-138.00,-70.65,-62.85,31.91,134.01,
06/01/2021,01:15:16.36,119.14,-966.80,247.56,0.24,-1.52,-0.98,-136.80,-70.05,-62.70,32.25,134.01,
06/01/2021,01:15:16.37,116.70,-965.33,263.67,0.61,1.28,-0.43,-137.85,-69.75,-63.00,32.25,134.01,
06/01/2021,01:15:16.37,121.58,-962.89,257.81,-0.43,-1.71,-0.24,-137.85,-69.75,-63.00,31.77,134.01,
06/01/2021,01:15:16.39,110.35,-968.75,259.77,-0.61,-1.16,2.13,-137.85,-69.75,-63.00,31.91,134.01,
06/01/2021,01:15:16.39,121.58,-972.66,258.79,0.18,-1.52,2.32,-138.45,-69.15,-62.10,31.91,134.01,
06/01/2021,01:15:16.39,116.21,-972.66,254.39,-2.07,-1.77,2.13,-138.45,-69.15,-62.10,31.91,134.01,
06/01/2021,01:15:16.40,110.35,-962.40,248.54,0.49,-2.01,1.04,-138.60,-70.50,-64.05,32.25,134.01,
06/01/2021,01:15:16.40,113.28,-970.70,255.37,0.30,-1.95,0.30,-138.60,-70.50,-64.05,32.01,134.01,
06/01/2021,01:15:16.42,110.84,-961.43,248.05,-1.52,-2.62,0.49,-136.50,-70.65,-63.60,32.01,134.01,
06/01/2021,01:15:16.42,121.09,-969.24,261.72,-0.12,-1.34,-0.37,-136.50,-70.65,-63.60,32.25,134.01,
06/01/2021,01:15:16.43,118.16,-963.87,270.02,1.95,-0.79,0.67,-136.50,-70.65,-63.60,32.25,134.01,
06/01/2021,01:15:16.43,116.21,-961.91,252.93,-0.24,-0.12,1.46,-136.50,-70.65,-63.60,32.20,134.01,
06/01/2021,01:15:16.44,122.56,-958.01,264.65,-1.04,0.00,-0.24,-137.85,-71.25,-63.30,32.25,134.01,
06/01/2021,01:15:16.45,122.56,-959.47,268.07,-2.01,-4.82,1.04,-136.50,-69.90,-62.40,32.10,134.01,
06/01/2021,01:15:16.45,123.05,-979.00,252.93,-0.06,0.24,1.22,-136.50,-69.90,-62.40,32.01,134.01,
06/01/2021,01:15:16.46,119.63,-962.40,260.25,-2.44,0.49,1.16,-138.30,-70.95,-64.05,31.86,134.01,
06/01/2021,01:15:16.46,116.21,-968.75,260.25,0.12,-2.07,0.67,-138.30,-70.95,-64.05,32.25,134.01,
06/01/2021,01:15:16.47,104.98,-977.05,260.25,0.79,-2.07,0.98,-138.00,-71.10,-61.65,32.01,134.01,
06/01/2021,01:15:16.47,116.70,-978.03,269.04,-1.46,-1.65,2.38,-138.00,-71.10,-61.65,32.25,134.01,
06/01/2021,01:15:16.49,119.63,-968.26,251.95,0.67,1.40,1.46,-137.55,-70.50,-61.95,32.10,134.01,
06/01/2021,01:15:16.49,104.49,-965.33,256.35,-2.07,-2.56,1.77,-137.55,-70.50,-61.95,32.25,134.01,
06/01/2021,01:15:16.50,126.95,-961.91,245.61,-1.22,-3.11,2.93,-137.85,-70.50,-61.95,32.01,134.01,
06/01/2021,01:15:16.50,107.91,-969.24,255.86,0.00,-1.95,2.62,-137.85,-70.50,-61.95,32.10,134.01,
06/01/2021,01:15:16.51,113.77,-977.54,260.74,-0.55,0.18,1.04,-138.00,-70.35,-64.65,31.91,134.01,
06/01/2021,01:15:16.52,112.30,-966.80,260.25,0.18,-0.73,0.98,-137.70,-70.35,-62.40,32.10,134.01,
06/01/2021,01:15:16.52,130.37,-975.10,253.91,-0.98,-2.01,-1.46,-137.70,-70.35,-62.40,32.10,134.01,
06/01/2021,01:15:16.53,109.86,-969.24,250.49,0.18,-0.30,5.12,-137.70,-70.35,-62.40,32.20,134.01,
06/01/2021,01:15:16.53,121.58,-963.38,257.81,0.18,-2.20,0.30,-137.70,-70.35,-62.40,32.06,134.01,
06/01/2021,01:15:16.54,109.86,-970.70,244.14,-0.91,0.06,1.40,-136.80,-69.30,-62.70,31.91,134.01,
06/01/2021,01:15:16.55,120.12,-963.38,256.84,-0.12,-0.91,-2.44,-136.95,-71.10,-63.15,32.20,134.01,
06/01/2021,01:15:16.56,113.28,-965.82,257.81,0.79,-2.50,0.12,-138.60,-71.70,-63.00,32.25,134.01,
06/01/2021,01:15:16.56,111.33,-971.19,254.88,-1.10,-0.30,-1.83,-138.60,-71.70,-63.00,32.29,134.01,
06/01/2021,01:15:16.57,120.12,-964.36,255.37,-0.18,-0.85,-0.85,-138.00,-69.90,-63.60,31.86,134.01,
06/01/2021,01:15:16.57,108.89,-954.59,260.25,-0.61,2.99,1.16,-138.00,-69.90,-63.60,32.20,134.01,
06/01/2021,01:15:16.59,118.65,-970.21,250.49,-0.06,0.43,3.11,-137.25,-69.60,-62.10,32.01,134.01,
06/01/2021,01:15:16.59,113.77,-972.17,248.05,-0.55,-1.40,-0.43,-137.25,-69.60,-62.10,32.39,134.01,
06/01/2021,01:15:16.59,116.70,-970.70,257.81,-1.77,-0.18,-0.24,-137.25,-69.60,-62.10,32.29,134.01,
06/01/2021,01:15:16.60,118.65,-964.36,259.77,1.71,-3.29,-0.98,-137.25,-69.60,-62.10,32.10,134.01,
06/01/2021,01:15:16.60,113.77,-965.33,254.88,0.85,-1.04,2.07,-137.25,-69.60,-62.10,32.25,134.01,
06/01/2021,01:15:16.62,125.00,-962.89,256.84,-0.24,-1.65,-2.38,-135.90,-71.10,-63.15,32.20,134.01,
06/01/2021,01:15:16.62,125.49,-977.05,262.70,-0.18,2.32,-0.61,-135.90,-71.10,-63.15,32.25,134.01,
06/01/2021,01:15:16.63,119.63,-969.73,250.49,-1.22,-1.95,-0.12,-139.05,-69.30,-63.30,32.20,134.01,
06/01/2021,01:15:16.63,111.82,-967.77,256.84,0.61,0.43,0.37,-139.05,-69.30,-63.30,32.10,134.01,
06/01/2021,01:15:16.64,109.86,-968.75,251.95,-1.10,0.61,-0.06,-136.80,-70.05,-62.70,32.10,134.01,
06/01/2021,01:15:16.64,112.79,-968.75,254.88,-0.55,-3.48,-1.04,-136.80,-70.05,-62.70,32.25,134.01,
06/01/2021,01:15:16.66,118.65,-969.24,249.51,0.12,-4.51,-1.40,-138.45,-69.60,-64.35,32.25,134.01,
06/01/2021,01:15:16.66,109.86,-963.38,262.21,-0.55,1.34,0.43,-138.45,-69.60,-64.35,32.10,134.01,
06/01/2021,01:15:16.67,115.23,-958.98,250.98,-0.49,-0.43,0.79,-137.25,-69.60,-63.60,32.10,134.01,
06/01/2021,01:15:16.67,111.82,-986.33,252.93,0.12,-1.40,1.95,-137.25,-69.60,-63.60,32.06,134.01,
06/01/2021,01:15:16.67,117.19,-967.29,261.23,-0.55,1.89,-0.49,-137.25,-69.60,-63.60,32.25,134.01,
06/01/2021,01:15:16.69,112.30,-970.21,255.37,-0.55,-0.12,1.34,-139.05,-71.70,-63.30,32.10,134.01,
06/01/2021,01:15:16.69,112.30,-966.80,240.23,-0.24,0.06,2.56,-139.05,-71.70,-63.30,32.25,134.01,
06/01/2021,01:15:16.70,116.21,-976.07,256.84,-2.32,-0.61,0.79,-139.05,-71.70,-63.30,32.10,134.01,
