rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:14:15.28,123.54,-967.29,252.93,-0.79,-0.91,-1.28,-137.70,-70.65,-62.40,32.06,133.99,
06/01/2021,01:14:15.32,112.79,-961.91,260.74,-3.29,1.28,-1.22,-137.10,-69.75,-63.30,32.25,133.99,
06/01/2021,01:14:15.33,111.82,-973.63,255.37,-0.06,-0.30,0.91,-138.60,-69.75,-62.25,32.25,133.99,
06/01/2021,01:14:15.34,121.58,-974.12,258.79,0.06,-3.17,2.13,-138.60,-69.75,-62.25,32.25,133.99,
06/01/2021,01:14:15.34,117.68,-965.33,259.77,-0.55,-0.73,0.79,-138.45,-69.15,-63.90,32.20,133.99,
06/01/2021,01:14:15.36,121.58,-962.89,253.42,0.49,0.00,0.12,-138.30,-70.50,-62.70,32.25,133.99,
06/01/2021,01:14:15.36,123.54,-965.33,252.44,-1.22,-1.40,-1.89,-138.30,-70.50,-62.70,32.29,133.99,
06/01/2021,01:14:15.37,125.98,-969.24,257.81,-1.65,-4.33,-0.43,-138.30,-70.50,-62.70,32.20,133.99,
06/01/2021,01:14:15.37,111.82,-969.24,262.70,-2.20,-2.38,0.06,-136.20,-69.60,-63.90,32.29,133.99,
06/01/2021,01:14:15.38,114.75,-970.70,258.30,-0.12,2.26,0.79,-136.20,-69.60,-63.90,32.39,133.99,
06/01/2021,01:14:15.39,118.16,-972.17,260.74,-0.37,-0.79,0.00,-137.70,-70.65,-63.15,32.25,133.99,
06/01/2021,01:14:15.40,119.63,-969.24,256.84,-1.89,-2.26,0.30,-138.00,-71.40,-62.40,32.25,133.99,
06/01/2021,01:14:15.40,127.44,-966.31,261.72,-0.61,-3.11,-0.85,-138.00,-71.40,-62.40,32.01,133.99,
06/01/2021,01:14:15.40,115.23,-982.91,258.79,-0.67,-1.52,-1.22,-137.85,-70.05,-62.70,32.25,133.99,
