rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:12:13.29,105.47,-968.75,260.74,0.24,-1.65,1.34,-136.35,-69.75,-62.25,32.25,133.96,
06/01/2021,01:12:13.33,102.05,-968.75,244.63,1.40,2.68,0.67,-138.45,-71.10,-62.10,32.29,133.95,
06/01/2021,01:12:13.34,103.03,-982.42,267.58,-0.06,0.49,1.28,-138.45,-71.10,-62.10,32.58,133.95,
06/01/2021,01:12:13.35,101.56,-979.00,246.58,-1.34,0.37,1.10,-138.00,-69.60,-63.60,32.44,133.95,
06/01/2021,01:12:13.35,104.98,-973.14,261.23,-0.55,-0.61,0.61,-138.00,-69.60,-63.60,32.20,133.95,
06/01/2021,01:12:13.37,104.49,-964.84,256.84,1.10,0.49,1.89,-136.95,-70.35,-62.85,32.29,133.95,
06/01/2021,01:12:13.37,106.45,-962.89,261.23,1.40,-2.38,-1.34,-136.95,-70.35,-62.85,32.20,133.95,
06/01/2021,01:12:13.38,107.91,-973.14,258.79,-1.04,-1.28,1.34,-136.95,-70.35,-62.85,32.58,133.95,
06/01/2021,01:12:13.38,98.63,-968.26,251.95,-0.43,-1.95,2.44,-136.05,-70.05,-63.00,32.25,133.95,
06/01/2021,01:12:13.39,108.89,-961.43,258.79,0.37,0.00,0.79,-136.05,-70.05,-63.00,32.25,133.95,
06/01/2021,01:12:13.40,109.86,-973.63,255.86,-0.43,-3.35,2.74,-137.25,-70.35,-63.15,32.29,133.95,
06/01/2021,01:12:13.40,104.49,-975.10,250.49,0.24,-2.01,-0.12,-137.25,-70.35,-63.15,32.58,133.95,
06/01/2021,01:12:13.41,100.59,-971.68,261.23,-0.18,-2.93,-0.67,-137.85,-69.00,-62.70,32.44,133.95,
06/01/2021,01:12:13.41,107.42,-975.59,264.65,-0.12,-2.50,-0.73,-137.85,-69.00,-62.70,32.58,133.95,
06/01/2021,01:12:13.42,99.61,-975.10,257.32,1.89,0.18,0.49,-136.95,-69.90,-63.15,32.39,133.95,
06/01/2021,01:12:13.43,107.42,-968.26,253.91,0.73,0.37,1.65,-138.00,-70.35,-62.40,32.39,133.95,
06/01/2021,01:12:13.44,108.89,-977.05,250.98,1.28,1.52,2.38,-138.00,-70.35,-62.40,32.58,133.95,
06/01/2021,01:12:13.44,105.47,-962.89,259.77,-0.30,-1.34,1.10,-138.00,-70.35,-62.40,32.29,133.95,
06/01/2021,01:12:13.45,100.10,-980.96,244.63,1.34,-3.23,1.04,-138.00,-70.35,-62.40,32.73,133.95,
06/01/2021,01:12:13.45,94.73,-968.26,248.05,-0.18,-1.89,-0.30,-136.80,-70.05,-61.50,32.44,133.95,
06/01/2021,01:12:13.46,103.03,-964.84,267.09,-0.61,-1.16,-0.91,-136.80,-70.05,-61.50,32.25,133.95,
06/01/2021,01:12:13.47,101.56,-969.73,253.91,1.59,-1.65,-1.16,-136.50,-70.35,-60.60,32.10,133.95,
06/01/2021,01:12:13.47,109.86,-970.70,249.51,2.32,-1.71,-0.37,-136.50,-70.35,-60.60,32.25,133.95,
06/01/2021,01:12:13.48,104.49,-970.21,274.90,-0.67,-2.13,-1.52,-136.05,-69.30,-61.20,32.39,133.95,
06/01/2021,01:12:13.48,117.68,-965.82,259.77,0.98,-1.04,2.20,-136.05,-69.30,-61.20,32.44,133.95,
06/01/2021,01:12:13.49,104.98,-969.24,254.39,-2.26,-0.24,-0.18,-136.05,-69.30,-61.20,32.20,133.95,
06/01/2021,01:12:13.50,99.61,-970.70,252.44,-1.46,-1.52,-1.16,-137.85,-70.05,-62.70,32.25,133.95,
06/01/2021,01:12:13.51,120.61,-959.47,253.91,-0.18,0.67,0.43,-137.85,-70.05,-62.70,32.25,133.95,
06/01/2021,01:12:13.51,97.66,-982.42,254.39,0.43,0.06,0.30,-137.85,-70.05,-62.70,32.63,133.95,
06/01/2021,01:12:13.52,102.05,-964.36,253.91,-0.06,0.55,-0.06,-137.85,-70.05,-62.70,32.39,133.95,
06/01/2021,01:12:13.52,96.19,-969.24,261.23,-0.12,-1.89,-0.24,-139.05,-69.00,-62.70,32.25,133.95,
06/01/2021,01:12:13.54,107.42,-970.21,263.67,0.49,2.26,0.37,-136.95,-69.60,-62.40,32.44,133.95,
06/01/2021,01:12:13.54,102.05,-966.80,255.86,2.44,-0.73,1.04,-138.30,-71.25,-63.75,32.39,133.95,
06/01/2021,01:12:13.54,111.82,-969.73,260.25,-0.37,2.56,-0.79,-138.30,-71.25,-63.75,32.25,133.95,
06/01/2021,01:12:13.55,99.61,-979.00,247.07,0.24,2.62,-0.55,-136.95,-70.35,-63.15,32.44,133.95,
06/01/2021,01:12:13.55,110.84,-969.24,250.98,0.18,1.89,0.43,-136.95,-70.35,-63.15,32.39,133.96,
06/01/2021,01:12:13.57,103.52,-973.14,260.74,-1.16,3.78,1.46,-138.30,-69.75,-62.70,32.39,133.95,
06/01/2021,01:12:13.57,86.91,-984.86,250.98,0.00,-0.55,0.06,-138.30,-69.75,-62.70,32.44,133.95,
06/01/2021,01:12:13.58,108.89,-976.56,249.51,-0.43,0.79,-1.59,-136.80,-70.50,-63.30,32.58,133.95,
06/01/2021,01:12:13.58,109.38,-976.07,253.91,1.40,-1.83,1.10,-136.80,-70.50,-63.30,32.06,133.96,
06/01/2021,01:12:13.59,115.23,-987.79,258.30,0.55,1.65,-1.71,-136.80,-70.50,-63.30,32.39,133.96,
06/01/2021,01:12:13.59,103.03,-974.12,254.39,-2.07,0.43,0.98,-137.55,-69.75,-63.75,32.29,133.96,
06/01/2021,01:12:13.61,105.47,-966.80,253.42,-0.06,1.77,1.77,-136.05,-69.75,-63.30,32.39,133.96,
06/01/2021,01:12:13.61,107.42,-970.21,272.95,-1.28,-0.98,3.48,-136.05,-69.75,-63.30,32.44,133.96,
06/01/2021,01:12:13.62,112.79,-968.75,258.79,1.59,1.95,-1.65,-136.05,-69.75,-63.30,32.25,133.96,
06/01/2021,01:12:13.62,106.93,-977.05,254.88,-0.37,1.10,-1.40,-137.25,-69.90,-62.85,32.58,133.96,
06/01/2021,01:12:13.62,114.75,-963.87,259.28,1.77,1.52,2.20,-137.25,-69.90,-62.85,32.58,133.96,
06/01/2021,01:12:13.64,109.38,-976.07,259.28,-1.22,0.06,0.91,-136.95,-70.65,-61.65,32.58,133.96,
06/01/2021,01:12:13.64,104.00,-973.14,264.16,-0.79,0.24,1.22,-136.95,-70.65,-61.65,32.29,133.96,
06/01/2021,01:12:13.65,95.21,-973.63,257.81,-0.79,0.12,1.83,-136.05,-71.25,-64.50,32.29,133.96,
06/01/2021,01:12:13.65,114.75,-973.14,260.25,0.24,-2.38,-0.37,-136.05,-71.25,-64.50,32.58,133.96,
06/01/2021,01:12:13.66,108.89,-972.17,259.28,1.83,0.85,1.77,-136.05,-71.25,-64.50,32.39,133.96,
06/01/2021,01:12:13.67,107.91,-963.87,255.86,0.12,-1.34,0.61,-137.25,-69.90,-61.35,32.58,133.96,
06/01/2021,01:12:13.68,118.65,-968.26,254.88,0.37,-0.85,-1.71,-137.25,-69.90,-61.35,32.53,133.96,
06/01/2021,01:12:13.68,112.79,-969.73,260.74,-2.26,-1.77,0.67,-137.55,-70.05,-63.00,32.25,133.96,
06/01/2021,01:12:13.69,102.54,-973.14,255.37,1.34,1.16,1.46,-137.55,-70.05,-63.00,32.44,133.96,
06/01/2021,01:12:13.69,126.95,-974.12,252.44,0.91,-0.55,-0.12,-136.95,-69.15,-63.90,32.44,133.96,
06/01/2021,01:12:13.71,116.70,-955.08,252.44,-0.61,-0.06,1.71,-137.85,-70.05,-63.00,32.39,133.96,
06/01/2021,01:12:13.71,107.42,-976.56,262.70,-1.04,-1.16,1.71,-137.85,-70.05,-63.00,32.39,133.96,
06/01/2021,01:12:13.71,109.38,-968.75,260.74,-1.71,-0.06,0.37,-137.85,-70.05,-63.00,32.25,133.96,
06/01/2021,01:12:13.72,110.84,-953.61,266.11,2.01,-0.30,0.73,-137.70,-70.35,-63.60,32.39,133.96,
06/01/2021,01:12:13.72,109.86,-970.21,256.84,-0.06,-1.77,-0.30,-137.70,-70.35,-63.60,32.73,133.96,
06/01/2021,01:12:13.74,108.89,-970.21,257.81,-2.20,0.49,1.28,-137.55,-69.75,-64.05,32.44,133.96,
