rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:11:12.29,89.36,-960.45,250.98,0.55,0.24,0.73,-138.00,-69.15,-62.10,32.63,133.99,
06/01/2021,01:11:12.34,95.21,-967.77,259.28,-0.18,-0.43,-0.18,-136.50,-70.65,-63.15,32.39,133.99,
06/01/2021,01:11:12.35,101.07,-976.56,250.98,-0.30,0.37,-1.10,-136.95,-69.90,-62.40,32.58,133.99,
06/01/2021,01:11:12.35,93.75,-972.17,256.35,-0.06,-1.34,-0.79,-136.95,-69.90,-62.40,32.53,133.99,
06/01/2021,01:11:12.36,97.17,-965.82,249.02,0.73,-1.22,0.18,-136.50,-69.15,-62.10,32.39,133.99,
06/01/2021,01:11:12.37,78.61,-972.66,249.51,-1.52,-0.98,-1.95,-136.80,-70.95,-61.95,32.25,133.99,
06/01/2021,01:11:12.38,92.77,-968.75,249.51,2.56,0.67,-0.18,-138.75,-70.35,-63.90,32.25,133.99,
06/01/2021,01:11:12.38,96.68,-982.91,254.39,-1.52,0.85,-1.71,-138.75,-70.35,-63.90,32.58,133.99,
06/01/2021,01:11:12.39,97.66,-979.98,241.70,-1.10,-1.77,0.67,-138.75,-70.35,-63.90,32.58,133.99,
06/01/2021,01:11:12.39,83.98,-972.17,245.61,-1.52,2.01,-1.10,-138.75,-70.35,-63.90,32.29,133.99,
06/01/2021,01:11:12.41,89.84,-967.77,259.77,-0.98,0.55,1.10,-137.55,-69.30,-61.95,32.29,133.99,
06/01/2021,01:11:12.41,98.63,-968.26,250.00,0.18,-0.91,-0.43,-137.55,-69.30,-61.95,32.58,133.99,
06/01/2021,01:11:12.41,98.63,-977.05,253.91,0.24,-1.10,2.68,-137.55,-69.30,-61.95,32.29,133.99,
06/01/2021,01:11:12.42,94.73,-976.56,256.35,-2.01,-1.04,-1.77,-136.50,-69.60,-64.35,32.39,133.99,
06/01/2021,01:11:12.42,102.54,-980.47,254.39,-0.30,-1.28,1.10,-136.50,-69.60,-64.35,32.63,133.99,
06/01/2021,01:11:12.43,91.31,-988.28,260.25,1.16,0.06,2.80,-135.15,-69.15,-64.35,32.58,133.99,
06/01/2021,01:11:12.44,88.87,-968.26,255.37,-0.43,-0.24,2.62,-135.15,-69.15,-64.35,32.58,133.99,
06/01/2021,01:11:12.45,98.14,-971.68,251.46,0.55,-0.85,0.00,-136.35,-70.50,-63.00,32.20,133.99,
06/01/2021,01:11:12.45,89.84,-980.96,236.33,-0.30,0.43,-0.61,-136.35,-70.50,-63.00,32.73,133.99,
06/01/2021,01:11:12.46,106.45,-975.59,255.86,-1.65,-0.06,1.04,-136.35,-70.50,-63.00,32.58,133.99,
06/01/2021,01:11:12.46,79.59,-972.66,248.05,-0.67,-0.91,0.67,-136.35,-70.50,-63.00,32.53,133.99,
06/01/2021,01:11:12.48,92.29,-967.77,245.61,-1.77,-1.34,2.44,-137.70,-71.10,-62.10,32.53,133.99,
06/01/2021,01:11:12.48,91.80,-974.61,263.18,-0.12,0.18,1.40,-137.70,-71.10,-62.10,32.44,133.99,
06/01/2021,01:11:12.48,88.87,-954.59,253.42,0.24,-1.22,-0.73,-137.70,-71.10,-62.10,32.58,133.99,
06/01/2021,01:11:12.49,93.26,-966.80,244.63,1.34,-0.37,0.67,-136.35,-68.55,-62.25,32.73,133.99,
06/01/2021,01:11:12.49,87.89,-975.10,256.35,0.12,-1.40,0.49,-136.35,-68.55,-62.25,32.39,133.99,
