rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:00:02.73,-1064.45,-319.34,800.29,-89.39,60.49,-86.65,-133.80,-20.55,-31.20,32.39,134.90,
06/01/2021,01:00:02.77,-878.91,-483.40,687.50,-104.21,90.00,-91.34,-130.35,-23.10,-31.35,32.39,134.89,
06/01/2021,01:00:02.78,-870.12,-506.84,650.39,-107.74,93.17,-93.17,-130.95,-21.90,-32.10,32.29,134.89,
06/01/2021,01:00:02.79,-882.81,-489.75,620.61,-114.39,93.48,-97.01,-129.30,-23.25,-31.95,32.58,134.89,
06/01/2021,01:00:02.79,-899.41,-499.51,590.33,-113.41,98.41,-100.12,-129.30,-23.25,-31.95,32.29,134.89,
06/01/2021,01:00:02.81,-913.57,-521.97,525.88,-119.63,110.61,-107.44,-129.30,-26.85,-30.15,32.39,134.89,
06/01/2021,01:00:02.81,-918.95,-525.39,497.07,-117.87,114.39,-107.20,-129.30,-26.85,-30.15,32.25,134.89,
06/01/2021,01:00:02.81,-926.76,-527.83,462.40,-120.61,117.01,-105.61,-127.80,-29.10,-32.70,32.39,134.89,
06/01/2021,01:00:02.82,-914.06,-539.06,419.43,-120.98,119.09,-108.60,-127.80,-29.10,-32.70,32.39,134.89,
06/01/2021,01:00:02.82,-888.67,-537.11,398.93,-123.60,123.54,-109.09,-126.90,-28.20,-33.15,32.58,134.89,
06/01/2021,01:00:02.84,-861.33,-536.62,358.40,-126.04,123.11,-113.05,-126.60,-29.25,-32.10,32.58,134.89,
06/01/2021,01:00:02.84,-857.91,-531.74,350.10,-127.50,118.90,-115.18,-128.85,-31.65,-32.85,32.29,134.89,
06/01/2021,01:00:02.85,-857.91,-528.81,331.54,-127.44,122.56,-113.96,-128.85,-31.65,-32.85,32.44,134.89,
06/01/2021,01:00:02.85,-850.10,-541.50,293.95,-126.89,115.55,-114.51,-128.85,-31.65,-32.85,32.44,134.90,
06/01/2021,01:00:02.87,-793.95,-535.64,234.86,-124.21,110.00,-114.76,-126.00,-34.50,-33.45,32.39,134.89,
06/01/2021,01:00:02.87,-792.48,-543.46,203.61,-127.93,106.34,-112.93,-125.25,-35.25,-34.05,32.29,134.89,
06/01/2021,01:00:02.88,-780.76,-546.39,185.06,-127.26,103.29,-113.96,-125.25,-35.25,-34.05,32.39,134.89,
06/01/2021,01:00:02.88,-755.86,-549.80,149.41,-127.20,98.96,-111.89,-125.25,-35.25,-34.05,32.39,134.90,
06/01/2021,01:00:02.89,-743.16,-552.25,125.00,-127.13,94.82,-114.57,-123.60,-37.05,-34.65,32.25,134.90,
06/01/2021,01:00:02.90,-683.11,-550.29,84.96,-124.57,84.21,-114.94,-123.75,-36.90,-37.05,32.58,134.89,
06/01/2021,01:00:02.91,-678.22,-512.70,53.71,-124.09,82.80,-113.90,-124.20,-38.40,-34.50,32.29,134.90,
06/01/2021,01:00:02.91,-688.96,-496.58,56.15,-122.80,81.28,-112.26,-124.20,-38.40,-34.50,32.06,134.90,
06/01/2021,01:00:02.92,-651.86,-486.82,38.57,-122.26,73.35,-109.82,-122.70,-39.90,-36.30,32.44,134.90,
06/01/2021,01:00:02.92,-643.55,-482.91,31.25,-122.93,70.67,-111.71,-122.70,-39.90,-36.30,32.58,134.90,
06/01/2021,01:00:02.94,-586.43,-469.24,0.98,-117.62,59.51,-110.79,-123.00,-42.30,-36.00,32.44,134.90,
