rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:58:01.23,-340.82,308.11,956.05,0.85,-0.12,0.18,-156.00,-8.70,-36.60,32.10,134.74,
06/01/2021,00:58:01.27,-343.75,288.57,962.40,-1.89,-2.87,3.60,-156.45,-9.00,-37.80,32.06,134.73,
06/01/2021,00:58:01.28,-336.91,299.32,952.15,0.37,-0.24,0.55,-157.35,-7.20,-36.90,31.86,134.73,
06/01/2021,00:58:01.29,-339.84,304.69,968.75,0.00,-2.56,-3.11,-157.35,-7.20,-36.90,32.10,134.73,
06/01/2021,00:58:01.29,-347.66,292.97,955.08,0.37,0.43,-2.38,-157.35,-7.20,-36.90,32.10,134.73,
06/01/2021,00:58:01.31,-350.10,298.34,958.98,-0.67,1.22,1.40,-156.00,-7.80,-37.80,32.01,134.73,
06/01/2021,00:58:01.31,-341.31,291.99,956.54,1.34,-2.07,1.59,-157.80,-8.25,-38.10,31.91,134.73,
06/01/2021,00:58:01.32,-339.36,292.97,963.87,0.12,1.16,-3.05,-157.80,-8.25,-38.10,31.91,134.73,
06/01/2021,00:58:01.32,-331.54,300.78,949.22,1.04,-1.65,0.37,-156.45,-7.50,-37.80,31.91,134.73,
06/01/2021,00:58:01.33,-338.87,300.29,962.40,0.12,-0.67,-1.95,-156.45,-7.50,-37.80,31.91,134.73,
06/01/2021,00:58:01.34,-350.10,309.08,951.17,0.18,-1.65,1.46,-156.45,-7.50,-39.30,32.10,134.73,
06/01/2021,00:58:01.34,-331.05,303.71,950.20,-0.24,-2.26,-0.43,-156.45,-7.50,-39.30,32.01,134.73,
06/01/2021,00:58:01.35,-338.38,303.71,959.47,0.85,-0.79,3.05,-156.45,-7.50,-39.30,32.20,134.73,
06/01/2021,00:58:01.35,-333.01,298.83,950.68,1.22,-3.35,0.67,-157.05,-7.50,-37.80,31.86,134.73,
06/01/2021,00:58:01.36,-328.12,305.18,959.47,2.26,-1.89,0.98,-157.05,-7.50,-37.80,32.06,134.74,
06/01/2021,00:58:01.36,-333.01,299.80,958.50,-1.52,0.18,2.99,-156.60,-6.90,-38.25,32.01,134.74,
06/01/2021,00:58:01.38,-336.91,300.29,957.03,2.99,-1.59,1.34,-157.35,-7.65,-38.70,31.72,134.73,
06/01/2021,00:58:01.38,-335.94,304.69,962.89,0.00,-0.55,0.67,-158.85,-8.40,-36.15,31.91,134.74,
06/01/2021,00:58:01.39,-337.89,300.29,947.27,-0.24,0.61,1.22,-158.85,-8.40,-36.15,31.91,134.74,
06/01/2021,00:58:01.39,-335.94,298.83,953.61,-0.18,-2.80,1.34,-158.85,-8.40,-36.15,31.72,134.74,
06/01/2021,00:58:01.40,-334.96,282.71,954.10,-0.55,1.40,2.62,-158.85,-8.40,-36.15,32.10,134.74,
06/01/2021,00:58:01.41,-338.38,298.83,957.52,-0.30,1.04,-0.55,-157.65,-8.85,-37.65,32.01,134.74,
06/01/2021,00:58:01.41,-329.10,310.55,961.91,0.30,0.24,1.34,-157.65,-8.85,-37.65,32.10,134.74,
06/01/2021,00:58:01.42,-348.63,289.06,963.38,0.43,-0.79,0.12,-157.65,-8.85,-37.65,31.91,134.74,
06/01/2021,00:58:01.42,-346.19,292.48,955.57,-0.18,-1.65,3.23,-155.40,-8.10,-38.70,32.25,134.74,
06/01/2021,00:58:01.43,-337.40,288.09,956.05,0.00,0.24,-0.18,-155.40,-8.10,-38.70,32.01,134.74,
06/01/2021,00:58:01.44,-328.12,289.55,948.73,0.18,0.98,-1.16,-156.75,-7.05,-38.55,32.01,134.74,
06/01/2021,00:58:01.45,-337.40,299.80,957.03,1.95,0.37,-0.49,-156.75,-7.05,-38.55,31.86,134.74,
06/01/2021,00:58:01.45,-333.01,292.97,951.66,-0.49,-0.98,2.01,-157.50,-9.45,-37.05,32.01,134.74,
06/01/2021,00:58:01.46,-338.38,312.01,966.80,0.24,-0.73,1.16,-157.50,-9.45,-37.05,31.91,134.74,
06/01/2021,00:58:01.46,-333.98,296.88,952.64,-1.22,-1.83,3.17,-157.50,-9.45,-37.05,32.10,134.74,
06/01/2021,00:58:01.48,-335.45,291.99,957.52,-1.65,1.22,0.49,-156.45,-8.70,-38.10,31.91,134.74,
06/01/2021,00:58:01.48,-337.40,299.80,961.43,0.30,0.91,3.29,-156.60,-7.65,-38.70,32.25,134.74,
06/01/2021,00:58:01.48,-341.31,298.83,956.05,-0.98,-1.28,-1.22,-156.60,-7.65,-38.70,31.67,134.74,
06/01/2021,00:58:01.49,-336.91,306.15,954.10,-0.30,-0.61,0.43,-156.60,-7.65,-38.70,32.20,134.74,
06/01/2021,00:58:01.49,-330.08,313.96,957.52,-0.49,-3.11,-2.07,-156.45,-8.25,-38.55,31.91,134.74,
06/01/2021,00:58:01.50,-341.80,302.73,959.96,0.49,-1.28,-1.95,-156.45,-8.25,-38.55,32.01,134.74,
06/01/2021,00:58:01.51,-333.98,305.18,951.66,0.00,-0.98,-0.55,-155.70,-7.50,-38.55,31.91,134.74,
06/01/2021,00:58:01.52,-328.12,309.57,943.36,0.98,0.30,2.56,-155.70,-7.50,-38.55,31.86,134.74,
06/01/2021,00:58:01.52,-331.54,282.71,961.43,0.12,-0.18,-0.12,-156.00,-8.70,-37.05,31.72,134.74,
06/01/2021,00:58:01.53,-344.73,294.92,963.38,-0.55,-0.37,0.49,-156.00,-8.70,-37.05,32.10,134.74,
06/01/2021,00:58:01.53,-337.89,306.15,960.94,1.77,-0.98,0.30,-156.45,-8.25,-37.80,32.10,134.74,
06/01/2021,00:58:01.55,-334.96,297.36,960.94,-1.77,0.37,0.24,-156.60,-8.40,-38.25,32.10,134.74,
06/01/2021,00:58:01.55,-336.43,304.69,957.03,1.10,-2.32,0.73,-157.65,-5.70,-37.65,32.10,134.74,
06/01/2021,00:58:01.55,-334.96,291.02,951.66,-1.22,0.12,-0.55,-157.65,-5.70,-37.65,31.77,134.74,
06/01/2021,00:58:01.56,-343.75,296.88,952.64,-1.52,1.77,1.16,-157.65,-5.70,-37.65,32.01,134.74,
06/01/2021,00:58:01.56,-342.77,296.39,955.08,-0.12,-0.61,-0.55,-157.65,-5.70,-37.65,31.91,134.74,
06/01/2021,00:58:01.58,-336.91,290.04,950.20,-1.28,-0.30,1.04,-155.85,-7.65,-37.65,32.10,134.74,
06/01/2021,00:58:01.58,-344.24,309.08,947.75,2.50,-2.93,2.74,-157.65,-8.40,-37.20,32.10,134.74,
06/01/2021,00:58:01.59,-330.57,297.36,958.01,0.37,-0.67,1.16,-157.65,-8.40,-37.20,32.01,134.74,
06/01/2021,00:58:01.59,-344.73,303.22,952.64,1.89,-1.16,-1.77,-157.50,-7.50,-39.60,32.01,134.74,
06/01/2021,00:58:01.60,-335.94,295.90,953.61,-1.10,-1.71,2.38,-157.50,-7.50,-39.60,32.10,134.74,
