rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:59:01.98,-354.49,296.39,959.47,0.00,-0.43,-3.35,-156.75,-8.70,-37.05,32.10,134.82,
06/01/2021,00:59:02.03,-331.05,304.20,948.24,-0.30,-0.79,3.05,-156.75,-9.45,-37.80,32.20,134.81,
06/01/2021,00:59:02.04,-321.29,299.32,945.31,-0.43,-2.56,2.56,-156.45,-8.25,-38.55,32.10,134.81,
06/01/2021,00:59:02.04,-330.08,307.13,952.15,0.55,-2.50,0.30,-156.45,-8.25,-38.55,32.39,134.81,
06/01/2021,00:59:02.05,-331.05,294.92,958.01,1.40,-2.32,0.49,-157.05,-7.80,-37.05,32.10,134.81,
06/01/2021,00:59:02.06,-329.59,297.85,946.29,-0.18,0.30,3.17,-157.65,-7.65,-38.70,32.44,134.81,
06/01/2021,00:59:02.07,-330.57,300.78,955.08,0.61,0.43,1.89,-157.65,-7.65,-38.70,32.10,134.81,
06/01/2021,00:59:02.07,-331.54,289.55,945.80,0.67,-3.17,0.43,-157.65,-7.65,-38.70,32.01,134.81,
06/01/2021,00:59:02.08,-339.36,311.04,951.66,1.04,-1.28,-0.43,-157.65,-7.65,-38.70,32.39,134.81,
06/01/2021,00:59:02.08,-346.19,293.95,958.01,0.37,-0.91,1.77,-156.90,-8.40,-37.65,32.20,134.81,
06/01/2021,00:59:02.10,-330.57,301.76,956.05,1.89,-0.49,0.61,-156.90,-8.40,-37.65,32.25,134.81,
06/01/2021,00:59:02.10,-349.12,288.09,955.57,-0.79,2.50,0.73,-157.65,-8.85,-36.15,32.29,134.81,
06/01/2021,00:59:02.10,-346.68,296.88,952.64,0.37,0.85,2.80,-157.65,-8.85,-36.15,32.20,134.81,
06/01/2021,00:59:02.11,-331.54,299.80,959.96,0.30,-1.59,1.22,-156.90,-7.20,-39.45,32.25,134.81,
06/01/2021,00:59:02.11,-339.36,292.48,963.87,-0.79,0.91,0.67,-156.90,-7.20,-39.45,32.10,134.81,
06/01/2021,00:59:02.12,-332.03,288.57,949.22,-1.83,-1.22,0.06,-156.75,-8.25,-38.85,32.25,134.81,
06/01/2021,00:59:02.13,-339.84,279.30,953.61,0.43,-1.22,-0.12,-158.25,-7.50,-38.55,32.10,134.81,
06/01/2021,00:59:02.14,-337.40,297.85,939.94,-0.43,-0.98,-0.37,-158.25,-7.50,-38.55,32.29,134.81,
06/01/2021,00:59:02.14,-329.59,309.08,961.43,0.37,-0.79,-2.01,-158.25,-7.50,-38.55,32.29,134.81,
06/01/2021,00:59:02.15,-338.87,299.32,968.26,1.40,0.12,0.67,-158.25,-7.50,-38.55,32.25,134.81,
06/01/2021,00:59:02.15,-335.94,300.29,958.98,0.12,0.06,2.68,-156.75,-7.80,-37.35,32.06,134.82,
06/01/2021,00:59:02.17,-341.31,293.46,952.64,0.37,-0.98,0.79,-155.70,-7.80,-37.80,32.39,134.81,
06/01/2021,00:59:02.17,-333.50,307.62,958.50,0.55,-0.61,3.60,-156.90,-8.40,-37.20,32.25,134.81,
06/01/2021,00:59:02.17,-327.15,295.41,960.94,1.22,-0.55,0.85,-156.90,-8.40,-37.20,32.25,134.81,
06/01/2021,00:59:02.18,-336.91,295.41,955.57,1.89,-0.73,2.99,-157.05,-8.70,-38.55,32.39,134.82,
06/01/2021,00:59:02.18,-340.33,302.25,959.47,-0.06,-0.43,2.93,-157.05,-8.70,-38.55,32.10,134.82,
06/01/2021,00:59:02.20,-337.40,306.64,963.38,-1.28,0.00,2.20,-156.90,-9.15,-39.00,32.25,134.81,
06/01/2021,00:59:02.20,-339.36,293.46,950.20,0.00,-0.73,2.01,-156.90,-9.15,-39.00,32.25,134.82,
06/01/2021,00:59:02.21,-334.96,302.73,952.15,0.24,-1.59,0.12,-155.85,-8.10,-39.00,32.10,134.82,
06/01/2021,00:59:02.21,-338.87,307.13,954.59,0.37,-1.34,0.61,-155.85,-8.10,-37.95,32.25,134.82,
06/01/2021,00:59:02.22,-349.61,290.04,953.12,-1.46,0.55,0.37,-155.85,-8.10,-37.95,32.39,134.82,
06/01/2021,00:59:02.23,-346.68,299.32,952.15,-1.04,0.73,-0.85,-156.15,-7.65,-37.95,32.39,134.82,
06/01/2021,00:59:02.24,-340.33,290.04,967.77,0.18,-1.04,0.61,-156.15,-7.65,-37.95,32.10,134.82,
06/01/2021,00:59:02.24,-324.22,291.99,952.64,-0.24,-3.11,-1.22,-156.15,-7.65,-37.95,32.25,134.82,
06/01/2021,00:59:02.24,-338.38,291.99,966.31,0.37,-0.61,-0.73,-156.15,-7.65,-37.95,32.25,134.82,
06/01/2021,00:59:02.25,-323.73,298.83,950.68,-0.43,0.85,0.24,-157.50,-8.25,-39.60,32.10,134.82,
06/01/2021,00:59:02.25,-329.59,300.29,963.87,0.98,1.34,-0.79,-157.50,-8.25,-39.60,32.10,134.82,
06/01/2021,00:59:02.27,-327.15,297.85,949.22,-0.37,-0.18,-1.46,-157.50,-9.00,-38.55,32.25,134.82,
06/01/2021,00:59:02.27,-331.54,298.83,961.91,-1.59,-1.77,0.18,-157.50,-9.00,-38.55,32.25,134.82,
06/01/2021,00:59:02.28,-336.91,309.57,960.94,-0.06,1.34,2.07,-157.50,-9.00,-38.55,32.29,134.82,
06/01/2021,00:59:02.28,-326.17,301.76,958.50,-1.22,1.52,0.85,-156.60,-5.70,-37.20,32.29,134.82,
06/01/2021,00:59:02.29,-330.57,280.27,953.61,0.98,2.13,-0.49,-156.60,-5.70,-37.20,32.25,134.82,
06/01/2021,00:59:02.30,-338.38,302.73,959.96,-0.24,-0.24,0.73,-158.10,-6.90,-38.25,32.25,134.82,
06/01/2021,00:59:02.31,-337.89,299.32,966.80,-1.52,0.49,0.55,-158.10,-6.90,-38.25,32.25,134.82,
06/01/2021,00:59:02.31,-341.80,285.16,952.64,-1.22,0.73,-0.06,-158.10,-6.90,-38.25,32.25,134.82,
06/01/2021,00:59:02.31,-326.66,299.32,958.98,-0.18,0.00,0.24,-158.10,-6.90,-38.25,32.10,134.82,
06/01/2021,00:59:02.32,-332.52,297.36,965.33,-0.73,-0.61,1.77,-156.15,-6.90,-37.95,32.25,134.82,
06/01/2021,00:59:02.33,-333.01,304.20,948.73,-0.49,-3.23,2.68,-156.45,-9.45,-37.35,32.10,134.82,
06/01/2021,00:59:02.34,-343.26,290.53,965.82,-0.06,0.98,2.87,-156.45,-8.25,-37.80,32.10,134.82,
06/01/2021,00:59:02.34,-328.12,302.73,961.43,-1.34,-0.37,-1.34,-156.45,-8.25,-37.80,32.29,134.82,
06/01/2021,00:59:02.35,-339.84,303.71,946.78,1.46,-0.98,-0.91,-156.45,-8.25,-37.80,32.39,134.82,
06/01/2021,00:59:02.35,-339.84,298.83,949.22,-1.10,-1.83,3.11,-155.70,-7.05,-39.90,32.10,134.82,
06/01/2021,00:59:02.37,-338.38,311.04,954.59,-0.73,-0.73,0.98,-155.70,-7.05,-39.90,32.10,134.82,
06/01/2021,00:59:02.37,-334.47,286.13,952.15,0.91,1.71,-0.06,-157.80,-9.75,-36.30,32.25,134.82,
06/01/2021,00:59:02.38,-335.94,297.85,952.64,-0.24,-1.34,1.16,-157.80,-9.75,-36.30,32.25,134.82,
06/01/2021,00:59:02.38,-338.87,289.55,952.64,-0.24,-0.79,-0.91,-156.90,-8.10,-38.25,32.29,134.82,
06/01/2021,00:59:02.39,-324.71,304.20,963.38,-1.83,-0.67,0.18,-156.90,-8.10,-38.25,32.25,134.82,
06/01/2021,00:59:02.39,-332.52,304.69,956.54,-0.91,-3.48,2.07,-156.90,-6.45,-38.70,32.39,134.82,
