rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:02:04.30,214.84,63.48,-809.08,70.55,-70.43,-26.71,-140.70,-61.35,-92.40,32.39,134.74,
06/01/2021,01:02:04.34,150.39,12.21,-793.95,77.87,-84.39,-19.63,-141.15,-63.90,-91.20,32.82,134.73,
06/01/2021,01:02:04.36,127.44,-21.00,-802.25,79.76,-89.33,-16.04,-140.40,-62.70,-90.45,32.58,134.73,
06/01/2021,01:02:04.36,130.86,-27.83,-807.62,79.94,-88.05,-17.56,-140.40,-62.70,-90.45,32.73,134.73,
06/01/2021,01:02:04.36,114.26,-55.66,-815.92,82.32,-89.51,-13.66,-140.70,-63.00,-88.05,32.77,134.73,
06/01/2021,01:02:04.38,95.21,-97.17,-830.57,82.68,-89.09,-16.16,-139.50,-63.30,-89.10,32.73,134.73,
06/01/2021,01:02:04.38,81.54,-122.56,-831.54,81.16,-88.17,-15.06,-139.95,-64.95,-87.30,32.77,134.73,
06/01/2021,01:02:04.39,83.50,-116.21,-856.45,82.38,-89.94,-12.80,-139.95,-64.95,-87.30,32.63,134.73,
06/01/2021,01:02:04.39,73.24,-146.48,-854.98,81.40,-88.17,-17.68,-139.95,-64.95,-87.30,32.77,134.73,
06/01/2021,01:02:04.40,64.45,-158.20,-874.51,81.40,-83.66,-17.44,-139.95,-64.95,-87.30,32.73,134.73,
06/01/2021,01:02:04.41,76.17,-170.41,-886.23,82.32,-82.50,-16.46,-138.60,-63.90,-85.35,32.73,134.73,
06/01/2021,01:02:04.42,62.50,-188.96,-902.34,80.06,-85.49,-16.34,-138.60,-63.90,-85.35,32.73,134.73,
06/01/2021,01:02:04.42,64.45,-181.15,-906.74,82.80,-85.30,-17.80,-138.60,-67.35,-84.90,32.82,134.73,
06/01/2021,01:02:04.43,74.71,-204.59,-910.64,78.72,-84.33,-16.65,-138.60,-67.35,-84.90,32.58,134.73,
06/01/2021,01:02:04.43,66.89,-213.87,-910.64,78.48,-84.09,-16.04,-137.10,-66.30,-86.10,32.58,134.74,
06/01/2021,01:02:04.45,55.66,-247.07,-910.64,80.61,-89.63,-12.01,-138.45,-67.95,-84.75,32.77,134.73,
06/01/2021,01:02:04.45,47.36,-246.58,-922.85,77.26,-92.01,-8.60,-138.00,-66.45,-81.90,32.73,134.73,
06/01/2021,01:02:04.45,37.60,-265.14,-912.11,77.50,-91.16,-13.54,-138.00,-66.45,-81.90,32.73,134.73,
06/01/2021,01:02:04.46,38.57,-268.55,-913.57,77.99,-94.51,-11.28,-138.00,-66.45,-81.90,32.73,134.74,
06/01/2021,01:02:04.46,22.95,-267.09,-914.55,77.50,-94.51,-10.98,-138.00,-66.45,-81.90,32.73,134.74,
06/01/2021,01:02:04.48,-17.58,-301.27,-906.74,76.52,-99.70,-10.61,-135.60,-67.35,-81.30,32.92,134.73,
06/01/2021,01:02:04.48,-13.18,-311.04,-900.39,75.00,-98.48,-11.16,-136.50,-68.70,-81.45,32.97,134.74,
06/01/2021,01:02:04.49,-29.30,-326.66,-891.60,74.02,-102.38,-10.00,-136.50,-68.70,-81.45,32.77,134.74,
06/01/2021,01:02:04.49,-37.11,-338.38,-883.79,73.72,-102.99,-11.16,-135.15,-67.65,-82.95,32.39,134.74,
06/01/2021,01:02:04.50,-52.73,-360.35,-896.97,71.34,-103.35,-6.34,-135.15,-67.65,-82.95,32.82,134.74,
06/01/2021,01:02:04.51,-105.47,-382.81,-878.42,73.90,-102.87,-9.15,-135.60,-68.25,-82.35,32.77,134.74,
06/01/2021,01:02:04.52,-111.33,-372.56,-870.12,74.39,-104.88,-7.68,-135.60,-68.25,-82.35,32.82,134.74,
06/01/2021,01:02:04.52,-132.81,-385.25,-853.52,74.02,-104.94,-6.22,-135.90,-68.40,-77.85,32.73,134.74,
06/01/2021,01:02:04.53,-150.88,-378.42,-847.66,72.93,-106.16,-3.96,-135.90,-68.40,-77.85,32.73,134.74,
06/01/2021,01:02:04.53,-167.97,-387.70,-858.40,73.66,-104.27,-5.00,-135.30,-68.55,-79.50,32.73,134.74,
06/01/2021,01:02:04.55,-190.43,-430.18,-856.93,72.38,-101.22,-2.07,-134.85,-68.25,-77.25,32.97,134.74,
06/01/2021,01:02:04.55,-222.17,-430.66,-841.80,72.74,-103.05,1.28,-135.90,-69.15,-76.65,32.63,134.74,
06/01/2021,01:02:04.56,-238.77,-450.20,-836.43,72.56,-100.73,3.78,-135.90,-69.15,-76.65,32.58,134.74,
06/01/2021,01:02:04.56,-255.86,-455.08,-831.54,72.93,-99.94,4.57,-135.90,-69.15,-76.65,32.92,134.74,
06/01/2021,01:02:04.57,-262.21,-471.68,-836.43,75.12,-97.50,3.66,-135.90,-69.15,-76.65,32.97,134.74,
06/01/2021,01:02:04.58,-311.04,-485.84,-816.41,73.05,-94.82,9.82,-133.35,-69.75,-74.40,32.63,134.74,
06/01/2021,01:02:04.58,-321.29,-493.65,-815.43,74.15,-95.55,10.98,-133.65,-70.65,-73.80,33.06,134.74,
06/01/2021,01:02:04.59,-332.52,-493.65,-817.38,72.80,-93.60,10.91,-133.65,-70.65,-73.80,32.73,134.74,
06/01/2021,01:02:04.59,-351.07,-504.88,-798.34,72.32,-91.46,12.99,-133.80,-70.50,-75.00,32.73,134.74,
06/01/2021,01:02:04.60,-352.05,-497.56,-786.62,71.59,-92.01,16.95,-133.80,-70.50,-75.00,32.73,134.74,
06/01/2021,01:02:04.61,-400.39,-521.48,-769.04,73.17,-87.99,22.62,-133.95,-71.40,-72.00,32.73,134.74,
06/01/2021,01:02:04.62,-406.74,-528.81,-751.46,71.59,-83.66,25.55,-133.95,-71.40,-72.00,32.73,134.74,
06/01/2021,01:02:04.62,-416.99,-513.67,-735.84,75.00,-85.00,24.33,-134.40,-69.90,-72.00,32.82,134.74,
06/01/2021,01:02:04.63,-443.36,-513.18,-727.05,73.90,-84.88,26.71,-134.40,-69.90,-72.00,32.77,134.74,
06/01/2021,01:02:04.63,-460.45,-499.02,-688.96,76.10,-82.74,31.59,-134.40,-69.90,-72.00,32.73,134.74,
06/01/2021,01:02:04.65,-502.44,-514.16,-677.73,78.54,-81.52,37.56,-132.00,-70.50,-69.60,32.63,134.74,
06/01/2021,01:02:04.65,-517.58,-513.67,-668.95,78.54,-76.52,40.37,-133.95,-69.90,-69.75,32.73,134.74,
06/01/2021,01:02:04.66,-521.00,-534.67,-661.62,80.24,-77.99,45.55,-133.95,-69.90,-69.75,32.73,134.74,
06/01/2021,01:02:04.66,-539.06,-540.04,-643.55,80.43,-80.85,46.59,-133.95,-69.90,-69.75,32.73,134.74,
06/01/2021,01:02:04.67,-529.30,-545.90,-650.39,80.12,-78.35,49.27,-130.35,-71.10,-69.45,32.44,134.74,
06/01/2021,01:02:04.68,-529.30,-570.31,-667.48,82.50,-77.74,59.63,-129.75,-70.05,-68.55,32.82,134.74,
06/01/2021,01:02:04.68,-528.81,-559.08,-662.60,82.80,-79.15,58.72,-129.75,-70.05,-68.55,32.77,134.74,
06/01/2021,01:02:04.69,-534.67,-566.41,-655.27,83.90,-79.57,64.09,-129.75,-70.05,-68.55,32.58,134.74,
06/01/2021,01:02:04.69,-530.76,-584.47,-665.04,80.73,-81.16,64.02,-130.65,-68.70,-66.45,32.39,134.74,
06/01/2021,01:02:04.70,-557.13,-593.26,-667.48,82.80,-81.52,69.21,-130.65,-68.70,-66.45,32.82,134.74,
06/01/2021,01:02:04.71,-554.20,-592.29,-669.43,79.45,-77.62,75.79,-129.75,-69.30,-64.50,32.73,134.74,
06/01/2021,01:02:04.72,-559.08,-596.68,-657.71,76.46,-81.59,78.17,-129.75,-69.30,-64.50,32.77,134.74,
06/01/2021,01:02:04.72,-575.68,-602.05,-654.30,78.05,-75.37,75.98,-128.55,-69.30,-63.75,32.73,134.74,
06/01/2021,01:02:04.73,-582.03,-585.94,-647.46,77.56,-75.91,78.11,-128.55,-69.30,-63.75,32.58,134.74,
06/01/2021,01:02:04.73,-581.05,-583.01,-642.09,75.12,-74.88,81.46,-128.55,-69.30,-63.75,32.58,134.74,
06/01/2021,01:02:04.75,-593.75,-583.01,-623.05,72.01,-74.70,85.24,-125.70,-67.35,-62.70,32.77,134.74,
06/01/2021,01:02:04.75,-597.66,-582.52,-617.19,70.30,-74.21,84.27,-127.80,-66.60,-62.70,32.63,134.74,
06/01/2021,01:02:04.76,-614.26,-585.45,-615.23,69.57,-70.61,87.99,-127.80,-66.60,-62.70,32.73,134.74,
06/01/2021,01:02:04.76,-616.70,-580.08,-600.59,69.27,-71.34,88.96,-127.80,-65.40,-61.20,32.77,134.74,
06/01/2021,01:02:04.77,-620.12,-561.52,-586.43,66.10,-71.10,88.23,-127.80,-65.40,-61.20,32.82,134.74,
06/01/2021,01:02:04.78,-653.32,-573.73,-552.73,63.23,-66.77,91.34,-125.85,-66.00,-61.05,32.73,134.74,
06/01/2021,01:02:04.79,-647.46,-564.94,-547.36,62.20,-65.85,92.99,-125.85,-66.00,-61.05,32.77,134.74,
06/01/2021,01:02:04.79,-653.81,-547.36,-528.81,58.60,-60.12,94.45,-125.85,-66.00,-61.05,32.77,134.74,
06/01/2021,01:02:04.80,-659.18,-545.41,-526.86,59.33,-62.62,93.66,-125.70,-63.15,-60.00,32.77,134.74,
06/01/2021,01:02:04.80,-657.71,-537.11,-517.58,55.06,-57.87,92.93,-125.70,-63.15,-60.00,32.73,134.74,
06/01/2021,01:02:04.82,-707.03,-543.46,-476.07,52.01,-52.32,95.18,-126.75,-63.90,-57.90,32.77,134.74,
06/01/2021,01:02:04.85,-754.39,-550.29,-417.97,42.87,-36.59,96.95,-125.25,-61.20,-56.10,32.73,134.74,
06/01/2021,01:02:04.86,-783.20,-538.57,-389.65,37.20,-27.26,97.68,-125.25,-61.20,-56.10,32.77,134.74,
06/01/2021,01:02:04.87,-796.39,-524.41,-388.67,35.06,-24.88,95.85,-124.05,-60.60,-57.30,32.82,134.74,
06/01/2021,01:02:04.87,-799.32,-510.74,-398.44,35.91,-24.21,96.10,-124.05,-60.60,-57.30,32.63,134.74,
06/01/2021,01:02:04.89,-800.78,-486.33,-417.97,34.76,-19.15,98.90,-124.05,-59.85,-55.20,32.92,134.74,
06/01/2021,01:02:04.89,-786.13,-453.12,-415.53,31.52,-19.45,98.35,-124.05,-59.85,-55.20,32.97,134.74,
06/01/2021,01:02:04.89,-790.04,-466.80,-414.55,33.96,-21.52,98.72,-121.35,-58.35,-55.20,32.63,134.74,
06/01/2021,01:02:04.90,-791.99,-462.40,-416.50,33.72,-22.99,98.17,-121.35,-58.35,-55.20,32.58,134.74,
06/01/2021,01:02:04.90,-793.46,-474.12,-426.76,35.06,-25.00,100.43,-121.35,-58.35,-55.20,32.73,134.74,
06/01/2021,01:02:04.94,-842.29,-450.20,-443.36,35.30,-47.62,107.56,-121.35,-54.45,-53.25,32.39,134.73,
06/01/2021,01:02:04.94,-854.49,-449.71,-460.45,37.26,-46.52,108.78,-121.35,-54.45,-53.25,32.73,134.73,
06/01/2021,01:02:04.95,-863.28,-443.36,-480.47,35.06,-48.54,105.79,-120.60,-54.90,-54.75,32.58,134.73,
06/01/2021,01:02:04.95,-867.68,-437.01,-472.17,37.80,-48.90,108.29,-120.60,-54.90,-54.75,32.77,134.73,
06/01/2021,01:02:04.96,-878.91,-437.99,-460.94,36.16,-48.84,108.23,-120.60,-54.90,-54.75,32.92,134.74,
06/01/2021,01:02:04.97,-897.46,-448.24,-446.78,38.48,-49.21,107.07,-119.70,-54.30,-53.85,32.73,134.73,
06/01/2021,01:02:04.97,-902.34,-453.12,-453.12,34.70,-47.99,103.48,-119.70,-54.30,-53.85,32.58,134.73,
06/01/2021,01:02:04.98,-907.71,-440.92,-444.82,34.39,-45.30,105.49,-119.70,-54.30,-53.85,32.73,134.73,
06/01/2021,01:02:04.98,-907.23,-441.89,-434.08,34.45,-43.17,106.16,-120.45,-52.35,-52.35,32.73,134.74,
06/01/2021,01:02:05.00,-936.52,-451.17,-406.25,31.46,-34.76,101.52,-118.20,-52.65,-51.00,32.82,134.73,
06/01/2021,01:02:05.00,-948.24,-444.34,-398.44,32.50,-33.60,102.07,-119.55,-49.80,-51.90,32.77,134.73,
06/01/2021,01:02:05.01,-965.33,-444.34,-389.16,32.26,-30.49,101.95,-119.55,-49.80,-51.90,32.73,134.74,
06/01/2021,01:02:05.01,-970.21,-437.50,-372.56,32.01,-23.66,99.33,-117.45,-49.95,-53.85,32.77,134.74,
06/01/2021,01:02:05.02,-970.21,-438.48,-366.21,31.46,-22.87,100.00,-117.45,-49.95,-53.85,32.73,134.74,
06/01/2021,01:02:05.03,-968.75,-431.15,-344.24,28.72,-12.01,96.46,-118.05,-49.50,-49.95,32.77,134.73,
06/01/2021,01:02:05.04,-966.80,-408.69,-330.57,28.11,-7.99,96.40,-118.05,-49.50,-49.95,32.82,134.74,
06/01/2021,01:02:05.04,-984.86,-431.64,-321.78,25.73,-6.89,97.93,-118.05,-48.30,-52.20,32.77,134.74,
06/01/2021,01:02:05.05,-959.47,-416.50,-334.96,27.99,-3.72,94.82,-118.05,-48.30,-52.20,32.73,134.74,
06/01/2021,01:02:05.05,-962.89,-406.25,-324.22,25.73,0.37,94.39,-118.05,-48.30,-52.20,32.92,134.74,
06/01/2021,01:02:05.07,-925.78,-397.95,-302.25,24.94,4.94,92.20,-118.65,-46.50,-50.55,32.92,134.74,
06/01/2021,01:02:05.07,-922.85,-388.67,-305.66,27.26,3.66,93.23,-118.65,-46.50,-50.55,32.82,134.74,
06/01/2021,01:02:05.08,-926.27,-380.86,-307.13,24.15,4.45,97.13,-118.65,-46.50,-50.55,32.92,134.74,
06/01/2021,01:02:05.08,-909.67,-375.49,-305.66,25.73,2.20,94.27,-118.65,-46.50,-50.55,32.92,134.74,
06/01/2021,01:02:05.09,-907.23,-360.84,-305.18,22.26,4.57,90.37,-116.40,-44.25,-52.35,32.63,134.74,
06/01/2021,01:02:05.10,-886.23,-335.45,-291.02,22.87,4.82,91.16,-117.75,-44.40,-49.95,32.73,134.74,
06/01/2021,01:02:05.10,-887.70,-335.45,-277.83,22.01,6.77,92.13,-117.45,-45.75,-51.00,32.53,134.74,
06/01/2021,01:02:05.11,-879.39,-323.24,-275.39,21.46,2.74,92.74,-117.45,-45.75,-51.00,32.58,134.74,
06/01/2021,01:02:05.11,-888.67,-306.15,-290.04,21.65,2.74,89.21,-117.30,-43.20,-51.45,32.58,134.74,
06/01/2021,01:02:05.12,-873.54,-295.41,-268.07,22.38,1.28,90.67,-117.30,-43.20,-51.45,32.73,134.74,
06/01/2021,01:02:05.12,-873.54,-283.69,-275.88,21.10,2.20,92.44,-117.30,-43.20,-51.45,32.73,134.74,
06/01/2021,01:02:05.14,-841.80,-246.58,-259.28,24.94,-2.13,91.95,-118.50,-42.15,-51.15,32.44,134.74,
06/01/2021,01:02:05.14,-848.14,-240.72,-256.35,22.20,0.24,91.04,-115.65,-40.65,-52.05,32.92,134.74,
06/01/2021,01:02:05.15,-837.89,-233.89,-258.79,25.85,0.61,89.51,-115.65,-40.65,-52.05,32.92,134.74,
06/01/2021,01:02:05.15,-811.04,-211.91,-251.46,25.43,-1.10,88.54,-115.65,-40.65,-52.05,32.77,134.74,
06/01/2021,01:02:05.16,-813.96,-214.36,-234.86,24.09,-4.09,86.65,-114.75,-39.30,-51.45,32.73,134.74,
06/01/2021,01:02:05.17,-785.16,-183.59,-229.98,29.82,-9.76,86.10,-115.80,-41.25,-52.20,32.58,134.74,
06/01/2021,01:02:05.18,-786.62,-174.80,-236.33,28.35,-8.23,84.70,-116.25,-40.20,-50.70,32.58,134.74,
06/01/2021,01:02:05.18,-770.51,-172.36,-236.33,29.94,-9.70,84.02,-116.25,-40.20,-50.70,32.58,134.74,
06/01/2021,01:02:05.19,-773.44,-162.11,-231.93,32.80,-15.12,82.99,-115.50,-37.05,-51.90,32.92,134.74,
06/01/2021,01:02:05.19,-784.18,-146.00,-236.33,32.87,-11.95,81.95,-115.50,-37.05,-51.90,32.77,134.74,
06/01/2021,01:02:05.21,-791.02,-117.68,-238.77,35.00,-10.91,78.72,-115.65,-37.20,-50.25,32.77,134.74,
06/01/2021,01:02:05.21,-801.76,-115.72,-232.91,35.61,-8.90,73.96,-115.65,-37.20,-50.25,32.53,134.74,
06/01/2021,01:02:05.21,-804.20,-104.98,-236.33,37.62,-6.65,79.94,-115.05,-35.85,-51.90,32.73,134.74,
06/01/2021,01:02:05.22,-789.55,-89.36,-221.19,39.94,-9.15,76.71,-115.05,-35.85,-51.90,32.63,134.74,
06/01/2021,01:02:05.22,-791.50,-67.87,-220.70,41.89,-6.65,77.13,-115.50,-37.50,-52.20,32.82,134.74,
06/01/2021,01:02:05.24,-748.54,-27.83,-192.87,48.60,-4.70,72.99,-117.45,-35.25,-52.05,32.77,134.74,
06/01/2021,01:02:05.24,-726.56,-14.16,-189.94,49.02,-8.96,71.28,-117.45,-35.25,-52.05,32.73,134.74,
06/01/2021,01:02:05.25,-705.57,-1.46,-209.96,51.83,-13.23,71.34,-117.45,-35.25,-52.05,32.73,134.74,
06/01/2021,01:02:05.25,-709.96,10.25,-216.80,52.99,-17.20,71.89,-117.45,-35.25,-52.05,32.92,134.74,
06/01/2021,01:02:05.26,-687.50,20.02,-222.66,56.22,-16.52,70.24,-114.30,-33.15,-51.45,32.77,134.74,
06/01/2021,01:02:05.30,-625.98,66.89,-319.82,81.46,-53.60,69.51,-117.15,-34.95,-50.25,32.63,134.74,
06/01/2021,01:02:05.30,-626.46,70.80,-339.84,83.48,-57.32,64.82,-117.15,-34.95,-50.25,32.77,134.74,
06/01/2021,01:02:05.30,-642.58,50.29,-358.40,88.23,-63.96,65.98,-116.25,-31.65,-50.40,32.73,134.74,
06/01/2021,01:02:05.31,-644.04,51.27,-366.21,90.18,-63.84,62.07,-116.25,-31.65,-50.40,32.73,134.74,
06/01/2021,01:02:05.31,-646.97,41.02,-398.93,91.28,-67.62,59.33,-116.55,-30.90,-51.90,32.82,134.74,
06/01/2021,01:02:05.38,-621.58,-21.00,-475.10,114.94,-104.63,37.87,-118.80,-28.50,-47.85,32.73,134.73,
06/01/2021,01:02:05.39,-616.70,-49.32,-500.49,111.46,-106.65,31.28,-117.00,-27.45,-47.10,32.73,134.73,
06/01/2021,01:02:05.40,-634.77,-40.04,-521.48,112.50,-114.09,25.98,-118.95,-25.20,-47.70,32.77,134.73,
06/01/2021,01:02:05.40,-651.37,-57.13,-534.18,115.30,-115.24,24.63,-118.95,-25.20,-47.70,32.58,134.73,
06/01/2021,01:02:05.40,-644.53,-57.13,-538.57,114.51,-113.41,22.38,-118.65,-27.60,-49.05,32.77,134.73,
