rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:01:03.51,497.56,-47.85,-804.69,2.26,-0.73,2.44,-148.05,-54.90,-96.75,32.77,134.86,
06/01/2021,01:01:03.55,479.98,-39.06,-810.55,2.50,1.16,-0.73,-146.25,-54.90,-99.75,32.77,134.86,
06/01/2021,01:01:03.57,495.12,-47.36,-809.57,1.89,-0.06,-1.16,-148.35,-54.00,-97.20,32.39,134.85,
06/01/2021,01:01:03.57,497.07,-45.41,-806.64,-0.67,0.12,-0.24,-148.35,-54.00,-97.20,32.63,134.85,
06/01/2021,01:01:03.57,491.21,-50.78,-807.13,0.18,0.73,-0.91,-146.55,-51.75,-97.20,32.39,134.86,
06/01/2021,01:01:03.59,495.61,-41.99,-795.90,0.61,-1.04,1.59,-147.30,-53.70,-97.95,32.73,134.85,
06/01/2021,01:01:03.59,491.21,-44.43,-801.76,1.22,0.85,1.77,-148.20,-53.10,-98.40,32.58,134.85,
06/01/2021,01:01:03.60,495.61,-40.53,-793.46,2.26,-0.43,0.91,-148.20,-53.10,-98.40,32.82,134.85,
06/01/2021,01:01:03.60,493.65,-37.11,-808.11,-1.16,0.24,0.85,-147.45,-53.55,-97.80,32.63,134.86,
06/01/2021,01:01:03.61,494.63,-36.13,-812.01,0.24,-0.24,2.07,-147.45,-53.55,-97.80,32.44,134.86,
06/01/2021,01:01:03.62,493.16,-38.09,-803.22,1.65,1.77,-0.73,-147.30,-54.90,-97.20,32.63,134.85,
06/01/2021,01:01:03.63,490.23,-40.53,-816.41,-1.52,-0.98,0.30,-147.30,-54.90,-97.20,32.73,134.86,
06/01/2021,01:01:03.63,497.56,-45.90,-807.13,2.01,1.52,0.91,-145.95,-54.30,-98.10,32.73,134.86,
06/01/2021,01:01:03.64,498.05,-39.06,-817.87,0.30,-2.74,-0.55,-145.95,-54.30,-98.10,32.58,134.86,
06/01/2021,01:01:03.64,497.07,-45.90,-810.06,0.73,-2.32,-3.41,-146.40,-54.30,-98.10,32.58,134.86,
06/01/2021,01:01:03.66,498.05,-51.27,-811.04,0.43,-1.34,-2.26,-146.70,-55.05,-97.35,32.25,134.86,
06/01/2021,01:01:03.66,483.89,-40.53,-815.92,-0.12,-2.07,-0.49,-146.70,-55.05,-97.35,32.58,134.86,
06/01/2021,01:01:03.66,495.61,-47.36,-802.73,-2.01,-2.99,1.46,-146.70,-55.05,-97.35,32.63,134.86,
06/01/2021,01:01:03.67,500.98,-41.99,-803.71,-0.12,-3.35,-1.83,-146.70,-55.05,-97.35,32.58,134.86,
06/01/2021,01:01:03.67,497.56,-44.43,-803.22,-0.12,-1.28,1.16,-147.45,-53.55,-97.80,32.63,134.86,
06/01/2021,01:01:03.68,489.26,-40.04,-805.18,-0.73,-1.65,0.98,-147.45,-53.55,-97.80,32.44,134.86,
06/01/2021,01:01:03.69,495.61,-26.37,-818.36,-2.50,1.28,2.56,-148.80,-52.50,-97.50,32.63,134.86,
06/01/2021,01:01:03.70,501.46,-38.09,-811.04,1.71,-1.95,2.80,-148.80,-52.50,-97.50,32.73,134.86,
06/01/2021,01:01:03.70,500.98,-30.27,-810.06,-1.04,0.43,2.13,-147.15,-54.60,-98.10,32.39,134.86,
06/01/2021,01:01:03.71,496.09,-41.50,-815.92,0.18,-1.40,1.83,-147.15,-54.60,-98.10,32.73,134.86,
06/01/2021,01:01:03.71,488.77,-33.20,-812.50,1.16,-0.37,2.56,-147.15,-54.60,-98.10,32.73,134.86,
06/01/2021,01:01:03.73,503.42,-42.48,-797.36,0.12,-1.59,1.83,-147.15,-53.55,-96.30,32.77,134.86,
