rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:57:00.48,-1008.30,-71.78,28.32,0.67,-0.61,2.01,-124.65,-33.15,-37.65,31.91,134.68,
06/01/2021,00:57:00.52,-1005.86,-84.47,16.11,0.30,-0.55,1.71,-123.60,-34.35,-36.90,31.58,134.67,
06/01/2021,00:57:00.53,-1012.21,-67.38,14.65,2.32,1.10,1.40,-124.35,-34.35,-36.45,31.91,134.66,
06/01/2021,00:57:00.53,-995.12,-70.31,27.83,-0.06,0.79,0.91,-124.35,-34.35,-36.45,31.67,134.66,
06/01/2021,00:57:00.54,-1003.42,-58.11,22.95,-1.16,-0.06,1.52,-123.30,-33.90,-36.90,31.72,134.67,
06/01/2021,00:57:00.55,-1003.42,-71.29,25.88,0.73,-2.44,0.98,-122.85,-33.90,-36.45,31.86,134.66,
06/01/2021,00:57:00.56,-1007.32,-71.78,11.72,0.30,-0.91,-0.61,-123.75,-33.75,-38.85,31.67,134.66,
06/01/2021,00:57:00.56,-1002.44,-69.34,10.74,1.04,-0.91,-1.40,-123.75,-33.75,-38.85,31.58,134.67,
06/01/2021,00:57:00.57,-1005.37,-69.82,20.02,-0.18,-0.06,0.55,-123.75,-33.75,-38.85,31.53,134.67,
06/01/2021,00:57:00.57,-1001.46,-79.59,24.41,3.05,-0.30,-0.06,-123.75,-33.75,-38.85,31.72,134.67,
06/01/2021,00:57:00.59,-995.12,-61.52,11.72,-0.37,-0.67,-0.49,-124.20,-34.20,-38.85,31.48,134.66,
06/01/2021,00:57:00.59,-1023.93,-82.03,30.27,1.22,-1.89,4.33,-125.10,-34.35,-36.45,31.72,134.67,
06/01/2021,00:57:00.60,-1012.70,-67.87,18.07,-0.43,-4.51,0.12,-125.10,-34.35,-36.45,31.67,134.67,
06/01/2021,00:57:00.60,-1011.72,-81.05,23.44,-0.49,0.00,0.49,-122.85,-33.15,-37.65,31.72,134.67,
06/01/2021,00:57:00.61,-1011.23,-66.41,21.00,1.28,0.85,-1.04,-122.85,-33.15,-37.65,31.53,134.67,
06/01/2021,00:57:00.62,-1015.62,-77.15,13.67,1.71,1.40,1.77,-124.65,-33.15,-37.20,31.91,134.67,
06/01/2021,00:57:00.62,-998.05,-74.22,20.51,0.49,0.67,0.06,-124.65,-33.15,-37.20,31.58,134.67,
06/01/2021,00:57:00.63,-1009.28,-82.03,14.16,0.55,-0.73,0.55,-123.00,-33.00,-38.10,31.53,134.67,
