rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:54:59.03,-1018.55,-66.41,23.44,0.18,-0.67,-0.43,-124.95,-32.55,-36.60,30.86,134.87,
06/01/2021,00:54:59.07,-1004.88,-64.94,13.18,2.13,0.18,3.60,-122.85,-35.55,-36.45,31.00,134.86,
06/01/2021,00:54:59.09,-1007.81,-72.27,12.70,0.06,-1.16,1.46,-124.05,-32.40,-35.70,30.81,134.86,
06/01/2021,00:54:59.09,-1001.95,-86.91,15.14,1.10,0.61,1.77,-124.05,-32.40,-35.70,30.71,134.86,
06/01/2021,00:54:59.10,-1012.70,-82.52,25.88,1.59,-1.89,2.56,-124.05,-32.40,-35.70,31.00,134.86,
06/01/2021,00:54:59.11,-999.51,-68.85,22.46,1.28,-3.11,-0.91,-122.25,-33.45,-38.10,30.86,134.86,
06/01/2021,00:54:59.12,-998.05,-64.45,12.21,-0.43,0.85,-0.55,-122.25,-33.45,-38.10,30.95,134.86,
06/01/2021,00:54:59.12,-1008.79,-80.08,2.93,-1.28,-2.01,0.37,-124.50,-33.75,-37.05,30.95,134.86,
06/01/2021,00:54:59.12,-999.51,-67.87,18.55,-0.37,-1.95,0.67,-124.50,-33.75,-37.05,30.71,134.86,
06/01/2021,00:54:59.13,-1003.42,-79.59,20.02,-0.98,0.12,-0.24,-123.00,-34.20,-37.05,30.95,134.86,
06/01/2021,00:54:59.14,-1011.72,-70.80,16.60,3.05,-1.10,0.18,-123.00,-33.45,-37.80,30.86,134.86,
06/01/2021,00:54:59.15,-1001.46,-73.24,9.77,2.38,0.37,1.10,-123.30,-33.15,-36.15,30.95,134.86,
06/01/2021,00:54:59.15,-1007.81,-81.05,6.84,0.49,0.61,0.24,-123.30,-33.15,-36.15,30.86,134.86,
06/01/2021,00:54:59.16,-1013.67,-77.15,15.62,-0.12,-2.56,1.46,-123.30,-33.15,-36.15,30.95,134.86,
06/01/2021,00:54:59.16,-1004.88,-75.68,10.74,-1.40,-3.11,-1.40,-123.30,-33.15,-36.15,30.86,134.87,
06/01/2021,00:54:59.17,-1010.74,-63.48,8.79,-0.37,-0.55,4.88,-123.30,-33.15,-36.15,30.81,134.87,
06/01/2021,00:54:59.18,-1014.16,-74.22,17.58,-0.18,1.89,-0.06,-123.00,-34.50,-36.60,30.86,134.86,
06/01/2021,00:54:59.19,-1005.86,-69.82,9.77,-1.04,2.38,-1.52,-123.00,-34.50,-36.60,30.95,134.87,
06/01/2021,00:54:59.19,-1016.60,-81.54,17.58,-0.18,-1.22,1.52,-122.25,-34.20,-37.05,30.86,134.87,
06/01/2021,00:54:59.19,-987.30,-73.24,8.79,-1.40,-0.67,0.12,-122.25,-34.20,-37.05,30.86,134.87,
06/01/2021,00:54:59.20,-999.02,-62.99,21.00,-1.77,0.79,1.10,-122.10,-33.90,-37.65,31.00,134.87,
06/01/2021,00:54:59.21,-1010.74,-70.31,29.79,-0.30,0.73,-0.43,-122.10,-33.90,-37.65,30.86,134.87,
06/01/2021,00:54:59.22,-1008.79,-79.59,23.93,1.71,-2.01,1.16,-122.10,-33.15,-36.45,30.95,134.87,
06/01/2021,00:54:59.22,-1005.37,-70.80,15.62,0.24,-0.98,0.00,-122.10,-33.15,-36.45,31.00,134.87,
06/01/2021,00:54:59.23,-1004.88,-81.54,18.07,-0.49,-1.77,-2.44,-123.00,-33.00,-36.45,31.05,134.87,
06/01/2021,00:54:59.23,-1008.79,-62.99,13.67,-1.59,-1.83,-0.49,-123.00,-33.00,-37.80,30.81,134.87,
06/01/2021,00:54:59.25,-1006.84,-79.10,11.72,1.40,1.04,1.34,-121.80,-33.60,-38.25,30.86,134.87,
06/01/2021,00:54:59.25,-999.51,-72.27,10.25,1.59,-1.95,2.74,-124.20,-33.75,-37.80,30.86,134.87,
06/01/2021,00:54:59.26,-1007.32,-71.29,1.95,0.37,-0.98,-0.49,-124.20,-33.75,-37.80,30.81,134.87,
06/01/2021,00:54:59.26,-1012.21,-84.96,17.58,0.98,-2.01,0.43,-124.20,-33.75,-37.80,30.71,134.87,
06/01/2021,00:54:59.26,-1004.39,-64.94,20.51,-3.11,-0.06,-0.18,-124.20,-33.75,-37.80,30.95,134.87,
06/01/2021,00:54:59.28,-1009.28,-74.71,14.65,-0.79,1.71,3.54,-122.55,-34.35,-36.90,30.95,134.87,
06/01/2021,00:54:59.28,-1005.86,-88.38,21.48,-0.43,-2.32,0.49,-122.55,-34.35,-36.90,31.00,134.87,
06/01/2021,00:54:59.29,-1022.46,-83.98,16.11,1.65,-1.95,-0.79,-123.60,-33.15,-37.95,30.95,134.87,
06/01/2021,00:54:59.29,-1010.74,-79.10,12.21,0.55,-3.11,0.67,-123.60,-33.15,-37.95,30.95,134.87,
06/01/2021,00:54:59.30,-1005.86,-75.68,11.23,3.05,-2.07,1.28,-123.45,-34.50,-38.10,30.95,134.87,
06/01/2021,00:54:59.31,-1002.93,-65.43,12.21,0.06,2.32,0.18,-123.45,-34.50,-38.10,30.81,134.87,
06/01/2021,00:54:59.32,-1018.07,-77.15,11.72,0.12,-1.40,0.49,-123.45,-34.50,-38.10,30.62,134.87,
06/01/2021,00:54:59.32,-1016.60,-72.75,20.02,-1.22,0.91,0.37,-123.60,-34.35,-38.70,30.81,134.87,
06/01/2021,00:54:59.33,-985.35,-83.50,34.18,0.73,-0.18,1.04,-123.60,-34.35,-38.70,30.81,134.87,
06/01/2021,00:54:59.33,-1000.49,-68.36,7.81,0.06,0.24,0.98,-123.00,-33.75,-37.35,31.00,134.88,
06/01/2021,00:54:59.33,-993.65,-74.22,13.18,2.20,0.37,1.22,-123.00,-33.75,-37.35,30.86,134.88,
06/01/2021,00:54:59.35,-1001.95,-71.78,1.95,-0.55,-1.04,4.51,-124.50,-33.45,-36.30,30.67,134.87,
06/01/2021,00:54:59.35,-995.61,-64.94,19.53,1.59,-0.91,3.11,-124.50,-33.45,-36.30,30.81,134.87,
06/01/2021,00:54:59.36,-1009.28,-67.38,22.95,0.12,-3.72,0.61,-124.50,-33.45,-36.30,30.86,134.88,
06/01/2021,00:54:59.36,-1010.74,-62.01,13.67,-0.67,-3.41,0.49,-124.50,-33.45,-36.30,31.00,134.88,
06/01/2021,00:54:59.37,-1011.23,-69.82,22.46,-1.40,0.98,0.37,-124.50,-33.45,-36.30,30.86,134.88,
06/01/2021,00:54:59.38,-1009.77,-66.41,16.11,1.10,1.46,0.37,-123.45,-34.95,-37.35,30.86,134.88,
06/01/2021,00:54:59.39,-1006.35,-73.73,15.62,1.28,-0.73,0.61,-123.45,-34.95,-37.35,31.05,134.88,
06/01/2021,00:54:59.39,-1010.25,-83.50,20.51,1.10,0.43,-0.18,-122.85,-33.60,-36.45,30.95,134.88,
06/01/2021,00:54:59.40,-1013.67,-67.87,20.51,-0.30,-1.46,-1.71,-122.85,-33.60,-36.45,31.00,134.88,
06/01/2021,00:54:59.40,-998.54,-76.66,16.11,-0.12,0.55,1.10,-121.50,-35.25,-38.10,31.05,134.88,
06/01/2021,00:54:59.42,-1003.42,-73.24,17.09,0.67,3.41,0.00,-121.50,-35.25,-38.10,30.81,134.88,
06/01/2021,00:54:59.42,-1002.44,-62.50,20.02,-1.65,-0.18,0.73,-125.10,-32.40,-36.90,31.05,134.88,
