rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,00:55:59.76,-1002.93,-78.12,28.81,0.24,0.06,0.12,-122.25,-34.20,-37.05,31.48,134.63,
06/01/2021,00:55:59.81,-999.02,-60.55,18.07,1.28,0.12,0.73,-122.85,-34.80,-37.95,31.38,134.62,
06/01/2021,00:55:59.82,-1018.07,-71.78,26.37,-1.59,-2.01,0.18,-122.70,-34.20,-36.30,31.38,134.61,
06/01/2021,00:55:59.82,-1011.23,-65.92,20.02,0.12,-2.32,2.38,-122.70,-34.20,-36.30,31.38,134.62,
06/01/2021,00:55:59.83,-1002.44,-63.96,20.51,-0.55,-0.79,0.30,-124.05,-33.90,-38.25,31.53,134.62,
06/01/2021,00:55:59.84,-1010.74,-77.15,13.67,0.12,-3.66,1.28,-124.05,-33.90,-38.25,31.24,134.61,
06/01/2021,00:55:59.85,-995.61,-80.08,16.60,-0.30,-3.17,4.39,-124.05,-33.90,-37.65,31.34,134.62,
06/01/2021,00:55:59.85,-1007.81,-72.75,18.55,0.12,0.79,-2.26,-124.05,-33.90,-37.65,31.24,134.62,
06/01/2021,00:55:59.86,-1004.39,-69.34,20.51,2.62,-4.51,2.44,-123.30,-34.35,-1.35,31.34,134.62,
06/01/2021,00:55:59.86,-1011.23,-75.68,16.11,0.18,1.40,-0.79,-123.30,-34.35,-39.75,31.19,134.62,
06/01/2021,00:55:59.88,-1005.86,-69.82,9.77,1.22,-0.06,2.13,-123.45,-33.00,-37.05,31.38,134.62,
06/01/2021,00:55:59.88,-1002.44,-72.27,15.62,-2.07,-1.77,-0.49,-124.05,-34.80,-36.90,31.38,134.62,
06/01/2021,00:55:59.88,-1010.25,-80.08,20.02,-2.56,-0.24,-0.30,-124.05,-34.80,-36.90,31.19,134.62,
06/01/2021,00:55:59.89,-1010.25,-73.24,23.93,1.46,-2.01,0.37,-124.05,-34.80,-36.90,31.53,134.62,
