rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:05:06.78,109.38,-833.50,339.36,-7.56,68.23,-8.66,-162.00,-64.35,-32.70,32.92,134.58,
06/01/2021,01:05:06.82,74.71,-894.04,364.75,-1.95,36.95,29.57,-160.20,-64.50,-33.90,32.73,134.58,
06/01/2021,01:05:06.83,68.85,-906.25,334.47,2.07,33.96,40.30,-159.15,-64.50,-34.65,32.39,134.58,
06/01/2021,01:05:06.84,58.59,-905.76,344.73,0.00,33.05,41.40,-159.30,-64.35,-32.25,32.73,134.58,
06/01/2021,01:05:06.84,64.94,-912.60,343.75,4.33,32.93,46.83,-159.30,-64.35,-32.25,32.77,134.58,
06/01/2021,01:05:06.86,50.29,-924.32,315.43,4.63,37.44,59.27,-159.30,-64.35,-32.25,32.97,134.58,
06/01/2021,01:05:06.86,45.90,-925.78,316.41,5.91,38.48,59.21,-159.75,-63.90,-33.75,32.92,134.58,
06/01/2021,01:05:06.87,43.46,-935.55,317.38,7.68,38.90,65.55,-159.75,-63.90,-33.75,32.73,134.58,
06/01/2021,01:05:06.87,57.62,-937.01,311.04,6.83,41.65,63.60,-158.40,-64.05,-33.90,32.92,134.58,
06/01/2021,01:05:06.87,60.55,-936.04,320.31,10.30,44.09,70.79,-158.40,-64.05,-33.90,32.92,134.58,
06/01/2021,01:05:06.89,89.84,-969.24,294.92,10.24,47.87,78.72,-158.40,-65.25,-33.15,32.73,134.58,
06/01/2021,01:05:06.89,94.73,-969.24,312.50,10.06,50.73,80.55,-158.40,-65.25,-33.15,32.77,134.58,
06/01/2021,01:05:06.90,93.75,-981.93,302.73,10.98,53.11,83.35,-158.40,-65.25,-33.15,32.92,134.58,
06/01/2021,01:05:06.90,97.66,-987.79,309.08,11.28,53.23,87.62,-158.40,-65.25,-33.15,32.73,134.58,
06/01/2021,01:05:06.91,98.14,-997.56,308.59,9.45,54.02,86.65,-154.95,-63.60,-34.80,32.97,134.58,
06/01/2021,01:05:06.92,117.19,-988.77,292.97,10.12,53.66,96.52,-154.95,-63.60,-34.80,33.06,134.58,
06/01/2021,01:05:06.93,122.07,-1000.49,289.55,10.79,52.38,99.76,-155.25,-62.70,-33.75,33.06,134.58,
06/01/2021,01:05:06.93,112.30,-1005.86,277.34,11.89,49.88,102.26,-155.25,-62.70,-33.75,32.73,134.58,
06/01/2021,01:05:06.94,124.02,-990.72,271.97,10.43,51.71,103.54,-152.85,-63.75,-33.60,32.77,134.58,
06/01/2021,01:05:06.94,120.61,-1008.79,268.55,8.48,50.67,105.24,-152.85,-63.75,-33.60,32.73,134.58,
06/01/2021,01:05:06.95,118.65,-1000.98,272.95,8.05,50.55,110.61,-152.85,-63.75,-33.60,32.92,134.58,
06/01/2021,01:05:06.96,142.09,-1010.74,248.05,8.17,46.83,118.05,-152.25,-64.35,-32.70,32.97,134.58,
06/01/2021,01:05:06.97,160.16,-1010.74,249.02,8.29,45.61,118.41,-152.25,-64.35,-32.70,32.73,134.58,
06/01/2021,01:05:06.97,146.00,-1005.86,242.68,6.89,45.85,120.00,-152.25,-64.35,-32.70,32.92,134.58,
06/01/2021,01:05:06.97,151.37,-1016.60,240.72,5.49,46.16,119.94,-152.25,-64.35,-32.70,32.58,134.58,
06/01/2021,01:05:06.98,147.95,-1033.20,220.70,2.74,41.46,122.50,-149.40,-63.15,-35.25,32.73,134.58,
06/01/2021,01:05:06.99,131.35,-1056.64,208.50,2.07,39.57,126.59,-150.60,-63.00,-33.90,32.73,134.58,
06/01/2021,01:05:07.00,149.41,-1048.83,195.31,3.17,37.26,128.29,-149.55,-63.30,-33.90,32.82,134.58,
06/01/2021,01:05:07.00,159.67,-1060.55,192.38,0.30,35.12,128.96,-149.55,-63.30,-33.90,32.82,134.58,
06/01/2021,01:05:07.01,167.48,-1053.71,196.78,-2.44,32.44,129.02,-149.85,-63.75,-34.65,32.73,134.58,
06/01/2021,01:05:07.01,189.45,-1085.45,173.83,-3.05,27.74,131.71,-149.85,-63.75,-34.65,32.77,134.58,
06/01/2021,01:05:07.03,247.56,-1093.75,174.32,-9.21,17.44,130.12,-147.45,-63.90,-35.55,32.77,134.58,
06/01/2021,01:05:07.03,238.77,-1098.14,156.25,-11.89,17.44,129.57,-147.45,-63.90,-35.55,32.77,134.58,
06/01/2021,01:05:07.04,241.21,-1096.19,137.70,-11.95,13.17,128.96,-145.80,-61.80,-32.85,32.58,134.58,
06/01/2021,01:05:07.04,258.79,-1086.91,156.74,-15.00,9.21,130.85,-145.80,-61.80,-32.85,32.63,134.58,
