rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:03:05.11,-305.66,-948.73,-48.83,1.16,-1.16,1.71,-141.60,-65.10,-40.35,32.92,134.68,
06/01/2021,01:03:05.15,-304.20,-933.59,-43.95,-0.61,0.55,2.38,-143.40,-63.15,-38.85,32.58,134.67,
06/01/2021,01:03:05.16,-311.04,-943.36,-46.39,-0.73,-2.56,-0.06,-141.75,-62.55,-39.75,32.73,134.67,
06/01/2021,01:03:05.17,-300.29,-951.17,-51.76,-1.10,-1.52,-0.06,-141.15,-63.60,-39.30,32.82,134.67,
06/01/2021,01:03:05.17,-311.52,-941.89,-49.32,0.12,0.12,1.77,-141.15,-63.60,-39.30,32.77,134.67,
06/01/2021,01:03:05.19,-309.08,-948.73,-43.46,-0.30,-0.98,-0.37,-143.25,-63.00,-37.65,33.06,134.67,
06/01/2021,01:03:05.19,-297.85,-941.41,-43.46,0.49,-0.98,1.22,-143.25,-63.00,-37.65,32.73,134.67,
06/01/2021,01:03:05.20,-296.88,-952.64,-56.15,0.00,1.16,-0.98,-143.25,-63.00,-37.65,32.77,134.67,
06/01/2021,01:03:05.20,-311.04,-950.20,-44.92,-0.12,-3.48,-0.18,-143.25,-63.00,-37.65,32.53,134.67,
06/01/2021,01:03:05.21,-309.08,-953.12,-47.36,1.95,-2.80,2.01,-141.75,-62.55,-37.65,32.82,134.67,
06/01/2021,01:03:05.22,-308.11,-951.17,-46.88,2.13,-2.13,-0.79,-142.65,-64.65,-37.80,32.82,134.67,
06/01/2021,01:03:05.23,-294.43,-957.03,-40.04,-1.04,1.16,-0.06,-142.65,-64.65,-37.80,32.82,134.67,
06/01/2021,01:03:05.23,-310.55,-945.31,-53.71,1.28,0.55,-1.10,-142.35,-63.15,-40.65,32.73,134.67,
06/01/2021,01:03:05.23,-305.18,-946.29,-45.90,-1.71,-2.56,0.79,-142.35,-63.15,-40.65,32.92,134.67,
06/01/2021,01:03:05.24,-312.50,-953.12,-41.02,-0.61,-1.28,1.04,-141.90,-61.95,-39.60,32.73,134.67,
06/01/2021,01:03:05.25,-312.50,-944.34,-49.80,-0.37,-2.38,-0.73,-141.90,-61.95,-39.60,32.92,134.67,
06/01/2021,01:03:05.26,-311.04,-939.45,-62.50,-0.67,0.55,2.20,-143.40,-64.35,-37.35,32.92,134.67,
06/01/2021,01:03:05.26,-309.08,-939.45,-43.46,0.18,-0.55,-0.49,-143.40,-64.35,-37.35,32.97,134.67,
06/01/2021,01:03:05.27,-304.69,-960.94,-43.95,1.52,-1.89,2.07,-142.20,-61.80,-40.20,33.11,134.67,
06/01/2021,01:03:05.27,-301.27,-945.31,-48.34,-0.43,-2.80,0.30,-142.20,-61.80,-40.20,32.82,134.67,
06/01/2021,01:03:05.29,-307.13,-940.43,-48.83,0.91,0.12,-0.43,-143.55,-64.50,-38.70,32.73,134.67,
06/01/2021,01:03:05.29,-314.45,-946.29,-53.22,0.73,0.30,0.37,-143.55,-64.50,-38.70,32.73,134.67,
06/01/2021,01:03:05.30,-307.13,-954.59,-59.08,0.43,1.52,0.43,-143.55,-64.50,-38.70,32.92,134.67,
06/01/2021,01:03:05.30,-308.59,-941.41,-47.36,-0.91,0.24,1.10,-143.55,-64.50,-38.70,32.73,134.67,
06/01/2021,01:03:05.31,-304.20,-945.31,-42.48,0.79,-2.26,1.10,-143.55,-64.50,-38.70,32.63,134.67,
06/01/2021,01:03:05.31,-315.43,-952.15,-44.92,1.59,2.44,0.37,-142.80,-63.00,-38.70,32.92,134.67,
06/01/2021,01:03:05.33,-312.99,-949.71,-51.27,-0.85,-2.20,3.05,-142.80,-63.00,-38.70,33.06,134.67,
06/01/2021,01:03:05.33,-304.20,-945.31,-47.36,-0.91,-3.23,0.37,-143.10,-64.35,-38.10,32.92,134.67,
06/01/2021,01:03:05.33,-322.75,-957.03,-45.90,-0.67,-0.12,2.87,-143.10,-64.35,-38.10,32.77,134.67,
06/01/2021,01:03:05.34,-304.69,-950.20,-44.92,-1.65,0.55,0.43,-142.80,-63.00,-38.25,33.11,134.67,
06/01/2021,01:03:05.34,-307.13,-953.61,-39.55,0.91,-3.84,0.61,-142.80,-63.00,-38.25,32.73,134.68,
06/01/2021,01:03:05.36,-313.96,-960.45,-56.15,0.85,0.24,-1.04,-143.85,-61.95,-38.55,33.06,134.67,
06/01/2021,01:03:05.36,-312.01,-945.31,-54.69,-0.55,0.12,-0.06,-143.85,-61.95,-38.55,32.92,134.67,
06/01/2021,01:03:05.37,-313.48,-949.22,-42.97,-1.83,-2.56,0.43,-143.85,-61.95,-38.55,32.82,134.67,
06/01/2021,01:03:05.37,-314.45,-961.43,-45.90,0.06,-0.85,1.04,-143.85,-61.95,-38.55,32.73,134.68,
06/01/2021,01:03:05.38,-305.66,-940.92,-47.85,-0.18,-2.07,2.62,-143.85,-61.95,-38.55,32.92,134.68,
06/01/2021,01:03:05.39,-310.55,-946.78,-50.78,-0.61,1.28,-0.79,-142.35,-61.65,-39.30,32.92,134.67,
06/01/2021,01:03:05.40,-318.85,-949.71,-50.78,-0.55,-0.43,-1.10,-142.35,-61.65,-39.30,32.77,134.68,
06/01/2021,01:03:05.40,-306.64,-948.73,-50.78,1.04,0.37,3.41,-143.40,-63.15,-38.85,32.82,134.68,
06/01/2021,01:03:05.40,-305.18,-948.73,-38.09,1.04,-2.50,-1.77,-143.40,-63.15,-38.85,32.97,134.68,
06/01/2021,01:03:05.41,-304.69,-950.68,-44.92,1.83,0.79,1.83,-141.90,-62.70,-39.30,32.77,134.68,
06/01/2021,01:03:05.42,-304.20,-941.41,-46.39,-0.61,-1.71,0.30,-141.90,-62.70,-39.30,32.92,134.68,
06/01/2021,01:03:05.43,-324.22,-946.29,-52.25,-0.06,2.20,2.68,-141.75,-64.05,-38.70,32.77,134.68,
06/01/2021,01:03:05.43,-312.99,-956.54,-46.88,0.61,0.55,2.13,-141.75,-64.05,-38.70,32.92,134.68,
06/01/2021,01:03:05.44,-305.18,-952.15,-42.48,0.55,-2.07,0.49,-141.75,-64.05,-39.75,32.73,134.68,
06/01/2021,01:03:05.44,-303.22,-971.68,-46.88,0.12,-0.85,2.68,-141.75,-64.05,-39.75,32.73,134.68,
06/01/2021,01:03:05.46,-303.71,-941.41,-53.71,0.00,1.04,-0.06,-142.80,-63.75,-37.65,32.92,134.68,
06/01/2021,01:03:05.46,-304.69,-951.66,-44.92,0.37,-0.49,2.93,-142.80,-63.75,-37.65,32.77,134.68,
06/01/2021,01:03:05.47,-302.25,-947.75,-46.88,-0.49,0.00,0.79,-142.80,-63.75,-37.65,32.92,134.68,
06/01/2021,01:03:05.47,-307.62,-955.08,-47.36,-0.61,-0.55,0.12,-141.15,-61.95,-39.60,32.82,134.68,
06/01/2021,01:03:05.47,-310.06,-958.50,-54.20,-1.28,0.73,2.20,-141.15,-61.95,-39.60,32.92,134.68,
06/01/2021,01:03:05.49,-308.59,-940.43,-42.97,-0.49,1.71,-0.30,-141.45,-63.30,-39.75,32.92,134.68,
06/01/2021,01:03:05.49,-307.13,-951.17,-53.22,-0.91,0.37,-1.10,-141.45,-63.30,-39.75,32.73,134.68,
06/01/2021,01:03:05.50,-301.27,-955.57,-48.34,-1.16,-1.16,-0.73,-141.60,-63.60,-39.90,32.77,134.68,
06/01/2021,01:03:05.50,-303.22,-950.20,-57.62,0.67,-1.28,1.22,-141.60,-63.60,-39.90,32.73,134.68,
06/01/2021,01:03:05.51,-307.13,-949.71,-43.95,0.00,-0.91,0.73,-141.15,-62.70,-39.90,32.73,134.68,
06/01/2021,01:03:05.52,-305.18,-946.78,-42.97,-0.18,-0.98,-0.85,-142.50,-63.00,-38.70,32.92,134.68,
06/01/2021,01:03:05.53,-308.11,-947.27,-42.48,0.49,-2.56,-0.61,-143.25,-63.30,-39.75,32.92,134.68,
06/01/2021,01:03:05.53,-310.06,-943.85,-41.02,-1.04,-1.89,-0.85,-143.25,-63.30,-39.75,32.92,134.68,
06/01/2021,01:03:05.54,-313.96,-958.50,-45.90,-0.18,0.91,0.37,-143.25,-63.30,-39.75,32.92,134.68,
06/01/2021,01:03:05.54,-308.11,-954.59,-51.76,0.30,0.61,1.28,-143.25,-63.30,-39.75,32.63,134.68,
06/01/2021,01:03:05.55,-319.34,-951.17,-56.64,0.24,-0.79,0.06,-143.25,-63.30,-39.75,32.92,134.68,
06/01/2021,01:03:05.56,-320.80,-940.43,-41.99,-1.34,-2.07,0.37,-142.35,-62.70,-40.35,32.92,134.68,
06/01/2021,01:03:05.56,-305.66,-945.80,-44.43,0.12,-3.84,2.01,-142.35,-62.70,-40.35,32.77,134.68,
06/01/2021,01:03:05.57,-302.25,-954.59,-48.34,-0.91,-0.79,-1.59,-142.35,-63.60,-38.55,32.53,134.68,
06/01/2021,01:03:05.57,-292.97,-941.41,-43.46,-0.30,-0.98,-0.24,-142.35,-63.60,-38.55,32.73,134.68,
06/01/2021,01:03:05.58,-311.04,-951.17,-51.76,-0.37,1.16,-0.43,-141.00,-63.75,-40.20,32.92,134.68,
06/01/2021,01:03:05.59,-314.94,-953.61,-38.57,-1.04,1.28,1.83,-141.00,-63.75,-40.20,32.73,134.68,
06/01/2021,01:03:05.60,-312.01,-964.84,-41.50,-1.46,1.83,1.46,-143.10,-62.70,-38.85,32.73,134.68,
06/01/2021,01:03:05.60,-314.45,-941.41,-54.69,1.46,0.73,0.79,-143.10,-62.70,-38.85,32.73,134.68,
06/01/2021,01:03:05.61,-303.22,-947.27,-49.80,-1.10,-1.89,1.52,-141.60,-62.70,-38.85,32.73,134.68,
06/01/2021,01:03:05.61,-302.25,-946.29,-44.43,-1.77,-1.40,0.18,-141.60,-64.35,-39.90,32.73,134.68,
06/01/2021,01:03:05.63,-307.13,-945.31,-44.92,-0.18,2.20,1.28,-143.25,-63.00,-39.00,32.82,134.68,
06/01/2021,01:03:05.66,-306.64,-944.34,-40.04,0.18,-3.05,2.44,-142.80,-64.50,-39.45,32.82,134.68,
06/01/2021,01:03:05.67,-324.71,-951.66,-42.48,1.95,1.77,1.95,-142.65,-63.60,-40.35,32.77,134.68,
06/01/2021,01:03:05.68,-319.34,-947.27,-45.41,-0.43,0.67,2.13,-142.65,-63.60,-40.35,32.92,134.68,
06/01/2021,01:03:05.68,-300.29,-942.38,-45.41,-1.40,0.98,-1.04,-142.50,-63.75,-37.95,32.82,134.68,
06/01/2021,01:03:05.70,-298.83,-952.64,-48.83,-0.43,-1.16,1.65,-141.60,-61.95,-39.90,32.77,134.67,
06/01/2021,01:03:05.70,-309.57,-945.80,-42.97,0.24,0.61,-2.80,-144.00,-63.30,-39.75,32.97,134.68,
06/01/2021,01:03:05.71,-307.13,-945.80,-45.41,0.43,-0.43,2.26,-144.00,-63.30,-39.75,32.63,134.68,
06/01/2021,01:03:05.71,-309.57,-955.08,-37.11,1.95,2.93,2.26,-144.00,-63.30,-39.75,32.73,134.68,
06/01/2021,01:03:05.71,-305.18,-950.68,-40.53,-1.52,0.12,-0.43,-144.00,-63.30,-39.75,32.82,134.68,
06/01/2021,01:03:05.74,-314.94,-939.45,-49.80,-0.12,0.91,0.79,-143.85,-63.60,-38.55,32.97,134.67,
06/01/2021,01:03:05.75,-308.11,-960.45,-50.78,-0.79,-1.59,-0.55,-143.25,-64.05,-37.20,32.77,134.67,
06/01/2021,01:03:05.75,-308.11,-947.27,-39.55,1.52,-0.91,0.18,-143.25,-64.05,-37.20,32.82,134.67,
06/01/2021,01:03:05.76,-299.80,-958.50,-44.92,-0.18,-1.40,1.59,-143.25,-64.05,-37.20,32.73,134.67,
06/01/2021,01:03:05.76,-313.96,-933.59,-46.88,2.07,0.55,1.34,-143.25,-64.05,-37.20,32.92,134.68,
06/01/2021,01:03:05.78,-305.18,-951.17,-43.95,-1.52,0.98,0.61,-141.15,-63.90,-39.30,32.73,134.67,
06/01/2021,01:03:05.78,-310.06,-948.24,-46.39,-0.61,0.73,0.37,-141.15,-63.90,-39.30,33.11,134.67,
06/01/2021,01:03:05.79,-315.43,-956.05,-51.76,0.06,0.12,-1.04,-141.15,-63.90,-39.30,32.58,134.68,
06/01/2021,01:03:05.79,-301.27,-942.38,-40.53,-0.91,-0.91,-3.05,-142.35,-63.15,-38.85,32.92,134.68,
06/01/2021,01:03:05.79,-313.48,-945.80,-49.80,-1.46,-2.87,-0.85,-142.35,-63.15,-38.85,32.92,134.68,
06/01/2021,01:03:05.80,-310.55,-942.38,-34.18,0.24,-0.12,-0.85,-141.90,-61.95,-39.90,32.92,134.68,
06/01/2021,01:03:05.81,-311.52,-958.98,-49.32,0.79,3.90,-0.55,-142.35,-63.90,-38.85,32.73,134.68,
06/01/2021,01:03:05.82,-316.41,-959.47,-37.60,-0.79,-0.67,-0.49,-142.65,-61.95,-38.85,32.58,134.68,
06/01/2021,01:03:05.82,-312.99,-947.27,-54.69,0.18,-0.67,2.93,-142.65,-61.95,-38.85,32.82,134.68,
06/01/2021,01:03:05.83,-311.52,-962.89,-47.36,0.85,0.85,0.91,-142.65,-61.95,-38.85,32.73,134.68,
06/01/2021,01:03:05.83,-305.66,-954.59,-49.32,1.65,1.16,0.43,-142.65,-61.95,-38.85,32.97,134.68,
06/01/2021,01:03:05.85,-297.85,-947.75,-33.69,1.04,-1.46,1.83,-142.65,-62.40,-39.30,32.97,134.68,
06/01/2021,01:03:05.85,-290.53,-944.82,-53.22,-0.55,-0.24,-0.61,-143.40,-63.90,-38.85,32.73,134.68,
06/01/2021,01:03:05.86,-310.06,-949.22,-40.53,0.37,0.30,0.98,-143.40,-63.90,-38.85,32.73,134.68,
06/01/2021,01:03:05.86,-309.57,-958.98,-49.32,1.28,0.30,-0.06,-141.45,-61.35,-39.45,32.63,134.68,
06/01/2021,01:03:05.87,-306.64,-951.17,-50.29,-0.79,-0.18,3.17,-141.45,-61.35,-39.45,32.73,134.68,
06/01/2021,01:03:05.88,-299.80,-947.75,-47.36,-0.06,-2.13,1.89,-141.00,-60.60,-38.70,32.92,134.68,
06/01/2021,01:03:05.88,-307.62,-953.61,-51.27,1.16,1.28,-0.06,-141.00,-60.60,-38.70,32.82,134.68,
06/01/2021,01:03:05.89,-308.11,-960.45,-50.78,0.85,1.59,-0.67,-142.65,-63.60,-39.30,32.92,134.68,
06/01/2021,01:03:05.89,-306.64,-954.59,-41.99,0.43,0.98,2.01,-142.65,-63.60,-39.30,32.58,134.68,
06/01/2021,01:03:05.90,-301.27,-947.27,-45.90,0.61,0.06,1.77,-142.65,-63.60,-39.60,33.06,134.68,
06/01/2021,01:03:05.91,-303.22,-954.10,-54.20,1.46,0.91,2.38,-143.40,-63.60,-38.10,33.06,134.68,
06/01/2021,01:03:05.92,-302.73,-949.22,-44.92,0.61,0.30,3.90,-143.40,-63.60,-38.10,32.92,134.68,
06/01/2021,01:03:05.92,-303.22,-961.43,-58.11,0.30,-0.61,0.30,-144.15,-61.65,-39.90,32.97,134.68,
06/01/2021,01:03:05.93,-294.43,-953.12,-53.22,0.12,-0.79,-1.46,-144.15,-61.65,-39.90,33.06,134.68,
06/01/2021,01:03:05.93,-305.18,-958.98,-61.04,-1.04,0.00,0.30,-144.15,-61.65,-39.90,33.06,134.68,
06/01/2021,01:03:05.95,-323.73,-951.66,-50.29,1.52,0.49,-2.74,-142.65,-63.15,-38.85,32.92,134.68,
06/01/2021,01:03:05.95,-305.18,-942.87,-38.57,-0.12,-0.30,-0.18,-142.65,-63.15,-38.85,32.82,134.68,
06/01/2021,01:03:05.96,-307.13,-954.10,-53.22,-2.07,-0.73,0.12,-142.65,-63.15,-38.85,32.73,134.68,
06/01/2021,01:03:05.96,-306.64,-954.59,-42.97,-0.91,-1.34,0.06,-141.60,-63.90,-38.10,32.58,134.68,
06/01/2021,01:03:05.96,-312.01,-951.17,-35.64,-0.24,1.46,2.20,-141.60,-63.90,-38.10,32.92,134.68,
06/01/2021,01:03:05.98,-311.52,-949.71,-46.88,-0.30,-2.93,-0.24,-141.15,-63.90,-38.85,32.77,134.68,
06/01/2021,01:03:05.98,-301.27,-944.34,-52.25,-1.04,-1.04,2.13,-141.15,-63.90,-38.85,32.63,134.68,
06/01/2021,01:03:05.99,-308.59,-963.87,-41.50,-0.98,-3.48,0.85,-141.15,-63.90,-38.85,32.73,134.68,
06/01/2021,01:03:05.99,-311.04,-945.80,-31.74,0.55,0.43,-1.71,-144.30,-62.55,-39.00,32.82,134.68,
06/01/2021,01:03:06.00,-312.01,-945.31,-42.97,-0.91,-2.93,1.52,-144.30,-62.55,-39.00,32.82,134.68,
06/01/2021,01:03:06.01,-310.06,-951.66,-43.46,0.06,0.37,-0.67,-142.80,-64.50,-37.20,32.82,134.68,
06/01/2021,01:03:06.02,-312.50,-947.27,-47.85,0.24,-0.79,-0.12,-142.80,-64.50,-37.20,32.92,134.68,
06/01/2021,01:03:06.02,-298.34,-941.41,-45.41,1.40,-1.52,0.49,-141.75,-62.55,-38.70,32.92,134.68,
06/01/2021,01:03:06.03,-307.62,-952.15,-47.36,0.43,-1.10,5.00,-141.75,-62.55,-38.70,32.97,134.68,
06/01/2021,01:03:06.03,-304.20,-943.36,-51.27,0.98,-0.79,-0.24,-143.40,-63.60,-38.55,32.73,134.68,
06/01/2021,01:03:06.03,-306.64,-967.29,-50.78,-0.85,-1.04,2.26,-143.40,-63.60,-38.55,32.82,134.68,
