rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:04:05.92,-196.29,-990.23,21.97,0.85,-0.30,0.67,-149.10,-62.25,-36.45,32.92,134.68,
06/01/2021,01:04:05.96,-195.80,-984.86,18.07,-0.24,-2.32,-0.06,-147.45,-62.40,-36.00,32.82,134.67,
06/01/2021,01:04:05.97,-199.22,-969.73,24.90,-1.16,-1.89,4.45,-146.25,-62.25,-36.45,33.06,134.67,
06/01/2021,01:04:05.97,-196.78,-989.26,25.39,1.22,-1.34,0.43,-146.25,-62.25,-36.45,32.73,134.67,
06/01/2021,01:04:05.98,-200.20,-983.40,22.46,0.98,-0.49,-1.28,-146.25,-62.25,-36.45,32.82,134.67,
06/01/2021,01:04:05.99,-203.61,-997.07,19.04,-0.49,-1.10,1.40,-148.35,-65.25,-37.20,33.16,134.67,
06/01/2021,01:04:06.00,-193.36,-968.26,32.71,-2.13,0.67,0.43,-148.35,-65.25,-37.20,32.63,134.67,
06/01/2021,01:04:06.00,-191.89,-984.86,24.41,-2.50,-3.66,0.43,-148.20,-62.70,-36.60,32.97,134.67,
06/01/2021,01:04:06.01,-198.24,-990.23,18.07,1.40,-2.44,0.43,-148.20,-62.70,-36.60,33.06,134.67,
06/01/2021,01:04:06.01,-197.75,-981.93,19.04,0.43,-0.37,3.05,-147.15,-63.15,-37.05,32.58,134.67,
06/01/2021,01:04:06.03,-198.73,-975.10,26.86,-1.10,0.55,0.91,-147.15,-63.15,-37.05,32.63,134.67,
06/01/2021,01:04:06.03,-193.36,-983.89,23.93,0.91,-4.27,2.01,-147.90,-63.15,-37.05,32.44,134.67,
06/01/2021,01:04:06.04,-192.38,-977.54,21.97,-2.26,-0.43,2.56,-147.90,-63.15,-36.00,32.97,134.67,
06/01/2021,01:04:06.04,-199.22,-982.42,19.04,0.85,-0.79,-0.91,-147.90,-63.15,-36.00,32.77,134.67,
06/01/2021,01:04:06.05,-180.66,-982.91,11.72,0.24,-0.49,0.85,-146.70,-62.70,-37.05,32.63,134.67,
06/01/2021,01:04:06.06,-197.27,-984.38,31.25,1.46,1.04,-0.67,-148.80,-62.55,-37.20,32.82,134.67,
06/01/2021,01:04:06.06,-197.75,-973.63,20.02,-3.11,0.73,1.83,-148.35,-63.75,-35.40,32.77,134.67,
06/01/2021,01:04:06.07,-201.66,-989.26,24.41,0.24,-3.05,-1.10,-148.35,-63.75,-35.40,32.97,134.67,
06/01/2021,01:04:06.07,-204.59,-976.56,31.74,-0.37,-2.80,-0.18,-148.35,-63.00,-37.65,32.92,134.67,
06/01/2021,01:04:06.08,-196.78,-987.79,22.46,-0.73,1.46,2.80,-148.35,-63.00,-37.65,32.73,134.67,
06/01/2021,01:04:06.08,-198.24,-991.21,24.41,0.85,-2.56,0.06,-148.65,-62.70,-36.30,32.58,134.67,
06/01/2021,01:04:06.10,-203.12,-981.45,22.46,-1.04,-1.34,1.04,-148.65,-62.70,-36.30,32.73,134.67,
06/01/2021,01:04:06.10,-186.04,-988.28,20.02,0.79,-1.10,1.95,-147.30,-62.25,-37.95,33.11,134.67,
06/01/2021,01:04:06.11,-192.38,-972.66,20.51,-0.06,-3.35,-1.16,-147.30,-62.25,-37.95,32.73,134.67,
06/01/2021,01:04:06.11,-196.29,-984.38,26.37,0.06,-1.10,1.83,-147.30,-62.25,-37.95,32.73,134.67,
06/01/2021,01:04:06.12,-189.45,-985.35,21.00,0.55,-0.43,1.04,-147.45,-62.40,-38.10,32.73,134.67,
06/01/2021,01:04:06.13,-199.71,-981.45,16.60,1.04,-0.61,1.16,-147.15,-63.90,-37.35,32.82,134.67,
06/01/2021,01:04:06.14,-188.48,-979.98,21.97,-0.18,-0.98,-0.73,-147.90,-64.65,-36.00,32.92,134.67,
06/01/2021,01:04:06.14,-202.64,-976.56,17.09,0.73,-1.40,0.91,-147.90,-64.65,-36.00,32.73,134.67,
06/01/2021,01:04:06.14,-199.22,-975.59,28.81,0.85,0.61,0.55,-147.90,-64.65,-36.00,32.73,134.68,
06/01/2021,01:04:06.15,-196.29,-979.98,13.18,0.43,-1.16,1.52,-147.90,-64.65,-36.00,32.92,134.68,
06/01/2021,01:04:06.16,-193.85,-972.17,17.58,0.30,-1.95,0.12,-147.75,-63.00,-37.20,32.82,134.67,
06/01/2021,01:04:06.17,-180.18,-987.30,22.46,-0.37,-2.80,1.16,-147.75,-63.00,-37.20,32.92,134.67,
06/01/2021,01:04:06.17,-188.48,-982.91,23.44,0.12,-2.56,1.89,-147.75,-64.05,-36.90,32.97,134.68,
06/01/2021,01:04:06.18,-197.75,-979.49,18.07,0.98,0.18,0.18,-147.75,-64.05,-36.90,32.63,134.68,
06/01/2021,01:04:06.18,-182.13,-984.38,17.58,2.26,1.46,2.68,-147.00,-64.05,-36.90,32.82,134.68,
06/01/2021,01:04:06.20,-200.20,-989.75,21.48,1.28,-1.16,-0.49,-147.00,-62.55,-37.20,32.77,134.68,
06/01/2021,01:04:06.20,-206.05,-983.89,20.51,0.85,-3.41,1.77,-147.00,-62.55,-37.20,32.73,134.68,
06/01/2021,01:04:06.21,-211.43,-977.05,14.16,-0.79,-2.01,0.73,-148.35,-64.05,-37.65,32.92,134.68,
06/01/2021,01:04:06.21,-193.36,-973.63,26.37,-1.28,-1.28,0.18,-148.35,-64.05,-37.65,32.92,134.68,
06/01/2021,01:04:06.22,-196.29,-970.70,27.83,-0.73,-1.95,2.13,-147.90,-63.15,-36.00,32.73,134.68,
06/01/2021,01:04:06.23,-194.34,-989.75,19.04,-2.93,-0.37,0.73,-147.75,-63.00,-36.90,32.97,134.68,
06/01/2021,01:04:06.23,-195.80,-977.05,26.37,-0.85,-0.12,0.67,-149.10,-64.95,-36.15,32.97,134.68,
06/01/2021,01:04:06.24,-193.85,-971.19,25.39,0.12,0.98,1.04,-149.10,-64.95,-36.15,32.82,134.68,
06/01/2021,01:04:06.24,-195.31,-978.52,26.37,2.32,2.50,3.78,-149.10,-64.95,-36.15,32.82,134.68,
06/01/2021,01:04:06.25,-201.17,-979.49,21.48,0.61,-2.74,1.65,-149.10,-64.95,-36.15,32.73,134.68,
06/01/2021,01:04:06.25,-192.38,-982.91,17.09,-1.89,-3.84,-1.89,-148.05,-61.80,-38.70,32.92,134.68,
06/01/2021,01:04:06.29,-192.87,-984.38,23.44,1.95,0.24,0.61,-148.65,-65.10,-36.00,32.97,134.67,
06/01/2021,01:04:06.29,-187.99,-985.84,24.41,0.18,0.30,0.55,-149.85,-64.95,-36.15,32.63,134.67,
06/01/2021,01:04:06.30,-197.75,-986.82,25.88,1.28,-3.41,-0.61,-149.85,-64.95,-36.15,32.97,134.67,
06/01/2021,01:04:06.30,-200.68,-985.35,41.50,-1.22,0.06,-0.98,-147.30,-63.30,-37.20,32.82,134.67,
06/01/2021,01:04:06.31,-195.31,-977.54,21.00,2.50,1.16,1.83,-147.30,-63.30,-37.20,32.73,134.68,
06/01/2021,01:04:06.32,-198.73,-994.14,28.32,1.52,-1.71,-1.95,-148.80,-63.00,-36.15,32.77,134.67,
06/01/2021,01:04:06.33,-194.82,-977.05,24.90,0.24,-2.38,-0.55,-148.80,-63.00,-36.15,32.73,134.67,
06/01/2021,01:04:06.33,-198.73,-983.89,26.86,0.06,-0.06,-0.98,-148.80,-63.00,-36.15,32.97,134.67,
06/01/2021,01:04:06.34,-200.20,-988.77,18.07,-1.65,-1.46,-0.79,-148.35,-63.00,-37.95,33.11,134.68,
06/01/2021,01:04:06.34,-185.06,-985.35,19.04,-0.06,-1.10,0.43,-148.35,-63.00,-37.95,32.73,134.68,
06/01/2021,01:04:06.36,-198.73,-985.35,25.39,2.62,-1.22,-2.38,-149.10,-64.05,-36.45,32.77,134.67,
06/01/2021,01:04:06.36,-196.29,-980.47,22.46,-0.67,0.85,1.22,-149.10,-64.05,-36.45,32.73,134.68,
06/01/2021,01:04:06.37,-202.15,-982.42,23.93,-0.12,0.18,1.77,-149.10,-64.05,-36.45,33.06,134.68,
06/01/2021,01:04:06.37,-206.05,-981.45,15.62,-0.43,1.04,-0.67,-149.10,-64.05,-36.45,33.11,134.68,
06/01/2021,01:04:06.37,-188.96,-978.52,16.60,-0.55,1.16,0.67,-148.05,-63.00,-36.45,32.63,134.68,
06/01/2021,01:04:06.39,-200.68,-987.79,25.88,0.91,-1.28,0.49,-148.20,-62.70,-38.10,32.58,134.68,
06/01/2021,01:04:06.39,-206.05,-981.93,14.16,0.79,-0.85,-0.18,-148.35,-63.00,-36.45,32.58,134.68,
06/01/2021,01:04:06.40,-193.85,-982.42,10.25,1.46,-1.16,1.59,-148.35,-63.00,-36.45,32.82,134.68,
06/01/2021,01:04:06.40,-199.22,-985.35,20.02,1.22,0.24,1.10,-148.35,-63.00,-36.45,32.82,134.68,
06/01/2021,01:04:06.41,-190.43,-975.10,16.11,3.23,-1.10,0.61,-147.90,-62.40,-37.05,32.58,134.68,
06/01/2021,01:04:06.42,-201.66,-976.56,9.77,0.55,-0.61,1.89,-147.90,-62.40,-37.05,33.06,134.68,
06/01/2021,01:04:06.43,-201.17,-973.14,30.76,-1.95,0.12,0.79,-149.40,-64.35,-35.55,32.92,134.68,
06/01/2021,01:04:06.43,-199.71,-986.33,16.11,0.85,1.34,0.24,-149.40,-64.35,-35.55,32.58,134.68,
06/01/2021,01:04:06.47,-194.34,-978.03,18.55,-0.24,-2.44,0.61,-149.40,-65.10,-35.25,32.58,134.67,
06/01/2021,01:04:06.48,-196.78,-988.28,22.95,-1.65,-1.77,0.79,-148.80,-62.55,-35.40,33.06,134.67,
06/01/2021,01:04:06.48,-193.36,-980.96,21.48,1.10,-4.45,2.32,-148.80,-62.55,-35.40,32.77,134.67,
06/01/2021,01:04:06.50,-195.80,-969.73,21.97,-0.18,-1.52,1.95,-147.15,-61.20,-35.25,32.92,134.67,
06/01/2021,01:04:06.50,-193.36,-979.49,20.02,-0.98,-2.32,0.24,-147.15,-61.20,-35.25,32.77,134.67,
06/01/2021,01:04:06.51,-200.68,-984.38,17.09,0.61,-0.30,2.74,-147.45,-63.60,-37.05,32.58,134.67,
06/01/2021,01:04:06.51,-194.82,-976.07,26.86,-0.91,-0.73,0.55,-147.45,-63.60,-37.05,32.82,134.67,
06/01/2021,01:04:06.52,-179.20,-987.30,23.44,-3.17,-1.77,1.83,-147.15,-64.35,-37.35,32.82,134.67,
