rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:07:08.56,144.04,-964.36,265.14,-0.30,-1.77,-2.38,-167.85,-74.70,-78.00,32.77,134.44,
06/01/2021,01:07:08.60,131.84,-972.17,257.81,0.12,0.61,-0.30,-166.20,-74.25,-79.20,32.92,134.43,
06/01/2021,01:07:08.61,142.09,-970.70,260.74,-0.37,-1.46,-0.49,-165.15,-74.55,-79.65,32.77,134.43,
06/01/2021,01:07:08.62,144.53,-970.21,253.91,-0.79,-0.12,2.26,-165.15,-74.55,-79.65,32.73,134.43,
06/01/2021,01:07:08.62,130.86,-972.66,240.23,-1.71,-0.98,-1.22,-165.15,-74.55,-79.65,32.92,134.43,
06/01/2021,01:07:08.64,133.79,-962.89,258.30,0.79,-2.74,-2.26,-165.60,-75.60,-79.80,32.63,134.43,
06/01/2021,01:07:08.64,132.32,-970.70,250.00,-0.18,-0.67,2.20,-165.60,-75.60,-79.80,32.77,134.43,
06/01/2021,01:07:08.64,137.70,-948.73,264.16,0.30,-1.40,1.04,-166.80,-73.95,-79.05,32.97,134.43,
06/01/2021,01:07:08.65,136.72,-974.12,250.98,1.89,0.85,0.37,-166.80,-73.95,-79.05,32.73,134.43,
06/01/2021,01:07:08.65,136.72,-949.22,260.74,-1.65,0.30,0.98,-166.80,-73.65,-80.55,32.73,134.43,
06/01/2021,01:07:08.67,131.35,-970.21,263.67,-0.30,-1.65,-0.55,-167.55,-72.75,-78.00,32.92,134.43,
06/01/2021,01:07:08.67,137.21,-971.19,265.14,1.28,-0.61,1.28,-167.55,-72.75,-78.00,32.73,134.43,
06/01/2021,01:07:08.68,144.53,-962.89,240.72,-0.85,1.04,1.77,-167.55,-72.75,-78.00,32.73,134.43,
06/01/2021,01:07:08.68,137.70,-971.68,258.30,0.24,-0.73,2.93,-165.90,-74.55,-79.65,32.82,134.44,
06/01/2021,01:07:08.69,136.23,-956.54,255.37,1.16,1.83,-0.61,-165.90,-74.55,-79.65,32.58,134.44,
06/01/2021,01:07:08.70,131.84,-964.36,259.77,0.12,-1.77,2.62,-165.90,-74.55,-79.65,32.77,134.43,
06/01/2021,01:07:08.71,136.23,-964.84,243.65,-1.65,-2.44,2.44,-166.80,-75.90,-79.50,32.82,134.43,
06/01/2021,01:07:08.71,126.46,-963.87,271.00,-1.46,0.61,2.44,-166.80,-75.90,-79.50,32.73,134.44,
06/01/2021,01:07:08.72,131.84,-972.66,253.91,0.85,0.67,-0.49,-165.30,-73.65,-79.05,32.77,134.44,
06/01/2021,01:07:08.72,126.95,-964.84,255.86,-0.06,-0.49,0.55,-165.30,-73.65,-79.05,32.73,134.44,
06/01/2021,01:07:08.72,126.46,-970.70,253.91,1.34,-0.49,0.12,-165.60,-73.95,-80.25,32.73,134.44,
06/01/2021,01:07:08.74,119.63,-962.89,248.54,-0.73,-1.59,0.85,-166.95,-75.30,-79.65,32.82,134.44,
06/01/2021,01:07:08.74,129.88,-959.47,258.79,-0.67,-0.91,0.30,-166.95,-75.30,-79.65,32.92,134.44,
06/01/2021,01:07:08.75,136.23,-975.10,252.44,-0.67,-0.24,2.44,-166.95,-75.30,-79.65,32.73,134.44,
06/01/2021,01:07:08.75,132.81,-966.31,264.65,-1.59,-1.22,3.05,-165.60,-74.40,-79.50,32.58,134.44,
06/01/2021,01:07:08.76,133.30,-966.80,258.30,0.61,-2.56,-1.10,-165.60,-74.40,-79.50,32.73,134.44,
06/01/2021,01:07:08.77,142.58,-976.07,251.95,0.73,0.18,-1.77,-166.05,-73.20,-79.50,32.73,134.44,
06/01/2021,01:07:08.78,135.74,-954.10,254.39,-1.04,0.49,2.68,-165.30,-73.95,-78.75,32.73,134.44,
06/01/2021,01:07:08.78,127.44,-969.73,252.93,1.40,-2.13,0.00,-165.30,-73.95,-78.75,32.77,134.44,
06/01/2021,01:07:08.79,126.95,-963.87,271.97,-0.24,-1.22,-0.49,-165.90,-73.35,-78.15,32.58,134.44,
06/01/2021,01:07:08.79,129.39,-967.77,258.30,-0.30,0.30,2.32,-165.90,-73.35,-78.15,32.73,134.44,
06/01/2021,01:07:08.81,132.81,-958.01,265.14,0.73,1.22,0.73,-166.20,-73.35,-79.65,32.92,134.44,
06/01/2021,01:07:08.81,129.88,-967.29,252.44,0.55,-1.83,-0.30,-166.20,-73.35,-79.65,32.77,134.44,
06/01/2021,01:07:08.81,130.86,-972.66,264.16,1.34,-1.65,5.18,-166.05,-73.95,-79.05,32.92,134.44,
06/01/2021,01:07:08.82,126.46,-973.63,257.81,-0.18,-0.43,-1.22,-166.05,-73.95,-79.05,32.58,134.44,
06/01/2021,01:07:08.82,138.18,-953.61,258.79,0.24,-0.67,4.94,-166.20,-73.80,-79.95,32.73,134.44,
06/01/2021,01:07:08.84,134.77,-971.19,247.07,0.91,-2.01,-0.18,-166.05,-74.70,-77.55,32.77,134.44,
06/01/2021,01:07:08.84,147.46,-956.54,265.14,-0.06,-1.52,-1.59,-166.05,-74.70,-77.55,32.92,134.44,
06/01/2021,01:07:08.85,132.32,-968.75,253.91,-0.12,0.12,-0.06,-166.05,-74.70,-77.55,32.63,134.44,
06/01/2021,01:07:08.85,128.91,-958.98,260.74,-0.24,0.00,2.01,-166.05,-74.70,-77.55,32.73,134.44,
06/01/2021,01:07:08.86,130.37,-967.29,244.14,1.65,-0.67,0.79,-164.85,-73.95,-80.55,32.77,134.44,
06/01/2021,01:07:08.87,135.74,-976.56,266.60,1.71,2.07,-1.04,-164.70,-75.75,-79.20,32.77,134.44,
06/01/2021,01:07:08.88,134.28,-977.05,254.39,-0.49,0.30,-0.85,-166.95,-74.25,-78.90,32.73,134.44,
06/01/2021,01:07:08.88,125.49,-967.77,266.60,-2.93,-0.79,1.83,-166.95,-74.25,-78.90,32.73,134.44,
06/01/2021,01:07:08.88,118.16,-964.36,258.79,1.52,-0.30,-1.65,-166.80,-73.95,-79.80,32.82,134.44,
06/01/2021,01:07:08.89,134.28,-963.38,252.93,-0.73,-2.20,2.20,-166.80,-73.95,-79.80,32.92,134.44,
06/01/2021,01:07:08.89,137.21,-971.68,254.39,1.04,-2.01,-0.55,-166.95,-74.55,-78.90,32.92,134.44,
06/01/2021,01:07:08.91,132.81,-957.52,252.44,-1.59,-2.80,0.00,-166.05,-73.95,-79.05,32.63,134.44,
06/01/2021,01:07:08.91,132.32,-966.80,264.65,-0.61,-0.67,-0.24,-166.05,-73.95,-79.05,32.82,134.44,
06/01/2021,01:07:08.92,131.35,-970.70,265.14,1.16,-0.24,-3.23,-166.05,-73.95,-79.05,32.63,134.44,
06/01/2021,01:07:08.92,141.11,-967.77,257.32,-0.98,1.34,-0.85,-166.05,-73.95,-79.05,32.73,134.44,
06/01/2021,01:07:08.93,136.72,-962.40,258.79,1.40,1.46,-0.43,-165.60,-73.65,-79.50,32.63,134.44,
06/01/2021,01:07:08.94,127.44,-965.33,250.98,-0.37,-0.98,0.79,-163.95,-75.00,-79.65,32.92,134.44,
06/01/2021,01:07:08.95,130.86,-966.31,254.39,-0.43,-3.17,2.26,-164.70,-74.55,-78.90,32.77,134.44,
06/01/2021,01:07:08.95,125.98,-959.47,258.79,-0.61,-1.52,-0.43,-164.70,-74.55,-78.90,32.77,134.44,
06/01/2021,01:07:08.96,127.44,-969.24,255.86,-0.18,-1.77,1.34,-166.35,-73.20,-79.50,32.97,134.44,
06/01/2021,01:07:08.96,131.35,-978.03,250.49,0.06,-0.06,1.65,-166.35,-73.20,-79.50,32.58,134.44,
06/01/2021,01:07:08.98,130.86,-958.01,253.91,1.04,-1.95,1.34,-166.20,-75.30,-79.20,32.77,134.44,
06/01/2021,01:07:08.98,128.91,-969.73,259.77,-2.07,1.59,-1.28,-166.20,-75.30,-79.20,32.82,134.44,
06/01/2021,01:07:08.98,142.09,-952.64,255.37,-0.24,-1.59,2.32,-167.25,-74.55,-78.90,32.82,134.44,
06/01/2021,01:07:08.99,131.35,-975.10,246.09,0.43,1.77,-0.55,-167.25,-74.55,-78.90,32.73,134.44,
06/01/2021,01:07:08.99,136.72,-973.14,266.11,0.12,1.10,0.61,-167.25,-74.55,-78.90,32.58,134.44,
06/01/2021,01:07:09.01,140.14,-968.75,255.37,0.98,-2.99,1.40,-167.10,-74.70,-78.00,32.58,134.44,
06/01/2021,01:07:09.01,132.32,-969.73,269.04,-0.43,0.24,-0.24,-167.10,-74.70,-78.00,32.58,134.44,
06/01/2021,01:07:09.02,128.42,-960.94,254.39,-1.59,-2.20,-0.12,-167.10,-74.70,-78.00,32.63,134.44,
06/01/2021,01:07:09.02,128.42,-978.03,258.30,-0.73,-0.61,1.10,-167.10,-74.70,-78.00,32.73,134.44,
06/01/2021,01:07:09.03,127.93,-969.24,267.09,0.98,-0.43,0.12,-165.60,-74.70,-79.05,32.97,134.44,
06/01/2021,01:07:09.04,143.07,-973.14,257.32,-0.61,0.91,0.12,-166.05,-73.65,-79.05,32.63,134.44,
06/01/2021,01:07:09.05,134.28,-979.00,259.28,-0.30,-2.13,-1.16,-166.50,-74.25,-78.90,32.63,134.44,
06/01/2021,01:07:09.05,147.46,-967.29,259.28,-2.20,-1.10,-2.62,-166.50,-74.25,-78.90,32.77,134.44,
06/01/2021,01:07:09.05,135.74,-977.05,270.51,0.37,0.18,1.40,-166.05,-72.75,-80.55,32.73,134.44,
06/01/2021,01:07:09.06,130.37,-966.80,262.70,1.59,0.85,-0.06,-166.05,-72.75,-80.55,32.92,134.44,
06/01/2021,01:07:09.07,136.72,-971.19,253.91,2.20,-1.40,-2.62,-166.35,-74.70,-78.75,32.63,134.44,
06/01/2021,01:07:09.11,124.02,-978.52,263.67,-1.04,0.37,-1.83,-166.35,-74.40,-78.00,32.73,134.44,
06/01/2021,01:07:09.12,131.35,-977.54,253.91,0.79,-0.06,-1.22,-164.55,-75.15,-78.75,32.58,134.44,
06/01/2021,01:07:09.12,135.74,-969.73,260.74,0.24,-1.46,-1.59,-166.80,-74.70,-79.50,32.58,134.44,
06/01/2021,01:07:09.13,138.67,-947.27,260.74,-0.98,-2.87,3.23,-166.80,-74.70,-79.50,32.77,134.44,
06/01/2021,01:07:09.13,128.91,-974.61,248.05,-1.89,2.13,2.20,-166.80,-74.70,-79.50,32.97,134.44,
06/01/2021,01:07:09.15,139.16,-966.80,250.98,0.79,0.61,1.52,-166.20,-75.00,-77.10,32.77,134.44,
06/01/2021,01:07:09.15,142.09,-966.80,267.09,1.40,-1.34,-0.06,-165.30,-73.95,-80.85,32.73,134.44,
06/01/2021,01:07:09.16,140.62,-970.70,243.16,1.04,-0.12,2.13,-165.30,-73.95,-80.85,32.63,134.44,
06/01/2021,01:07:09.16,133.30,-959.96,261.72,-1.10,-2.56,2.62,-165.30,-73.95,-80.85,32.63,134.44,
06/01/2021,01:07:09.17,133.79,-976.56,263.18,-2.93,-0.43,0.67,-165.30,-74.40,-79.50,32.58,134.44,
06/01/2021,01:07:09.20,125.98,-965.82,255.86,0.00,-0.18,-0.61,-166.80,-73.20,-79.05,32.77,134.44,
06/01/2021,01:07:09.20,134.77,-973.63,265.62,-0.91,-2.87,2.13,-166.80,-73.20,-79.05,32.97,134.44,
06/01/2021,01:07:09.21,138.18,-968.75,252.44,2.26,2.68,0.06,-166.95,-73.35,-79.95,32.82,134.44,
06/01/2021,01:07:09.21,138.18,-964.36,252.93,-1.22,-1.65,1.16,-166.95,-73.35,-79.95,32.58,134.44,
06/01/2021,01:07:09.22,140.14,-967.77,250.98,0.00,-1.34,2.26,-165.30,-74.40,-79.50,32.73,134.44,
06/01/2021,01:07:09.23,134.77,-964.84,270.02,0.49,-1.89,1.34,-164.85,-74.70,-80.25,32.97,134.44,
06/01/2021,01:07:09.23,134.28,-972.17,264.16,1.40,-0.30,0.85,-164.85,-74.70,-80.25,32.82,134.44,
06/01/2021,01:07:09.24,131.84,-966.80,253.91,-0.61,0.18,-0.79,-164.85,-74.70,-80.25,32.63,134.44,
06/01/2021,01:07:09.24,133.30,-954.10,257.81,-0.85,1.04,0.85,-165.30,-73.95,-80.55,32.92,134.44,
06/01/2021,01:07:09.25,143.07,-967.77,252.44,-0.24,0.55,2.50,-165.30,-73.95,-80.55,32.82,134.44,
06/01/2021,01:07:09.26,131.35,-953.61,263.18,0.73,-2.68,1.16,-165.30,-73.95,-80.55,32.82,134.44,
06/01/2021,01:07:09.27,127.44,-973.63,253.42,0.43,-0.06,1.28,-165.15,-73.80,-79.20,32.92,134.44,
06/01/2021,01:07:09.27,126.95,-964.84,265.62,1.46,-3.84,-0.37,-165.15,-73.80,-79.20,32.58,134.44,
