rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:06:07.66,134.28,-966.80,257.32,0.85,-1.40,0.18,-167.25,-73.80,-79.65,32.63,134.55,
06/01/2021,01:06:07.71,131.84,-963.38,269.53,-1.40,0.00,-1.77,-166.80,-72.75,-78.30,32.92,134.54,
06/01/2021,01:06:07.72,129.39,-972.17,269.53,1.52,0.18,0.18,-165.90,-75.00,-79.65,32.73,134.54,
06/01/2021,01:06:07.72,137.70,-970.21,258.79,-1.34,-3.54,0.37,-166.20,-75.75,-77.85,32.53,134.54,
06/01/2021,01:06:07.73,137.70,-963.38,264.16,1.52,-0.67,0.06,-166.20,-75.75,-77.85,32.63,134.54,
06/01/2021,01:06:07.74,128.42,-964.36,256.84,-0.24,0.30,0.67,-164.85,-75.90,-78.00,32.73,134.54,
06/01/2021,01:06:07.75,133.79,-969.73,251.95,1.34,0.49,1.22,-164.85,-75.90,-78.00,32.82,134.54,
06/01/2021,01:06:07.75,132.81,-966.80,268.07,-0.06,-2.93,3.54,-164.85,-75.90,-78.00,32.92,134.54,
06/01/2021,01:06:07.76,138.67,-976.07,264.65,0.49,-0.79,-0.18,-164.85,-75.90,-78.00,32.77,134.54,
06/01/2021,01:06:07.76,126.46,-977.54,259.28,-1.28,-1.10,-1.04,-166.50,-75.90,-78.00,32.73,134.54,
06/01/2021,01:06:07.78,137.21,-964.36,271.00,-0.55,-0.18,0.12,-166.50,-74.25,-79.65,32.92,134.54,
06/01/2021,01:06:07.78,127.93,-970.21,255.37,0.30,0.61,0.00,-166.50,-74.25,-79.65,32.73,134.54,
06/01/2021,01:06:07.78,138.67,-958.50,258.79,1.16,-0.79,3.41,-166.20,-74.55,-78.15,32.82,134.54,
06/01/2021,01:06:07.79,134.28,-979.98,267.58,0.12,-1.71,-1.40,-166.20,-74.55,-78.15,32.53,134.54,
06/01/2021,01:06:07.79,119.63,-966.31,268.55,-0.55,-0.30,0.00,-165.60,-73.20,-79.05,32.92,134.54,
06/01/2021,01:06:07.81,135.74,-955.57,256.84,-1.40,-0.61,-0.18,-165.15,-73.35,-78.60,32.82,134.54,
06/01/2021,01:06:07.81,129.39,-971.68,260.25,2.26,-1.40,0.00,-165.90,-75.00,-77.85,32.73,134.54,
06/01/2021,01:06:07.82,145.51,-969.73,256.84,0.24,1.04,0.91,-165.90,-75.00,-77.85,32.73,134.54,
06/01/2021,01:06:07.82,140.14,-966.31,277.34,-0.12,1.16,-0.18,-165.90,-75.00,-77.85,32.73,134.54,
06/01/2021,01:06:07.83,133.79,-967.77,273.93,-0.79,-0.85,1.65,-165.90,-75.00,-77.85,32.82,134.54,
06/01/2021,01:06:07.83,136.23,-956.05,255.37,-1.65,-1.59,-3.78,-165.90,-74.55,-78.60,32.92,134.54,
06/01/2021,01:06:07.85,131.84,-957.52,256.35,-1.22,-1.59,2.56,-167.10,-73.20,-78.75,32.77,134.54,
06/01/2021,01:06:07.85,132.81,-965.82,256.84,1.77,-0.30,2.74,-167.10,-73.20,-78.75,32.77,134.54,
06/01/2021,01:06:07.85,133.30,-968.26,257.81,0.18,-0.55,3.11,-165.45,-74.55,-78.60,32.73,134.54,
06/01/2021,01:06:07.86,132.32,-970.21,268.07,1.04,-0.98,0.37,-165.45,-74.55,-78.60,32.73,134.55,
06/01/2021,01:06:07.86,141.11,-958.50,273.44,0.67,1.22,2.62,-165.90,-72.60,-77.40,32.73,134.55,
06/01/2021,01:06:07.88,131.84,-962.40,264.65,-1.28,-0.61,-0.91,-165.90,-72.60,-77.40,32.58,134.54,
06/01/2021,01:06:07.88,121.58,-978.03,259.77,-1.22,1.59,0.24,-165.60,-74.70,-77.25,32.73,134.54,
06/01/2021,01:06:07.89,123.54,-964.36,266.60,0.79,-0.18,1.89,-165.60,-74.70,-77.25,32.58,134.55,
06/01/2021,01:06:07.89,130.37,-965.33,266.11,-1.28,-0.18,0.18,-163.95,-74.25,-79.65,32.82,134.55,
