rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:10:11.31,276.86,-1132.81,430.66,38.54,-33.90,-92.01,-198.45,-60.30,-71.25,32.82,134.05,
06/01/2021,01:10:11.35,244.14,-1404.30,469.24,43.96,-55.67,-121.10,-198.75,-59.10,-72.00,32.53,134.05,
06/01/2021,01:10:11.37,235.84,-1423.34,453.61,46.59,-64.88,-122.20,-196.20,-56.70,-73.35,32.92,134.05,
06/01/2021,01:10:11.37,196.78,-1430.18,441.41,47.20,-73.96,-118.84,-196.80,-56.55,-73.95,33.11,134.05,
06/01/2021,01:10:11.38,161.13,-1424.80,428.71,51.83,-83.78,-116.04,-196.80,-56.55,-73.95,32.92,134.05,
06/01/2021,01:10:11.39,206.54,-1576.66,383.79,59.63,-112.99,-105.00,-196.20,-55.95,-72.30,32.53,134.05,
06/01/2021,01:10:11.40,174.32,-1598.14,442.38,66.65,-124.94,-110.85,-196.20,-55.95,-72.30,32.82,134.05,
06/01/2021,01:10:11.40,108.89,-1544.43,465.33,71.28,-136.34,-113.35,-194.85,-53.55,-73.20,32.63,134.05,
06/01/2021,01:10:11.41,83.01,-1500.49,450.68,78.60,-145.85,-110.98,-194.85,-53.55,-73.20,32.44,134.05,
06/01/2021,01:10:11.41,104.98,-1485.35,409.67,84.51,-149.45,-115.00,-194.40,-54.00,-74.55,32.58,134.05,
06/01/2021,01:10:11.43,12.21,-1436.52,500.00,92.32,-157.20,-119.63,-194.40,-54.00,-74.55,32.73,134.05,
06/01/2021,01:10:11.43,23.44,-1463.38,541.02,97.99,-152.93,-116.89,-196.35,-53.10,-72.90,32.44,134.05,
06/01/2021,01:10:11.43,88.87,-1457.52,569.82,97.56,-149.45,-119.02,-196.35,-53.10,-72.90,32.73,134.05,
06/01/2021,01:10:11.44,208.01,-1474.61,585.45,99.09,-136.52,-127.93,-193.80,-53.55,-75.00,32.77,134.05,
06/01/2021,01:10:11.44,270.02,-1478.52,613.77,97.56,-122.50,-137.38,-193.80,-53.55,-75.00,32.63,134.05,
06/01/2021,01:10:11.46,360.84,-1418.46,465.33,86.16,-117.38,-153.72,-193.05,-53.55,-73.65,32.53,134.05,
06/01/2021,01:10:11.46,352.05,-1359.38,396.00,80.43,-133.23,-148.66,-193.05,-53.55,-73.65,32.44,134.05,
06/01/2021,01:10:11.47,304.69,-1303.22,376.46,73.84,-156.71,-138.90,-193.05,-53.55,-73.65,32.73,134.05,
06/01/2021,01:10:11.47,245.12,-1240.72,354.49,68.23,-178.11,-124.09,-193.05,-53.55,-73.65,32.63,134.05,
06/01/2021,01:10:11.49,-208.50,-1022.95,432.13,58.05,-229.39,-82.07,-192.15,-53.25,-77.10,32.63,134.05,
06/01/2021,01:10:11.49,-433.11,-917.97,377.44,61.34,-233.90,-64.33,-190.95,-55.20,-75.60,32.77,134.05,
06/01/2021,01:10:11.50,-530.76,-751.95,272.95,69.09,-227.74,-41.16,-190.95,-55.20,-75.60,32.77,134.05,
06/01/2021,01:10:11.50,-423.83,-517.58,211.43,73.05,-205.43,-25.61,-192.15,-53.70,-78.15,32.39,134.05,
06/01/2021,01:10:11.51,-207.52,-310.06,118.16,72.87,-173.48,-19.27,-192.15,-53.70,-78.15,32.73,134.05,
06/01/2021,01:10:11.52,170.90,-134.77,362.79,61.40,-65.85,-29.82,-189.60,-55.65,-78.60,32.73,134.05,
06/01/2021,01:10:11.53,14.16,-202.64,449.71,69.70,-59.02,-19.51,-189.60,-55.65,-78.60,32.25,134.05,
06/01/2021,01:10:11.53,-167.97,-279.30,393.07,70.73,-75.98,-5.06,-189.30,-57.30,-80.25,32.58,134.05,
06/01/2021,01:10:11.53,-297.85,-318.36,193.85,63.23,-101.46,22.32,-189.30,-57.30,-80.25,32.29,134.05,
06/01/2021,01:10:11.54,-354.98,-359.86,68.36,51.10,-112.13,52.93,-188.40,-57.15,-81.15,32.77,134.05,
06/01/2021,01:10:11.55,-407.23,-458.01,-93.26,39.63,-56.22,117.56,-189.15,-59.10,-80.70,32.97,134.05,
06/01/2021,01:10:11.56,-546.39,-454.59,-137.21,37.13,-39.57,121.40,-187.65,-59.55,-80.70,32.58,134.05,
06/01/2021,01:10:11.56,-617.68,-425.78,-166.02,34.39,-23.05,131.71,-187.65,-59.55,-80.70,32.44,134.05,
06/01/2021,01:10:11.57,-570.31,-401.86,-149.41,31.95,-12.80,136.52,-187.65,-59.55,-80.70,32.73,134.05,
06/01/2021,01:10:11.57,-462.89,-406.25,-146.97,28.72,13.60,138.54,-187.65,-59.55,-80.70,32.63,134.05,
06/01/2021,01:10:11.59,-247.56,-479.49,-27.34,15.30,81.89,150.43,-185.70,-62.70,-81.60,32.39,134.05,
