rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:09:10.37,225.59,-932.62,380.37,18.11,-9.27,-64.70,-166.95,-73.35,-78.90,32.77,134.24,
06/01/2021,01:09:10.41,250.00,-944.82,409.18,19.09,-22.74,-68.66,-169.20,-73.80,-79.20,32.82,134.24,
06/01/2021,01:09:10.42,282.71,-957.52,372.07,22.74,-24.51,-76.95,-169.20,-73.80,-79.20,32.77,134.24,
06/01/2021,01:09:10.43,300.29,-978.03,375.98,21.77,-24.82,-75.67,-169.95,-73.05,-78.90,32.77,134.24,
06/01/2021,01:09:10.43,312.99,-973.14,366.21,19.15,-27.93,-75.55,-169.95,-73.05,-78.90,32.92,134.24,
06/01/2021,01:09:10.45,275.39,-1006.35,389.16,21.40,-31.89,-82.32,-171.00,-72.30,-80.40,32.77,134.24,
06/01/2021,01:09:10.45,271.97,-1023.44,400.39,20.98,-30.43,-82.56,-171.00,-72.30,-80.40,32.73,134.24,
06/01/2021,01:09:10.45,274.90,-1019.53,407.23,21.22,-29.70,-85.79,-170.10,-72.00,-80.40,32.63,134.24,
06/01/2021,01:09:10.46,295.90,-1034.18,417.48,22.20,-30.00,-88.29,-170.10,-72.00,-80.25,32.97,134.24,
06/01/2021,01:09:10.46,293.95,-1048.34,410.16,22.50,-31.22,-88.78,-170.10,-72.00,-80.25,32.82,134.24,
06/01/2021,01:09:10.48,361.82,-1071.78,399.41,24.21,-37.38,-94.27,-171.15,-73.65,-80.55,32.82,134.24,
06/01/2021,01:09:10.48,367.19,-1075.68,423.34,25.61,-39.94,-97.56,-171.15,-73.65,-80.55,32.92,134.24,
06/01/2021,01:09:10.49,388.18,-1079.10,408.20,24.76,-44.88,-95.91,-171.15,-73.65,-80.55,32.73,134.24,
06/01/2021,01:09:10.49,396.48,-1082.03,384.77,24.82,-44.09,-98.72,-171.15,-73.65,-80.55,32.82,134.24,
06/01/2021,01:09:10.50,397.46,-1090.82,383.79,24.63,-49.57,-103.90,-172.50,-72.30,-78.90,32.73,134.24,
06/01/2021,01:09:10.51,417.48,-1097.66,379.39,28.23,-59.82,-109.57,-171.45,-71.10,-80.40,32.73,134.24,
06/01/2021,01:09:10.52,440.92,-1119.14,362.79,29.76,-64.70,-109.57,-172.80,-71.10,-78.15,32.82,134.24,
06/01/2021,01:09:10.52,462.40,-1148.44,344.73,28.35,-66.95,-111.71,-172.80,-71.10,-78.15,32.77,134.24,
06/01/2021,01:09:10.53,476.56,-1195.80,338.38,28.66,-72.20,-113.17,-172.80,-69.90,-79.95,32.63,134.24,
06/01/2021,01:09:10.53,477.05,-1254.39,319.34,26.95,-77.20,-116.28,-172.80,-69.90,-79.95,32.73,134.24,
06/01/2021,01:09:10.55,308.11,-1451.66,389.16,20.98,-84.02,-117.62,-173.40,-70.95,-79.50,32.77,134.24,
06/01/2021,01:09:10.55,252.93,-1476.07,420.90,17.99,-85.30,-117.13,-173.40,-70.95,-79.50,32.44,134.24,
06/01/2021,01:09:10.56,230.96,-1475.10,413.09,16.40,-83.05,-115.06,-172.35,-71.25,-80.85,32.73,134.24,
06/01/2021,01:09:10.56,248.05,-1456.54,405.76,14.94,-83.23,-114.33,-172.35,-71.25,-80.85,32.92,134.24,
06/01/2021,01:09:10.56,310.06,-1451.66,387.21,16.28,-85.79,-113.84,-172.35,-71.25,-80.85,32.92,134.24,
06/01/2021,01:09:10.58,285.16,-1510.74,411.13,22.56,-111.46,-114.51,-174.00,-70.65,-80.40,32.53,134.24,
06/01/2021,01:09:10.58,200.20,-1585.94,434.08,23.35,-120.00,-110.67,-174.00,-70.65,-80.40,32.73,134.24,
06/01/2021,01:09:10.59,125.00,-1597.17,472.66,31.40,-130.49,-114.51,-174.00,-70.65,-80.40,32.53,134.24,
06/01/2021,01:09:10.59,105.47,-1634.77,521.48,35.00,-135.67,-118.60,-174.00,-70.65,-80.40,32.73,134.24,
06/01/2021,01:09:10.60,55.66,-1642.09,542.48,40.00,-130.91,-126.52,-173.85,-70.50,-82.35,32.73,134.24,
06/01/2021,01:09:10.61,-152.83,-1601.56,547.36,51.16,-114.88,-152.99,-172.35,-68.55,-80.55,32.92,134.24,
06/01/2021,01:09:10.62,-52.73,-1642.09,515.62,54.27,-103.78,-161.65,-173.40,-69.30,-80.55,32.77,134.24,
06/01/2021,01:09:10.62,-63.48,-1658.69,538.09,52.87,-92.80,-171.95,-173.40,-69.30,-80.55,32.92,134.24,
06/01/2021,01:09:10.63,6.84,-1633.79,593.75,55.55,-77.56,-181.34,-173.85,-67.05,-81.30,32.44,134.24,
06/01/2021,01:09:10.64,286.62,-1685.55,615.72,42.38,-24.51,-222.07,-173.85,-67.05,-81.30,32.77,134.24,
06/01/2021,01:09:10.65,250.49,-1689.94,621.09,34.94,-29.02,-222.93,-177.45,-66.60,-80.25,32.92,134.24,
06/01/2021,01:09:10.65,187.99,-1673.83,624.51,32.32,-39.88,-224.45,-177.45,-66.60,-80.25,32.58,134.24,
06/01/2021,01:09:10.66,136.23,-1601.07,637.70,32.26,-52.99,-216.59,-177.45,-66.60,-80.25,32.92,134.24,
06/01/2021,01:09:10.66,115.72,-1531.74,588.38,32.99,-61.10,-203.90,-177.45,-66.60,-80.25,32.92,134.24,
06/01/2021,01:09:10.68,-225.10,-1200.68,457.03,28.78,-73.41,-160.06,-177.15,-64.35,-79.80,32.73,134.24,
06/01/2021,01:09:10.68,-354.00,-1086.91,441.41,26.16,-76.10,-142.26,-177.15,-64.35,-79.80,32.92,134.24,
06/01/2021,01:09:10.69,-478.03,-970.21,473.14,31.71,-72.74,-117.80,-177.15,-64.35,-79.80,32.63,134.24,
06/01/2021,01:09:10.69,-528.81,-822.75,510.74,36.89,-69.09,-99.09,-176.55,-63.30,-81.45,32.73,134.24,
06/01/2021,01:09:10.70,-430.66,-607.42,482.42,42.13,-63.35,-82.32,-176.55,-63.30,-81.45,32.73,134.24,
06/01/2021,01:09:10.71,44.43,-166.99,205.08,21.46,-31.34,-67.87,-176.70,-63.60,-81.30,32.82,134.24,
06/01/2021,01:09:10.71,152.34,-174.32,373.54,32.99,-8.41,-55.00,-176.70,-63.60,-81.30,32.73,134.24,
06/01/2021,01:09:10.72,146.97,-248.54,534.67,40.00,1.89,-43.29,-178.05,-62.25,-80.70,32.73,134.24,
06/01/2021,01:09:10.72,33.69,-322.75,541.50,38.05,-16.28,-33.11,-178.05,-62.25,-80.70,33.06,134.24,
06/01/2021,01:09:10.73,-75.68,-343.75,420.90,31.89,-48.72,-13.17,-178.20,-60.90,-80.85,33.06,134.24,
06/01/2021,01:09:10.74,-396.48,-412.11,139.16,10.30,-89.15,67.01,-178.20,-60.45,-79.80,32.97,134.24,
06/01/2021,01:09:10.75,-500.49,-391.60,79.10,8.48,-79.88,87.20,-177.30,-61.05,-81.45,32.92,134.24,
06/01/2021,01:09:10.75,-583.01,-356.93,53.22,8.72,-67.74,103.29,-177.30,-61.05,-81.45,32.73,134.24,
06/01/2021,01:09:10.76,-591.31,-288.57,54.69,9.70,-51.10,111.22,-177.30,-61.05,-81.45,32.82,134.24,
06/01/2021,01:09:10.76,-552.25,-246.09,45.90,7.99,-29.76,115.30,-177.30,-61.05,-81.45,32.92,134.24,
06/01/2021,01:09:10.78,-381.84,-224.61,145.02,-2.68,49.02,129.82,-178.20,-60.90,-80.55,32.73,134.24,
06/01/2021,01:09:10.78,-318.36,-264.65,222.17,-3.96,67.26,139.88,-178.20,-60.90,-80.55,32.73,134.24,
06/01/2021,01:09:10.79,-294.43,-292.97,294.43,-5.67,74.33,154.76,-178.20,-60.90,-80.55,32.77,134.24,
06/01/2021,01:09:10.79,-251.46,-354.98,312.50,-8.48,78.17,174.21,-176.55,-61.35,-79.20,32.58,134.24,
06/01/2021,01:09:10.80,-209.96,-395.02,322.27,-14.15,74.63,192.99,-176.55,-61.35,-79.20,32.97,134.24,
06/01/2021,01:09:10.81,-83.98,-503.91,281.74,-18.48,64.76,234.27,-177.30,-62.25,-80.70,32.73,134.24,
06/01/2021,01:09:10.81,-48.83,-533.20,271.97,-17.50,61.95,247.38,-177.30,-62.25,-80.70,32.82,134.24,
06/01/2021,01:09:10.82,-25.88,-566.89,260.74,-18.54,61.52,254.82,-176.55,-62.25,-79.95,33.06,134.24,
06/01/2021,01:09:10.82,13.67,-611.33,275.39,-22.74,61.46,264.76,-176.55,-62.25,-79.95,32.73,134.24,
06/01/2021,01:09:10.83,46.39,-684.57,270.51,-22.26,61.28,274.51,-176.25,-62.25,-79.20,33.11,134.24,
06/01/2021,01:09:10.83,86.43,-731.45,277.34,-24.76,58.05,285.55,-176.25,-62.25,-79.20,32.73,134.24,
06/01/2021,01:09:10.85,327.15,-917.97,332.52,-30.91,37.07,308.17,-175.50,-66.00,-77.85,32.58,134.24,
06/01/2021,01:09:10.85,385.25,-963.87,357.42,-31.46,27.44,317.44,-175.50,-66.00,-77.85,32.77,134.24,
06/01/2021,01:09:10.86,429.20,-1015.62,366.21,-27.87,20.98,321.95,-175.50,-66.00,-77.85,32.77,134.24,
06/01/2021,01:09:10.86,456.54,-1040.04,380.86,-29.27,16.34,324.94,-175.50,-66.00,-77.85,32.73,134.24,
06/01/2021,01:09:10.87,488.28,-1073.73,376.95,-26.28,16.04,328.54,-173.40,-67.05,-78.30,32.58,134.24,
06/01/2021,01:09:10.88,412.60,-1147.95,358.40,-21.59,14.94,336.40,-173.40,-67.05,-78.30,32.82,134.24,
06/01/2021,01:09:10.92,291.99,-1545.41,371.58,-26.34,86.95,337.07,-168.90,-70.50,-77.25,32.77,134.24,
06/01/2021,01:09:10.93,323.73,-1587.89,386.72,-35.12,126.40,328.96,-168.30,-71.25,-77.55,32.58,134.24,
06/01/2021,01:09:10.93,346.19,-1617.19,398.93,-39.82,142.26,325.79,-168.30,-71.25,-77.55,32.73,134.24,
06/01/2021,01:09:10.95,485.84,-1771.00,454.59,-56.28,172.20,314.33,-163.05,-72.00,-77.55,32.58,134.24,
06/01/2021,01:09:10.95,557.13,-1804.69,460.45,-59.88,177.56,308.17,-163.05,-72.00,-77.55,32.82,134.24,
06/01/2021,01:09:10.96,605.47,-1822.27,479.49,-64.27,175.73,308.23,-159.60,-71.40,-77.85,32.58,134.24,
06/01/2021,01:09:10.96,658.20,-1823.24,484.38,-64.27,176.89,303.84,-159.60,-71.40,-77.85,32.92,134.24,
06/01/2021,01:09:10.97,709.47,-1795.90,518.07,-71.28,169.63,298.72,-160.50,-70.05,-78.75,32.92,134.24,
06/01/2021,01:09:11.00,1184.08,-1443.36,890.14,-64.70,102.38,244.15,-155.40,-71.40,-80.40,32.77,134.24,
06/01/2021,01:09:11.00,1191.89,-1378.42,940.92,-61.40,88.41,236.65,-155.40,-71.40,-80.40,32.73,134.24,
06/01/2021,01:09:11.01,1215.82,-1323.24,935.55,-52.13,73.41,230.43,-153.75,-69.75,-80.40,32.58,134.24,
06/01/2021,01:09:11.01,1308.59,-1295.90,928.22,-48.48,55.67,218.54,-153.75,-69.75,-79.50,32.73,134.24,
06/01/2021,01:09:11.02,1503.42,-1227.05,951.17,-39.88,35.67,211.22,-153.75,-69.75,-79.50,32.77,134.24,
06/01/2021,01:09:11.03,1770.51,-881.84,802.73,-4.21,-22.87,153.96,-154.35,-68.40,-78.90,32.58,134.24,
06/01/2021,01:09:11.04,1903.32,-873.05,706.05,4.45,-34.63,132.44,-154.35,-68.40,-78.90,32.82,134.24,
