rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:14:05.81,405.27,-935.55,-90.33,1.52,-2.80,1.83,-172.65,-40.05,-39.45,33.88,118.15,
06/01/2021,01:14:05.87,405.27,-946.29,-71.29,0.24,2.26,-0.98,-174.15,-40.35,-36.15,33.83,118.15,
06/01/2021,01:14:05.89,393.55,-934.57,-76.17,0.00,3.17,-0.49,-171.30,-37.95,-39.15,33.88,118.15,
06/01/2021,01:14:05.89,388.18,-940.43,-85.94,0.67,0.06,-2.62,-173.70,-39.30,-39.45,33.68,118.15,
06/01/2021,01:14:05.90,378.91,-937.99,-80.57,1.22,1.40,0.43,-173.70,-39.30,-39.45,33.83,118.15,
06/01/2021,01:14:05.91,387.70,-930.66,-86.43,1.04,3.78,-1.16,-171.90,-37.80,-39.00,33.59,118.15,
06/01/2021,01:14:05.92,382.81,-931.64,-84.47,0.18,2.74,-0.73,-171.90,-37.80,-39.00,33.88,118.15,
06/01/2021,01:14:05.93,381.84,-933.59,-77.64,0.79,-1.34,2.50,-171.60,-37.35,-39.00,33.78,118.15,
06/01/2021,01:14:05.93,388.18,-939.45,-78.12,1.89,-1.77,0.55,-171.60,-37.35,-39.00,33.83,118.15,
06/01/2021,01:14:05.94,380.86,-922.36,-89.36,1.16,-0.49,2.07,-171.60,-37.35,-39.00,33.78,118.15,
06/01/2021,01:14:05.95,393.07,-938.96,-88.87,3.05,-0.67,0.55,-172.50,-39.00,-37.80,33.64,118.15,
06/01/2021,01:14:05.96,393.55,-945.80,-80.57,4.45,-2.93,0.98,-172.50,-39.00,-37.80,33.44,118.15,
06/01/2021,01:14:05.97,397.46,-946.29,-88.87,4.39,-1.04,-0.30,-172.50,-39.00,-37.80,33.78,118.15,
06/01/2021,01:14:05.97,393.55,-933.59,-90.33,2.74,-3.48,1.95,-172.50,-39.00,-37.80,33.97,118.15,
06/01/2021,01:14:05.98,389.65,-935.55,-95.70,0.00,-2.62,2.07,-170.70,-37.20,-39.60,33.83,118.15,
06/01/2021,01:14:05.98,404.30,-945.80,-101.07,1.16,-3.23,3.48,-170.85,-37.05,-40.80,33.83,118.15,
06/01/2021,01:14:06.00,398.93,-940.92,-102.54,1.46,-5.49,1.89,-171.00,-37.95,-38.85,33.83,118.15,
06/01/2021,01:14:06.01,408.69,-934.57,-104.49,2.87,-3.41,1.10,-171.90,-38.85,-39.00,33.64,118.15,
06/01/2021,01:14:06.01,402.34,-941.41,-106.93,1.28,-2.74,0.98,-171.90,-38.85,-39.00,33.64,118.15,
06/01/2021,01:14:06.02,405.27,-937.99,-108.89,0.85,-3.17,-0.61,-169.20,-36.75,-42.00,33.88,118.15,
06/01/2021,01:14:06.02,391.11,-953.61,-107.42,0.06,-4.21,2.20,-169.35,-37.05,-41.55,33.88,118.15,
06/01/2021,01:14:06.04,413.09,-945.31,-98.14,0.79,-0.79,-0.91,-171.00,-39.45,-39.60,33.88,118.15,
06/01/2021,01:14:06.04,416.02,-945.80,-107.42,0.73,-3.72,-1.46,-172.20,-38.55,-38.70,33.83,118.15,
06/01/2021,01:14:06.05,408.69,-950.20,-100.10,2.01,-1.34,-0.61,-172.20,-38.55,-38.70,33.78,118.15,
06/01/2021,01:14:06.06,416.99,-943.85,-118.16,0.79,-2.68,0.98,-171.15,-37.05,-40.50,33.88,118.15,
06/01/2021,01:14:06.06,400.39,-951.17,-108.89,1.40,-3.78,-1.71,-171.15,-37.05,-40.50,33.64,118.15,
06/01/2021,01:14:06.08,411.13,-936.04,-104.00,0.55,-2.44,-2.01,-171.30,-37.95,-39.15,34.02,118.15,
06/01/2021,01:14:06.08,385.25,-930.66,-104.49,0.67,-2.62,1.34,-174.60,-37.20,-37.80,33.68,118.15,
06/01/2021,01:14:06.09,406.25,-943.36,-106.93,-1.04,-2.93,-2.26,-174.60,-37.20,-37.80,33.64,118.15,
06/01/2021,01:14:06.10,401.86,-945.80,-102.54,0.49,-2.74,-2.07,-174.60,-37.20,-37.80,33.49,118.15,
06/01/2021,01:14:06.10,405.27,-936.04,-107.42,0.30,-1.46,0.85,-170.10,-37.80,-40.05,33.64,118.15,
06/01/2021,01:14:06.12,385.25,-938.48,-104.98,-1.22,-3.66,-3.72,-170.85,-38.10,-39.45,33.68,118.15,
06/01/2021,01:14:06.12,391.60,-936.52,-108.40,-1.59,-5.30,-0.06,-170.85,-38.10,-39.45,33.88,118.15,
06/01/2021,01:14:06.13,399.41,-940.92,-87.89,-1.40,-0.67,-2.13,-170.85,-38.10,-39.45,33.88,118.15,
06/01/2021,01:14:06.13,400.39,-938.48,-104.49,1.34,-2.56,-0.67,-170.40,-37.35,-41.10,33.78,118.15,
06/01/2021,01:14:06.14,394.04,-938.96,-99.61,-0.73,-1.77,0.61,-170.25,-38.25,-40.95,34.02,118.15,
06/01/2021,01:14:06.16,414.06,-943.85,-91.80,-1.34,-4.45,0.06,-171.75,-39.45,-38.85,33.83,118.15,
06/01/2021,01:14:06.16,402.83,-934.57,-86.43,-0.24,-2.56,-0.73,-171.90,-38.85,-38.25,33.68,118.15,
06/01/2021,01:14:06.17,394.53,-941.41,-97.66,-2.44,-3.54,-0.37,-171.90,-38.85,-38.25,33.88,118.15,
06/01/2021,01:14:06.17,402.83,-946.29,-94.24,0.06,-5.12,0.00,-170.25,-37.20,-40.65,33.88,118.15,
06/01/2021,01:14:06.18,394.04,-937.99,-83.98,-2.80,-5.30,-0.85,-170.25,-37.20,-40.65,33.49,118.15,
06/01/2021,01:14:06.19,383.30,-937.99,-102.05,-1.28,-6.10,-0.24,-170.40,-38.55,-39.75,33.83,118.15,
06/01/2021,01:14:06.20,399.41,-934.57,-84.96,-0.85,-6.95,-3.23,-171.75,-39.00,-39.15,33.83,118.15,
06/01/2021,01:14:06.21,396.48,-934.57,-88.87,-2.01,-6.40,-1.46,-171.75,-39.00,-39.15,33.78,118.15,
